numerator,(-24157817*x+54018521)/2
denominator,1176480
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",(-1304969544928657*x-2918000611027443)/2
"(1, 1)",1
"(2, -4)",(3807901929474025356630904134051*x+8514727565956530702536099118247)/2
"(2, -2)",1045025541177784945127396020*x+2336748148297032777557149980
"(2, 0)",-526816234723998845400*x-1177996912493345770200
"(2, 2)",-1601609087720
"(2, 4)",(1304969544928657*x-2918000611027443)/2
"(3, -5)",1537250094823804938353790515715466800*x+3437395710444025438144332973517368800
"(3, -3)",-31859695389100826128940034274879560*x-71240444632466059617375135646708440
"(3, -1)",4478524467255024707814675016656*x+10014285147678266225519692241052
"(3, 1)",-118145904296603027244268278*x-264182273277252643954817538
"(3, 3)",48828258886060982160
"(3, 5)",526816234723998845400*x-1177996912493345770200
"(4, -8)",-3049385167696060765434885011448099348976860*x-6818632524547987633832506199571537037813420
"(4, -6)",344749820932355961242091183036396987369810*x+770884034835627856439392410360048083454282
"(4, -4)",-3330069192700361579591865535774095569376*x-7446261084655854955287763015896656555424
"(4, -2)",2431393441496226416863569177389144370*x+5436761015232720247066512286360910570
"(4, 0)",2367324281403952450849940675394000*x+5293498018005075332313304145922000
"(4, 2)",145171168718299544778075870710*x+324612597900848363864438641470
"(4, 4)",5103673423861270672230336
"(4, 6)",118145904296603027244268278*x-264182273277252643954817538
"(4, 8)",-1045025541177784945127396020*x+2336748148297032777557149980
"(5, -11)",-5555730078468892575964513421251980418883416468*x-12422990120096684529016570774334043708204012489
"(5, -9)",-13068337131951515737296343720721804330542358886*x-29221690179928228104530678138671379552988372498
"(5, -7)",-423609556592172649430357127679912562540750160*x-947219764458642201931695505697514014168771780
"(5, -5)",(130941234765351815844421735453362837937223875*x+292793501993085384519330177521172849782063625)/2
"(5, -3)",-341564212481182643667089790772161909215340*x-763760797789106498652391579362507749010870
"(5, -1)",-1545032418909646754829873780609202530276*x-3454797516122901641304897532046914647788
"(5, 1)",-4659613580946029669890226879465751776*x-10419212715874173246101696632182675288
"(5, 3)",971096989498414890371884565462985*x+2171439404746129161303570962656755
"(5, 5)",-100340452598463058196621657875
"(5, 7)",-145171168718299544778075870710*x+324612597900848363864438641470
"(5, 9)",-4478524467255024707814675016656*x+10014285147678266225519692241052
"(5, 11)",(-3807901929474025356630904134051*x+8514727565956530702536099118247)/2
"(6, -12)",92966610612544419005414878767915999392016679765080*x+207879660967402683922311838107333905647523398736760
"(6, -10)",-6907853699636833302325361623269668737748162148000*x-15446430451011373580397380828649235477322683368000
"(6, -8)",-2833661950287497529502105846168726128175744912695*x-6336260746097474215046686995696343808697745316595
"(6, -6)",65014605094373468459686083321636679406428426800*x+145377076521323205443402797987611727007311213200
"(6, -4)",1584425948835778246130895285901299801074588640*x+3542884126911403931997969090963109300689965472
"(6, -2)",70511170205216395836812384613751621592491680*x+157667769751921657435661392419019887831322560
"(6, 0)",-700933681481158638474731817917293221057000*x-1567335359511055117967766237964857508641000
"(6, 2)",464290456780715715122399494947037286160*x+1038185022558042890114973916611592677360
"(6, 4)",358903960708755373078656061471358208*x+802531225243018898753535391999417152
"(6, 6)",-99641566881053661083996544904800
"(6, 8)",-971096989498414890371884565462985*x+2171439404746129161303570962656755
"(6, 10)",-2367324281403952450849940675394000*x+5293498018005075332313304145922000
"(6, 12)",31859695389100826128940034274879560*x-71240444632466059617375135646708440
"(7, -15)",-4485696715997857501813427737946453481438270356547000*x-10030322783418777760286421713008945910392080606208200
