numerator,(-24157817*x+54018521)/2
denominator,38
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",(1304969544928657*x+2918000611027443)/2
"(1, 1)",1
"(2, -4)",(3807901929474025356630904134051*x+8514727565956530702536099118247)/2
"(2, -2)",41366850561401757095146880*x+92499089870369666955477120
"(2, 0)",-400963288716869573625*x-896581170052795408125
"(2, 2)",63398951680
"(2, 4)",(-1304969544928657*x+2918000611027443)/2
"(3, -5)",-1170011121475398858340605253453564500*x-2616224402049755883635333175964766250
"(3, -3)",1280623950538070820552362114926515*x+2863562207017454736648989428832985
"(3, -1)",65266298265220701870139695444*x+145939879560810087682156960248
"(3, 1)",-1860663367230318400521378*x-4160569772270619225803838
"(3, 3)",1962687873467702790
"(3, 5)",400963288716869573625*x-896581170052795408125
"(4, -8)",120708495214451250700068729394705795827840*x+269912400761221051495261300726716079652480
"(4, -6)",-5429416842429182356967604648557326481010*x-12140545137853916154065178941240909686482
"(4, -4)",-46677740561197856463585108111091531776*x-104374600930937589383412375292618113024
"(4, -2)",64341177768027807949732208055615030*x+143871247241708373505182085241847830
"(4, 0)",-25420652166814703299113577440000*x-56842306277375039128642754400000
"(4, 2)",-7453548501554169762686501990*x-16666641024457350215937287430
"(4, 4)",-71538436651791348596736
"(4, 6)",1860663367230318400521378*x-4160569772270619225803838
"(4, 8)",-41366850561401757095146880*x+92499089870369666955477120
"(5, -11)",5555730078468892575964513421251980418883416468*x+12422990120096684529016570774334043708204012489
"(5, -9)",190447098217413351128348262315137841545548314*x+425852657731715275630445464810098764213889702
"(5, -7)",-21749459017516571780617280939337913508496540*x-48633268837012843744888543225580671950789320
"(5, -5)",(963239383348893855939790209939594870546875*x+2153868739773105688612319443092275746640625)/2
"(5, -3)",-2652378533779091807274427807081161357540*x-5930898703591271444549065676977705435470
"(5, -1)",-2191615805402310112156926378492226224*x-4900601921442516265591679493357863312
"(5, 1)",-15624877204783339153675508984733376*x-34938287569985807415829408776182688
"(5, 3)",-342893499077237827277096146785*x-766737238022276478059795242155
"(5, 5)",738131695940501343671796875
"(5, 7)",7453548501554169762686501990*x-16666641024457350215937287430
"(5, 9)",-65266298265220701870139695444*x+145939879560810087682156960248
"(5, 11)",(-3807901929474025356630904134051*x+8514727565956530702536099118247)/2
"(6, -12)",3736861470166468596207680286377241463620593351145*x+8355876269792026146853775256203086775975830904565
"(6, -10)",-74177478555481422528663197445656688859263360000*x-165865884449589366222392190763691152866244800000
"(6, -8)",-1000566092203251721573862934746148116352578295*x-2237333798147793173341011395464900939830024195
"(6, -6)",81190215960413861952617156634088731235795200*x+181546841995373769765396405919413214805164800
"(6, -4)",1602192210273134909283832988647336961966565*x+3582610695191366552411931287238932389734897
"(6, -2)",4137814890049195102400672186304072145920*x+9252435372460818370617632320938632816640
"(6, 0)",-786965784470329291496923569275522913750*x-1759708990042105831972180027804251168750
"(6, 2)",-117964106911781051705669730629015040*x-263775761953453592180416534520547840
"(6, 4)",-457039816027078072622293727599983*x-1021969641536250400383166579993827
"(6, 6)",124432353652900843223811187200
"(6, 8)",342893499077237827277096146785*x-766737238022276478059795242155
"(6, 10)",25420652166814703299113577440000*x-56842306277375039128642754400000
"(6, 12)",-1280623950538070820552362114926515*x+2863562207017454736648989428832985
"(7, -15)",-3414093167374117705313237946556351337809718800999875*x-7634144403766094367114198559367466299150127034790625
"(7, -13)",187747596041330474803789773977726726336690886766300*x+419816387360585357210008405937093220024532097286120
"(7, -11)",-45593401230788740893981629599694454759539266263792*x-101949944477466202124580223877316860617173791643472
"(7, -9)",-1333640860238673678992877289072202917019177366904*x-2982111621064970751206306446205770041615457329258
"(7, -7)",-138837405333064773322960552847955422326995276125*x-310449876144424663555885803362254925092535436375
"(7, -5)",3336471477691357602127170588097552309245969000*x+7460577029107048690685303845131326281188660000
"(7, -3)",-87283390355854737852687025402375503619264050*x-195171594142340752943681254012404012302637390
"(7, -1)",-246928383327592755161500343616425268260612*x-552148650694623101633767030431679017953562
"(7, 1)",13322545655965382227978675461889689474441*x+29790117720082742826204562661412017094227
"(7, 3)",-27415324769853067588788731211238680540*x-61302529944396006166949598913046744760
"(7, 5)",-40108423609123628065414419348823500*x-89680048174774016124835964385892500
"(7, 7)",-212782598448540878068564701684250
"(7, 9)",457039816027078072622293727599983*x-1021969641536250400383166579993827
"(7, 11)",15624877204783339153675508984733376*x-34938287569985807415829408776182688
"(7, 13)",-64341177768027807949732208055615030*x+143871247241708373505182085241847830
"(7, 15)",1170011121475398858340605253453564500*x-2616224402049755883635333175964766250
"(8, -16)",-136205675478955805286852597493596311721186600042528768*x-304565149292221406797012144634198404972202585191120896
"(8, -14)",-6395136259301342536257922501513595064662694012998608*x-14299959401171523647965818442025240630577294698688528
"(8, -12)",-344219336043745906071297678439229323279537427596800*x-769697834563659369150349715266285992452516267189760
"(8, -10)",-117033068127292575980919076182488265489039017341500*x-261693895947990210449946204981167559477240736537500
"(8, -8)",-6084910675859615372669256582257788937717531279360*x-13606273908236288541727462586913187044141972848640
"(8, -6)",964427635705866780468736610710908904566070514604*x+2156525752817721494092283277462535627593163150668
"(8, -4)",4079163220349485245101392127457644039651750400*x+9121286252018402452506431251849551688082854400
"(8, -2)",-409556379615140536901295376199455538845370200*x-915795905438163397332640304405907963659221080
"(8, 0)",28684286829565698803670189288973878386688000*x+64140015237010870880395203822628823162880000
"(8, 2)",141735657881165857908073280251528451954520*x+316930565857312980455844927121394442504280
"(8, 4)",-472547161294569213687078606652233843200*x-1056647568977477244561045651684841382400
"(8, 6)",-3230268380037172020996477864387192348*x-7221621598820451270605627298895626108
"(8, 8)",-9325751239952927649396197121064960
"(8, 10)",40108423609123628065414419348823500*x-89680048174774016124835964385892500
"(8, 12)",117964106911781051705669730629015040*x-263775761953453592180416534520547840
"(8, 14)",2191615805402310112156926378492226224*x-4900601921442516265591679493357863312
"(8, 16)",46677740561197856463585108111091531776*x-104374600930937589383412375292618113024
"(9, -19)",-15843041663731044328268674523117120251116788289327836052*x-35426118130463979546523087305377157699262498105802321688
"(9, -17)",-7739642182243463256754374545098750167438865045171117005*x-17306366041021199622583680760415595081176302182640361055
"(9, -15)",-2296366639942112672948223796842118260102197752094955000*x-5134831908173347667526220124375782463132968366822837500
"(9, -13)",-79997934517230434717823630010835394435559336669323270*x-178880819640104073208042004288033680911807777873811290
"(9, -11)",-9424960679095390548352718612291297845166336277091560*x-21074852763719874369953468725712409373962737818432512
"(9, -9)",(2645621296914200369872549142871985208402589742629603*x+5915789062621306628431955222809902801594103093512297)/2
"(9, -7)",87809627812262003860344006004497473006074734914760*x+196348296867173981992058571749980018576996630454610
"(9, -5)",13365422433598612882640519502848231328673846702500*x+29885993109527167558960674115656575249842352437500
"(9, -3)",128097372151274839020687483294274703860909088760*x+286434431869339013992690997030382116029908691920
"(9, -1)",13677273748798585120612593490844116533158863455*x+30583313849187018557418598430556630692594629173
"(9, 1)",-227266390384261720484432477006971646019442452*x-508183097900192796388053895765293663393127518
"(9, 3)",-3651901427468528970736479966361179945244620*x-8165899838751826119166474766392669025308020
"(9, 5)",-39538782076013722270787961809307502635000*x-88411383985632874671812257111297787700000
"(9, 7)",114705564190346254250454231188650500045*x+256624016209980445328056900220197237815
"(9, 9)",2027343325517100190062225261917200179
"(9, 11)",3230268380037172020996477864387192348*x-7221621598820451270605627298895626108
"(9, 13)",27415324769853067588788731211238680540*x-61302529944396006166949598913046744760
"(9, 15)",786965784470329291496923569275522913750*x-1759708990042105831972180027804251168750
"(9, 17)",2652378533779091807274427807081161357540*x-5930898703591271444549065676977705435470
"(9, 19)",5429416842429182356967604648557326481010*x-12140545137853916154065178941240909686482
