weight,"(15, 15)"
"(0, 0)",0
"(1, -1)",0
"(1, 1)",0
"(2, -4)",0
"(2, -2)",0
"(2, 0)",1
"(2, 2)",0
"(2, 4)",0
"(3, -5)",-1
"(3, -3)",0
"(3, -1)",-275
"(3, 1)",-275
"(3, 3)",0
"(3, 5)",-1
"(4, -8)",0
"(4, -6)",275
"(4, -4)",0
"(4, -2)",10125
"(4, 0)",-12160
"(4, 2)",10125
"(4, 4)",0
"(4, 6)",275
"(4, 8)",0
"(5, -11)",0
"(5, -9)",275
"(5, -7)",-10125
"(5, -5)",0
"(5, -3)",39500
"(5, -1)",28350
"(5, 1)",28350
"(5, 3)",39500
"(5, 5)",0
"(5, 7)",-10125
"(5, 9)",275
"(5, 11)",0
"(6, -12)",0
"(6, -10)",12160
"(6, -8)",-39500
"(6, -6)",0
"(6, -4)",-2402350
"(6, -2)",3344000
"(6, 0)",-6697080
"(6, 2)",3344000
"(6, 4)",-2402350
"(6, 6)",0
"(6, 8)",-39500
"(6, 10)",12160
"(6, 12)",0
"(7, -15)",1
"(7, -13)",-10125
"(7, -11)",-28350
"(7, -9)",2402350
"(7, -7)",0
"(7, -5)",9633492
"(7, -3)",9312625
"(7, -1)",12617775
"(7, 1)",12617775
"(7, 3)",9312625
"(7, 5)",9633492
"(7, 7)",0
"(7, 9)",2402350
"(7, 11)",-28350
"(7, 13)",-10125
"(7, 15)",1
"(8, -16)",0
"(8, -14)",-28350
"(8, -12)",-3344000
"(8, -10)",-9633492
"(8, -8)",0
"(8, -6)",-33345600
"(8, -4)",-123120000
"(8, -2)",-42504750
"(8, 0)",-120569856
"(8, 2)",-42504750
"(8, 4)",-123120000
"(8, 6)",-33345600
"(8, 8)",0
"(8, 10)",-9633492
"(8, 12)",-3344000
"(8, 14)",-28350
"(8, 16)",0
"(9, -19)",-275
"(9, -17)",-39500
"(9, -15)",6697080
"(9, -13)",-9312625
"(9, -11)",33345600
"(9, -9)",0
"(9, -7)",150321000
"(9, -5)",-229869740
"(9, -3)",1841697000
"(9, -1)",-421769900
"(9, 1)",-421769900
"(9, 3)",1841697000
"(9, 5)",-229869740
"(9, 7)",150321000
"(9, 9)",0
"(9, 11)",33345600
"(9, 13)",-9312625
"(9, 15)",6697080
"(9, 17)",-39500
"(9, 19)",-275
"(10, -22)",0
"(10, -20)",0
"(10, -18)",-3344000
"(10, -16)",-12617775
"(10, -14)",123120000
"(10, -12)",-150321000
"(10, -10)",0
"(10, -8)",1371056625
"(10, -6)",-480320000
"(10, -4)",-5298420600
"(10, -2)",-344736000
"(10, 0)",1353391250
"(10, 2)",-344736000
"(10, 4)",-5298420600
"(10, 6)",-480320000
"(10, 8)",1371056625
"(10, 10)",0
"(10, 12)",-150321000
"(10, 14)",123120000
"(10, 16)",-12617775
"(10, 18)",-3344000
"(10, 20)",0
"(10, 22)",0
"(11, -23)",10125
"(11, -21)",2402350
"(11, -19)",-12617775
"(11, -17)",42504750
"(11, -15)",229869740
"(11, -13)",-1371056625
"(11, -11)",0
"(11, -9)",-3712313975
"(11, -7)",-8378184375
"(11, -5)",21309756210
"(11, -3)",2682566125
"(11, -1)",-5496890850
"(11, 1)",-5496890850
"(11, 3)",2682566125
"(11, 5)",21309756210
"(11, 7)",-8378184375
"(11, 9)",-3712313975
"(11, 11)",0
"(11, 13)",-1371056625
"(11, 15)",229869740
"(11, 17)",42504750
"(11, 19)",-12617775
"(11, 21)",2402350
"(11, 23)",10125
"(12, -26)",-275
"(12, -24)",0
"(12, -22)",-9312625
"(12, -20)",120569856
"(12, -18)",-1841697000
"(12, -16)",480320000
"(12, -14)",3712313975
"(12, -12)",0
"(12, -10)",14669416072
"(12, -8)",29212576000
"(12, -6)",-67807935000
"(12, -4)",33156710400
"(12, -2)",-50727898875
"(12, 0)",81436492800
"(12, 2)",-50727898875
"(12, 4)",33156710400
"(12, 6)",-67807935000
"(12, 8)",29212576000
"(12, 10)",14669416072
"(12, 12)",0
"(12, 14)",3712313975
"(12, 16)",480320000
"(12, 18)",-1841697000
"(12, 20)",120569856
"(12, 22)",-9312625
"(12, 24)",0
"(12, 26)",-275
"(13, -29)",0
"(13, -27)",39500
"(13, -25)",-9633492
"(13, -23)",42504750
"(13, -21)",421769900
"(13, -19)",5298420600
"(13, -17)",8378184375
"(13, -15)",-14669416072
"(13, -13)",0
"(13, -11)",-65711322900
"(13, -9)",104232901400
"(13, -7)",-70903390500
"(13, -5)",29915102088
"(13, -3)",160753285000
"(13, -1)",-100762673625
"(13, 1)",-100762673625
"(13, 3)",160753285000
"(13, 5)",29915102088
"(13, 7)",-70903390500
"(13, 9)",104232901400
"(13, 11)",-65711322900
"(13, 13)",0
"(13, 15)",-14669416072
"(13, 17)",8378184375
"(13, 19)",5298420600
"(13, 21)",421769900
"(13, 23)",42504750
"(13, 25)",-9633492
"(13, 27)",39500
"(13, 29)",0
"(14, -30)",-12160
"(14, -28)",0
"(14, -26)",123120000
"(14, -24)",421769900
"(14, -22)",344736000
"(14, -20)",-21309756210
"(14, -18)",-29212576000
"(14, -16)",65711322900
"(14, -14)",0
"(14, -12)",-34324928000
"(14, -10)",-117143262720
"(14, -8)",12673705500
"(14, -6)",-113241520000
"(14, -4)",-182967971850
"(14, -2)",-153432144000
"(14, 0)",-72305392600
"(14, 2)",-153432144000
"(14, 4)",-182967971850
"(14, 6)",-113241520000
"(14, 8)",12673705500
"(14, 10)",-117143262720
"(14, 12)",-34324928000
"(14, 14)",0
"(14, 16)",65711322900
"(14, 18)",-29212576000
"(14, 20)",-21309756210
"(14, 22)",344736000
"(14, 24)",421769900
"(14, 26)",123120000
"(14, 28)",0
"(14, 30)",-12160
"(15, -33)",0
"(15, -31)",-2402350
"(15, -29)",33345600
"(15, -27)",-1841697000
"(15, -25)",-1353391250
"(15, -23)",-2682566125
"(15, -21)",67807935000
"(15, -19)",-104232901400
"(15, -17)",34324928000
"(15, -15)",0
"(15, -13)",-188261119750
"(15, -11)",797180114775
"(15, -9)",-264534660000
"(15, -7)",-136296644625
"(15, -5)",1306284203125
"(15, -3)",-189862218000
"(15, -1)",951310327000
"(15, 1)",951310327000
"(15, 3)",-189862218000
"(15, 5)",1306284203125
"(15, 7)",-136296644625
"(15, 9)",-264534660000
"(15, 11)",797180114775
"(15, 13)",-188261119750
"(15, 15)",0
"(15, 17)",34324928000
"(15, 19)",-104232901400
"(15, 21)",67807935000
"(15, 23)",-2682566125
"(15, 25)",-1353391250
"(15, 27)",-1841697000
"(15, 29)",33345600
"(15, 31)",-2402350
"(15, 33)",0
