weight,"(6, 6)"
"(0, 0)",0
"(1, -1)",1
"(1, 1)",1
"(2, -4)",1
"(2, -2)",20
"(2, 0)",-90
"(2, 2)",20
"(2, 4)",1
"(3, -5)",-90
"(3, -3)",90
"(3, -1)",252
"(3, 1)",252
"(3, 3)",90
"(3, 5)",-90
"(4, -8)",20
"(4, -6)",252
"(4, -4)",-624
"(4, -2)",-220
"(4, 0)",-1800
"(4, 2)",-220
"(4, 4)",-624
"(4, 6)",252
"(4, 8)",20
"(5, -11)",1
"(5, -9)",252
"(5, -7)",-220
"(5, -5)",4975
"(5, -3)",-6930
"(5, -1)",6752
"(5, 1)",6752
"(5, 3)",-6930
"(5, 5)",4975
"(5, 7)",-220
"(5, 9)",252
"(5, 11)",1
"(6, -12)",90
"(6, -10)",-1800
"(6, -8)",-6930
"(6, -6)",1800
"(6, -4)",-198
"(6, -2)",5040
"(6, 0)",-8100
"(6, 2)",5040
"(6, 4)",-198
"(6, 6)",1800
"(6, 8)",-6930
"(6, 10)",-1800
"(6, 12)",90
"(7, -15)",-90
"(7, -13)",-220
"(7, -11)",6752
"(7, -9)",-198
"(7, -7)",30050
"(7, -5)",-22680
"(7, -3)",-24660
"(7, -1)",-5698
"(7, 1)",-5698
"(7, 3)",-24660
"(7, 5)",-22680
"(7, 7)",30050
"(7, 9)",-198
"(7, 11)",6752
"(7, 13)",-220
"(7, 15)",-90
"(8, -16)",-624
"(8, -14)",6752
"(8, -12)",5040
"(8, -10)",-22680
"(8, -8)",-32960
"(8, -6)",53352
"(8, -4)",-4400
"(8, -2)",51920
"(8, 0)",56160
"(8, 2)",51920
"(8, 4)",-4400
"(8, 6)",53352
"(8, 8)",-32960
"(8, 10)",-22680
"(8, 12)",5040
"(8, 14)",6752
"(8, 16)",-624
"(9, -19)",252
"(9, -17)",-6930
"(9, -15)",-8100
"(9, -13)",-24660
"(9, -11)",53352
"(9, -9)",-50949
"(9, -7)",-9990
"(9, -5)",19800
"(9, -3)",22680
"(9, -1)",-109098
"(9, 1)",-109098
"(9, 3)",22680
"(9, 5)",19800
"(9, 7)",-9990
"(9, 9)",-50949
"(9, 11)",53352
"(9, 13)",-24660
"(9, 15)",-8100
"(9, 17)",-6930
"(9, 19)",252
"(10, -22)",20
"(10, -20)",4975
"(10, -18)",5040
"(10, -16)",-5698
"(10, -14)",-4400
"(10, -12)",-9990
"(10, -10)",99500
"(10, -8)",-21010
"(10, -6)",-138600
"(10, -4)",-97547
"(10, -2)",135040
"(10, 0)",-166500
"(10, 2)",135040
"(10, 4)",-97547
"(10, 6)",-138600
"(10, 8)",-21010
"(10, 10)",99500
"(10, 12)",-9990
"(10, 14)",-4400
"(10, 16)",-5698
"(10, 18)",5040
"(10, 20)",4975
"(10, 22)",20
"(11, -23)",-220
"(11, -21)",-198
"(11, -19)",-5698
"(11, -17)",51920
"(11, -15)",19800
"(11, -13)",-21010
"(11, -11)",63504
"(11, -9)",192852
"(11, -7)",-318340
"(11, -5)",623700
"(11, -3)",84150
"(11, -1)",-155848
"(11, 1)",-155848
"(11, 3)",84150
"(11, 5)",623700
"(11, 7)",-318340
"(11, 9)",192852
"(11, 11)",63504
"(11, 13)",-21010
"(11, 15)",19800
"(11, 17)",51920
"(11, 19)",-5698
"(11, 21)",-198
"(11, 23)",-220
"(12, -26)",252
"(12, -24)",1800
"(12, -22)",-24660
"(12, -20)",56160
"(12, -18)",22680
"(12, -16)",-138600
"(12, -14)",192852
"(12, -12)",-56160
"(12, -10)",-607680
"(12, -8)",-3960
"(12, -6)",-19800
"(12, -4)",-157248
"(12, -2)",444420
"(12, 0)",-162000
"(12, 2)",444420
"(12, 4)",-157248
"(12, 6)",-19800
"(12, 8)",-3960
"(12, 10)",-607680
"(12, 12)",-56160
"(12, 14)",192852
"(12, 16)",-138600
"(12, 18)",22680
"(12, 20)",56160
"(12, 22)",-24660
"(12, 24)",1800
"(12, 26)",252
"(13, -29)",1
"(13, -27)",-6930
"(13, -25)",-22680
"(13, -23)",51920
"(13, -21)",-109098
"(13, -19)",-97547
"(13, -17)",-318340
"(13, -15)",-607680
"(13, -13)",728330
"(13, -11)",156902
"(13, -9)",332352
"(13, -7)",-395800
"(13, -5)",17820
"(13, -3)",-55440
"(13, -1)",-251548
"(13, 1)",-251548
"(13, 3)",-55440
"(13, 5)",17820
"(13, 7)",-395800
"(13, 9)",332352
"(13, 11)",156902
"(13, 13)",728330
"(13, 15)",-607680
"(13, 17)",-318340
"(13, 19)",-97547
"(13, 21)",-109098
"(13, 23)",51920
"(13, 25)",-22680
"(13, 27)",-6930
"(13, 29)",1
"(14, -30)",-1800
"(14, -28)",30050
"(14, -26)",-4400
"(14, -24)",-109098
"(14, -22)",135040
"(14, -20)",623700
"(14, -18)",-3960
"(14, -16)",156902
"(14, -14)",601000
"(14, -12)",-55440
"(14, -10)",-453600
"(14, -8)",547670
"(14, -6)",-493200
"(14, -4)",895202
"(14, -2)",-113960
"(14, 0)",-2704500
"(14, 2)",-113960
"(14, 4)",895202
"(14, 6)",-493200
"(14, 8)",547670
"(14, 10)",-453600
"(14, 12)",-55440
"(14, 14)",601000
"(14, 16)",156902
"(14, 18)",-3960
"(14, 20)",623700
"(14, 22)",135040
"(14, 24)",-109098
"(14, 26)",-4400
"(14, 28)",30050
"(14, 30)",-1800
"(15, -33)",90
"(15, -31)",-198
"(15, -29)",53352
"(15, -27)",22680
"(15, -25)",-166500
"(15, -23)",84150
"(15, -21)",-19800
"(15, -19)",332352
"(15, -17)",-55440
"(15, -15)",447750
"(15, -13)",-1005840
"(15, -11)",558252
"(15, -9)",-623700
"(15, -7)",-1736370
"(15, -5)",1253700
"(15, -3)",607680
"(15, -1)",1465002
"(15, 1)",1465002
"(15, 3)",607680
"(15, 5)",1253700
"(15, 7)",-1736370
"(15, 9)",-623700
"(15, 11)",558252
"(15, 13)",-1005840
"(15, 15)",447750
"(15, 17)",-55440
"(15, 19)",332352
"(15, 21)",-19800
"(15, 23)",84150
"(15, 25)",-166500
"(15, 27)",22680
"(15, 29)",53352
"(15, 31)",-198
"(15, 33)",90
