numerator,(-377*x+843)/2
denominator,46800
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",(-317811*x-710647)/2
"(1, 1)",1
"(2, -4)",(225851433717*x+505019158607)/2
"(2, -2)",16672365060*x+37280541620
"(2, 0)",52603200*x+117624000
"(2, 2)",-104920
"(2, 4)",(317811*x-710647)/2
"(3, -5)",-37382253667200*x-83589260352000
"(3, -3)",-2555047890720*x-5713260769440
"(3, -1)",-514390941792*x-1150213139292
"(3, 1)",4199935194*x+9394577682
"(3, 3)",16079040
"(3, 5)",-52603200*x+117624000
"(4, -8)",-11848166212793820*x-26493305060523220
"(4, -6)",-2985185736752310*x-6675078232840962
"(4, -4)",-1066770616440672*x-2385371614770144
"(4, -2)",141770039205210*x+317007443598830
"(4, 0)",-5519127744000*x-12341110080000
"(4, 2)",196738554870*x+439028616770
"(4, 4)",6713239104
"(4, 6)",-4199935194*x+9394577682
"(4, 8)",-16672365060*x+37280541620
"(5, -11)",-80250321908183544*x-179445175002939041
"(5, -9)",365550383811594618*x+817395507403864242
"(5, -7)",-139669893763495680*x-312311376865349020
"(5, -5)",(-23744514920221875*x-53094349454584375)/2
"(5, -3)",1061797350552120*x+2374251047272230
"(5, -1)",1956154221372*x+4373931219788
"(5, 1)",25837031651808*x+57773346800312
"(5, 3)",1096588866555*x+2445365306895
"(5, 5)",74712690625
"(5, 7)",-196738554870*x+439028616770
"(5, 9)",514390941792*x-1150213139292
"(5, 11)",(-225851433717*x+505019158607)/2
"(6, -12)",1815737118396495840*x+4060111626004148640
"(6, -10)",3922146054762624000*x+8770185196131840000
"(6, -8)",-778225790900158965*x-1740165770296283295
"(6, -6)",268075624694342400*x+599435319929644800
"(6, -4)",59163978795166440*x+132294678407047992
"(6, -2)",53969897612816640*x+120680362574516640
"(6, 0)",845808956928000*x+1891281000960000
"(6, 2)",-440657200554480*x-985679090395440
"(6, 4)",-186842149416*x-790113528312
"(6, 6)",-1687012876800
"(6, 8)",-1096588866555*x+2445365306895
"(6, 10)",5519127744000*x-12341110080000
"(6, 12)",2555047890720*x-5713260769440
"(7, -15)",26565586421782075200*x+59402457101250120000
"(7, -13)",-100748452854326316000*x-225280389210206359780
"(7, -11)",-18361007076108178404*x-41056459957532541652
"(7, -9)",191942791751198592*x+429197130147289872
"(7, -7)",540990279273935400*x+1209691039627905800
"(7, -5)",988198025980838400*x+2209677960252672000
"(7, -3)",59561401916747250*x+133183326571443210
"(7, -1)",-102508430901537024*x-229215949827545632
"(7, 1)",20667878761678512*x+46215426952535792
"(7, 3)",2693466872478720*x+6022400199245940
"(7, 5)",171671462726400*x+377650282464000
"(7, 7)",-3404478002800
"(7, 9)",186842149416*x-790113528312
"(7, 11)",-25837031651808*x+57773346800312
"(7, 13)",-141770039205210*x+317007443598830
"(7, 15)",37382253667200*x-83589260352000
"(8, -16)",758097338261714234784*x+1695157181914845284064
"(8, -14)",-1390109291923695876*x-3108378872895483148
"(8, -12)",313205687500052365200*x+700349208189673733040
"(8, -10)",-121009611946147142400*x-270585718242446880000
"(8, -8)",40318310397282228480*x+90154482786616648960
"(8, -6)",-13960168831441064232*x-31215886484636735352
"(8, -4)",-14874512513410633200*x-33260420982389243600
"(8, -2)",-173125389749102700*x-387120196197850180
"(8, 0)",353137859235532800*x+789638036368896000
"(8, 2)",8912402188554540*x+19929826622958980
"(8, 4)",-20641809176960400*x-46062882471508400
"(8, 6)",5893762838184*x+101030872255992
"(8, 8)",-253725078095360
"(8, 10)",-171671462726400*x+377650282464000
"(8, 12)",440657200554480*x-985679090395440
"(8, 14)",-1956154221372*x+4373931219788
"(8, 16)",1066770616440672*x-2385371614770144
"(9, -19)",2121413288261618909376*x+4743624320924336544732
"(9, -17)",-754563100681223555085*x-1687254386436233739705
"(9, -15)",-601070752005055488000*x-1344035060770222080000
"(9, -13)",-1914044591124468184590*x-4279933817720100966390
"(9, -11)",-18148553711108009280*x-40581399791467211472
"(9, -9)",(506744764765587422451*x+1133115741262481175927)/2
"(9, -7)",85466412380962800720*x+191108707870107450510
"(9, -5)",46235485911704544000*x+103385689766642400000
"(9, -3)",-8270912528711239680*x-18494323075201639680
"(9, -1)",7740049051613481525*x+17307278145326989473
"(9, 1)",-368131275023053464*x-823215264101655078
"(9, 3)",67530925981733760*x+151055790331985280
"(9, 5)",-46865644353216000*x-105085728733440000
"(9, 7)",1193676244616115*x+2131296957769815
"(9, 9)",-1594484661530241
"(9, 11)",-5893762838184*x+101030872255992
"(9, 13)",-2693466872478720*x+6022400199245940
"(9, 15)",-845808956928000*x+1891281000960000
"(9, 17)",-1061797350552120*x+2374251047272230
"(9, 19)",2985185736752310*x-6675078232840962
"(10, -22)",8419863774606617436480*x+18827387761308364181720
"(10, -20)",(16873968294510914803125*x+37731340156702596959375)/2
"(10, -18)",-38353546269512507320560*x-85761136636813436270640
"(10, -16)",-14687668546781451054288*x-32842625301588875431792
"(10, -14)",14654165253665966745600*x+32767709660712419178400
"(10, -12)",-762816029826745475685*x-1705708497018353170815
"(10, -10)",1245637252714839562500*x+2785329572387496312500
"(10, -8)",165794493378854049840*x+370727757558032834960
"(10, -6)",-111403778019928430400*x-249106419879802371600
"(10, -4)",(-59994588833134005141*x-134151966625410702319)/2
"(10, -2)",-205239700906350240*x-458912863580156960
"(10, 0)",11956737935610000000*x+26736003568950000000
"(10, 2)",-2710821360907695360*x-6061579546288735040
"(10, 4)",(-1952655890318366259*x-4365893758584220681)/2
"(10, 6)",-115054103878950600*x-256567727999423400
"(10, 8)",-10536739677413040*x-24604218948658960
"(10, 10)",-7838855500375000
"(10, 12)",-1193676244616115*x+2131296957769815
"(10, 14)",20641809176960400*x-46062882471508400
"(10, 16)",-20667878761678512*x+46215426952535792
"(10, 18)",-53969897612816640*x+120680362574516640
"(10, 20)",(23744514920221875*x-53094349454584375)/2
"(10, 22)",11848166212793820*x-26493305060523220
"(11, -23)",99255990993150175950090*x+221943143034790656399170
"(11, -21)",-42044704039035487236096*x-94014816325143320842512
"(11, -19)",72847329562763343173040*x+162891580881668868208112
"(11, -17)",-6333745003479467290080*x-14162684379929732409880
"(11, -15)",33351165048591595296000*x+74575472177466293280000
"(11, -13)",7653696934913398686720*x+17114186625649611112160
"(11, -11)",-9663306305895779328792*x-21607809787470911619384
"(11, -9)",-3597749995978067941440*x-8044813556340054538668
"(11, -7)",-628988576291146336590*x-1406461215984693180790
"(11, -5)",257619209151324384000*x+576054066184047360000
"(11, -3)",-93404397114467712000*x-208858549939066118400
"(11, -1)",-112432823078423798496*x-251407734053199140872
"(11, 1)",47472484317514942140*x+106152409540372101452
"(11, 3)",-4990760296987420800*x-11159091485124777600
"(11, 5)",-351128528006256000*x-786768467612400000
"(11, 7)",368868526910688480*x+828773356479424340
"(11, 9)",-118918487695947966*x-243269007472070502
"(11, 11)",60811654133404944
"(11, 13)",10536739677413040*x-24604218948658960
"(11, 15)",46865644353216000*x-105085728733440000
"(11, 17)",-8912402188554540*x+19929826622958980
"(11, 19)",102508430901537024*x-229215949827545632
"(11, 21)",-59163978795166440*x+132294678407047992
"(11, 23)",139669893763495680*x-312311376865349020
"(12, -26)",-259777283604043889556054*x-580879665148883698845282
"(12, -24)",-190507138462160343532800*x-425986911800355275308800
"(12, -22)",-42327128894463810492030*x-94646337500416602102810
"(12, -20)",-250956007114294442188800*x-561154691269483204608000
"(12, -18)",-47998920868669862582400*x-107328849908979141636480
"(12, -16)",81651449981244678607800*x+182578192619486043311400
"(12, -14)",80911316529684266252562*x+180923203909344540573462
"(12, -12)",-17152647412574222714880*x-38354485608753736181760
"(12, -10)",6078117927418436390400*x+13591084860971831616000
"(12, -8)",-6207484655188862884800*x-13880357658467475320640
"(12, -6)",2279526131182139798400*x+5097175365923331523200
"(12, -4)",-3453229385181442234368*x-7721655824629653274368
"(12, -2)",799607608621122147210*x+1787977588498411662270
"(12, 0)",-88742275760885760000*x-198433202620723200000
"(12, 2)",-98567247059124673050*x-220408096749461201070
"(12, 4)",28195169178626626176*x+63068046260368076928
"(12, 6)",3163367093296924800*x+7059158690189500800
"(12, 8)",19603478316726720*x+82898711390495040
"(12, 10)",7905393908006400*x-20572892034240000
"(12, 12)",107942440082780160
"(12, 14)",118918487695947966*x-243269007472070502
"(12, 16)",115054103878950600*x-256567727999423400
"(12, 18)",-67530925981733760*x+151055790331985280
"(12, 20)",-353137859235532800*x+789638036368896000
"(12, 22)",-59561401916747250*x+133183326571443210
"(12, 24)",-268075624694342400*x+599435319929644800
"(12, 26)",-365550383811594618*x+817395507403864242
"(13, -29)",(114059301025943970552219*x+255044350560122222180447)/2
"(13, -27)",553043823624728679133800*x+1236643584161297469434970
"(13, -25)",-702259962397533403718400*x-1570301013797330881248000
"(13, -23)",123031047761432775001440*x+275105786137587013907480
"(13, -21)",261619126250359488512733*x+584998150509903549225993
"(13, -19)",693794527949121446427216*x+1551371726911613042496463
"(13, -17)",-262764300619791182583150*x-587558838246048775767190
"(13, -15)",460173462875412249600*x+1028979144484721664000
"(13, -13)",-21062767773323443053315*x-47097780535629618973255
"(13, -11)",-14383991852228465647752*x-32163583572915387005062
"(13, -9)",-28428048088191792814176*x-63567048017735319576288
"(13, -7)",20631810398379030115200*x+46134130406542453719200
"(13, -5)",-63539620935409382400*x-142078788424969344000
"(13, -3)",3692167375516096014720*x+8255934347942838401040
"(13, -1)",1173796502535896537298*x+2624692017840235054058
"(13, 1)",-515872097838112007616*x-1153532465224192541068
"(13, 3)",458927162834749900200*x+1026169097835743508360
"(13, 5)",-19585378969594214400*x-43793838883372032000
"(13, 7)",22771599427661931600*x+50789007295760406800
"(13, 9)",3917623330921966848*x+8938971160299947328
"(13, 11)",540604816143871869*x+1299348274548870377
"(13, 13)",132549016700639330
"(13, 15)",-7905393908006400*x-20572892034240000
"(13, 17)",-368868526910688480*x+828773356479424340
"(13, 19)",(1952655890318366259*x-4365893758584220681)/2
"(13, 21)",368131275023053464*x-823215264101655078
"(13, 23)",173125389749102700*x-387120196197850180
"(13, 25)",-988198025980838400*x+2209677960252672000
"(13, 27)",778225790900158965*x-1740165770296283295
"(13, 29)",80250321908183544*x-179445175002939041
"(14, -30)",-2787261327373375329984000*x-6232505799063162590400000
"(14, -28)",-384453118995184370203800*x-859663308235047895049800
"(14, -26)",10570527673475917074720000*x+23636418435934851268117600
"(14, -24)",-5500443006513240828350139*x-12299364468926924986363953
"(14, -22)",1926436862425270078147680*x+4307643778744314270127840
"(14, -20)",249786054251213132016000*x+558538597137165175440000
"(14, -18)",-20138637710535756272640*x-45031362895053653370240
"(14, -16)",-398563182630422577736995*x-891214369690415699798857
"(14, -14)",-56760700101421302168000*x-126920783877759876536000
"(14, -12)",-452123614470753440003880*x-1010979136165927937762040
"(14, -10)",-103681736885909564928000*x-231839411589710346240000
"(14, -8)",9511800998945605471605*x+21269033731971883268255
"(14, -6)",-6249182289105121470000*x-13973594623875821593200
"(14, -4)",-356104603859746354704*x-796272652942314077488
"(14, -2)",10755184570189264558080*x+24049337455906087709440
"(14, 0)",-179086437276888960000*x-400448320601347200000
"(14, 2)",-2168473839675309479040*x-4848922595860055296640
"(14, 4)",-230157433694225397360*x-514645426285724774992
"(14, 6)",-282598544260467302400*x-631870228904884024800
"(14, 8)",-17447009250893855685*x-39072556913127163855
"(14, 10)",-18011769869253888000*x-39623067636122880000
"(14, 12)",-4383898025172807960*x-6957458209292546760
"(14, 14)",357197832053776000
"(14, 16)",-540604816143871869*x+1299348274548870377
