numerator,(5*x-11)/2
denominator,6600
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",(-55*x-123)/2
"(1, 1)",1
"(2, -4)",(6765*x+15127)/2
"(2, -2)",-20900*x-46740
"(2, 0)",4950*x+10890
"(2, 2)",760
"(2, 4)",(55*x-123)/2
"(3, -5)",-603900*x-1350360
"(3, -3)",-638550*x-1428030
"(3, -1)",-93060*x-206208
"(3, 1)",-52470*x-113958
"(3, 3)",23220
"(3, 5)",-4950*x+10890
"(4, -8)",2570700*x+5748260
"(4, -6)",6360750*x+14223042
"(4, -4)",-8675040*x-19400544
"(4, -2)",4601850*x+10291190
"(4, 0)",3762000*x+8276400
"(4, 2)",6050*x-153810
"(4, 4)",315456
"(4, 6)",52470*x-113958
"(4, 8)",20900*x-46740
"(5, -11)",-416020*x-930249
"(5, -9)",11393910*x+25477542
"(5, -7)",3857700*x+8627440
"(5, -5)",(108200125*x+241974825)/2
"(5, -3)",17295300*x+38785410
"(5, -1)",-27158340*x-61069028
"(5, 1)",9160360*x+21473472
"(5, 3)",-2937825*x-7198965
"(5, 5)",-1967275
"(5, 7)",-6050*x-153810
"(5, 9)",93060*x-206208
"(5, 11)",(-6765*x+15127)/2
"(6, -12)",78541650*x+175624470
"(6, -10)",-458964000*x-1026273600
"(6, -8)",378647775*x+846687285
"(6, -6)",-485298000*x-1085302800
"(6, -4)",-139268250*x-310982238
"(6, -2)",-70725600*x-156718080
"(6, 0)",114939000*x+252865800
"(6, 2)",-39877200*x-86608080
"(6, 4)",-12985830*x-23976738
"(6, 6)",17647200
"(6, 8)",2937825*x-7198965
"(6, 10)",-3762000*x+8276400
"(6, 12)",638550*x-1428030
"(7, -15)",74274750*x+166083390
"(7, -13)",-566021500*x-1265662560
"(7, -11)",-1153882620*x-2580168028
"(7, -9)",1457988840*x+3260121012
"(7, -7)",1718312750*x+3842772150
"(7, -5)",-1135490400*x-2539635120
"(7, -3)",189065250*x+425189970
"(7, -1)",56205380*x+129955392
"(7, 1)",-117142410*x-264016858
"(7, 3)",-65211300*x-152711280
"(7, 5)",7306200*x+57629880
"(7, 7)",-62484100
"(7, 9)",12985830*x-23976738
"(7, 11)",-9160360*x+21473472
"(7, 13)",-4601850*x+10291190
"(7, 15)",603900*x-1350360
"(8, -16)",1067029920*x+2385951456
"(8, -14)",3349636180*x+7490016972
"(8, -12)",4834170000*x+10809511920
"(8, -10)",-2034153000*x-4548840120
"(8, -8)",-1114220800*x-2491802880
"(8, -6)",-1406734560*x-3150067968
"(8, -4)",3497406000*x+7821304400
"(8, -2)",143192500*x+303572460
"(8, 0)",1561507200*x+3435315840
"(8, 2)",458096100*x+1019262460
"(8, 4)",4598000*x-116895600
"(8, 6)",112693680*x+303178032
"(8, 8)",40517120
"(8, 10)",-7306200*x+57629880
"(8, 12)",39877200*x-86608080
"(8, 14)",27158340*x-61069028
"(8, 16)",8675040*x-19400544
"(9, -19)",-782319780*x-1749320208
"(9, -17)",-2130259725*x-4763406465
"(9, -15)",-14022558000*x-31355359200
"(9, -13)",8210055150*x+18358297470
"(9, -11)",-15268057200*x-34140829968
"(9, -9)",(-8346135105*x-18664993053)/2
"(9, -7)",-199405800*x-459326970
"(9, -5)",-695475000*x-1525253400
"(9, -3)",-2160853200*x-4788149760
"(9, -1)",-3442113675*x-7622734023
"(9, 1)",-2064805380*x-4492487898
"(9, 3)",-1218353400*x-2646104760
"(9, 5)",-827244000*x-1824728400
"(9, 7)",368034975*x+830311155
"(9, 9)",151747911
