"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)","(-121, -55)"
"(1, 1)","(121, -55)"
"(2, -4)","(-15004, -6710)"
"(2, -2)","(-214720, -97600)"
"(2, 0)","(0, -50100)"
"(2, 2)","(214720, -97600)"
"(2, 4)","(15004, -6710)"
"(3, -5)","(-6888750, -3081150)"
"(3, -3)","(123840090, 56290950)"
"(3, -1)","(20591868, 23651820)"
"(3, 1)","(-20591868, 23651820)"
"(3, 3)","(-123840090, 56290950)"
"(3, 5)","(6888750, -3081150)"
"(4, -8)","(-26625280, -11907200)"
"(4, -6)","(1985725368, 888310560)"
"(4, -4)","(-1169524224, -531601920)"
"(4, -2)","(5398647320, 2677631200)"
"(4, 0)","(0, 772896000)"
"(4, 2)","(-5398647320, 2677631200)"
"(4, 4)","(1169524224, -531601920)"
"(4, 6)","(-1985725368, 888310560)"
"(4, 8)","(26625280, -11907200)"
"(5, -11)","(-1845371, -825275)"
"(5, -9)","(4518525132, 2020863300)"
"(5, -7)","(36157479820, 16211517500)"
"(5, -5)","(375963878125, 170892671875)"
"(5, -3)","(407884428270, 189555798750)"
"(5, -1)","(248391587488, 114514997600)"
"(5, 1)","(-248391587488, 114514997600)"
"(5, 3)","(-407884428270, 189555798750)"
"(5, 5)","(-375963878125, 170892671875)"
"(5, 7)","(-36157479820, 16211517500)"
"(5, 9)","(-4518525132, 2020863300)"
"(5, 11)","(1845371, -825275)"
"(6, -12)","(15356171160, 6867495900)"
"(6, -10)","(106273200000, 47533104000)"
"(6, -8)","(979029989520, 440859845700)"
"(6, -6)","(7537115836800, 3425961744000)"
"(6, -4)","(9941339230152, 4349301221340)"
"(6, -2)","(10451525525760, 4772583302400)"
"(6, 0)","(0, 2774843973000)"
"(6, 2)","(-10451525525760, 4772583302400)"
"(6, 4)","(-9941339230152, 4349301221340)"
"(6, 6)","(-7537115836800, 3425961744000)"
"(6, 8)","(-979029989520, 440859845700)"
"(6, 10)","(-106273200000, 47533104000)"
"(6, 12)","(-15356171160, 6867495900)"
"(7, -15)","(-847316250, -378931350)"
"(7, -13)","(700191100180, 313137120100)"
"(7, -11)","(469729539488, 211903696480)"
"(7, -9)","(-13363444720098, -5904803716770)"
"(7, -7)","(9088588651450, 4131176659750)"
"(7, -5)","(70499732985000, 29606590225800)"
"(7, -3)","(80378979482340, 36031855908300)"
"(7, -1)","(21720583804018, 26013801031330)"
"(7, 1)","(-21720583804018, 26013801031330)"
"(7, 3)","(-80378979482340, 36031855908300)"
"(7, 5)","(-70499732985000, 29606590225800)"
"(7, 7)","(-9088588651450, 4131176659750)"
"(7, 9)","(13363444720098, -5904803716770)"
"(7, 11)","(-469729539488, 211903696480)"
