numerator,1
denominator,1500
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",(36980721202305795113771570639160005433744789421183297606931129551611796204863981175404716397761416164866879758199127272996678688960979491491325488440762315308923221516372590142418216314346942518179755579280498519902663105195111817455362870025102375784973910902812632201983072110518786237827829701917*x+82691406465323510438120349868117402800426093124940565398169229316276057183171987294504466982460950433094977203676324232042432915514949470044602296546774477840104795854272610873272943358600713359302401336637102034504583418473029548549248209257449567435870222584906614824852078961154595373727064252163)/2
"(1, 1)",(-36980721202305795113771570639160005433744789421183297606931129551611796204863981175404716397761416164866879758199127272996678688960979491491325488440762315308923221516372590142418216314346942518179755579280498519902663105195111817455362870025102375784973910902812632201983072110518786237827829701917*x+82691406465323510438120349868117402800426093124940565398169229316276057183171987294504466982460950433094977203676324232042432915514949470044602296546774477840104795854272610873272943358600713359302401336637102034504583418473029548549248209257449567435870222584906614824852078961154595373727064252163)/2
"(2, -4)",-84622710217994660099617043162049620193960568047612669004034166993196204095157439090616349403426017376186872072172427359250709814562328512983853854611967879574149200603389511109647437455146498838305816698417502784531028592319312270504713205231820170589076777515884807005250525269115744597271261846203968398735777278695363317*x-189222132487702107254926329876777440757478448421468255117752271737930191649519025988896297831186383713655614578908309950309595734675819868234482520012082561315994896039037848669024092443870465646829796312168486725180216493469874991235371937316581329584610635422021966459461663736454681779927029487420817295331996309116378926
"(2, -2)",10957448735839336452074414442482239962813238264322833871741496635883044294746250489667328017407489265781573489268877127658871854030425604883241877830483625305558523638976935615469283226854964234070302457589738608613978105636925330608054977472416212658343503999736938893635356283967216388433619074029275214348098466660*x+24501600233305892434516608417890991818288824033861023151595440695533154152927755385927082387538789557973424052088429311452478675086712736398177308729652060619804082108441414102454883109335211256605326636022786684828903859147182273851833723609105514743611989858426278851522280806943269920702316238813525443215133651740
"(2, 0)",-34379679743587345595589748879681290571654578559036513360309477275019276429910747599707280250579704080556831331885146984008749576302900646241881055863001150368005342305925067493580207007956134579221171403656362930785517073956433268807137426758667560101049281844257342837406489897082108084462757896334777827060
"(2, 2)",-10957448735839336452074414442482239962813238264322833871741496635883044294746250489667328017407489265781573489268877127658871854030425604883241877830483625305558523638976935615469283226854964234070302457589738608613978105636925330608054977472416212658343503999736938893635356283967216388433619074029275214348098466660*x+24501600233305892434516608417890991818288824033861023151595440695533154152927755385927082387538789557973424052088429311452478675086712736398177308729652060619804082108441414102454883109335211256605326636022786684828903859147182273851833723609105514743611989858426278851522280806943269920702316238813525443215133651740
"(2, 4)",84622710217994660099617043162049620193960568047612669004034166993196204095157439090616349403426017376186872072172427359250709814562328512983853854611967879574149200603389511109647437455146498838305816698417502784531028592319312270504713205231820170589076777515884807005250525269115744597271261846203968398735777278695363317*x-189222132487702107254926329876777440757478448421468255117752271737930191649519025988896297831186383713655614578908309950309595734675819868234482520012082561315994896039037848669024092443870465646829796312168486725180216493469874991235371937316581329584610635422021966459461663736454681779927029487420817295331996309116378926
"(3, -5)",35182636270058645397698944589592027869542472778910500569165679087562623001710071298645781052513191760759990401428657876009464718432100321664293522672174377740841105116687166492408191111631237073561439053492541149027571033734155534997089767177075312671115791281593436797984470407469338865628050448653165209897262076709221436624599270*x+78670766327500779986080032127229855946461342228469338307867669650705759744900545865445104675748995623137410054407050658482695954894956664608380416298346433692255746156245725461369708339307804280736554372199712713368039565911829866772208458923030172253808797691061802258429779487289502242194957650676494331991530325880997669270192590
