numerator,(139583862445*x-312119004989)/2
denominator,18446400
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",(-43566776258854844738105*x-97418273275323406890123)/2
"(1, 1)",1
"(2, -4)",(4244200115309993198876969489421897548446236915*x+9490319967945590707227145216742229030194955127)/2
"(2, -2)",7124381868838229862058294269472971531800*x+15930602156389272639243359365862481700680
"(2, 0)",-3643129196205705942163208889900*x-8146284533530127396900644927980
"(2, 2)",-327055728269094320
"(2, 4)",(43566776258854844738105*x-97418273275323406890123)/2
"(3, -5)",354907355613276767671604377208134206806946822895567800*x+793596972865978415743885634122591502746867965753269520
"(3, -3)",-383498968343238418095419259338497435576162794480900*x-857529762516521004140802768662965238001835500659340
"(3, -1)",2006559340743599842516795672938719601155792040*x+4486803086789852659291285315130921846335284612
"(3, 1)",-93636385360719042459511352040229259670*x-209377322833934037264301436021399133138
"(3, 3)",17605111108733603182905113160
"(3, 5)",3643129196205705942163208889900*x-8146284533530127396900644927980
"(4, -8)",-694044979816241957653510123926544935132615998502303149600411400*x-1551931754311586515749474684291477615726823883576444186665289320
"(4, -6)",9121894977584021787568214708704602288484214854027426481031450*x+20397177253491793067574665910620295930630200899755642278911362
"(4, -4)",6692726412030319934127842970458965276483409730787761840960*x+14965391212108061659386310852813501020725063999369426076096
"(4, -2)",-81916810419976929355704243021708379050568659707539950*x-183171556599031510621689603803874592228143045761962630
"(4, 0)",3297596492865277892416087450309652151389105988000*x+7373649920411661620486605987807666081483399197600
"(4, 2)",-11477410485556839676241069219742655567948850*x-25664270051370201198090550410456582315935130
"(4, 4)",-307239919348865710142452365399947904
"(4, 6)",93636385360719042459511352040229259670*x-209377322833934037264301436021399133138
"(4, 8)",-7124381868838229862058294269472971531800*x+15930602156389272639243359365862481700680
"(5, -11)",-206731323334214016173470059862446359251124375209268342788743693376220*x-462265292053791015357530021379299056055642142037506209175851598810249
"(5, -9)",-195475546199712786281785309355159654261334808178812539972125547280590*x-437096609241458471892716883766984035571086369040371498544709617554138
"(5, -7)",1118109511174956604946794078025370563416429042494533049232726668600*x+2500168873276263721828507161816111716774103880572190630505667683620
"(5, -5)",(-14060278672956426667318823625869514070993430850596854777058576125*x-31439738895321103996525725672421118350595705207550247273350809175)/2
"(5, -3)",3070990603536458729979319875652284877861508995031135990379900*x+6866943747770627779505758771646895595187243870720156642972130
"(5, -1)",-1746503811016571226450772595429383646169665223922268515140*x-3905301244395499345291624923314553138247638854064096594668
"(5, 1)",-5908808984851749985193804285544100703786197771269040*x-13212498556190038002804994897601745981010325146692168
"(5, 3)",259726818552155607589551082697240768322831857025*x+580766821721394890233437208548507470443859587755
"(5, 5)",322729379594587472342156589753698302890725
"(5, 7)",11477410485556839676241069219742655567948850*x-25664270051370201198090550410456582315935130
"(5, 9)",-2006559340743599842516795672938719601155792040*x+4486803086789852659291285315130921846335284612
"(5, 11)",(-4244200115309993198876969489421897548446236915*x+9490319967945590707227145216742229030194955127)/2
"(6, -12)",37359807298866200421215523994366816498179837670439275320020145057122150700*x+83539068746557625917349513487843740156514223523568743850238952682528585660
"(6, -10)",-321246156293697694908841230724865281985363034805123208209928928250536000*x-718328242983229941431016936192043512036010794755771707455228252964502400
"(6, -8)",-25302138183573241659615586025321117633177074623311927693220952230284175*x-56577300954562821070419777391421444493851461452642159586082278004215995
"(6, -6)",430164087788935666308372357203338140476621959476094536609636519708000*x+961876141775247357187470521719250147223422940283457815300130972320800
"(6, -4)",1315089897206972278087405474519922368615989033104427646523170692300*x+2940630406678000832633830270485833491861261939280587206683277853692
"(6, -2)",1222827661371241919820469044420003688135316714928129820995547200*x+2734325775593190631268025242031633440385191213639404430569916160
"(6, 0)",-1123259148726165129806835256093674313231490098931478350049000*x-2511683812900251537705737871215723153811604692913096976509800
"(6, 2)",-117331471104123007535496807177869935137789661952173485600*x-262361145288871406277213628904435784657662437525305903840
"(6, 4)",3503484921190166361181418129381328711249977847409620*x+7834030381555477124911735932891980937488288643286692
"(6, 6)",-19747345327232277273541891331193858732270379200
