numerator,1
denominator,8400
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",(11134440686037945431275307725879050193937010766294683584675470347262708768015884678565655*x+24897366265420239515908514869339726357734886657061061230827151677069434174002906913330631)/2
"(1, 1)",(-11134440686037945431275307725879050193937010766294683584675470347262708768015884678565655*x+24897366265420239515908514869339726357734886657061061230827151677069434174002906913330631)/2
"(2, -4)",-542348992760161999939517529958509593369216283324722477131527884116969803950467946597700156511780815537573979955*x-1212729215340263527836453579531272784574961085728664932276424528332430821178350481577730379999781322185350294122
"(2, -2)",-81984234845814688807273456041434804296237202490829482188641532369090134616740039530145811275549501246400*x-183322322198548633962088856465042647594257850944960003381176626106082736832615708186320618801176398649280
"(2, 0)",2452104078994779771994472179621844949782097730992021191278423770495648523655351891659237995656700
"(2, 2)",81984234845814688807273456041434804296237202490829482188641532369090134616740039530145811275549501246400*x-183322322198548633962088856465042647594257850944960003381176626106082736832615708186320618801176398649280
"(2, 4)",542348992760161999939517529958509593369216283324722477131527884116969803950467946597700156511780815537573979955*x-1212729215340263527836453579531272784574961085728664932276424528332430821178350481577730379999781322185350294122
"(3, -5)",-53415134886495448072840959304121636080110221132026126917644549244597837635463647728210683660327441158464808419494276750*x-119439872633524335240522653718898888367154695394951439295115958847299219419026345034643636897347201533655876564064387050
"(3, -3)",-194230216969219492820561678945751006227545197923607568861882849877698367794347037077621991791112040363618135039550*x-434311968427707963752764603136362756443904117529031622051416677810723228675741347742067537083091754332848788682910
"(3, -1)",13984712637382117309363973654469657672439814416007886577312259738092792037606101821699193429697488958117404590*x+31270768008562469825931774062318773282582604063967225449010808100425651138915052083508422262660442438089752266
"(3, 1)",-13984712637382117309363973654469657672439814416007886577312259738092792037606101821699193429697488958117404590*x+31270768008562469825931774062318773282582604063967225449010808100425651138915052083508422262660442438089752266
"(3, 3)",194230216969219492820561678945751006227545197923607568861882849877698367794347037077621991791112040363618135039550*x-434311968427707963752764603136362756443904117529031622051416677810723228675741347742067537083091754332848788682910
"(3, 5)",53415134886495448072840959304121636080110221132026126917644549244597837635463647728210683660327441158464808419494276750*x-119439872633524335240522653718898888367154695394951439295115958847299219419026345034643636897347201533655876564064387050
"(4, -8)",7986762594477867110666565982972862997859379349305396935763826256405601045335454600097157477984221441105578496174766386848060800*x+17858944081405097333809260753119822693451247498747820795066269602429938054128591922791515615257035134780367666151909718971710720
"(4, -6)",2056881417227089633002064875372461284381006583909395036359316170771017893574176809594538152871811138943481725442429482784320*x+4599326670575879404330197648971705350107168317921351188976612917526303907863028751980760990937924929375189390705900911120516
"(4, -4)",-54454727868136541869970724836560966523969505715275849411734016387589333006717906504142158504390084215990688753043767541760*x-121764473209405511848218867035568357388403403715757142487863631176214961819807726919516981413022522224079926566104372068352
"(4, -2)",3521172858513874786102929635490261013904448186178644362435289186293308999698576689059331292975224943132234791609264800*x+7873581872503615069551728348889629913190377174350684144573074926778744391395612249869127708053734105958841930320106780
"(4, 0)",76524906589011599247236518032637689378298708146817492924273257043461672280432718647548027182491341710746102848000
"(4, 2)",-3521172858513874786102929635490261013904448186178644362435289186293308999698576689059331292975224943132234791609264800*x+7873581872503615069551728348889629913190377174350684144573074926778744391395612249869127708053734105958841930320106780
"(4, 4)",54454727868136541869970724836560966523969505715275849411734016387589333006717906504142158504390084215990688753043767541760*x-121764473209405511848218867035568357388403403715757142487863631176214961819807726919516981413022522224079926566104372068352
"(4, 6)",-2056881417227089633002064875372461284381006583909395036359316170771017893574176809594538152871811138943481725442429482784320*x+4599326670575879404330197648971705350107168317921351188976612917526303907863028751980760990937924929375189390705900911120516
"(4, 8)",-7986762594477867110666565982972862997859379349305396935763826256405601045335454600097157477984221441105578496174766386848060800*x+17858944081405097333809260753119822693451247498747820795066269602429938054128591922791515615257035134780367666151909718971710720
"(5, -11)",(105669404774611715288976715279114412914016727857504038075253939553685973963736126838160545577934696597611036474639654675860696300403275*x+236283972217972638898763409860868693662006448277680948859626447812383346423226100208404146880279507708336015261343860694719851860183381)/2
"(5, -9)",-1362366555328478419837957236863995231983666727734642412220583471800597643786015622851674906642620948218041110275484488022742583080250*x-3046344227986706077820849637640901404967373059437453407618807332676724051751319235652524182787311831443204997354661740597003463389234
"(5, -7)",-7392017104800513810880195699465138820034236748964845419244636183849805134436676594186615562750523340360900031907389137821161640750*x-16529052737175135890315107483346300691032864686268466413704572043988840373545394058661276880615618773495594500740558199189555656970
"(5, -5)",(-15503788806613612104381827897814937166187320319234621378752630769374230117025429334939888081344442872704469916064184180721828125*x-34667525680388377739756437146060804834121036152760057425536720479473118639877984158987282708418735380503619346271755286839678125)/2
"(5, -3)",21839085321257178684965932937254236981113156887032906184882725395579910131466858932769140756761408031592282456430977870919875*x+48833679344753277455233351984955427733945012798135522728887988514400088041774442390254562043208669791405486761252537699833445
"(5, -1)",1973531985347716472810316579325103274004092978640066659303715518272390783032177401609061167494295350207465029736632316300*x+4413937462442156637060849555994184931801191315692856650551405722606620219641835707510783125414633790173953692873656175836
"(5, 1)",-1973531985347716472810316579325103274004092978640066659303715518272390783032177401609061167494295350207465029736632316300*x+4413937462442156637060849555994184931801191315692856650551405722606620219641835707510783125414633790173953692873656175836
"(5, 3)",-21839085321257178684965932937254236981113156887032906184882725395579910131466858932769140756761408031592282456430977870919875*x+48833679344753277455233351984955427733945012798135522728887988514400088041774442390254562043208669791405486761252537699833445
"(5, 5)",(15503788806613612104381827897814937166187320319234621378752630769374230117025429334939888081344442872704469916064184180721828125*x-34667525680388377739756437146060804834121036152760057425536720479473118639877984158987282708418735380503619346271755286839678125)/2
"(5, 7)",7392017104800513810880195699465138820034236748964845419244636183849805134436676594186615562750523340360900031907389137821161640750*x-16529052737175135890315107483346300691032864686268466413704572043988840373545394058661276880615618773495594500740558199189555656970
"(5, 9)",1362366555328478419837957236863995231983666727734642412220583471800597643786015622851674906642620948218041110275484488022742583080250*x-3046344227986706077820849637640901404967373059437453407618807332676724051751319235652524182787311831443204997354661740597003463389234
"(5, 11)",(-105669404774611715288976715279114412914016727857504038075253939553685973963736126838160545577934696597611036474639654675860696300403275*x+236283972217972638898763409860868693662006448277680948859626447812383346423226100208404146880279507708336015261343860694719851860183381)/2
"(6, -12)",18921572355032782205488114766900705383546357260205767364799953095994182417235591675385861719169258219770020804642802712151352304974325100*x+42309922027034085977813454551555659213492276665103179775028728732030568225522960653638849549140291416954647355616187731355730369046580840
"(6, -10)",-1666971741796617609751353907682109835562522606970891814214268578246750160527453112291780553028619381215762324535212698868623977311520000*x-3727462131228464384834488357629943661509221385081385700866770842660281256701984582670390929916805780044621623002882949466056796685152000
"(6, -8)",-95694290060594545011108171790764890526145891646147341305038644066173189029158022010927178895349312294301851882410129127458451041513550*x-213978937634071871857700045195433560832373482668370278122860782828786813237790480891900275380332606830745295369288490705409951721939680
"(6, -6)",204544865372460034405132318429155418240259216178452365198695016834881171335460915347815355156323451265549049626460023038064995808000*x+457376223421363476812182332092040545832080538076670810581468430978233454523281509199100795138391229810402472733962498833952247161600
"(6, -4)",1353520945573485226954908269272387734213471658671675388576445616591386187618524556994938265458088092313230459685159654495708942620*x+3026564843272096807092653013852494191462355639202185657628054211202625377754136120873754108381055915050941605027724843764443548896
