numerator,1
denominator,280
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",(551422259682761570742308602517756171766802602939187570302761884246892558035336384429429069432508313475633669564421892023049772652020090077755*x+1233017656957196491023179002149277833997310996041584506957039340220092150991187805213066968449489445509556670591056260932392422115792629483051)/2
"(1, 1)",(551422259682761570742308602517756171766802602939187570302761884246892558035336384429429069432508313475633669564421892023049772652020090077755*x-1233017656957196491023179002149277833997310996041584506957039340220092150991187805213066968449489445509556670591056260932392422115792629483051)/2
"(2, -4)",26859302191935807631695255933172352854593645444453833309126874577807275125610980734566524790238760584799898900224483942295574998787532211050130765155369026860718055*x+60059225529377569573135822180181785990067701841923519915877637425031475873216500260673394712750478450176305583743240738884652135765952291031168336645209558838644162
"(2, -2)",-24069290352252886952515337691978093587591176976091079966386299734442856528765816397116576852746133519364205796466698818097722601371921349085730489805449771300*x-53820569397817313638256284398818853287421505518957368909959621794844647680914580598560157975551658451464888299146909933311836319469177716518694986999839004260
"(2, 0)",49539211615203629083108170320918126867260079770636839826614651097162589187499767393427334153090931199595564521089388015480418745357479896404806259750*x
"(2, 2)",-24069290352252886952515337691978093587591176976091079966386299734442856528765816397116576852746133519364205796466698818097722601371921349085730489805449771300*x+53820569397817313638256284398818853287421505518957368909959621794844647680914580598560157975551658451464888299146909933311836319469177716518694986999839004260
"(2, 4)",26859302191935807631695255933172352854593645444453833309126874577807275125610980734566524790238760584799898900224483942295574998787532211050130765155369026860718055*x-60059225529377569573135822180181785990067701841923519915877637425031475873216500260673394712750478450176305583743240738884652135765952291031168336645209558838644162
"(3, -5)",2413012227486991302578793814067799071665081419949218968917998131100852802706427298405133201249523616747628879020337928855845738286425701460759981126484451891013035423724625*x+5395659371199099084381305659807478138749373377068893164721888689363659942014205702297711175565743316660247096592682834808830828766316217803830151252527625384198133381934375
"(3, -3)",-24322610849130057758873183091609124203368949492369901117496989153054346089556767989036622018296085475637926907017636135395365074358179838657141811968522824919580421025*x-54387011248928690754940781094304519918668838904952041458931842589582299846026455961557103371587126250264757432211166751644136530979751317876548822063826043755920046705
"(3, -1)",-536260227845025073804504037485755565814229754217323389130437220014306532569947925773577138386428688798628837982213052490600343740640985017775007751308951759084210*x-1199114480621236753925963167914715125222050811527960749938954233541810406714520543905051944972259653816919088106558278913326548631655388357683643120546595566948134
"(3, 1)",-536260227845025073804504037485755565814229754217323389130437220014306532569947925773577138386428688798628837982213052490600343740640985017775007751308951759084210*x+1199114480621236753925963167914715125222050811527960749938954233541810406714520543905051944972259653816919088106558278913326548631655388357683643120546595566948134
"(3, 3)",-24322610849130057758873183091609124203368949492369901117496989153054346089556767989036622018296085475637926907017636135395365074358179838657141811968522824919580421025*x+54387011248928690754940781094304519918668838904952041458931842589582299846026455961557103371587126250264757432211166751644136530979751317876548822063826043755920046705
"(3, 5)",2413012227486991302578793814067799071665081419949218968917998131100852802706427298405133201249523616747628879020337928855845738286425701460759981126484451891013035423724625*x-5395659371199099084381305659807478138749373377068893164721888689363659942014205702297711175565743316660247096592682834808830828766316217803830151252527625384198133381934375
"(4, -8)",-2344788705078876927388086679991839111677951712029442102010261705865767536682549318933064982589174176076900541910589255761881157196090321335440689233066702250464268342843609129098600*x-5243106937430075191511686228847486533627681649038214460572079410631925319005513533324737574368930319067273129876742502372190634305855262943357950809693679307457095692756403387928240
"(4, -6)",3431542253981992492722778032884008461680255953725518895826313769561026067922477328909532615530176460844682695853532643474983682659606725202059458919571324686156007749466387094120*x+7673161747566583608964721048691388497358654538988898179952660731013834356735345967098707481898365047341136918907905886858290108951321094754428983367873870561999463780651261885116
"(4, -4)",3198216913145737731613856872761920752658292711237238374090245580435378125382596407526698625982569017699276343120565798350096613303117403129297990280730862437076922597462960160*x+7151430424583410335774011875897763860650820649748627468891184462280946920592945737457373635536904950003422025166596630236531730014255406260520488067363348734308515664991552032
"(4, -2)",-274505521288683441078893223467703125537548586159407848103445657883240114015722965460901618165980385185200796393575172638771800949876133818885086646029619201341912827727400*x-613813005793623961012129230282542361247598202055335827195260607688378499210723528415784521683610130653212055036640696745810928994586203171983494393801879932893262311487940
"(4, 0)",5848185722274608170413268578209352438313958319199265687114780632278599415682341380146328599491961293051840656911186274597086034504305033805329772690284547669175930000*x
"(4, 2)",-274505521288683441078893223467703125537548586159407848103445657883240114015722965460901618165980385185200796393575172638771800949876133818885086646029619201341912827727400*x+613813005793623961012129230282542361247598202055335827195260607688378499210723528415784521683610130653212055036640696745810928994586203171983494393801879932893262311487940
"(4, 4)",3198216913145737731613856872761920752658292711237238374090245580435378125382596407526698625982569017699276343120565798350096613303117403129297990280730862437076922597462960160*x-7151430424583410335774011875897763860650820649748627468891184462280946920592945737457373635536904950003422025166596630236531730014255406260520488067363348734308515664991552032
"(4, 6)",3431542253981992492722778032884008461680255953725518895826313769561026067922477328909532615530176460844682695853532643474983682659606725202059458919571324686156007749466387094120*x-7673161747566583608964721048691388497358654538988898179952660731013834356735345967098707481898365047341136918907905886858290108951321094754428983367873870561999463780651261885116
"(4, 8)",-2344788705078876927388086679991839111677951712029442102010261705865767536682549318933064982589174176076900541910589255761881157196090321335440689233066702250464268342843609129098600*x+5243106937430075191511686228847486533627681649038214460572079410631925319005513533324737574368930319067273129876742502372190634305855262943357950809693679307457095692756403387928240
