numerator,10182505537*x-22768774562
denominator,1248000
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",-463686346096539499588*x-1036834190110356583689
"(1, 1)",1
"(2, -4)",961531714240472069833557386959154606040264*x+2150050275563598116265763258767014521697441
"(2, -2)",9364535222108707646211006666809358560*x+20939737334326161796218202098832066680
"(2, 0)",18223374748582726399182190140*x+40748704717284115569669275640
"(2, 2)",-20195839927016120
"(2, 4)",463686346096539499588*x-1036834190110356583689
"(3, -5)",-37789235997048588309233100137739468448287259062780*x-84499300507182685617832239826198657970005007347560
"(3, -3)",-137960844172902731100135327969248839166019558480*x-308489825803866256574382959404026674584601165940
"(3, -1)",437435104680034585986607980623462036057148*x+978134629809293727143856646384389120491952
"(3, 1)",-206858310455451521605581493612656804*x-462549243889146028106187803286695808
"(3, 3)",297530529708932345076821460
"(3, 5)",-18223374748582726399182190140*x+40748704717284115569669275640
"(4, -8)",-19418940585549980198506446929761200655911700633070097055680*x-43422071200319326074704174966170708771617311035616569748920
"(4, -6)",428955537577350009310570213953021860353387702542558597060*x+959173741347920074238835551702438948855823286002554459472
"(4, -4)",946694963243269176453108279043861998663985889047411392*x+2116874291768614654529405191908898492729961571969155376
"(4, -2)",-1761183232329300593385102246225017901042487022340*x-3938125428321121408682313481552139406105528714880
"(4, 0)",4208168459672737095641795825413893985002060000*x+9409750736598822556394027704389910462081560000
"(4, 2)",-20003277329367951718297861490880693142820*x-44728687881243392169968567129191544387280
"(4, 4)",-2041670994224546953442825935729584
"(4, 6)",206858310455451521605581493612656804*x-462549243889146028106187803286695808
"(4, 8)",-9364535222108707646211006666809358560*x+20939737334326161796218202098832066680
"(5, -11)",-1993897912399885357671412394343531314226136204978318341499808204*x-4458491272321064499069460400590206711107973093814153797750696009
"(5, -9)",-907095344973525425743077497793075361251395959343931471309974748*x-2028326853434425024377879953016667294768900313248994608191246048
"(5, -7)",41480163698694392377673955057215265228998644059958845031903620*x+92752465748099765927162917373887329854534644631978152622866720
"(5, -5)",-53153134834323526031983057262298026632060585840440059969300*x-118854022706759426139885620776683159037230112614524708778525
"(5, -3)",-674090498304637802458948476056606076959716990391155774020*x-1507312177195876866162090069332398107061263589382975024670
"(5, -1)",189126962391690473197033874564317258821468029433867912*x+422900744285866105128396563122678111678539863338182592
"(5, 1)",-54363570999912982310507229260284899047123453084728*x-121560640255441642584734681201767145174304358840608
"(5, 3)",609631602360800766157124782739567270052876180*x+1363177705564635745895352784713857553639088830
"(5, 5)",114631658408283264593486300983915236725
"(5, 7)",20003277329367951718297861490880693142820*x-44728687881243392169968567129191544387280
"(5, 9)",-437435104680034585986607980623462036057148*x+978134629809293727143856646384389120491952
"(5, 11)",-961531714240472069833557386959154606040264*x+2150050275563598116265763258767014521697441
"(6, -12)",286085040269905421189537299792178424850808072757318739140817899265440*x+639705597389273304564323857413781838788648693745149084027144095883860
"(6, -10)",-8726345873465458252875788906810896908622402710275893196469796620000*x-19512702568243542969746666535501060219644693393969030585029431240000
"(6, -8)",-1264173778072970120455219335587307018868206335739376377617805030060*x-2826778503143894284379276443825386563118042373793325636556225163070
"(6, -6)",7051103943540436555418070445723094709489828128041330208637955200*x+15766747734173255285462135189735223349437306047896319695511085600
"(6, -4)",14868041286036618011523077010270960924972371638283619300950040*x+33245951007851272625495470859874721624344779482711067424027732
"(6, -2)",147903308167873877388635750540510720493967863668679979542240*x+330721851160465866890686926860241563353249661247957304349760
"(6, 0)",117607621597700681873815515856551395570009739944515290000*x+262978636564531149062569393750927754246311023335799540000
"(6, 2)",3572204446483648935215842936065771790036770342624480*x+7987691971864129641217547920430959810636501375920960
"(6, 4)",1290471781795342819231633769623118471311753323144*x+2885582595074794566306589079546881958117028054252
"(6, 6)",-15206624052873009719658352056965285830490400
"(6, 8)",-609631602360800766157124782739567270052876180*x+1363177705564635745895352784713857553639088830
"(6, 10)",-4208168459672737095641795825413893985002060000*x+9409750736598822556394027704389910462081560000
"(6, 12)",137960844172902731100135327969248839166019558480*x-308489825803866256574382959404026674584601165940
"(7, -15)",78362343799778012870197669590498359652739662206164148060621810367800700*x+175223527612512806305345212254157013121118753455610813758884560430622040
"(7, -13)",3652109980656180717558347673725271500679112567712350426560240552081700*x+8166366178052662088142168542994272093556340491372419135907686223571920
"(7, -11)",112732018218403290303294726358288193402350189233884764732226930913471096*x+252076455977094490679601170746734622182235076403501620834002224189103232
"(7, -9)",-2676010514608044863836058225286550262229383502728217850866110092246392*x-5983741419167782309286846516947335818792784954039968433121110764618988
"(7, -7)",5500858102230310081324777276670886619165981463085062307656864813200*x+12300292651167460852534230093411826211134944383948814441055540772100
"(7, -5)",-616327598300450915161720678836430590095075991055024416435138919680*x-1378150406208992099296644890253374022693563723984383000545679795920
