numerator,(-6765*x+15127)/2
denominator,34776000
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",(102334155*x+228826127)/2
"(1, 1)",1
"(2, -4)",(23416728348467685*x+52361396397820127)/2
"(2, -2)",62939598691200*x+140737221150080
"(2, 0)",93509313975*x+209093184405
"(2, 2)",1230080
"(2, 4)",(-102334155*x+228826127)/2
"(3, -5)",21397374248835538800*x+47845983360399765030
"(3, -3)",527160912352541775*x+1178767635101092035
"(3, -1)",-5313261146563440*x-11880813106318788
"(3, 1)",-20183497803630*x-45131776954038
"(3, 3)",10302736410
"(3, 5)",-93509313975*x+209093184405
"(4, -8)",14402224603441564982400*x+32204353240515290910080
"(4, -6)",-4618516944978806004450*x-10327317844207266232038
"(4, -4)",-147614445124191682560*x-330075933758605000704
"(4, -2)",16216858401500976450*x+36261997767262240070
"(4, 0)",115023936934368000*x+257201344272902400
"(4, 2)",894286599440850*x+2000002567030070
"(4, 4)",-2884949704704
"(4, 6)",20183497803630*x-45131776954038
"(4, 8)",-62939598691200*x+140737221150080
"(5, -11)",2679179627495483320435920*x+5990827771012465337616001
"(5, -9)",-1215812969927874832800510*x-2718640448684635708420038
"(5, -7)",204652355836451572064400*x+457616579405781548398820
"(5, -5)",(29411913264920759005125*x+65767037408690600367425)/2
"(5, -3)",-19428230981694704400*x-43442845157897842770
"(5, -1)",-7841626604445978960*x-17534410216483604368
"(5, 1)",-3825841189106650560*x-8554841123216414368
"(5, 3)",-13355105964475275*x-29863304485070895
"(5, 5)",287410525497775
"(5, 7)",-894286599440850*x+2000002567030070
"(5, 9)",5313261146563440*x-11880813106318788
"(5, 11)",(-23416728348467685*x+52361396397820127)/2
"(6, -12)",120628189879418592978955425*x+269732832573132133536862035
"(6, -10)",26320482116007619567104000*x+58854387211960542968102400
"(6, -8)",-3056016601756458460214325*x-6833460861895344325430895
"(6, -6)",648450095066614586592000*x+1449978492585151290412800
"(6, -4)",-107591487229475344886175*x-240581879245409058943533
"(6, -2)",-6535736271164756275200*x-14614350585820614743040
"(6, 0)",963401813764354329750*x+2154231964052237686050
"(6, 2)",-24827316978289190400*x-55515696195623063040
"(6, 4)",-85132019480587695*x-192463730959525533
"(6, 6)",12673190003212800
"(6, 8)",13355105964475275*x-29863304485070895
"(6, 10)",-115023936934368000*x+257201344272902400
"(6, 12)",-527160912352541775*x+1178767635101092035
