numerator,1
denominator,-5745600
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",(185265243347315022412684470042650452761714393574063647317688841814480358703732972735074361090583935040912318472148551654544270128878468325887745350243404540145872996895678124671204529*x+414265677992637070275770527421836464046131855999949887208733106388213851453125132877856945375774383287806946875154449033785342735881763410690888410908748552833046764659856549216715459)/2
"(1, 1)",(-185265243347315022412684470042650452761714393574063647317688841814480358703732972735074361090583935040912318472148551654544270128878468325887745350243404540145872996895678124671204529*x+414265677992637070275770527421836464046131855999949887208733106388213851453125132877856945375774383287806946875154449033785342735881763410690888410908748552833046764659856549216715459)/2
"(2, -4)",23625426835439481966489046568215592255661523007597465673401042379743907343137992512508033388209873383169310477207639550114352915865800007043233344343538676673424474253963347363617573373660288220306476424496*x+52828060401490419252356587444476793071778364690552003647334460521017386053627323092963334468625493950789366297190687280464494849711952490268761545938077168124265199729623337451961042209969073658394667857357
"(2, -2)",3032346918924755962188685684557963662460327761582923956641875800078128603622002487045806464705344381245381273636932631850216890095408510927181293073348370531646692083505196499805215121456783804204540*x+6780533842077797825606693005267094040357443517906591952875132014620344683761808898609545760864001031391413585183646844342421489497156257462979327091967106080510326637957165054731106513663497094636340
"(2, 0)",-15103555448354887622215678918671745577706947130275066170479269573468651678838702702706633416265529700596998145173115839409980903087017897766778238911418995171509321866558488167403982698574090
"(2, 2)",-3032346918924755962188685684557963662460327761582923956641875800078128603622002487045806464705344381245381273636932631850216890095408510927181293073348370531646692083505196499805215121456783804204540*x+6780533842077797825606693005267094040357443517906591952875132014620344683761808898609545760864001031391413585183646844342421489497156257462979327091967106080510326637957165054731106513663497094636340
"(2, 4)",-23625426835439481966489046568215592255661523007597465673401042379743907343137992512508033388209873383169310477207639550114352915865800007043233344343538676673424474253963347363617573373660288220306476424496*x+52828060401490419252356587444476793071778364690552003647334460521017386053627323092963334468625493950789366297190687280464494849711952490268761545938077168124265199729623337451961042209969073658394667857357
"(3, -5)",-861350488722973139954699224331678872145533888214392180724403684174349188466347090852527857358528865991688852109937082168765677551492110783585465501590874810613963874334172615916456441652500042219537577780592702855*x-1926038245237233961744590279563187630081285428383409469181776760131356828249275934036959443634286879873929660928567166112446852938004189731487177903773674379901717569859546115480755221455490493004960994218789409115
"(3, -3)",191894269150660691196129742558154089418590292872264679672367550512673215049965355225450334439588570278251160852071112777180170927861960580337314533986864701961269165188121345879098623642176558507304469683005205*x+429088630313518138497823875656289411985591444694263914672421892348291196103034181565636957941223582093982909391361818521006741243352909583882586401637505957291562569483931388856408132018799866361787958907835055
"(3, -1)",-365025860983001188980318422881120620358943450769700038288912253233104030613722387156605732989560332165012895698581614960231669319558544373481288532187027475531261879627050300940713089934989039152345317418*x-816222513081919641745651214822675114013961173625300566271851967446273322283009569350970821221842910500476300382348257801838442746321974841811448999857013361714626381260778351738043582731497248844248686306
"(3, 1)",365025860983001188980318422881120620358943450769700038288912253233104030613722387156605732989560332165012895698581614960231669319558544373481288532187027475531261879627050300940713089934989039152345317418*x-816222513081919641745651214822675114013961173625300566271851967446273322283009569350970821221842910500476300382348257801838442746321974841811448999857013361714626381260778351738043582731497248844248686306
"(3, 3)",-191894269150660691196129742558154089418590292872264679672367550512673215049965355225450334439588570278251160852071112777180170927861960580337314533986864701961269165188121345879098623642176558507304469683005205*x+429088630313518138497823875656289411985591444694263914672421892348291196103034181565636957941223582093982909391361818521006741243352909583882586401637505957291562569483931388856408132018799866361787958907835055
"(3, 5)",861350488722973139954699224331678872145533888214392180724403684174349188466347090852527857358528865991688852109937082168765677551492110783585465501590874810613963874334172615916456441652500042219537577780592702855*x-1926038245237233961744590279563187630081285428383409469181776760131356828249275934036959443634286879873929660928567166112446852938004189731487177903773674379901717569859546115480755221455490493004960994218789409115
