numerator,1
denominator,-5745600
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",(-3919627856347102461114378500739028651732366574870725261082523388182993026210454835339753822217728042542944690095302644691244997846180329664412950407187994142081221545353906521375906156363088612318282929468813469703246780143493682665355186166515367888513911*x-8764554333293901626396476748972766306826452407745129360301639583381781789974363612908484374414068837673922004488083239423319228818245444708928311422008553547347961362020235067081827388498385806706038643177799083336699626482934302023284672787187170513897781)/2
"(1, 1)",(3919627856347102461114378500739028651732366574870725261082523388182993026210454835339753822217728042542944690095302644691244997846180329664412950407187994142081221545353906521375906156363088612318282929468813469703246780143493682665355186166515367888513911*x-8764554333293901626396476748972766306826452407745129360301639583381781789974363612908484374414068837673922004488083239423319228818245444708928311422008553547347961362020235067081827388498385806706038643177799083336699626482934302023284672787187170513897781)/2
"(2, -4)",-499839470529705393297920890789068154499299274640492007812147276795137447446112096742966735171153598524056186131858600564315561855842142965639718451927270764352422460951279646056627626930003538327965304640244598123029933170895486556911208167891340556273582694595037605988400106064*x-1117675033941924074427034891992016066454576920925398781684552684807723952350897815550191436764777492251886753214877921318041257082527455434115947289151966891137121914101921659100380886889531916850693896617296146275848100008279633738098815682805854977526031332740716572570090495163
"(2, -2)",-892912386990989019332069826563040242001317371577318372710309520891862699537109608671690391404362779174902627531539877444742793012868691591058904199663363422571751356409892639348559969846235841144981133912371523473771037946047438863414781843797938781797500000480462373544520*x-1996612795263450344501307919242651976276836347498660501635973081128766137090985039930545132902641071826645519435012594439938188257811161064623138520244058886692365774549275038618781107663643920586913401113986964404082155808818982880599189274179528607717738083003914339192920
"(2, 0)",3976816114220731864062007681937274444427540093245797637519764666134394581955620196506380231753186226774127238786831257154908288904957499834599062029259238849416677276784317835427693555597998716425487162557885708680294090541853514205872009094470847831880882202044590
"(2, 2)",892912386990989019332069826563040242001317371577318372710309520891862699537109608671690391404362779174902627531539877444742793012868691591058904199663363422571751356409892639348559969846235841144981133912371523473771037946047438863414781843797938781797500000480462373544520*x-1996612795263450344501307919242651976276836347498660501635973081128766137090985039930545132902641071826645519435012594439938188257811161064623138520244058886692365774549275038618781107663643920586913401113986964404082155808818982880599189274179528607717738083003914339192920
"(2, 4)",499839470529705393297920890789068154499299274640492007812147276795137447446112096742966735171153598524056186131858600564315561855842142965639718451927270764352422460951279646056627626930003538327965304640244598123029933170895486556911208167891340556273582694595037605988400106064*x-1117675033941924074427034891992016066454576920925398781684552684807723952350897815550191436764777492251886753214877921318041257082527455434115947289151966891137121914101921659100380886889531916850693896617296146275848100008279633738098815682805854977526031332740716572570090495163
"(3, -5)",226796433148363618141136137748261491828488289182402511751626835394886096287411462902744382318246344192219466905719980009145122178959951930384917624051759479717105358800105615512658955247536300066030801341789207668258490975808950356316892577332255428810406385696513238264198835176580722605*x+507132241574227696947154888231050496356402805899959242694651841761529639404103550222269103022858435911008148516684701351735939903702533085217451458407614314721317579787480492660047680092285139538812647816152069625941496460610996703928797437100421119368587252767007192307689122295660065865
"(3, -3)",-43184627808825024046475321130575547173309178163388551911930908595877636951922964265796271163139001856984752242576596751410319737199471218648298457140330128317650575559710717307962712953999119266658421663227941204984933570773397626425911877124714118740174957019061772228456714007678115*x-96563763363560546288695000010733054801638730674647409320875533876906551274552020488353340142575633197658396618866345104923907098109405947504581696926584016993292656735118212263492714719385545160864412564936936087248884940510069082495240987287263777363805875306933086744251323367292665
"(3, -1)",10388022815947421410199506009194963913307786583518005438593138719296145100799332648984672297686602372734762253705834880473407731010652049649971657427461407129902594435127317099398901105641774403167239560205900746510261023211747859321969366034478687806719576215785469837787031202*x+23228311431666601245507851178838459320603387987063472178419872066136532129737877443455708085562880027187045666675257043978000634807363621220982783678649706206212327853647405680827920170361199370000282216044297188958867488945176503694687229520529569666266544691061041473054150394
