weight,"(6, 96)"
"(0, 0)",0
"(1, -1)",0
"(1, 1)",0
"(2, -4)",0
"(2, -2)","(-2888910640025023072231586430281552425206497909780470885194757504877266845583256706432336830170596382594545160857207192203960139050474057033883447092748561389594339447684386019324387837159061955091445918746845182535245254315328817612, -1291960114403675268848137472392574987867199730021122156213666207373072172940449121624204839806630896387242101366197961507640767894998430130792033136971199037052012549908215686210359135331263156052012185737436319274379922664554024890)"
"(2, 0)","(0, -3071901336121507132445355877590788439232550972426195675543830533724107659166830218686062185051028253764749819880831819824934972578896769411985333815214760216991748098181295923882712629419481028029460114259638885045701561027678999780)"
"(2, 2)","(2888910640025023072231586430281552425206497909780470885194757504877266845583256706432336830170596382594545160857207192203960139050474057033883447092748561389594339447684386019324387837159061955091445918746845182535245254315328817612, -1291960114403675268848137472392574987867199730021122156213666207373072172940449121624204839806630896387242101366197961507640767894998430130792033136971199037052012549908215686210359135331263156052012185737436319274379922664554024890)"
"(2, 4)",0
"(3, -5)","(-22118205656268576061190688960275056297438859273486387701639408240100638111359059596100249746503351917935768122319031586720057388769479070200136310610564929869492473541697698891413722396966323514123430869595432990928445551460450721918345891559751134000, -9891562277547376706375886310548425792311703264148246682220265478806829373476659735809679224969281013728916332073981521778850651158725189955706316789581524508352513220211973670973892943253289683287414612742297065706809640976281281043817219828244105220)"
"(3, -3)","(-18604578082758648154340051719173887427169334142751941542430452918522088978045811734263777074821068005022216321735272206055463129291847580944383527953670414010517380617259082085487506524941338268235488949091258136098379206769945005562276343796627387746, -8320220257150209080490439749907284365999702358647806251341454009347650864201055479157619230703910019229275489078341690036695710288355662317517781957463723755505051818723473142025544119250961107234644686407332929906608519861244509160501248724054690495)"
"(3, -1)","(297393146598797026235356997292138661205659024488114792227784186481718610935777204506296487505474334886417328287242366213525931368389665721273025200091344335395517569411021204163750424903837586997651109164193398226561687645571584121029063963900590, 132998259363351587582123036644384700584186833181296524074716940274660699968341510420340948689973456426069948189302266206009643399837725377671212946141200776550463788360138826473923045484051568863555448502130084927616161545528804303995255687616825)"
"(3, 1)","(-297393146598797026235356997292138661205659024488114792227784186481718610935777204506296487505474334886417328287242366213525931368389665721273025200091344335395517569411021204163750424903837586997651109164193398226561687645571584121029063963900590, 132998259363351587582123036644384700584186833181296524074716940274660699968341510420340948689973456426069948189302266206009643399837725377671212946141200776550463788360138826473923045484051568863555448502130084927616161545528804303995255687616825)"
"(3, 3)","(18604578082758648154340051719173887427169334142751941542430452918522088978045811734263777074821068005022216321735272206055463129291847580944383527953670414010517380617259082085487506524941338268235488949091258136098379206769945005562276343796627387746, -8320220257150209080490439749907284365999702358647806251341454009347650864201055479157619230703910019229275489078341690036695710288355662317517781957463723755505051818723473142025544119250961107234644686407332929906608519861244509160501248724054690495)"
"(3, 5)","(22118205656268576061190688960275056297438859273486387701639408240100638111359059596100249746503351917935768122319031586720057388769479070200136310610564929869492473541697698891413722396966323514123430869595432990928445551460450721918345891559751134000, -9891562277547376706375886310548425792311703264148246682220265478806829373476659735809679224969281013728916332073981521778850651158725189955706316789581524508352513220211973670973892943253289683287414612742297065706809640976281281043817219828244105220)"
"(4, -8)","(-18604659709647958255393978755845772520170872294165712216438518761893387506171642727451406603422736719237790747583645932290910755090423383825235606657241208587221454883922954814800282679862815064157596023124871633479188954347384277738346964185137316388, -8320256761804866925280040321388539213598166555872544679881665386024318816861336811133156647115951372446786449622671018828565699778313350716370704276421605462816044818418259805293699012110758702033248972965865778048254184263613186655134032063623530330)"
"(4, -6)","(7170341160975303188231817838372105579294597430448914946674685229739020149096641208977111280697494105966485466115846406371320401311011823370899645429017966250253637016191887647387063797654464202478781461317341437691259029043822996615932881470013327749820590, 3206674051561108035813043952786619933149022681540354689785674506619221064656164295308942535637390695396128574337429068272193597402348132762527044379271250053729923307853061041793263416850447172687158968132317488850075176287493422048459248433118528794484025)"
"(4, -4)","(-6553890858989469715072111391624012312950134802318201952270857562109960937705103313619474532605592223684589728288649392190506700520032532274323535683059182700384950084593293238458384626326856772172141578321086633191680194729901236708105076989912617932320080, -2930989095562988587469694988501958582838327850945627391088600875394807073152434370559394316557212633387353659358518480446158652085148417960556431496942747698204886280988060916357692661918999033144218504485300050913037171135326736306268826262145699836752600)"
"(4, -2)","(-104803817718569219910726184388302754573202010891649832282993981412192312912955159388958673224605634981011431786588425606941899003224695509382250777498496799414766658479130219479454731526317676926331245791776219376878918235771391981007661910794835230096418, -46869692074188579046014819775129341245091039830686497605117084065944626739560301976302845080275842369220778232097313605242769181408265709089539632142837136519221262568098570344819208997825608545262660928782938791987249245976035864416994921649647290177145)"
"(4, 0)","(0, -15506822917107381846131337973954100802167160034928468168911559373146987804942446419974023380743980279457933759325316278218367204809725408970530924971415998090444901262677914038639276697139681900633260406434432777723121774562793967736931827639647785500)"
"(4, 2)","(104803817718569219910726184388302754573202010891649832282993981412192312912955159388958673224605634981011431786588425606941899003224695509382250777498496799414766658479130219479454731526317676926331245791776219376878918235771391981007661910794835230096418, -46869692074188579046014819775129341245091039830686497605117084065944626739560301976302845080275842369220778232097313605242769181408265709089539632142837136519221262568098570344819208997825608545262660928782938791987249245976035864416994921649647290177145)"
"(4, 4)","(6553890858989469715072111391624012312950134802318201952270857562109960937705103313619474532605592223684589728288649392190506700520032532274323535683059182700384950084593293238458384626326856772172141578321086633191680194729901236708105076989912617932320080, -2930989095562988587469694988501958582838327850945627391088600875394807073152434370559394316557212633387353659358518480446158652085148417960556431496942747698204886280988060916357692661918999033144218504485300050913037171135326736306268826262145699836752600)"
"(4, 6)","(-7170341160975303188231817838372105579294597430448914946674685229739020149096641208977111280697494105966485466115846406371320401311011823370899645429017966250253637016191887647387063797654464202478781461317341437691259029043822996615932881470013327749820590, 3206674051561108035813043952786619933149022681540354689785674506619221064656164295308942535637390695396128574337429068272193597402348132762527044379271250053729923307853061041793263416850447172687158968132317488850075176287493422048459248433118528794484025)"
"(4, 8)","(18604659709647958255393978755845772520170872294165712216438518761893387506171642727451406603422736719237790747583645932290910755090423383825235606657241208587221454883922954814800282679862815064157596023124871633479188954347384277738346964185137316388, -8320256761804866925280040321388539213598166555872544679881665386024318816861336811133156647115951372446786449622671018828565699778313350716370704276421605462816044818418259805293699012110758702033248972965865778048254184263613186655134032063623530330)"
"(5, -11)",0
"(5, -9)","(1915219611333709497959507034839158493023482860056365910597080544065218557015073040047246982752089860571743814754481952313860150954833970848605949021815029914442855181958487271875173862980937195311222967905407226377062868906795733614121671373036873217131937716274410, 856512248556580219422674156528612633574840341577561739045389813952163646943109978486772247570361442019139430411505436372180562013506979644225467049304875668361709172076567870484280412728096433077695514369296567249978223715349481046463344697430545875688425643994825)"
"(5, -7)","(502967452281116291405952681712722164695312082712456319368089831257258202246720854418007847563660485898992417192020739392557442066274148634180868955676055576521341373027110930229261630310341587094894276875898767815498942162289043893424292480273216729734964923060582, 224933882754091538261025150841405756722092190360217168365691098935351612151598924587008970800734708591712306464464897964084766183722075912081630251674542994889751887544616583166565574365566678813533776853898356191249068373554470011945569295878227219334257058529975)"
"(5, -5)","(10061156072916559472922851798610105360002811288141868462407065646751713193508460507563699864670423679745804433811689819870556347886095859860927036865981087496299819453849128772943745911201436830640905018182051860024834718710119627831914460909946165252520066567500, 4499485782255251555322763932350672726728452130466889550764879634645733915308546693732230009474941606372537787147088462903535844076870638758537428419252055670164802320108904590297096621118010709059433379176618829783035740341504271357337833011000895480139396256250)"
