numerator,-567451585*x+1268860318
denominator,441600
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",-1440033597185408060*x-3220013013190122249
"(1, 1)",1
"(2, -4)",9273853844735993106095069260699853880*x+20736967610227460801435597887129636001
"(2, -2)",569505788437472454456533021476000*x+1273453656525802147336275873605400
"(2, 0)",5642213612096001379236900*x+12616373180221288758206520
"(2, 2)",-395480903744600
"(2, 4)",1440033597185408060*x-3220013013190122249
"(3, -5)",-36336002508295137969715529179718641284339300*x-81249771639150794541221490535888090335933480
"(3, -3)",-381120051325919121185839988741707999266000*x-852210342352964011723268868797510535633900
"(3, -1)",11745999144239416155436378372921402260*x+26264852550173691832669581034852490712
"(3, 1)",-13507517546269012856675175055980*x-30203727440736830323445885973288
"(3, 3)",264660527414659288841100
"(3, 5)",-5642213612096001379236900*x+12616373180221288758206520
"(4, -8)",-3667632099711523922990673261867509195947564839048000*x-8201074691415254315724221261495866710493515869344600
"(4, -6)",86988764549772007222068227171414641202076158400300*x+194512790812014096225619130775220249754531284478712
"(4, -4)",526570066234632624223092141203990019683446674240*x+1177446463017205272926296350644041520348473573296
"(4, -2)",-291938368811082214522290758762689101329527500*x-652794037901984291325818873590585295299207000
"(4, 0)",-22749497638587157741569678340475780988000*x-50869423173851827451824394636687483630400
"(4, 2)",577952688546606840949615931001072500*x+1292341499571707276168962290298293000
"(4, 4)",-365665125635839843998649990704
"(4, 6)",13507517546269012856675175055980*x-30203727440736830323445885973288
"(4, 8)",-569505788437472454456533021476000*x+1273453656525802147336275873605400
"(5, -11)",-59723860124946290601925832910338218311467094350088544180*x-133546611118068989180133269054242022877048018114932850249
"(5, -9)",-75644540194741919564164898004151906141177630830984821460*x-169146334002158111895880523982958757359840752900948129288
"(5, -7)",-3722030356548521868440406232713670445651879551553632500*x-8322712891560274418628913479837569779038437396742707000
"(5, -5)",-39259952733983787783655487351242627878387351955583500*x-87787923106616467358152104326144526291288391523001525
"(5, -3)",18589524596292516743994368685100095540891521626500*x+41567440666714402470354018535616401560391329231450
"(5, -1)",131369411712113957529744878670294822869113134840*x+293750934752443841804079054774503252310368339632
"(5, 1)",-42233448828093030969794818786433289369178760*x-94436862503874938323162126319707309217620368
"(5, 3)",-1355531974139040265219225018112117488500*x-3031061652758471890267831613845667581050
"(5, 5)",27263219976755144455433195648379725
"(5, 7)",-577952688546606840949615931001072500*x+1292341499571707276168962290298293000
"(5, 9)",-11745999144239416155436378372921402260*x+26264852550173691832669581034852490712
"(5, 11)",-9273853844735993106095069260699853880*x+20736967610227460801435597887129636001
"(6, -12)",2454423049714293751402015860792057398192845306759484538468000*x+5488256784703506607557631564301327659161793137738564128441100
"(6, -10)",146507356879577209011663372191215337116422001770464223036000*x+327600409186556109786570640671615622582830484023012149169600
"(6, -8)",8729661211635536421995716804036797773970934264023224899500*x+19520115889760237515160044692559665351245338565739902331450
"(6, -6)",120096043730102255197256189746353301327512052311426384000*x+268542917609296049017877035143965185271473917455667813600
