numerator,1
denominator,1840
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",12435603677247957852022158471375944298499505*x+27806855163572788619433379397533050471864254
"(1, 1)",12435603677247957852022158471375944298499505*x-27806855163572788619433379397533050471864254
"(2, -4)",80085611335226722487520257362076823393465759785800092133473985*x+179076870965194649564985870751874392246869253111690340858238746
"(2, -2)",-283111787913843225228205119694360377430335164571970793200*x-633057203006856825265905232680976952972745859482220310560
"(2, 0)",-44570547834168457721210587530614643891754752118050*x
"(2, 2)",-283111787913843225228205119694360377430335164571970793200*x+633057203006856825265905232680976952972745859482220310560
"(2, 4)",80085611335226722487520257362076823393465759785800092133473985*x-179076870965194649564985870751874392246869253111690340858238746
"(3, -5)",-143517744031035252689832604188772661123743077673744838213771179494450*x-320915431630809512416438405077380145749145630329800043559192707415000
"(3, -3)",-18404531911449118614814525191224894128976309522030802569379569850*x-41153784448064369203256834581150442947496944809116062569422866380
"(3, -1)",-3184850478432430935107328598493760679626101870832252097091520*x-7121549754528777955827367059481047449616752514300555632744652
"(3, 1)",-3184850478432430935107328598493760679626101870832252097091520*x+7121549754528777955827367059481047449616752514300555632744652
"(3, 3)",-18404531911449118614814525191224894128976309522030802569379569850*x+41153784448064369203256834581150442947496944809116062569422866380
"(3, 5)",-143517744031035252689832604188772661123743077673744838213771179494450*x+320915431630809512416438405077380145749145630329800043559192707415000
"(4, -8)",-1823247282540194315543490756611882562025548317199213005513945077759025020400*x-4076904863551639930163847636003042009232917912062905994265343895956511609440
"(4, -6)",10924931721495967391029927783576374150217606633034579511356478736261466640*x+24428889978808783526095679166191891522563561336685569088492252955452706348
"(4, -4)",56055258636015093581072325968389037588739870247187152693809030241931520*x+125343368806461890302199420782743557201558305597339426186607766271458816
"(4, -2)",23443217908343416560361267556405911577267243605042155523826109948400*x+52420629032840343184423853234160143835053203417495132580003085783260
"(4, 0)",7503297712074950444623783302324170391204009914522769740237292000*x
"(4, 2)",23443217908343416560361267556405911577267243605042155523826109948400*x-52420629032840343184423853234160143835053203417495132580003085783260
"(4, 4)",56055258636015093581072325968389037588739870247187152693809030241931520*x-125343368806461890302199420782743557201558305597339426186607766271458816
