"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)","(-1417412476928133734240770017824283, -633886130096325705215053601580233)"
"(1, 1)","(-1417412476928133734240770017824283, 633886130096325705215053601580233)"
"(2, -4)","(-104436797119793323293302815019085803041239618, -46705555542442423640202114257554118095263784)"
"(2, -2)","(-92732480261923632631870395058915096963920, -41471225916438057109892842576109460791920)"
"(2, 0)",54459829944445049129604310239215225370
"(2, 2)","(-92732480261923632631870395058915096963920, 41471225916438057109892842576109460791920)"
"(2, 4)","(-104436797119793323293302815019085803041239618, 46705555542442423640202114257554118095263784)"
"(3, -5)","(4012671190456876883601139458249573892571192406390, 1794521110643316422983407779730074585112280911630)"
"(3, -3)","(-10363015226803082684509912140523710278140286790, -4634481299673620672924745764210514773983060290)"
"(3, -1)","(173108957137963759914620751596758979895447084, 77360523994928013759255107943813173496586812)"
"(3, 1)","(173108957137963759914620751596758979895447084, -77360523994928013759255107943813173496586812)"
"(3, 3)","(-10363015226803082684509912140523710278140286790, 4634481299673620672924745764210514773983060290)"
"(3, 5)","(4012671190456876883601139458249573892571192406390, -1794521110643316422983407779730074585112280911630)"
"(4, -8)","(-6832649906200024421319111030635348236250986476964320, -3055653931344163277483899884742204124541762956236160)"
"(4, -6)","(4625959366929344393504717756883546613628370995762904, 2068791921121181327403204617998758513061940935307376)"
"(4, -4)","(707486439218767716334632934570452409003345569100032, 316397554241899291523487788693430772892073579608832)"
"(4, -2)","(-2679817814968692970811051531732906428399059977880, -1198352262937957287441611139725999683417511748560)"
"(4, 0)",23999156075700403565993841538673613983223016800
"(4, 2)","(-2679817814968692970811051531732906428399059977880, 1198352262937957287441611139725999683417511748560)"
"(4, 4)","(707486439218767716334632934570452409003345569100032, -316397554241899291523487788693430772892073579608832)"
"(4, 6)","(4625959366929344393504717756883546613628370995762904, -2068791921121181327403204617998758513061940935307376)"
"(4, 8)","(-6832649906200024421319111030635348236250986476964320, 3055653931344163277483899884742204124541762956236160)"
"(5, -11)","(-7695039214292110919745012731840263993774047329390997363, -3441326154536746252828316074649176652631447754495342415)"
"(5, -9)","(12750267433178346528008209795022222716674204684403034844, 5702092942377708058130453506604707888615324658781473940)"
"(5, -7)","(-8130512453875718969758886377190910630813309369157379580, -3636075707754946182891238030227569711558220550898597900)"
"(5, -5)","(608576927417329975057902236645096054537624267735910675, 272163875841233473186650332530432338827989016969549425)"
"(5, -3)","(26676644476118590513140285337534023288953380136713830, 11930168977817485658756639756405487152126253504508350)"
"(5, -1)","(151155132490283509957710917376205457394607676594784, 65280411964637270601185522946698658057580525624480)"
"(5, 1)","(151155132490283509957710917376205457394607676594784, -65280411964637270601185522946698658057580525624480)"
"(5, 3)","(26676644476118590513140285337534023288953380136713830, -11930168977817485658756639756405487152126253504508350)"
"(5, 5)","(608576927417329975057902236645096054537624267735910675, -272163875841233473186650332530432338827989016969549425)"
"(5, 7)","(-8130512453875718969758886377190910630813309369157379580, 3636075707754946182891238030227569711558220550898597900)"
"(5, 9)","(12750267433178346528008209795022222716674204684403034844, -5702092942377708058130453506604707888615324658781473940)"
