numerator,-17*x+38
denominator,80
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",1292*x+2889
"(1, 1)",1
"(2, -4)",7465176*x+16692641
"(2, -2)",-7700320*x-17218440
"(2, 0)",174420*x+390150
"(2, 2)",-5960
"(2, 4)",-1292*x+2889
"(3, -5)",1007973180*x+2253896550
"(3, -3)",-1129892760*x-2526517170
"(3, -1)",-125283132*x-280145952
"(3, 1)",-5601636*x-12622608
"(3, 3)",-874530
"(3, 5)",-174420*x+390150
"(4, -8)",-44492448960*x-99488140360
"(4, -6)",-32491535940*x-72653283072
"(4, -4)",24217744128*x+54152525376
"(4, -2)",10464658380*x+23399672240
"(4, 0)",-1039543200*x-2325294000
"(4, 2)",-21525740*x-40033440
"(4, 4)",18744384
"(4, 6)",5601636*x-12622608
"(4, 8)",7700320*x-17218440
"(5, -11)",43133785636*x+96450076809
"(5, -9)",-723891538332*x-1618670688048
"(5, -7)",-113911067340*x-254712888560
"(5, -5)",-179329761500*x-400993561125
"(5, -3)",44484416460*x+99471128490
"(5, -1)",-25383669408*x-56763569792
"(5, 1)",-5111251552*x-11448753408
"(5, 3)",1218856140*x+2759876010
"(5, 5)",-138800125
"(5, 7)",21525740*x-40033440
"(5, 9)",125283132*x-280145952
"(5, 11)",-7465176*x+16692641
"(6, -12)",-6528520367280*x-14598215333730
"(6, -10)",-6007520152800*x-13433223438000
"(6, -8)",7087035193380*x+15847092457290
"(6, -6)",6734160849600*x+15058042333200
"(6, -4)",-1904655182040*x-4258936274418
"(6, -2)",746687466720*x+1669669873920
"(6, 0)",-152535522600*x-341197879500
"(6, 2)",33385750560*x+75230743680
"(6, 4)",3154365504*x+5579184798
"(6, 6)",5212198800
"(6, 8)",-1218856140*x+2759876010
"(6, 10)",1039543200*x-2325294000
"(6, 12)",1129892760*x-2526517170
"(7, -15)",5824068859620*x+13023013875750
"(7, -13)",60464774593900*x+135203346236160
"(7, -11)",-29558195136864*x-66094133621632
"(7, -9)",16321268700072*x+36495466037262
"(7, -7)",3358019564200*x+7508760465150
"(7, -5)",-4387113572760*x-9809897266800
"(7, -3)",419520905100*x+938012633280
"(7, -1)",-1480972811444*x-3311834710842
"(7, 1)",-359994146148*x-806117694298
"(7, 3)",-83572636140*x-186549400080
"(7, 5)",-16157001960*x-39523755600
"(7, 7)",2599086350
"(7, 9)",-3154365504*x+5579184798
"(7, 11)",5111251552*x-11448753408
"(7, 13)",-10464658380*x+23399672240
"(7, 15)",-1007973180*x+2253896550
"(8, -16)",139930125571584*x+312893272878144
"(8, -14)",-146671953090976*x-327968457504768
"(8, -12)",193649554202400*x+433013567109120
"(8, -10)",-97742270897640*x-218558362590000
"(8, -8)",-15147823093760*x-33871564177920
"(8, -6)",-413413445592*x-924476747472
"(8, -4)",-62369363944800*x-139462046550400
"(8, -2)",-12519172320400*x-27992068071840
"(8, 0)",3269395457280*x+7313121417600
"(8, 2)",2136884818320*x+4768530238240
"(8, 4)",128293410400*x+238599302400
"(8, 6)",-72513418536*x-162464922288
"(8, 8)",-11724321280
"(8, 10)",16157001960*x-39523755600
"(8, 12)",-33385750560*x+75230743680
"(8, 14)",25383669408*x-56763569792
"(8, 16)",-24217744128*x+54152525376
"(9, -19)",-187736089059684*x-419790656967408
"(9, -17)",257032177162020*x+574741420539210
"(9, -15)",-881502785105400*x-1971100149871500
"(9, -13)",-482463170711820*x-1078820446295520
"(9, -11)",-419395945746600*x-937797844232592
"(9, -9)",623226154269348*x+1393576129786491
"(9, -7)",-63422116962840*x-141816371886270
"(9, -5)",-15380900065800*x-34391644470000
"(9, -3)",109563857427960*x+244996039402560
"(9, -1)",10739980909980*x+24013642853898
"(9, 1)",-2178281696004*x-4862473559478
"(9, 3)",4898798731080*x+11038849374240
"(9, 5)",1415634856200*x+3153551238000
"(9, 7)",-256571416080*x-622799487630
"(9, 9)",482373184419
"(9, 11)",72513418536*x-162464922288
"(9, 13)",83572636140*x-186549400080
"(9, 15)",152535522600*x-341197879500
"(9, 17)",-44484416460*x+99471128490
"(9, 19)",32491535940*x-72653283072
"(10, -22)",-257077362390560*x-574842457781640
"(10, -20)",-1036167361947000*x-2316940657380125
"(10, -18)",4314393568458720*x+9647277300766080
"(10, -16)",-2081527149254588*x-4654436202943002
"(10, -14)",678909961346400*x+1518088815817600
"(10, -12)",-1545891759073080*x-3456719067639870
"(10, -10)",1068805378540000*x+2389921624305000
"(10, -8)",-809917749892980*x-1811030925978970
"(10, -6)",-265127122101600*x-592847925800400
"(10, -4)",-130159625952208*x-291044478494367
"(10, -2)",151286669671680*x+338310875960320
"(10, 0)",-66792525615000*x-149404333612500
"(10, 2)",30463059249920*x+68234570311680
"(10, 4)",1693161206748*x+3685281037417
"(10, 6)",-7264382594400*x-16448861019600
"(10, 8)",423075989980*x+319155406470
"(10, 10)",827248745000
"(10, 12)",256571416080*x-622799487630
"(10, 14)",-128293410400*x+238599302400
"(10, 16)",359994146148*x-806117694298
"(10, 18)",-746687466720*x+1669669873920
"(10, 20)",179329761500*x-400993561125
"(10, 22)",44492448960*x-99488140360
"(11, -23)",-658178125564780*x-1471731030066240
"(11, -21)",-11005094487461616*x-24608139372772002
"(11, -19)",-8557420898669580*x-19134974841550778
"(11, -17)",12334401307932560*x+27580559784622560
"(11, -15)",8164157299057800*x+18255610697634000
"(11, -13)",1634615320211460*x+3655110864562630
"(11, -11)",3150675514225728*x+7045125046902576
"(11, -9)",4846438313065980*x+10836964510462512
"(11, -7)",-320440699848420*x-716533864839920
"(11, -5)",956914296685200*x+2139730064995500
"(11, -3)",91248381189900*x+204025641200550
"(11, -1)",73656137874744*x+164845521827728
"(11, 1)",187831881289160*x+420061889459952
"(11, 3)",-15444826510500*x-34465058365050
"(11, 5)",5840850643200*x+13801185607500
"(11, 7)",-8571511091260*x-19414501735680
"(11, 9)",-2138930050716*x-1031680033632
"(11, 11)",2438603339184
"(11, 13)",-423075989980*x+319155406470
"(11, 15)",-1415634856200*x+3153551238000
"(11, 17)",-2136884818320*x+4768530238240
"(11, 19)",1480972811444*x-3311834710842
"(11, 21)",1904655182040*x-4258936274418
"(11, 23)",113911067340*x-254712888560
"(12, -26)",-4182645183199164*x-9352678955395392
"(12, -24)",38909981388988800*x+87005363389030800
"(12, -22)",2423908217031660*x+5420023544491920
"(12, -20)",18893836347621120*x+42247902429475200
"(12, -18)",28414822925608200*x+63537475644956160
"(12, -16)",-42238729752544800*x-94448671045448400
"(12, -14)",-7512299519971068*x-16798011744788208
"(12, -12)",-21179143772259840*x-47358008017073280
"(12, -10)",-3991046362436160*x-8924253620630400
"(12, -8)",11351744884958400*x+25383260195531280
"(12, -6)",-9151657693061400*x-20463715364047200
"(12, -4)",-2348355134930688*x-5251163300333568
"(12, -2)",-1452574933655220*x-3248246946342240
"(12, 0)",909111714696000*x+2033539361820000
"(12, 2)",-246071344243500*x-551356570010160
"(12, 4)",-104999216212224*x-236603011433472
"(12, 6)",18824905402200*x+35010444283200
"(12, 8)",-18800018403840*x-33251941396080
"(12, 10)",-2736776410560*x-9208663632000
"(12, 12)",-16392526139520
"(12, 14)",2138930050716*x-1031680033632
"(12, 16)",7264382594400*x-16448861019600
"(12, 18)",-4898798731080*x+11038849374240
"(12, 20)",-3269395457280*x+7313121417600
"(12, 22)",-419520905100*x+938012633280
"(12, 24)",-6734160849600*x+15058042333200
"(12, 26)",723891538332*x-1618670688048
"(13, -29)",249227005939632*x+557288527109761
"(13, -27)",40948888128493500*x+91564497458345610
"(13, -25)",-25348758380409240*x-56681546883814800
"(13, -23)",-72333640782452880*x-161742937849329760
"(13, -21)",-12575371658601132*x-28119385869517782
"(13, -19)",9652925826637736*x+21584598312689793
"(13, -17)",-49846631785148700*x-111460457163919120
"(13, -15)",-19804140462651840*x-44283404845065600
"(13, -13)",44260012668341080*x+98968402940276610
"(13, -11)",426571341520788*x+953862520555658
"(13, -9)",-24323536504414656*x-54389088973122048
"(13, -7)",328246953722200*x+733933642251600
"(13, -5)",2203797113852760*x+4927641104978100
"(13, -3)",495963736637760*x+1108223220564720
"(13, -1)",2664422754771628*x+5956904361901248
"(13, 1)",-1196902958820876*x-2674294292011408
"(13, 3)",-1014834176870400*x-2268854468453520
"(13, 5)",-257554288918440*x-574203207098700
"(13, 7)",-63183514368600*x-141028580539600
"(13, 9)",-5992019744832*x-32224830918912
"(13, 11)",25770904353604*x+57955661005482
"(13, 13)",34256975749490
"(13, 15)",2736776410560*x-9208663632000
"(13, 17)",8571511091260*x-19414501735680
"(13, 19)",-1693161206748*x+3685281037417
"(13, 21)",2178281696004*x-4862473559478
"(13, 23)",12519172320400*x-27992068071840
"(13, 25)",4387113572760*x-9809897266800
"(13, 27)",-7087035193380*x+15847092457290
"(13, 29)",-43133785636*x+96450076809
"(14, -30)",-34711450403335200*x-77617162699470000
"(14, -28)",19402637041947600*x+43385615368550350
"(14, -26)",-360370056579644000*x-805811943567513600
"(14, -24)",62053431416168436*x+138755690883382122
"(14, -22)",176166843015709440*x+393921036384926720
"(14, -20)",34705349313094800*x+77603520375139500
"(14, -18)",-97274761452429120*x-217512977582081520
"(14, -16)",149330856696644700*x+333913946769119338
"(14, -14)",-20013796602632000*x-44752212372294000
"(14, -12)",11045863672738560*x+24699266789723280
"(14, -10)",26147196893649600*x+58466987710128000
"(14, -8)",36964334342494340*x+82654710570831690
"(14, -6)",-2500344594396000*x-5590555294348800
"(14, -4)",-15576282370144584*x-34829396890341698
"(14, -2)",8826597956206240*x+19738534876618320
"(14, 0)",453332641167000*x+1014033539452500
"(14, 2)",2145565111042080*x+4804461458016080
"(14, 4)",298985026229360*x+656494936847118
"(14, 6)",498092911394400*x+1111834424476800
"(14, 8)",-75857951604780*x-141013380683990
"(14, 10)",96295731681600*x+235561583376000
"(14, 12)",-47458219222080*x-97570380541680
"(14, 14)",-15490554646000
"(14, 16)",-25770904353604*x+57955661005482
"(14, 18)",18800018403840*x-33251941396080
"(14, 20)",-5840850643200*x+13801185607500
"(14, 22)",-30463059249920*x+68234570311680
"(14, 24)",-10739980909980*x+24013642853898
"(14, 26)",62369363944800*x-139462046550400
"(14, 28)",-3358019564200*x+7508760465150
"(14, 30)",6007520152800*x-13433223438000
"(15, -33)",-37721789552251080*x-84348485671774770
"(15, -31)",94304287394650512*x+210870797184115038
"(15, -29)",-2388775402049112*x-5341464181970928
"(15, -27)",633064867017483960*x+1415576076818617440
"(15, -25)",-385994005529085000*x-863108835279412500
"(15, -23)",-89148959196479100*x-199343132874459450
"(15, -21)",99618645720850200*x+222754062432376800
"(15, -19)",-58945426590053952*x-131805984076351488
"(15, -17)",-263167726992439680*x-588460925559550320
"(15, -15)",156829256324595000*x+350680899010646250
"(15, -13)",62752085561836080*x+140318013737869920
"(15, -11)",22475537199438732*x+50257112523137568
"(15, -9)",-38902956726763800*x-86990485998359700
"(15, -7)",-44438954078889540*x-99367647941150010
"(15, -5)",17389314381991500*x+38884293155844000
"(15, -3)",22198780407378240*x+49641444690197760
"(15, -1)",-15335448536005848*x-34283877309193842
"(15, 1)",9341337042451008*x+20875996336768542
"(15, 3)",4469942819770560*x+10012278317898240
"(15, 5)",777507777004500*x+1752019568226000
"(15, 7)",1137193946068140*x+2508447644049510
"(15, 9)",-1065926260114200*x-2413594367025300
"(15, 11)",362410715241108*x+827770970225232
"(15, 13)",98561183501520*x+268959245122080
"(15, 15)",121384873316250
"(15, 17)",47458219222080*x-97570380541680
"(15, 19)",5992019744832*x-32224830918912
"(15, 21)",-18824905402200*x+35010444283200
"(15, 23)",15444826510500*x-34465058365050
"(15, 25)",66792525615000*x-149404333612500
"(15, 27)",-109563857427960*x+244996039402560
"(15, 29)",413413445592*x-924476747472
"(15, 31)",-16321268700072*x+36495466037262
"(15, 33)",6528520367280*x-14598215333730
