numerator,17*x-38
denominator,192000
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",-1292*x-2889
"(1, 1)",1
"(2, -4)",7465176*x+16692641
"(2, -2)",14677120*x+32819040
"(2, 0)",-623220*x-1393080
"(2, 2)",-11360
"(2, 4)",1292*x-2889
"(3, -5)",3600341940*x+8050609320
"(3, -3)",23023440*x+51481980
"(3, -1)",305985612*x+684200112
"(3, 1)",5888364*x+12929952
"(3, 3)",-17820
"(3, 5)",623220*x-1393080
"(4, -8)",-84804399360*x-189628401760
"(4, -6)",-33716981580*x-75393462768
"(4, -4)",-181851501312*x-406632343104
"(4, -2)",30774131820*x+68812948160
"(4, 0)",12438940800*x+27804691200
"(4, 2)",137805260*x+284322960
"(4, 4)",140751936
"(4, 6)",-5888364*x+12929952
"(4, 8)",-14677120*x+32819040
"(5, -11)",-43133785636*x-96450076809
"(5, -9)",-1767978977772*x-3953321177088
"(5, -7)",-765464660460*x-1711631011040
"(5, -5)",1788427324100*x+3999045309075
"(5, -3)",-301293224940*x-673715202510
"(5, -1)",-10744444152*x-23994820928
"(5, 1)",-39390516152*x-88071560928
"(5, 3)",3914791260*x+8986938990
"(5, 5)",-1384231675
"(5, 7)",-137805260*x+284322960
"(5, 9)",-305985612*x+684200112
"(5, 11)",-7465176*x+16692641
"(6, -12)",-133029436320*x-297462862620
"(6, -10)",-71859761001600*x-160683310444800
"(6, -8)",-22920957125220*x-51252818281710
"(6, -6)",10735453324800*x+24005204841600
"(6, -4)",7481631603480*x+16729441427172
"(6, -2)",-2093648104320*x-4681538008320
"(6, 0)",-567683672400*x-1268939973600
"(6, 2)",-2266631040*x-3447870720
"(6, 4)",-4621452504*x-16124619108
"(6, 6)",-8309174400
"(6, 8)",-3914791260*x+8986938990
"(6, 10)",-12438940800*x+27804691200
"(6, 12)",-23023440*x+51481980
"(7, -15)",-20802775106100*x-46516419257880
"(7, -13)",-177812795850700*x-397601498791440
"(7, -11)",227587657882104*x+508901473862912
"(7, -9)",34184384171592*x+76438607778852
"(7, -7)",120061678444400*x+268466090577300
"(7, -5)",3315535273440*x+7413704335440
"(7, -3)",34816067090700*x+77850438395280
"(7, -1)",13655436832244*x+30535640446752
"(7, 1)",-1490448850668*x-3343314370288
"(7, 3)",851418330540*x+1876881958080
"(7, 5)",75403579680*x+166041336240
"(7, 7)",-92926995700
"(7, 9)",4621452504*x-16124619108
"(7, 11)",39390516152*x-88071560928
"(7, 13)",-30774131820*x+68812948160
"(7, 15)",-3600341940*x+8050609320
"(8, -16)",1050737974580736*x+2349521537702976
"(8, -14)",62042007794104*x+138730146882912
"(8, -12)",11002946044800*x+24603335028480
"(8, -10)",-432366348117600*x-966800545130160
"(8, -8)",1845566973616640*x+4126813457258880
"(8, -6)",36571325262192*x+81775339695792
"(8, -4)",-503049946953600*x-1124852435756800
