numerator,1
denominator,540
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",(-1203036871971935040688432372276822768832733686474763409025314994721024387796435350823932871725741182872770670099528038906488951131267*x-2690072225167958220219112473738074101757970165691587457543392847358727438570504565308029503133727781506550617351279184928083475270509)/2
"(1, 1)",(1203036871971935040688432372276822768832733686474763409025314994721024387796435350823932871725741182872770670099528038906488951131267*x-2690072225167958220219112473738074101757970165691587457543392847358727438570504565308029503133727781506550617351279184928083475270509)/2
"(2, -4)",8549462448264290168397738273390908105516134857540081360387812764934263801850293145538039857602329524460213686940142302501614345006159031943293268312933207*x+19117179205400731719669760178912553792267255834013986730049320404010653828415321675379877779299104689662971903464675777662337673237396351254343489495459398
"(2, -2)",-4770339460342218893607000212275359171408476722334650559061726950342285328075021648041618802215925498304600457192067427671643162008972153109081192040*x-10666803309074863639770621154275417153307639714985167862325007610248351587909315647766451311101580389585086985763876300447180745291037892238975341080
"(2, 0)",50853116464770178657140945868362317350573263354915420716169951595124106854029956022913287929224206907584894921457358715462742656875026273340
"(2, 2)",4770339460342218893607000212275359171408476722334650559061726950342285328075021648041618802215925498304600457192067427671643162008972153109081192040*x-10666803309074863639770621154275417153307639714985167862325007610248351587909315647766451311101580389585086985763876300447180745291037892238975341080
"(2, 4)",-8549462448264290168397738273390908105516134857540081360387812764934263801850293145538039857602329524460213686940142302501614345006159031943293268312933207*x+19117179205400731719669760178912553792267255834013986730049320404010653828415321675379877779299104689662971903464675777662337673237396351254343489495459398
"(3, -5)",-161619009900605138896220581914424945906880121647013280599990050841877812094488578034067550364899877717706389694785132045089800875335922522104299353850965618170610*x-361391092593964619899650645349877897333856009357406437813210638146952558733397235853325052404525331611762199083272682521923382831933354974715526199037189038808810
"(3, -3)",8838256448469136434974533371526048188423697682611697231708418938036833256151448077716329519842455143399034795469048061241352078621624317711914788177097929270*x+19762942221352856162254527122301329443050316893757974288814812602366738194132516687230950840800290470658841771305925961880267849370598531296606997909689093290
"(3, -1)",39715181854063529223496721017614559852066646428395622194750974167933063491359223663628222666789304338585253859037255585034493139225939812315199870056114*x+88805768023639498172653774444710662327070983504416553474006647797451005645569266747709462246617509478990496978670348611855187169701188854945580745089706
