weight,"(7, 69)"
"(0, 0)",0
"(1, -1)","(3010349, 1346269)"
"(1, 1)","(3010349, -1346269)"
"(2, -4)","(-27280388024614569596, -12200160415121876738)"
"(2, -2)","(-50809692074243620, -22722785078773220)"
"(2, 0)",326818152480
"(2, 2)","(-50809692074243620, 22722785078773220)"
"(2, 4)","(-27280388024614569596, 12200160415121876738)"
"(3, -5)","(-2961691821493476856921440, -1324508848252917394094880)"
"(3, -3)","(330449271485065546797360, 147781406831210503706160)"
"(3, -1)","(-276542064800137951812, -123692513494221297276)"
"(3, 1)","(-276542064800137951812, 123692513494221297276)"
"(3, 3)","(330449271485065546797360, -147781406831210503706160)"
"(3, 5)","(-2961691821493476856921440, 1324508848252917394094880)"
"(4, -8)","(460447647497532499333917490480, 205918447976868719646491342440)"
"(4, -6)","(-193947781431057267160350121872, -86736084673023098230237999128)"
"(4, -4)","(-5937538876490543122465691616, -2655348109376702501583292896)"
"(4, -2)","(-66090483058032303279638480, -29556539001187750410110360)"
"(4, 0)",28504238812905166122000
"(4, 2)","(-66090483058032303279638480, 29556539001187750410110360)"
"(4, 4)","(-5937538876490543122465691616, 2655348109376702501583292896)"
"(4, 6)","(-193947781431057267160350121872, 86736084673023098230237999128)"
"(4, 8)","(460447647497532499333917490480, -205918447976868719646491342440)"
"(5, -11)","(247220362414275519277277821571239, 110560307156090817237632754212345)"
"(5, -9)","(2506273752108117827164262470438908, 1120839695987441662549844964589500)"
"(5, -7)","(238661007929516981270394231721820, 106732447461803261512324560140900)"
"(5, -5)","(48263081685836094993416527173025, 21583906290635694987754534315025)"
"(5, -3)","(1145289302571812067031612744830, 512188909088982491714150185650)"
"(5, -1)","(-15483619315147291510402110232, -6960240509293376211588580120)"
"(5, 1)","(-15483619315147291510402110232, 6960240509293376211588580120)"
"(5, 3)","(1145289302571812067031612744830, -512188909088982491714150185650)"
"(5, 5)","(48263081685836094993416527173025, -21583906290635694987754534315025)"
"(5, 7)","(238661007929516981270394231721820, -106732447461803261512324560140900)"
"(5, 9)","(2506273752108117827164262470438908, -1120839695987441662549844964589500)"
"(5, 11)","(247220362414275519277277821571239, -110560307156090817237632754212345)"
"(6, -12)","(-2994597752142290117518195515518437440, -1339224827811645436127358556454500320)"
"(6, -10)","(-258311144376365033206139148717966000, -115520255634262946968351816867482000)"
"(6, -8)","(-383002091317246803616565693151945120, -171283742341989164750188618586089140)"
"(6, -6)","(-6453531279342735162450977514618000, -2886106927106944983594166340058000)"
"(6, -4)","(-420975883879788465950391793400832, -188266149360580877406538953800448)"
"(6, -2)","(-60989365390808501531741281339440, -27272682709933940384376771615120)"
"(6, 0)",-50865223632085317064355406000
"(6, 2)","(-60989365390808501531741281339440, 27272682709933940384376771615120)"
"(6, 4)","(-420975883879788465950391793400832, 188266149360580877406538953800448)"
"(6, 6)","(-6453531279342735162450977514618000, 2886106927106944983594166340058000)"
"(6, 8)","(-383002091317246803616565693151945120, 171283742341989164750188618586089140)"
"(6, 10)","(-258311144376365033206139148717966000, 115520255634262946968351816867482000)"
"(6, 12)","(-2994597752142290117518195515518437440, 1339224827811645436127358556454500320)"
"(7, -15)","(26839446887939119969770754300977051360, 12002965543985410540375765101921068640)"
"(7, -13)","(598925009726184914052924413477284457620, 267847407034494434695430581827385119980)"
"(7, -11)","(-362268754122635277620835991061028840152, -162011512068473933155989047136720128984)"
"(7, -9)","(-108531634260576649653633857643118476672, -48536822383158902518014538037357045376)"
"(7, -7)","(6306145247586357844463235824480360800, 2820193889918689955519335475782824800)"
"(7, -5)","(175920393238083368688430650435628320, 78673992079965058271949407155740960)"
"(7, -3)","(15875295216232333403253414593241660, 7099626612679008151061713132361340)"
"(7, -1)","(1035714087797683065506118432961888, 485522748692563558647188399341856)"
