numerator,1
denominator,32
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",(76853220300786029454610054849469745107124274062825819823522045302707*x+171849024882286469481697880591506153460776747663916827825582974542947)/2
"(1, 1)",(76853220300786029454610054849469745107124274062825819823522045302707*x-171849024882286469481697880591506153460776747663916827825582974542947)/2
"(2, -4)",348229668843407494985108032102566188682622847465939777687167706069213967006589007*x+778665211316099727569901877154499345568048475188805380107607298720858993358588194
"(2, -2)",-383329382652269070747454682364428910865919209308909740131923576922724845690520*x-857150557383313100766287759430749877919129851332733003059860999447917033296920
"(2, 0)",6186938163058264103917049702844876747877498255020561534951389869086756450*x
"(2, 2)",-383329382652269070747454682364428910865919209308909740131923576922724845690520*x+857150557383313100766287759430749877919129851332733003059860999447917033296920
"(2, 4)",348229668843407494985108032102566188682622847465939777687167706069213967006589007*x-778665211316099727569901877154499345568048475188805380107607298720858993358588194
"(3, -5)",28033638919026814917300826152618977904104600064159271309228123082842108115292758439675*x+62685122279627680725467086436661135405553636064126036108280049519603316056675490206125
"(3, -3)",176738426531077586351942850577284167108047497953392499113349349903290018203223893365*x+395199135959754611446141007697924274546575519020713658498689416551981218469753700165
"(3, -1)",-401014772081000549457982044221613331679916805286692922137185834606745297237716474*x-896693105389249794731078600797808378510471372190938652756342154199117867769145278
"(3, 1)",-401014772081000549457982044221613331679916805286692922137185834606745297237716474*x+896693105389249794731078600797808378510471372190938652756342154199117867769145278
"(3, 3)",176738426531077586351942850577284167108047497953392499113349349903290018203223893365*x-395199135959754611446141007697924274546575519020713658498689416551981218469753700165
"(3, 5)",28033638919026814917300826152618977904104600064159271309228123082842108115292758439675*x-62685122279627680725467086436661135405553636064126036108280049519603316056675490206125
"(4, -8)",-3473807953824473237962950510209991614541635908490718501998887335622777997228710775506317040*x-7767670725530972708928160610212260035516677029556439738139626052564002374856127378679643680
"(4, -6)",-6453917707529368533839166048299006929038871929872109184165495079184381423532369225463352*x-14431398715225274337047195494959179207758644487550901877939235250351057526421636564510868
"(4, -4)",10150155796039359039232172873086407788152235512081957969356746807479984881100345169796864*x+22696438342152488428682181923763226070463105086398342449462264521541062749595766508441344
"(4, -2)",65490697472122082257315409519800448647755812578883476764421402744039078749746444803640*x+146441853388993787468483814645557793590218872111590420157454200751381475117634477366620
"(4, 0)",-285688726013144707901573122658049700181117664018338136313805706349138154088757044000*x
"(4, 2)",65490697472122082257315409519800448647755812578883476764421402744039078749746444803640*x-146441853388993787468483814645557793590218872111590420157454200751381475117634477366620
"(4, 4)",10150155796039359039232172873086407788152235512081957969356746807479984881100345169796864*x-22696438342152488428682181923763226070463105086398342449462264521541062749595766508441344
"(4, 6)",-6453917707529368533839166048299006929038871929872109184165495079184381423532369225463352*x+14431398715225274337047195494959179207758644487550901877939235250351057526421636564510868
"(4, 8)",-3473807953824473237962950510209991614541635908490718501998887335622777997228710775506317040*x+7767670725530972708928160610212260035516677029556439738139626052564002374856127378679643680
"(5, -11)",(6311454577346442443453908334340500518780768860161426470273247014865467661144714954470330056535*x+14112841471848849549793185681851178965444753191839131856618832701563678180388770956695721284617)/2
"(5, -9)",-3634070055474014573092239436432046304849046718924514542176542994395932175461999430721298739270*x-8126027679036328312277909127431989641744466295686101104003182231914550815405738821575739247102
"(5, -7)",-409220218077623916361155570085661957584723758294033388289696875107702072368055119980314984650*x-915044225388855388214337082286566291648920099656155801087248283173793564360014835296520290830
"(5, -5)",(-8807986234911162572153061838457845438690490690842349941493943004403645940281584236622634375*x-19695255966139444151145423056120089342112519831242179166293177536854455649413844354384384375)/2
"(5, -3)",909094058352917563481159891220028127512251300732449607116677606251758759473142842494929025*x+2032796174169430220890701343205750116533434629923622141635393717257987262324280687974560295
"(5, -1)",11918682239461707680531211648158586480594481184933875867444167638198525529718705769327440*x+26910935362246586501447525189844907433877972101247728803973011593951246638772184750851472
"(5, 1)",11918682239461707680531211648158586480594481184933875867444167638198525529718705769327440*x-26910935362246586501447525189844907433877972101247728803973011593951246638772184750851472
"(5, 3)",909094058352917563481159891220028127512251300732449607116677606251758759473142842494929025*x-2032796174169430220890701343205750116533434629923622141635393717257987262324280687974560295
"(5, 5)",(-8807986234911162572153061838457845438690490690842349941493943004403645940281584236622634375*x+19695255966139444151145423056120089342112519831242179166293177536854455649413844354384384375)/2
"(5, 7)",-409220218077623916361155570085661957584723758294033388289696875107702072368055119980314984650*x+915044225388855388214337082286566291648920099656155801087248283173793564360014835296520290830
"(5, 9)",-3634070055474014573092239436432046304849046718924514542176542994395932175461999430721298739270*x+8126027679036328312277909127431989641744466295686101104003182231914550815405738821575739247102
"(5, 11)",(6311454577346442443453908334340500518780768860161426470273247014865467661144714954470330056535*x-14112841471848849549793185681851178965444753191839131856618832701563678180388770956695721284617)/2
"(6, -12)",1601639163640683131832923298244801230919397923934182845508756786780135225106004202800795157343730*x+3581374045326477036848688949764076206399734060984604475145215019167358112655716416483768856597660
"(6, -10)",-1294484343824507679703257276114374628494229151761484713649991838518614226291299836795788675166000*x-2894554988600809267581505465885286180741883509189414800185029307874567375610736482895608959410000
"(6, -8)",-125130655551605529675713553591669749522441878961044577394961100620432109053151501572023593251410*x-279800651882501408642235957820122635778349939618914545705396482833791921134312244014230743615880
