numerator,1
"(8, 6)",102825519417652727627266628848864996924882443798768*x-229924851436888960386819888548972532216971000844336
"(8, 8)",2432492441096471455715365256941968502309491609436160*x-5439218453044912829636049025766765734752026346127360
"(8, 10)",9164217014247720165066521923640145219555963379687440*x-20491812204418061004176398853394979607323448856464160
"(8, 12)",-7581089344276880296894762695812341755803229395650560*x+16951831117302410595225265191387470636839142682723840
"(8, 14)",-489153868360996229649444989234646029958308603886935648*x+1093781301112171208302377082866500366270879436590722024
"(8, 16)",-468218428910842774099115937300784230048257648635723776*x+1046968235362797261683408544904461054874283057501601792
"(9, -19)",-6544539976602728399843993538546434937972857710876289046*x-14634036269148583873763583919452233385323788669759712226
"(9, -17)",-34198869300871392012600513937665187405894047789585798885*x-76470996510379140380209112077128695778374724242158113405
"(9, -15)",-6375669998568052827598818585421639281431096498271874200*x-14256431518904152956027424231040321262559534887018534600
"(9, -13)",2166401595880676001861374798121479428912687771073426970*x+4844221234953219916791564074005093033499341270370110290
"(9, -11)",399788312461273524130852511577849774684002873521156656*x+893953843273333910003601595618347355675248225053142384
"(9, -9)",(60517151512117054285166016463833129089217221775785739*x+135320464585718056532754770774550699986849563018620219)/2
"(9, -7)",-7891960504519591263699443215698662480932184834888355*x-17646960160676083762785444046365071404758705791213565
"(9, -5)",298059444866209220011715665586979333157996753726200*x+666481116741702176167807802533857710364533476087800
"(9, -3)",-39186511807167700284491148344292899294472566589960*x-87624106754926922605539854370202570977073918624920
"(9, -1)",3780990280295895940039904562737407019145709389861*x+7805545435846532498252451882854824640411331202989
"(9, 1)",-3780990280295895940039904562737407019145709389861*x+7805545435846532498252451882854824640411331202989
"(9, 3)",39186511807167700284491148344292899294472566589960*x-87624106754926922605539854370202570977073918624920
"(9, 5)",-298059444866209220011715665586979333157996753726200*x+666481116741702176167807802533857710364533476087800
"(9, 7)",7891960504519591263699443215698662480932184834888355*x-17646960160676083762785444046365071404758705791213565
"(9, 9)",(-60517151512117054285166016463833129089217221775785739*x+135320464585718056532754770774550699986849563018620219)/2
"(9, 11)",-399788312461273524130852511577849774684002873521156656*x+893953843273333910003601595618347355675248225053142384
"(9, 13)",-2166401595880676001861374798121479428912687771073426970*x+4844221234953219916791564074005093033499341270370110290
"(9, 15)",6375669998568052827598818585421639281431096498271874200*x-14256431518904152956027424231040321262559534887018534600
"(9, 17)",34198869300871392012600513937665187405894047789585798885*x-76470996510379140380209112077128695778374724242158113405
"(9, 19)",6544539976602728399843993538546434937972857710876289046*x-14634036269148583873763583919452233385323788669759712226
"(10, -22)",-225132923288852017434647005994781563226191814070102366400*x-503412520447118632659704994560803569732878064036864335680
"(10, -20)",510879982369997908926633680099763582398399936518894446475*x+1142362368923209440998033265571523212966557277404033409450
"(10, -18)",912114203981714921546329675973059591809876323313236409600*x+2039549363346223910711331515671967604966432561722274474240
"(10, -16)",-260665506336523847249813562566314658984247040805212699880*x-582865791557869494608422272658402824237009078181263507436
"(10, -14)",-30758412578375088450487841331563439203797210571698592000*x-68777901405231275663864042084096456075156124870709779200
"(10, -12)",-6430195246888189648661545149197849038327398213607824150*x-14378353680638031208538916618117683055366827512580910540
"(10, -10)",2745805814697494543467823706186983779833596729685832000*x+6139808454676433908404501348613301230763159577776072000
"(10, -8)",-219178466164356200212980030282451482948907962217746400*x-490097949476908376526913226736982796137933002226450060
