numerator,1
denominator,73800
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",(1222783890593650387386603750216479359364834911138653613540827975071300932949269956367943406157185*x+2734227901159068044659441296463652661996342792005731286696044169308070617657107068438054494964429)/2
"(1, 1)",(1222783890593650387386603750216479359364834911138653613540827975071300932949269956367943406157185*x-2734227901159068044659441296463652661996342792005731286696044169308070617657107068438054494964429)/2
"(2, -4)",-32013336002121423445903678578779225428964137854316237906745031028530617327085959184341298972117431482233662409840*x-71583995487284854514587343215939640145009155949789115613596456789096673371405180679066115820964967582249755149027
"(2, -2)",1291892710937272549493823636900240596857248275066935843056454211927890279699092112184759738239258507892426700*x+2888759921292227579776150721652378339832018886177323638662851710343397431527039759574778130789503501668850780
"(2, 0)",2279130887974002373967125828121330275470608564050423060509631244996627596293915808492738207947667807800*x
"(2, 2)",1291892710937272549493823636900240596857248275066935843056454211927890279699092112184759738239258507892426700*x-2888759921292227579776150721652378339832018886177323638662851710343397431527039759574778130789503501668850780
"(2, 4)",-32013336002121423445903678578779225428964137854316237906745031028530617327085959184341298972117431482233662409840*x+71583995487284854514587343215939640145009155949789115613596456789096673371405180679066115820964967582249755149027
"(3, -5)",-59669237933861257655836581788996200684456701489949024778351849884455811420900181484249372346283486912080652726403795300*x-133424472185722872517093534749301363720020432381236467371766808526983773718377714575074904902714494810453201332727357500
"(3, -3)",46570851303469083490220698305625783947477775847221326851119811458207048034491284784729257663563766476391508680594600*x+104135589284591562214070607887579767009754571830820315418081598161940567798069013346947798364469474539806439668821640
"(3, -1)",5522960971096425189792115386362184785180169538276505275089027836556783501704647504613567320766125362527467326030*x+12349783146837937117816656385120699902292733611560004743274246479472730567490605526569143815707071365744399812634
"(3, 1)",5522960971096425189792115386362184785180169538276505275089027836556783501704647504613567320766125362527467326030*x-12349783146837937117816656385120699902292733611560004743274246479472730567490605526569143815707071365744399812634
"(3, 3)",46570851303469083490220698305625783947477775847221326851119811458207048034491284784729257663563766476391508680594600*x-104135589284591562214070607887579767009754571830820315418081598161940567798069013346947798364469474539806439668821640
"(3, 5)",-59669237933861257655836581788996200684456701489949024778351849884455811420900181484249372346283486912080652726403795300*x+133424472185722872517093534749301363720020432381236467371766808526983773718377714575074904902714494810453201332727357500
"(4, -8)",-67645306340840982751308464616412964828397969873643660699780474999130712195167360766431255371933636193712794074527400024617600*x-151259503336917995899004677899349288476506993730254341397629037170202067825696083037003078879456927906994119067832307574798280
"(4, -6)",784207359434257472152194437689090921026055678673445125369617753249136448507632011784393076802388280459166262307732699363240*x+1753540964150610728345978529164265560527244036982006071396467519436069897482734618309466449492695849473439417335395381190884
"(4, -4)",-25356638410436924749462169726947230034907778501294347460498354244134700490756800742151032314017463915761730649185441855680*x-56699167166619178789426400517344206167198251225361171120024628058533888119805924158333514098674719874376361238047066149312
"(4, -2)",69268280233362156486200124993598300296061905698137875224053785439768073671934766518975179084801308771337292003179032600*x+154888582316387320980742130960540511845532313069609447125601395907506203954752347476127424892256834883614362255629432420
"(4, 0)",-5590275066133792217108772924512632554345450462191704714234578110566521226608269652370265660126426216472160563648000*x
"(4, 2)",69268280233362156486200124993598300296061905698137875224053785439768073671934766518975179084801308771337292003179032600*x-154888582316387320980742130960540511845532313069609447125601395907506203954752347476127424892256834883614362255629432420
"(4, 4)",-25356638410436924749462169726947230034907778501294347460498354244134700490756800742151032314017463915761730649185441855680*x+56699167166619178789426400517344206167198251225361171120024628058533888119805924158333514098674719874376361238047066149312
"(4, 6)",784207359434257472152194437689090921026055678673445125369617753249136448507632011784393076802388280459166262307732699363240*x-1753540964150610728345978529164265560527244036982006071396467519436069897482734618309466449492695849473439417335395381190884
"(4, 8)",-67645306340840982751308464616412964828397969873643660699780474999130712195167360766431255371933636193712794074527400024617600*x+151259503336917995899004677899349288476506993730254341397629037170202067825696083037003078879456927906994119067832307574798280
"(5, -11)",(3352525952847372174384528073180709299688893520550783897226011589402043339919089348028123613701836442252726677025924352451943542175*x+7496475926898978815919566725774775746748134651200965011041140845846147530199713110024827197730711105918051675658376163539155168429)/2
"(5, -9)",-289190732904628942742175461866539492654173233834354687248841581074813256801027086021142196623973353351454465720178338242304369050*x-646650137237735522535896047026540516959628350772349480646359515135721210668927406917751913135378158132005605450737924669452893634
"(5, -7)",-11356123387958728493009404841222088996824363227133932275739676015597257635560844171580064218715521483085911956831094229703896250*x-25393063856350933641308802252432868259261896567724818590309598735339387047369970534284746472274815337346816724656674531522668830
"(5, -5)",(623484274234328618311850790936714066598463582517051036692688703997830322005868870657189339647372781016755099500477095567740625*x+1394153220090079486888440078407204143779234662541765260950489554073837117116624893637403673262322429938305461418954487199068125)/2
"(5, -3)",-3633390523647903912282381761918963386555406141713712736915916313238067214892215066537049026444054895429538578629557855423125*x-8124508201663898831689230941675038321731460360458824606304493674328818832228439352849592096896411516113563048493630281115055
"(5, -1)",14342332770447243420619431535145724278944391769993178728385422264961941129583527134044067454492237071964780929114273448900*x+32097577624084391489804976998026782211999379018794757915524240214017535765623485950541952489872631465268760498550434036244
"(5, 1)",14342332770447243420619431535145724278944391769993178728385422264961941129583527134044067454492237071964780929114273448900*x-32097577624084391489804976998026782211999379018794757915524240214017535765623485950541952489872631465268760498550434036244
"(5, 3)",-3633390523647903912282381761918963386555406141713712736915916313238067214892215066537049026444054895429538578629557855423125*x+8124508201663898831689230941675038321731460360458824606304493674328818832228439352849592096896411516113563048493630281115055
"(5, 5)",(623484274234328618311850790936714066598463582517051036692688703997830322005868870657189339647372781016755099500477095567740625*x-1394153220090079486888440078407204143779234662541765260950489554073837117116624893637403673262322429938305461418954487199068125)/2
"(5, 7)",-11356123387958728493009404841222088996824363227133932275739676015597257635560844171580064218715521483085911956831094229703896250*x+25393063856350933641308802252432868259261896567724818590309598735339387047369970534284746472274815337346816724656674531522668830
"(5, 9)",-289190732904628942742175461866539492654173233834354687248841581074813256801027086021142196623973353351454465720178338242304369050*x+646650137237735522535896047026540516959628350772349480646359515135721210668927406917751913135378158132005605450737924669452893634
"(5, 11)",(3352525952847372174384528073180709299688893520550783897226011589402043339919089348028123613701836442252726677025924352451943542175*x-7496475926898978815919566725774775746748134651200965011041140845846147530199713110024827197730711105918051675658376163539155168429)/2
"(6, -12)",-2438514805684882881003545749499685649277759512421545459593814183450837029764814320745454741253342876785778952862230327488854888108800*x-5452684869651088737630053010100695864719071745315234535264064684651206258004104729128176507868593347066563035428868590071463096326640
"(6, -10)",146357304355340810018014526488153838912175274161622191599208124551801987012917430230019715605633074560357117870920270001419471648000*x+327264881542168086913543890384970858211623627447533114979180529457000336526254758349382984670355514356125636171586405766784287200000
"(6, -8)",-23225045139671891258174324131709123744383919701432125253857976589375187181076256834117249859081096168604744780510836632663604130400*x-51932779712807446588876124996802041079776920028587083090997454277747397060606108960263752930340846757542793065802083050855780316930
"(6, -6)",-1279492753966730394845644093567796056539846212992751350164123097235018438134554044241410971654588062354896028328021369733929356000*x-2861032774588022963649912394855308899984428757874126879066691884948223571806686700212150338848512191155585910197659966112487810400
"(6, -4)",22971720942923899183951590362451232059863996552246569640509247978863625160724215075876621432131828056436792310830013625531293360*x+51366329586562607605939869455360690020590214490083466056893430356336385286688156658338614675857914980749162843427051376150962976
