numerator,1
denominator,5220
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",-16388953069655180894936043069745147646101978865206469610697587411012382194735858165742541183493785737117510427433807036380907769961234187471219833452*x-36646813143802830310455735341964568660246198535503626979459094293042708108717633247538640915280533592000519958599067199196514533811575665593206705416
"(1, 1)",16388953069655180894936043069745147646101978865206469610697587411012382194735858165742541183493785737117510427433807036380907769961234187471219833452*x-36646813143802830310455735341964568660246198535503626979459094293042708108717633247538640915280533592000519958599067199196514533811575665593206705416
"(2, -4)",10943146167195462621416014649594389195485709445105579760834628532944301121272684858324903222815832790863385258067715930854641751873156519427742146669004047565280666349111084*x+24469618717565333568112657453751734216937529746811937842322625148132652856909885793527378478369051545689006183611486084893080339959254109991231551326162943242292068238302104
"(2, -2)",919660398327189343706122073608874310492218360195591408083273616470653919693653939384612884789350401465285056818797267234856337354541407593477456983127135760549658935*x+2056423166874129251156385597859766188515927873477442395364503502031117966871734601932520129372126789287545555011167111700958125980303244060108450413829279111918586730
"(2, 0)",12440332545361983905665379239899768756803233987028950915481724185089064946531433048351921891281558950601330530276696450931305066252752642853298218955055167210
"(2, 2)",-919660398327189343706122073608874310492218360195591408083273616470653919693653939384612884789350401465285056818797267234856337354541407593477456983127135760549658935*x+2056423166874129251156385597859766188515927873477442395364503502031117966871734601932520129372126789287545555011167111700958125980303244060108450413829279111918586730
"(2, 4)",-10943146167195462621416014649594389195485709445105579760834628532944301121272684858324903222815832790863385258067715930854641751873156519427742146669004047565280666349111084*x+24469618717565333568112657453751734216937529746811937842322625148132652856909885793527378478369051545689006183611486084893080339959254109991231551326162943242292068238302104
"(3, -5)",-1857410859686667575578289250625944091897901021700888464289152477201765732506966544608835269850334958343569186547038284673893571643146168194183169530151028126857915393694519905539960*x-4153296944405712429264741708418638521789874739891049383108717332013373193573294609736624937852740029417224287838551916859576411533955560676255888827259046514734154191500726635080890
"(3, -3)",-18032238671271814615004267637804767244922933354670802969586874186871229436528861837451730038146927216138198727034516750698717648888037445585924314657802386183543724217163198530*x-40321311455464261614384207221538991136207109977454514605341599093319417896552133549972872091066227640672978137741975088955422426063921304077342653417889872207061144156254417740
"(3, -1)",33846306194361598761298243736424869095034623028954839118027092394540487071936274489444688370247588719430864362011750942474406258772860942769037660371162064666158094760838*x+75682653426921024210721180940010482106163143277194500400685861392850692889555246389484164648735796875927967950508828084985211592453773799975877480787104366924080362058998
"(3, 1)",-33846306194361598761298243736424869095034623028954839118027092394540487071936274489444688370247588719430864362011750942474406258772860942769037660371162064666158094760838*x+75682653426921024210721180940010482106163143277194500400685861392850692889555246389484164648735796875927967950508828084985211592453773799975877480787104366924080362058998
"(3, 3)",18032238671271814615004267637804767244922933354670802969586874186871229436528861837451730038146927216138198727034516750698717648888037445585924314657802386183543724217163198530*x-40321311455464261614384207221538991136207109977454514605341599093319417896552133549972872091066227640672978137741975088955422426063921304077342653417889872207061144156254417740
"(3, 5)",1857410859686667575578289250625944091897901021700888464289152477201765732506966544608835269850334958343569186547038284673893571643146168194183169530151028126857915393694519905539960*x-4153296944405712429264741708418638521789874739891049383108717332013373193573294609736624937852740029417224287838551916859576411533955560676255888827259046514734154191500726635080890
"(4, -8)",-614070839076933049507280403322885254846860693558019674236099633568900364504832904336033955830734974831303150516804438687633129586047552518854644062615133348411008857728822884948736407673895*x-1373104139176356509612172245741546573723412324130141413829994649580242032988045371008675078582300705516867943052989010816039494582024561064655978249139842174751831143651315365777863201723870
"(4, -6)",-1790032802658043513291349815168526203349260638519098624069889893162544329829766590972513745447821198909451887133906442402045595969315428757336248055751714957231439696961500487212439665106*x-4002635028697851532546287041278786248427654178471790942826971982451623368999522853531130541651892891944498088613290764167776314428148359836414413866411700884244349113143648314706746113342
"(4, -4)",34137768295343026985900794421595249426026753159266180425900872590553089628779753555532339476421331129236166769168073877121159190608685971158983581957470282640336123902657787232642358*x+76334370508524125725835573830050888571838529178887296801210187701142235777958456904731713346556554566540032356822245979266436079473824934099250294078224119023782068276584344666322564
"(4, -2)",-32217250464694429674566142456372799490421791575902903308001025308001749788056362217055541054506741547463882486572201360298204569551893869525857872456624964478728781133561143679570*x-72039962086193905135410013775477449676096869741236981159698776993538114874743400635535178060775351713139781029850309137145325133645059752220855513314416301644572494651413675630330
"(4, 0)",11344495809748163922118059309778377929080203660808743845323739321661891738336865711635860282976127613682227514365553433463919137234213120037637488116407507143827010023067983700
"(4, 2)",32217250464694429674566142456372799490421791575902903308001025308001749788056362217055541054506741547463882486572201360298204569551893869525857872456624964478728781133561143679570*x-72039962086193905135410013775477449676096869741236981159698776993538114874743400635535178060775351713139781029850309137145325133645059752220855513314416301644572494651413675630330
"(4, 4)",-34137768295343026985900794421595249426026753159266180425900872590553089628779753555532339476421331129236166769168073877121159190608685971158983581957470282640336123902657787232642358*x+76334370508524125725835573830050888571838529178887296801210187701142235777958456904731713346556554566540032356822245979266436079473824934099250294078224119023782068276584344666322564
"(4, 6)",1790032802658043513291349815168526203349260638519098624069889893162544329829766590972513745447821198909451887133906442402045595969315428757336248055751714957231439696961500487212439665106*x-4002635028697851532546287041278786248427654178471790942826971982451623368999522853531130541651892891944498088613290764167776314428148359836414413866411700884244349113143648314706746113342
"(4, 8)",614070839076933049507280403322885254846860693558019674236099633568900364504832904336033955830734974831303150516804438687633129586047552518854644062615133348411008857728822884948736407673895*x-1373104139176356509612172245741546573723412324130141413829994649580242032988045371008675078582300705516867943052989010816039494582024561064655978249139842174751831143651315365777863201723870
"(5, -11)",-7306900418082916801266675098298385917566087740228265208175790263528097608215350415598836618717579227523323025874197256643710333763697831860924512384662703040883792582135644375540648007446958066860*x-16338726039655035531713410366587795129554879280571769372336224235271316438797348371165331898369937919215206527369127435877406602221867918860928428395922407253299220243113411456932565259134348857256
"(5, -9)",-22599680630430200614786278313613012486109293243801241324632376405952274474336289126685517380468230432842955836186483204918555373940650826540982276043146387040938152988712444364391278457445065790*x-50534422159427230849636302186270954511131402393293189500964078818552744033988560095089893582110566761254080850375339476385007392569580698024705470630151993887251596797312206374637950707072446222
"(5, -7)",-149235088056176114987226589097876427141755035327157386466159192521833525514507373660962419090115103942618985532542888109869630830467160766830565224361390724787005416430942505403503396990667050*x-333699801521776747148399699840006462480098939086253166931759314848669236216501300903302126373755183042137244790386666734088544053835492865281764074901369116300287231266959128222819245889835630
"(5, -5)",-244904134414383925358631884014664078052523911429733356917999067406057796509994482708145277405349972545216449928136839341645530948833935229518421807437279434413951043317999917651745129208700*x-547622292521308106666309759336367146270885446496902772444345198562983814565114617447016504896590488287260376912448112318114232208089827352922526498392668559436856294775499681366288414474600
"(5, -3)",261370263422791126053447776457220457184313706873662933786774802930886027072956527058596841259071276412618749221168412135972227499784611941947842894713768530971570300902189745850021169200*x+584441676310415748749802473105145940321897814540644637428429090352083430381578906919267093588925385825205959742967571369929463360898527773524849065454227004178518333921901183967378805880
"(5, -1)",-465514960125792160372676686373479153837550107228471002270440618202006703520377679307806747568940530379867320073758588542076954596191469269258836124320094734119566966862786387700716180*x-1040944701762616632658765750294346729821835213255910140808135285113353534220108975423461030742552678144177784339135926472976146793186159157848922719392052885112886609566147044171918492
"(5, 1)",465514960125792160372676686373479153837550107228471002270440618202006703520377679307806747568940530379867320073758588542076954596191469269258836124320094734119566966862786387700716180*x-1040944701762616632658765750294346729821835213255910140808135285113353534220108975423461030742552678144177784339135926472976146793186159157848922719392052885112886609566147044171918492
"(5, 3)",-261370263422791126053447776457220457184313706873662933786774802930886027072956527058596841259071276412618749221168412135972227499784611941947842894713768530971570300902189745850021169200*x+584441676310415748749802473105145940321897814540644637428429090352083430381578906919267093588925385825205959742967571369929463360898527773524849065454227004178518333921901183967378805880
"(5, 5)",244904134414383925358631884014664078052523911429733356917999067406057796509994482708145277405349972545216449928136839341645530948833935229518421807437279434413951043317999917651745129208700*x-547622292521308106666309759336367146270885446496902772444345198562983814565114617447016504896590488287260376912448112318114232208089827352922526498392668559436856294775499681366288414474600
