numerator,-182717648081*x+408569081798
denominator,668160
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",-149305563409488533459276*x-333857389202521629825609
"(1, 1)",1
"(2, -4)",99693531186606771299746903888603998602766798168*x+222921512650248012280439405394046001751504441761
"(2, -2)",233997713561643806926837482799776509825920*x+523234794103359978370886815628863463813280
"(2, 0)",45496598051353464554657847816780*x+101733485987810814526410825351240
"(2, 2)",-1567240417692117920
"(2, 4)",149305563409488533459276*x-333857389202521629825609
"(3, -5)",-30378750886042801562405648458306889811365225767720021260*x-67928952052723671507686084988918141722940800565569161560
"(3, -3)",-34052833015462139962563978240524251466095316876226960*x-76144449449022492100851399404390556517860109399420140
"(3, -1)",40400151154471505198902869638768338351247603916*x+90337484282664892414633763021866231569626788152
"(3, 1)",-2313770313392866217822474985891585813108*x-5173747705067441202996166871493726760488
"(3, 3)",228074776571239573875455960460
"(3, 5)",-45496598051353464554657847816780*x+101733485987810814526410825351240
"(4, -8)",-156243731458099780509168380054731175963888165331201018649095970560*x-349371604598533443578560316396668883049574450799429465439384457120
"(4, -6)",1544938632087285203638051439251553256539650802574114320260169460*x+3454587802412707522622679047436552797108552152641742134276686232
"(4, -4)",167291293411228510028502530436342650703272724806294090628864*x+374074704111369628250053757857724618361187381529757644755776
"(4, -2)",54581723979097219111344567611827204049489800195943668620*x+122048445146391692281632298790027548844391638121525026120
"(4, 0)",-644028949856598256535500722398333587242754182940800*x-1440092511357157136920607989929268348292250712646400
"(4, 2)",342471949040409532520873410372564428429400460*x+765790558440834015477841394851206689275688520
"(4, 4)",-1120462557395881763658284087404755264
"(4, 6)",2313770313392866217822474985891585813108*x-5173747705067441202996166871493726760488
"(4, 8)",-233997713561643806926837482799776509825920*x+523234794103359978370886815628863463813280
"(5, -11)",-66566844084681409709670841177163395875437258635392650249649049747909348*x-148847988420977399295011554992547837355363159943375103081259837023889289
"(5, -9)",-26975777975638193715220331967327141221503582210245149093486455956782796*x-60319673299468666989572328095540950784788231537146717366226391368008648
"(5, -7)",-228673581563405736890712969811026876664748230452465665887240505091660*x-511329673034117863225783786768489816607708863456831297024543531643480
"(5, -5)",-444554084212982850100718268504801293315406756290501525612964924700*x-994053151975395749546672268394424318678253012846076567673608637925
"(5, -3)",-258529609560896314813127358160428254178570820316056115933677740*x-578089781174643716046167396292812841001075133331297290910378870
"(5, -1)",91849542102116818563093209106873500523730579536654715639464*x+205381819842562136664590458745735941233354673134137448129712
"(5, 1)",3531842850825489561178765048030370760800517871520625064*x+7897440700292443888663422473657260622522145277940945712
"(5, 3)",-7065480047450053895517589982156923155073329345540*x-15798893678035213089267978478574881933749770099370
"(5, 5)",2977478360894962786424180580089814491035325
"(5, 7)",-342471949040409532520873410372564428429400460*x+765790558440834015477841394851206689275688520
"(5, 9)",-40400151154471505198902869638768338351247603916*x+90337484282664892414633763021866231569626788152
"(5, 11)",-99693531186606771299746903888603998602766798168*x+222921512650248012280439405394046001751504441761
"(6, -12)",22737579850983243837449735413882756775988026499050035217447207567565408437280*x+50842774190628071639306206410416109421016672520607617183943171364832388770060
"(6, -10)",430027647539931221857455655094664547399093747654929241220088486819358953600*x+961571052103606421389472412487576448933078309586621286101101587456475961600
"(6, -8)",4717725443949837662792478730324225883422185340643286455102345988670189980*x+10549154791852210959492309518035867767933497553299759057873533722311911530
"(6, -6)",66061954059075410398834958133631176933086744456063402410584913982860800*x+147719020002560775384349725500966235380344980611503904407702347146947200
