numerator,1
denominator,464
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",-14304841414225830949485076659590434251776618562533728764694394480128138695346571263365804630118958627103630027008169808761791453389426242681650276460717072785174387417232413411098396057461454382303849666696575897180276377139420207625064712985534278010583522421960943632841103749*x-31986597809563185179956291316403356595110015383384187168073936635882946110569591184234172863237556231379678998416594553244940141764749748812124820165843625630884326500657130958596758930375637225776464147978496079345906391355828170246790426313062669742119795855830107808553257342
"(1, 1)",-14304841414225830949485076659590434251776618562533728764694394480128138695346571263365804630118958627103630027008169808761791453389426242681650276460717072785174387417232413411098396057461454382303849666696575897180276377139420207625064712985534278010583522421960943632841103749*x+31986597809563185179956291316403356595110015383384187168073936635882946110569591184234172863237556231379678998416594553244940141764749748812124820165843625630884326500657130958596758930375637225776464147978496079345906391355828170246790426313062669742119795855830107808553257342
"(2, -4)",-9551554015019086349512712617081811152844787230666219764337902854854574464737246989112267227148193488243646860298292025179873789446680174491179585398408842931878634509349365045943106798818391929559345043983737304271490001072184359334395891825284408435759249342357136139181814599861902643399963051112533*x-21357924068343724311345419236691520609414091595892338996577952015989363227568403808361215676129186617399093881117480162971310861579574275403576611763519182217286373886555631749701452265206547536540992586202930600921113791192334677061737759711269892790733709396036170849757837081825986481847601270999898
"(2, -2)",6088147857413054140776399164835203651678416748649400407491654231318119480092576373086181607452580268158402578814578216316298827523348313198924132036597397252338767673734776000168773637916292420654826844376191039723962149632379664784716617732231248355894676302550503263531239389836962355156251800*x+13613512466245285995307946783473862998122679697158388475109326840469674265637643569445252325893068389267098154164465813667222243337728323975911525008289734563096116018776010482847864203924574991100579400104336291501535304581981501971162644293810699570588377716594897110647868183111355283730784400
"(2, 0)",15841328275598730503455550135733958260141900401515184860536200502037089930082612219561608705420472571413426508783832225299756796407010747556687757593744120251832252353246812509630626526554922365694882138201002205930182260852912921894877037090724985645417246574932899063927064313490392170*x
"(2, 2)",6088147857413054140776399164835203651678416748649400407491654231318119480092576373086181607452580268158402578814578216316298827523348313198924132036597397252338767673734776000168773637916292420654826844376191039723962149632379664784716617732231248355894676302550503263531239389836962355156251800*x-13613512466245285995307946783473862998122679697158388475109326840469674265637643569445252325893068389267098154164465813667222243337728323975911525008289734563096116018776010482847864203924574991100579400104336291501535304581981501971162644293810699570588377716594897110647868183111355283730784400
"(2, 4)",-9551554015019086349512712617081811152844787230666219764337902854854574464737246989112267227148193488243646860298292025179873789446680174491179585398408842931878634509349365045943106798818391929559345043983737304271490001072184359334395891825284408435759249342357136139181814599861902643399963051112533*x+21357924068343724311345419236691520609414091595892338996577952015989363227568403808361215676129186617399093881117480162971310861579574275403576611763519182217286373886555631749701452265206547536540992586202930600921113791192334677061737759711269892790733709396036170849757837081825986481847601270999898
"(3, -5)",5288744499591476198575084494055335338173403267023032247059048594377071421881174701268499918397847172700578050551912700395388704004361888883889976778996245513150340538430533855351420268209485847820743092754067900665547009318035623118831280616978448663656062356424172366460602589739839871687844668913734119081530*x+11825992216714649517627950470583661313718437948531196548924646862042983689366352713922567811366418353274876059393046169947994887774756708676298722107945817215533662775411971853515940944372469123171712979650348891636810712448873737717813360187808946549075243675239765810575010386681702166223204494652999821344600
"(3, -3)",72716512763719362968102651557619110183806295895883180678498057867217857237268728827549128041171754182238388757505912371355674032160563989063690084963384849205288526478512750588745993939141403840502088332430039414012128789428379153782465015014266686821726932076038498662568344768101628277290744113976114850*x+162599065626407598785926627117296942998710649668481526836086914115775122569890723605906155920082111152850729840941514204499687327590596380612001227848306447301667330117752561838697579705225696115984197037648548482883016355478425572501641978473826588708457137482469866182734250681261534187541685018518396300
"(3, -1)",-262415218895236395129506995550052196075313100949904028603064278841572403774489020730042569326160523760959333134801278912084002913891543304929375099573005082821608671833845721517771831655821425110618898651074550587734402031366135965107906320595329141038739145116578813706667025329803955464061307865984*x-586778221423704570405343699405523740728121817274220018003536739173939798245347881259790266495344855945773709880121125304537558569927780247514574160472238261734387297749931241195970683967030041788859348642876790816475553692125565757150959536368195438366859455237152397446864590272751139809854168107444
"(3, 1)",-262415218895236395129506995550052196075313100949904028603064278841572403774489020730042569326160523760959333134801278912084002913891543304929375099573005082821608671833845721517771831655821425110618898651074550587734402031366135965107906320595329141038739145116578813706667025329803955464061307865984*x+586778221423704570405343699405523740728121817274220018003536739173939798245347881259790266495344855945773709880121125304537558569927780247514574160472238261734387297749931241195970683967030041788859348642876790816475553692125565757150959536368195438366859455237152397446864590272751139809854168107444
