numerator,(55*x-123)/2
denominator,165
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",(6765*x+15127)/2
"(1, 1)",1
"(2, -4)",(102334155*x+228826127)/2
"(2, -2)",8388600*x+18757480
"(2, 0)",-174075*x-389295
"(2, 2)",2480
"(2, 4)",(-6765*x+15127)/2
"(3, -5)",-2633406600*x-5888476170
"(3, -3)",528380325*x+1181494335
"(3, -1)",-81753720*x-182807388
"(3, 1)",-1728690*x-3889638
"(3, 3)",156210
"(3, 5)",174075*x-389295
"(4, -8)",126894352200*x+283744397480
"(4, -6)",-26231647350*x-58655746638
"(4, -4)",6616494720*x+14794932096
"(4, -2)",-1831765650*x-4095958330
"(4, 0)",-431706000*x-965451600
"(4, 2)",-19557450*x-44273330
"(4, 4)",1956096
"(4, 6)",1728690*x-3889638
"(4, 8)",-8388600*x+18757480
"(5, -11)",774004377960*x+1730726404001
"(5, -9)",-1236690251130*x-2765323468638
"(5, -7)",-297677311800*x-665626704580
"(5, -5)",(-59256157125*x-132500796575)/2
"(5, -3)",27664711800*x+61860222630
"(5, -1)",19702169520*x+44055514832
"(5, 1)",419754720*x+944424832
"(5, 3)",155346675*x+355544505
"(5, 5)",-8759225
"(5, 7)",19557450*x-44273330
"(5, 9)",81753720*x-182807388
"(5, 11)",(-102334155*x+228826127)/2
"(6, -12)",7992809176275*x+17872464649335
"(6, -10)",-6530848368000*x-14603420901600
"(6, -8)",2377593864525*x+5316461504505
"(6, -6)",1310383206000*x+2930105950800
"(6, -4)",301452560475*x+674068293567
"(6, -2)",-202749225600*x-453362322240
"(6, 0)",-27192255750*x-60811771950
"(6, 2)",-4287151200*x-9646302240
"(6, 4)",-438162285*x-890639433
"(6, 6)",387400800
"(6, 8)",-155346675*x+355544505
"(6, 10)",431706000*x-965451600
"(6, 12)",-528380325*x+1181494335
"(7, -15)",-39835541464125*x-89074978634295
"(7, -13)",-27709138545000*x-61959517384580
"(7, -11)",6369331818960*x+14242258918832
"(7, -9)",-6326628324720*x-14146770996558
"(7, -7)",8151902966625*x+18228209338675
"(7, -5)",1350059108400*x+3018825183960
"(7, -3)",-1099545686250*x-2458671462990
"(7, -1)",-63914475240*x-142868994338
"(7, 1)",162760129455*x+363923821037
"(7, 3)",-42425611800*x-95191621740
"(7, 5)",4118361300*x+9608066460
"(7, 7)",2410023050
"(7, 9)",438162285*x-890639433
"(7, 11)",-419754720*x+944424832
"(7, 13)",1831765650*x-4095958330
"(7, 15)",2633406600*x-5888476170
"(8, -16)",100087715629440*x+223802935860096
"(8, -14)",298035138083760*x+666426828438832
"(8, -12)",-65054485428000*x-145466251662240
"(8, -10)",63648510493500*x+142322396156460
"(8, -8)",-18775431628800*x-41983141795840
"(8, -6)",-8829251281620*x-19742804304228
"(8, -4)",-4542778812000*x-10157976658400
"(8, -2)",-1190577597000*x-2662135953320
"(8, 0)",-340507411200*x-761498392320
"(8, 2)",258792804600*x+578326326680
"(8, 4)",-48502476000*x-109797858400
"(8, 6)",6509481660*x+11945369772
"(8, 8)",-5550755840
"(8, 10)",-4118361300*x+9608066460
"(8, 12)",4287151200*x-9646302240
"(8, 14)",-19702169520*x+44055514832
"(8, 16)",-6616494720*x+14794932096
"(9, -19)",-396806127734760*x-887285475503388
"(9, -17)",418484250745275*x+935759232179505
"(9, -15)",-411364444986000*x-919838862515700
"(9, -13)",-642871775384850*x-1437504990597990
"(9, -11)",89639677789200*x+200440412845272
"(9, -9)",(-47216287118385*x-105578828564643)/2
"(9, -7)",-29671791058800*x-66348135889110
"(9, -5)",15320497417500*x+34257701546100
"(9, -3)",-12770748601200*x-28556342079480
"(9, -1)",-6527773712625*x-14595579161523
"(9, 1)",3269961587640*x+7309926591102
"(9, 3)",-270038664900*x-607600351980
"(9, 5)",93262422000*x+213070458600
"(9, 7)",22028319225*x+40484671515
"(9, 9)",-6979495509
"(9, 11)",-6509481660*x+11945369772
"(9, 13)",42425611800*x-95191621740
"(9, 15)",27192255750*x-60811771950
"(9, 17)",-27664711800*x+61860222630
"(9, 19)",26231647350*x-58655746638
"(10, -22)",1919530857340800*x+4292201481922480
"(10, -20)",(-896367888829875*x-2004339532271575)/2
"(10, -18)",-3066991822802400*x-6858002202222240
"(10, -16)",2462008563790545*x+5505218509821037
"(10, -14)",-738239733264000*x-1650754227358400
"(10, -12)",303550593857775*x+678759761896515
"(10, -10)",-73477634835000*x-164300987753000
"(10, -8)",192559466016225*x+430576025542685
"(10, -6)",68608485264000*x+153413352122400
"(10, -4)",(-68834384890065*x-153917956020509)/2
"(10, -2)",48861380409600*x+109257676783360
"(10, 0)",10024517951250*x+22418467418250
"(10, 2)",1040991705600*x+2342173583360
"(10, 4)",(1383876634935*x+3074092104491)/2
"(10, 6)",385259754000*x+881750372400
"(10, 8)",-114815585775*x-199807307315
"(10, 10)",-21722878000
"(10, 12)",-22028319225*x+40484671515
"(10, 14)",48502476000*x-109797858400
"(10, 16)",-162760129455*x+363923821037
"(10, 18)",202749225600*x-453362322240
"(10, 20)",(59256157125*x-132500796575)/2
"(10, 22)",-126894352200*x+283744397480
"(11, -23)",-4502964676041150*x-10068935115908330
"(11, -21)",4560072444143040*x+10196631967427442
"(11, -19)",-966671506826025*x-2161543201171963
"(11, -17)",3913568177587200*x+8751004479641680
"(11, -15)",1426101155011500*x+3188859125696100
"(11, -13)",-1544255900002200*x-3453061163296690
"(11, -11)",634009679515080*x+1417688754179544
"(11, -9)",459785947229400*x+1028112580129932
"(11, -7)",-203991623485650*x-456139310010310
"(11, -5)",-122367093552000*x-273621560327100
"(11, -3)",-19417463674125*x-43419723603975
"(11, -1)",34536011165040*x+77228381274152
"(11, 1)",11879213039100*x+26572938309652
"(11, 3)",-3228591201000*x-7225090025850
"(11, 5)",-1415725863750*x-3201835820850
"(11, 7)",-571876159800*x-1339061924060
"(11, 9)",-209580071910*x-332704486818
"(11, 11)",187438190544
"(11, 13)",114815585775*x-199807307315
"(11, 15)",-93262422000*x+213070458600
"(11, 17)",-258792804600*x+578326326680
"(11, 19)",63914475240*x-142868994338
"(11, 21)",-301452560475*x+674068293567
"(11, 23)",297677311800*x-665626704580
"(12, -26)",-18707413347089790*x-41831047927279638
"(12, -24)",19822166757162000*x+44323712330350800
"(12, -22)",-16632870021515550*x-37192228029027990
"(12, -20)",-5151196116633600*x-11518424682232320
"(12, -18)",-4097645632543500*x-9162614182321980
"(12, -16)",5896432784022000*x+13184824531172400
"(12, -14)",-2710531800553170*x-6060933352225818
"(12, -12)",1033562640211200*x+2311116342716160
"(12, -10)",-327809166352800*x-733003879393440
"(12, -8)",747602349978000*x+1671689368046160
"(12, -6)",-286140112186500*x-639829650729300
"(12, -4)",-159918124677120*x-357588800437248
"(12, -2)",-123292592809650*x-275699498762970
"(12, 0)",-67436794260000*x-150813194436000
"(12, 2)",-30028849958250*x-67183000517970
"(12, 4)",-3381483594240*x-7608505333248
"(12, 6)",-3055069264500*x-6915936879300
"(12, 8)",-1086642466800*x-2208785793840
"(12, 10)",-992338908000*x-2315850553440
"(12, 12)",305561756160
"(12, 14)",209580071910*x-332704486818
"(12, 16)",-385259754000*x+881750372400
"(12, 18)",270038664900*x-607600351980
"(12, 20)",340507411200*x-761498392320
"(12, 22)",1099545686250*x-2458671462990
"(12, 24)",-1310383206000*x+2930105950800
"(12, 26)",1236690251130*x-2765323468638
"(13, -29)",(23416728348467685*x+52361396397820127)/2
"(13, -27)",35965862233323000*x+80422112823102630
"(13, -25)",20422348251128100*x+45665758949696460
"(13, -23)",-18009608517014400*x-40270708892198320
"(13, -21)",49458181162517655*x+110591855122761477
"(13, -19)",10432533735885840*x+23327854610327933
"(13, -17)",-8854762292780250*x-19799850415245310
"(13, -15)",-15338919827668800*x-34298867442493440
"(13, -13)",-5711419398681975*x-12771122135086805
"(13, -11)",-704719072927320*x-1575799703128018
"(13, -9)",425290927601760*x+950979986642592
"(13, -7)",-96098733918000*x-214883300037800
"(13, -5)",325612446038550*x+728086976876610
"(13, -3)",152606263540800*x+341251067957040
"(13, -1)",6992840025930*x+15692457290062
"(13, 1)",189391247513160*x+423493774842812
"(13, 3)",44263073847000*x+99020359292040
"(13, 5)",-15536327439600*x-34644020737140
"(13, 7)",11610934500*x-2447725300
"(13, 9)",1873902655680*x+4315906478592
"(13, 11)",212255263935*x+266274535357
"(13, 13)",-1688520147430
"(13, 15)",992338908000*x-2315850553440
"(13, 17)",571876159800*x-1339061924060
"(13, 19)",(-1383876634935*x+3074092104491)/2
"(13, 21)",-3269961587640*x+7309926591102
"(13, 23)",1190577597000*x-2662135953320
"(13, 25)",-1350059108400*x+3018825183960
"(13, 27)",-2377593864525*x+5316461504505
"(13, 29)",-774004377960*x+1730726404001
"(14, -30)",-98792142831030000*x-220905947013051600
