numerator,(-55*x+123)/2
denominator,1980
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",(-6765*x-15127)/2
"(1, 1)",1
"(2, -4)",(102334155*x+228826127)/2
"(2, -2)",-50196300*x-112242340
"(2, 0)",-1623600*x-3630000
"(2, 2)",14840
"(2, 4)",(6765*x-15127)/2
"(3, -5)",24558573600*x+54914640000
"(3, -3)",-24959196900*x-55810461420
"(3, -1)",1124925120*x+2515418508
"(3, 1)",-31958190*x-71793258
"(3, 3)",7378920
"(3, 5)",1623600*x-3630000
"(4, -8)",759319430100*x+1697889862340
"(4, -6)",484556465250*x+1083501195258
"(4, -4)",-573638662080*x-1282695054144
"(4, -2)",-337063793550*x-753697099510
"(4, 0)",-58920444000*x-131732700000
"(4, 2)",-1563422850*x-3396270490
"(4, 4)",169590144
"(4, 6)",31958190*x-71793258
"(4, 8)",50196300*x-112242340
"(5, -11)",-774004377960*x-1730726404001
"(5, -9)",-17016774248430*x-38050663977258
"(5, -7)",23312833658400*x+52129080801740
"(5, -5)",(32085883396875*x+71746217020625)/2
"(5, -3)",10511593151400*x+23504638415790
"(5, -1)",-763510754820*x-1707223586572
"(5, 1)",-129812501280*x-290043855928
"(5, 3)",-4640795775*x-13484775165
"(5, 5)",-4742924375
"(5, 7)",1563422850*x-3396270490
"(5, 9)",-1124925120*x+2515418508
"(5, 11)",(-102334155*x+228826127)/2
"(6, -12)",377557771506300*x+844244842521420
"(6, -10)",891230635944000*x+1992852285600000
"(6, -8)",80712910839825*x+180479555505165
"(6, -6)",-505212137496000*x-1129688692372800
"(6, -4)",-24071113093500*x-53824600224588
"(6, -2)",49719991780800*x+111177167658720
"(6, 0)",-18353612772000*x-41034500100000
"(6, 2)",388228460400*x+853406051280
"(6, 4)",-153623018340*x-336395147412
"(6, 6)",149360572800
"(6, 8)",4640795775*x-13484775165
"(6, 10)",58920444000*x-131732700000
"(6, 12)",24959196900*x-55810461420
"(7, -15)",-371497541223600*x-830693755650000
"(7, -13)",5098762441608000*x+11401179420558260
"(7, -11)",1962910196107740*x+4389200632209428
