numerator,1
denominator,165
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",(385*x+861)/2
"(1, 1)",(-385*x+861)/2
"(2, -4)",2912140*x+6511743
"(2, -2)",-2644400*x-5913840
"(2, 0)",-183270
"(2, 2)",2644400*x-5913840
"(2, 4)",-2912140*x+6511743
"(3, -5)",-619910775*x-1386162645
"(3, -3)",507540825*x+1135045845
"(3, -1)",242439930*x+491444286
"(3, 1)",-242439930*x+491444286
"(3, 3)",-507540825*x+1135045845
"(3, 5)",619910775*x-1386162645
"(4, -8)",-40004483200*x-89452743840
"(4, -6)",-171384113160*x-383226458964
"(4, -4)",173098970880*x+387112243968
"(4, -2)",55060995800*x+123630490740
"(4, 0)",39986817600
"(4, 2)",-55060995800*x+123630490740
"(4, 4)",-173098970880*x+387112243968
"(4, 6)",171384113160*x-383226458964
"(4, 8)",40004483200*x-89452743840
"(5, -11)",(88103883175*x+197006271861)/2
"(5, -9)",3496004707950*x+7817304173286
"(5, -7)",1726293194750*x+3860125244490
"(5, -5)",(-5302942819625*x-11859308487525)/2
"(5, -3)",-200392023375*x-425862809565
"(5, -1)",672318750800*x+1889041085136
"(5, 1)",-672318750800*x+1889041085136
"(5, 3)",200392023375*x-425862809565
"(5, 5)",(5302942819625*x-11859308487525)/2
"(5, 7)",-1726293194750*x+3860125244490
"(5, 9)",-3496004707950*x+7817304173286
"(5, 11)",(-88103883175*x+197006271861)/2
"(6, -12)",7678077600600*x+17168703451470
"(6, -10)",135255410532000*x+302440294917600
"(6, -8)",75184115443200*x+168116735184810
"(6, -6)",29778890724000*x+66596428346400
"(6, -4)",-44401004766360*x-99181269820914
"(6, -2)",-17381386238400*x-32417450191680
"(6, 0)",3526000391700
"(6, 2)",17381386238400*x-32417450191680
"(6, 4)",44401004766360*x-99181269820914
"(6, 6)",-29778890724000*x+66596428346400
"(6, 8)",-75184115443200*x+168116735184810
"(6, 10)",-135255410532000*x+302440294917600
"(6, 12)",-7678077600600*x+17168703451470
"(7, -15)",-9377390293425*x-20968482147645
"(7, -13)",834633976661350*x+1866298308179490
"(7, -11)",1304598598796720*x+2917171374521136
"(7, -9)",346354381122255*x+774458820580461
"(7, -7)",356989576607125*x+798358507685025
"(7, -5)",511454192586300*x+1142033911181460
"(7, -3)",-152656122042450*x-338834853409530
"(7, -1)",-20150221906955*x-43311846196689
"(7, 1)",20150221906955*x-43311846196689
"(7, 3)",152656122042450*x-338834853409530
"(7, 5)",-511454192586300*x+1142033911181460
"(7, 7)",-356989576607125*x+798358507685025
"(7, 9)",-346354381122255*x+774458820580461
"(7, 11)",-1304598598796720*x+2917171374521136
"(7, 13)",-834633976661350*x+1866298308179490
"(7, 15)",9377390293425*x-20968482147645
"(8, -16)",2618641231472640*x+5855459802259968
"(8, -14)",11474764342148320*x+25658353120331136
"(8, -12)",21812089540780800*x+48773310232168320
"(8, -10)",-5454081055191600*x-12195544894826040
"(8, -8)",-11024044688588800*x-24653772667207680
"(8, -6)",-3172414362883920*x-7088223567015864
"(8, -4)",407912531296000*x+835413302428800
"(8, -2)",706423841310400*x+1743815272725360
"(8, 0)",-1417769642603520
"(8, 2)",-706423841310400*x+1743815272725360
"(8, 4)",-407912531296000*x+835413302428800
"(8, 6)",3172414362883920*x-7088223567015864
"(8, 8)",11024044688588800*x-24653772667207680
"(8, 10)",5454081055191600*x-12195544894826040
"(8, 12)",-21812089540780800*x+48773310232168320
"(8, 14)",-11474764342148320*x+25658353120331136
"(8, 16)",-2618641231472640*x+5855459802259968
"(9, -19)",-2592527237331390*x-5797067136192714
"(9, -17)",-2956146022150425*x-6610143455474565
"(9, -15)",11926696324925250*x+26668903962622950
"(9, -13)",8505687410335350*x+19019250279955470
"(9, -11)",18639818241368940*x+41678963149809636
"(9, -9)",(-68727021199861365*x-153698611046962689)/2
"(9, -7)",-32081200660986525*x-71776596193886295
"(9, -5)",-6134048151376500*x-13643369343596100
"(9, -3)",-864240876960300*x-1450575782265060
"(9, -1)",2351725605140715*x+6241755168703311
"(9, 1)",-2351725605140715*x+6241755168703311
"(9, 3)",864240876960300*x-1450575782265060
"(9, 5)",6134048151376500*x-13643369343596100
"(9, 7)",32081200660986525*x-71776596193886295
"(9, 9)",(68727021199861365*x-153698611046962689)/2
"(9, 11)",-18639818241368940*x+41678963149809636
"(9, 13)",-8505687410335350*x+19019250279955470
"(9, 15)",-11926696324925250*x+26668903962622950
"(9, 17)",2956146022150425*x-6610143455474565
"(9, 19)",2592527237331390*x-5797067136192714
"(10, -22)",-605147814722000*x-1353151650153840
"(10, -20)",-40111459487643500*x-89691950091151575
"(10, -18)",-241116140087496000*x-539152079281711680
"(10, -16)",5903883632953600*x+13201479292719186
"(10, -14)",-259460934991880000*x-580172172623371200
"(10, -12)",-138175426448811000*x-308979133524388170
"(10, -10)",-35972495323490000*x-80447580450714000
"(10, -8)",54593533424954000*x+122023510344115170
"(10, -6)",-14799638241180000*x-30933461545312800
"(10, -4)",43385875976509100*x+95582467876688979
"(10, -2)",7508627375296000*x+15448580381560320
"(10, 0)",219534678970500
"(10, 2)",-7508627375296000*x+15448580381560320
"(10, 4)",-43385875976509100*x+95582467876688979
"(10, 6)",14799638241180000*x-30933461545312800
"(10, 8)",-54593533424954000*x+122023510344115170
"(10, 10)",35972495323490000*x-80447580450714000
"(10, 12)",138175426448811000*x-308979133524388170
"(10, 14)",259460934991880000*x-580172172623371200
"(10, 16)",-5903883632953600*x+13201479292719186
"(10, 18)",241116140087496000*x-539152079281711680
"(10, 20)",40111459487643500*x-89691950091151575
"(10, 22)",605147814722000*x-1353151650153840
"(11, -23)",26113692217979050*x+58391990942909490
"(11, -21)",-671307644719605465*x-1501089527401546539
"(11, -19)",-298908523153554685*x-668379776710033689
"(11, -17)",555418436242319800*x+1241953599096120360
"(11, -15)",246176388222349500*x+550465329865953900
"(11, -13)",-173666320670016475*x-388313561819436705
"(11, -11)",-928765874402043480*x-2077058228208206328
"(11, -9)",-219539275125954210*x-489547079362493814
"(11, -7)",383731501889066150*x+857441951994648030
"(11, -5)",187734297092514750*x+418118125976537850
"(11, -3)",-2756527454696625*x-38672767342832925
"(11, -1)",58645468189491860*x+126772401246641436
"(11, 1)",-58645468189491860*x+126772401246641436
"(11, 3)",2756527454696625*x-38672767342832925
"(11, 5)",-187734297092514750*x+418118125976537850
"(11, 7)",-383731501889066150*x+857441951994648030
"(11, 9)",219539275125954210*x-489547079362493814
"(11, 11)",928765874402043480*x-2077058228208206328
"(11, 13)",173666320670016475*x-388313561819436705
"(11, 15)",-246176388222349500*x+550465329865953900
"(11, 17)",-555418436242319800*x+1241953599096120360
"(11, 19)",298908523153554685*x-668379776710033689
"(11, 21)",671307644719605465*x-1501089527401546539
"(11, 23)",-26113692217979050*x+58391990942909490
"(12, -26)",52884062974719720*x+118252359737853036
"(12, -24)",450495058872672000*x+1007337575167646400
"(12, -22)",-2300723470725805800*x-5144574077805915780
"(12, -20)",-4795605816106406400*x-10723300691831723520
"(12, -18)",1630113289377663600*x+3645043902429292440
"(12, -16)",7304630160144384000*x+16333645355983387200
"(12, -14)",4592311471519341480*x+10268655809478614436
"(12, -12)",-772566620803084800*x-1727739897432353280
"(12, -10)",48499561542225600*x+109649231556264960
"(12, -8)",605862548351596800*x+1347601175302384320
"(12, -6)",269751867051582000*x+597071652059154600
"(12, -4)",687869637980359680*x+1300199031168500736
"(12, -2)",-134212646891039400*x-143969774988568140
"(12, 0)",-8553443682096000
"(12, 2)",134212646891039400*x-143969774988568140
"(12, 4)",-687869637980359680*x+1300199031168500736
"(12, 6)",-269751867051582000*x+597071652059154600
"(12, 8)",-605862548351596800*x+1347601175302384320
"(12, 10)",-48499561542225600*x+109649231556264960
"(12, 12)",772566620803084800*x-1727739897432353280
"(12, 14)",-4592311471519341480*x+10268655809478614436
"(12, 16)",-7304630160144384000*x+16333645355983387200
"(12, 18)",-1630113289377663600*x+3645043902429292440
"(12, 20)",4795605816106406400*x-10723300691831723520
"(12, 22)",2300723470725805800*x-5144574077805915780
"(12, 24)",-450495058872672000*x+1007337575167646400
"(12, 26)",-52884062974719720*x+118252359737853036
"(13, -29)",(1332747434963945*x+2980113861417861)/2
"(13, -27)",1137309913917263025*x+2543102279003430435
"(13, -25)",7731313490197768500*x+17287742519336771460
"(13, -23)",11241491883744740600*x+25136740031420400360
"(13, -21)",3325460243657151555*x+7435955921545150311
"(13, -19)",(-9682750710852212765*x-21651263334746122167)/2
"(13, -17)",-2055811916054864050*x-4596821787310886970
"(13, -15)",4062092014442901600*x+9083128292919564960
"(13, -13)",8134033197305650525*x+18190656059429000265
"(13, -11)",-2431738411311608395*x-5439114359364290289
"(13, -9)",-1223822396914858080*x-2725568637813543264
"(13, -7)",983401764388751500*x+2172660922470332100
