numerator,72*x-161
denominator,449280
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",-23184*x-51841
"(1, 1)",1
"(2, -4)",2403763488*x+5374978561
"(2, -2)",-2420177760*x-5411681990
"(2, 0)",6375600*x+14256000
"(2, 2)",104390
"(2, 4)",23184*x-51841
"(3, -5)",-661028583600*x-1478104848000
"(3, -3)",793140405120*x+1773515861880
"(3, -1)",-128523287376*x-287386809732
"(3, 1)",55967472*x+130690692
"(3, 3)",-34210680
"(3, 5)",-6375600*x+14256000
"(4, -8)",250928870512320*x+561094011982790
"(4, -6)",-5931342719280*x-13262885518212
"(4, -4)",-228003715791936*x-509831807728164
"(4, -2)",-14743925606160*x-32968423522660
"(4, 0)",665548884000*x+1488183840000
"(4, 2)",83600408880*x+187572149860
"(4, 4)",9834528804
"(4, 6)",-55967472*x+130690692
"(4, 8)",2420177760*x-5411681990
"(5, -11)",-249227005939632*x-557288527109761
"(5, -9)",13325551537685904*x+29796839075942532
"(5, -7)",-8682601519102320*x-19414887218261860
"(5, -5)",-3355816549050000*x-7503833925090625
"(5, -3)",-194078497983120*x-433972678979610
"(5, -1)",-147914901962784*x-330746806190152
"(5, 1)",-22477940201376*x-50255822251448
"(5, 3)",-824479645680*x-1835221308390
"(5, 5)",144747090625
"(5, 7)",-83600408880*x+187572149860
"(5, 9)",128523287376*x-287386809732
"(5, 11)",-2403763488*x+5374978561
"(6, -12)",-82234383483651840*x-183881671557231480
"(6, -10)",-69004773842004000*x-154299365082720000
"(6, -8)",85289620125410640*x+190713388375471590
"(6, -6)",109173357078508800*x+244119047804821200
"(6, -4)",34578030272922720*x+77318825226689592
"(6, -2)",-16367437192220640*x-36598700430483480
"(6, 0)",-218113611408000*x-487707454080000
"(6, 2)",-40701581197920*x-90305522502120
"(6, 4)",23323015226592*x+50660386563528
"(6, 6)",-4708995733200
"(6, 8)",824479645680*x-1835221308390
"(6, 10)",-665548884000*x+1488183840000
"(6, 12)",-793140405120*x+1773515861880
"(7, -15)",68536765598439600*x+153252866836080000
"(7, -13)",1528679778298290000*x+3418231900104284260
"(7, -11)",2330409881057103648*x+5210954909480821688
"(7, -9)",-2383598834450589024*x-5329889024906399688
"(7, -7)",349269236052105600*x+780989754407229400
"(7, -5)",1631103856747200*x+3647257577568000
"(7, -3)",34270220271510000*x+76630530727152180
"(7, -1)",-17495318938798512*x-39120942880134992
"(7, 1)",5110626795993936*x+11428463554609232
"(7, 3)",264717053768880*x+590447143036620
"(7, 5)",35359295083200*x+78995432736000
"(7, 7)",-15065098173400
"(7, 9)",-23323015226592*x+50660386563528
"(7, 11)",22477940201376*x-50255822251448
"(7, 13)",14743925606160*x-32968423522660
"(7, 15)",661028583600*x-1478104848000
"(8, -16)",23639881260739508352*x+52860381479036971044
"(8, -14)",15336090387365169312*x+34292540615229591112
