numerator,72*x-161
denominator,67392000
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",23184*x+51841
"(1, 1)",1
"(2, -4)",2403763488*x+5374978561
"(2, -2)",-453015360*x-1012973140
"(2, 0)",4987440*x+11152470
"(2, 2)",-19540
"(2, 4)",-23184*x+51841
"(3, -5)",517112741520*x+1156299242070
"(3, -3)",336630984480*x+752729764770
"(3, -1)",-8416581264*x-18820017228
"(3, 1)",709893072*x+1587006132
"(3, 3)",14519970
"(3, 5)",-4987440*x+11152470
"(4, -8)",-46969538555520*x-105027081081940
"(4, -6)",73594716909840*x+164562789795252
"(4, -4)",52631152406784*x+117686834537616
"(4, -2)",616800151440*x+1379206437740
"(4, 0)",329084942400*x+735870496200
"(4, 2)",-14598236880*x-32616045460
"(4, 4)",2270149776
"(4, 6)",-709893072*x+1587006132
"(4, 8)",453015360*x-1012973140
"(5, -11)",249227005939632*x+557288527109761
"(5, -9)",-872647268720976*x-1951298613239628
"(5, -7)",-1512957596040720*x-3383076031821460
"(5, -5)",-321583530416400*x-719082634589225
"(5, -3)",88054774027920*x+196896462457110
"(5, -1)",28325058704064*x+63336736791872
"(5, 1)",-462494621376*x-1032947662528
"(5, 3)",45224237520*x+104922553110
"(5, 5)",-13870925225
"(5, 7)",14598236880*x-32616045460
"(5, 9)",8416581264*x-18820017228
"(5, 11)",-2403763488*x+5374978561
"(6, -12)",34902573732855360*x+78044527456363170
"(6, -10)",34120514082859200*x+76295788916512200
"(6, -8)",4776994168576560*x+10681683689093910
"(6, -6)",-20174996255299200*x-45112663081045800
"(6, -4)",3260146981361760*x+7289910289079202
"(6, -2)",-567055278901440*x-1267976680964880
"(6, 0)",-12037345783200*x-26916842654100
"(6, 2)",-58657960226880*x-131187645419280
"(6, 4)",481237219008*x+1216699691682
"(6, 6)",-870212053800
"(6, 8)",-45224237520*x+104922553110
"(6, 10)",-329084942400*x+735870496200
"(6, 12)",-336630984480*x+752729764770
"(7, -15)",53615283261289200*x+119887418005149270
"(7, -13)",63951058703365200*x+142998914493804140
"(7, -11)",-47924042274802368*x-107161416283019968
"(7, -9)",53155784322549216*x+118859947143893922
"(7, -7)",125701837372490400*x+281077853313805850
"(7, -5)",-13014708685930080*x-29101773603175560
"(7, -3)",7834584908134800*x+17518662916382820
"(7, -1)",916796684645712*x+2049985101719582
"(7, 1)",-802330451566704*x-1794025886084578
"(7, 3)",-35169196867920*x-78302784244380
"(7, 5)",-6228720905760*x-14489209332360
"(7, 7)",5421921901850
"(7, 9)",-481237219008*x+1216699691682
"(7, 11)",462494621376*x-1032947662528
"(7, 13)",-616800151440*x+1379206437740
"(7, 15)",-517112741520*x+1156299242070
"(8, -16)",5456903143840178688*x+12202006376258952336
"(8, -14)",2936798274060142272*x+6566880577002535232
"(8, -12)",-6082341687522273600*x-13600529475680824080
"(8, -10)",-658820949636938400*x-1473168428394573960
"(8, -8)",-345586791702942720*x-772755558517609280
"(8, -6)",-201039157513492704*x-449537225192485128
"(8, -4)",53174574978782400*x+118901952422880400
"(8, -2)",-1920011678726400*x-4293431303166640
"(8, 0)",12542138826013440*x+28045615985946720
"(8, 2)",-3585895760079360*x-8018389497496240
"(8, 4)",-276502999204800*x-615985912991600
"(8, 6)",-64205599939488*x-152239547272968
"(8, 8)",-14906262582080
"(8, 10)",6228720905760*x-14489209332360
"(8, 12)",58657960226880*x-131187645419280
"(8, 14)",-28325058704064*x+63336736791872
"(8, 16)",-52631152406784*x+117686834537616
"(9, -19)",7630447437936137808*x+17062199169964311732
"(9, -17)",9129695125987038960*x+20414618915555525910
