"(v, u)","a(v, u)"
"(7, -13)","(52057294718646287040634448612508554738819977463266541559862474487595800253653403535199772680, 23280729943126777352965579180260736676254385203671794645315416926986359274948047772127860160)"
"(7, -11)","(-186081154497543078136345981401529365492868658967188140917357141108406570355689305285902709968, -83218022157629409182497537048155424426338496660236595208228143453589708226582530199117095808)"
"(7, -9)","(1275011384000035230049708653253369745186135945210811945679397710615949922183454428828785568, 570202425342033299462719919787469706586658180806949668727758173035484040533847664348175232)"
"(7, -7)","(285230938454474156872245545986347609285632744756894362154103816158596907832622319930136800, 127559153534052603736345977215630298711603317746488422508720734345548520664649912069094400)"
"(7, -5)","(3106192444741345706580881162915575783962946842814211750479215381215826902009597303769600, 1389131491527588533333354036375699705565223661935919216497395937599312292276093762586880)"
"(7, -3)","(12864896973186952870449378373218294526512174527192579068679557282569266249129296932840, 5753356941971354422256083391797640975814443997331077443761983954328234814240379535680)"
"(7, -1)","(48192047603722878931221979161155804022060475918017136084404184277487946471743280832, 21670127353133906585436678564537117827143885014264918055054589467975781745911858112)"
"(7, 1)","(-48192047603722878931221979161155804022060475918017136084404184277487946471743280832, 21670127353133906585436678564537117827143885014264918055054589467975781745911858112)"
"(7, 3)","(-12864896973186952870449378373218294526512174527192579068679557282569266249129296932840, 5753356941971354422256083391797640975814443997331077443761983954328234814240379535680)"
"(7, 5)","(-3106192444741345706580881162915575783962946842814211750479215381215826902009597303769600, 1389131491527588533333354036375699705565223661935919216497395937599312292276093762586880)"
"(7, 7)","(-285230938454474156872245545986347609285632744756894362154103816158596907832622319930136800, 127559153534052603736345977215630298711603317746488422508720734345548520664649912069094400)"
"(7, 9)","(-1275011384000035230049708653253369745186135945210811945679397710615949922183454428828785568, 570202425342033299462719919787469706586658180806949668727758173035484040533847664348175232)"
"(7, 11)","(186081154497543078136345981401529365492868658967188140917357141108406570355689305285902709968, -83218022157629409182497537048155424426338496660236595208228143453589708226582530199117095808)"
"(7, 13)","(-52057294718646287040634448612508554738819977463266541559862474487595800253653403535199772680, 23280729943126777352965579180260736676254385203671794645315416926986359274948047772127860160)"
"(7, 15)","(-185913374817957103165186037616294013459471658390886573542501897565097155621010274685119078400, 83142988803869934421205906706751559492182724050118776927588444930251119032283592872475954240)"
"(8, -16)","(273653963697472478328765252501597504380713928855630117460179939567139291253231123807165567471416, 122381773027961631213461052254078358232978198154340430309810955064861391549092435414805843279104)"
"(8, -14)","(-346397697993073344584896124161203909405337885186923236713074732496256920592882710293323481942832, -154913759992390894791073467006393398245018475722724145233344430044169559824142973054946983623552)"
"(8, -12)","(76174675758604393752426248943933694090135362636008792367806798456648790091773477604889434938960, 34066350632048957030551866440022641813726314774726212785281196489547102776598614913684520293120)"
"(8, -10)","(-891630449805420067896994186540730234653862198093602118061020062394273510999967224466543244800, -398749259314726681335012082494373659266022339385258138073290927296607908501555813427070388480)"
"(8, -8)","(-180327327247551216031192594514867386220523879144149904882108645439558464891043562582851970960, -80644832385274913193422322152928731683342916485138373029928389765859821212116721958047367680)"
"(8, -6)","(2537144963190967336547727551622873294921417981497278990029478118285640955559973172908793632, 1134645721293242484550860324417588725027821825300377294991207445766504523906127877946149888)"
"(8, -4)","(68137976859656474378231303365687473986352994150731891553137231883346362175435702920571600, 30472229615032747141390107580895932418735485867062122600679440867482838991005983142841600)"
"(8, -2)","(110733772802288409418388110505103295916426968917198233850630007071787829488078065117680, 49516372620541547686324729979949469867762386083041168019888542594859077008571752773760)"
"(8, 0)","(0, -1188752393688090278190617088581182830040674660788443392693152954243515087474970211840)"
"(8, 2)","(-110733772802288409418388110505103295916426968917198233850630007071787829488078065117680, 49516372620541547686324729979949469867762386083041168019888542594859077008571752773760)"
