"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)","(288371696060654087031447604466322413583592940537253698498005201873290037397980812854213674831573829969469284087717208119640614629169238211632333328716217, 128963743035706171220236809313147238692451399773686566010930986687722305564638102909731754465028036798699785516698736121207990270805412164302811204424736)"
"(1, 1)","(-288371696060654087031447604466322413583592940537253698498005201873290037397980812854213674831573829969469284087717208119640614629169238211632333328716217, 128963743035706171220236809313147238692451399773686566010930986687722305564638102909731754465028036798699785516698736121207990270805412164302811204424736)"
"(2, -4)","(-33324688283305466586404163604149603107210263540223717698215729253531050500305419143612789621415288777500085685591285741071256116337875851674577669792641315326784350310261177, -14903253666092358676589087959854240001760579516411919515637101462955480866596749589555585148397442259873955557702300535645981769787523115671610945932966126678214195987233888)"
"(2, -2)","(-33324688365286215509566082221767223858244213231507662480789673392651810526680326984263791521433208195624889610269415385494508105607142665882219715117035807640358241794620082, -14903253702755264164037707157636041693891684259907620171724386959596937012067129592533169662937584932135596473348644217365678048660499133896854823118631657960669692216430656)"
"(2, 0)","(0, 27893592223920071339697991808217244806132542752682798676859587668629133562813750081780752537183330905610794873503288445687591463408420529599873846471374082229874752)"
"(2, 2)","(33324688365286215509566082221767223858244213231507662480789673392651810526680326984263791521433208195624889610269415385494508105607142665882219715117035807640358241794620082, -14903253702755264164037707157636041693891684259907620171724386959596937012067129592533169662937584932135596473348644217365678048660499133896854823118631657960669692216430656)"
"(2, 4)","(33324688283305466586404163604149603107210263540223717698215729253531050500305419143612789621415288777500085685591285741071256116337875851674577669792641315326784350310261177, -14903253666092358676589087959854240001760579516411919515637101462955480866596749589555585148397442259873955557702300535645981769787523115671610945932966126678214195987233888)"
"(3, -5)","(-3603901546601383238101480086109252923722098690353707935918327033356976343906120537381905911673069601257496589267839021663374500504277636348503151185625524599398445803295452288279695360, -1611713768483463820497548535234309160964278894504930520454920432462529365181381101700685668556512620834446660252710699487436967330011468008168551147547065128908036702957312405773037632)"
"(3, -3)","(9475038094708321970916880569523537771029094566680767823946103464624004611147686739108929036048752715054717632619144527493587418732923474257332606164772619781134606943890670003824380224, 4237365853833579665405142700787290758942367008463759163077126102072555212303561625151536166589935457863382195440108923810105145326619409918402469879314581930664173189612031499794081792)"
"(3, -1)","(168227519374382117862256388048452860423942099474831715902125511293381279539294642714428219130154140830209339612519875164601494057504330285225841317523675052669163927996610240049004, 75233607710523180510468938153606534722038223155196111504085281770042474553917758766358407075473834093678009657193458405463181512060244449688592894341966489420208340305881209905856)"
"(3, 1)","(-168227519374382117862256388048452860423942099474831715902125511293381279539294642714428219130154140830209339612519875164601494057504330285225841317523675052669163927996610240049004, 75233607710523180510468938153606534722038223155196111504085281770042474553917758766358407075473834093678009657193458405463181512060244449688592894341966489420208340305881209905856)"
