"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)","(5146152118694676807062170554049471026518172657809193806360170261673615885027366212043726428695801474237353911600463070718991574478254448795213562237196085783125, 2301429191991172730703002728470389707152222295779619974272920537603320802783307842353936311590732509094434689120832155312977043688427968408319005771042283140000)"
"(1, 1)","(5146152118694676807062170554049471026518172657809193806360170261673615885027366212043726428695801474237353911600463070718991574478254448795213562237196085783125, -2301429191991172730703002728470389707152222295779619974272920537603320802783307842353936311590732509094434689120832155312977043688427968408319005771042283140000)"
"(2, -4)","(594697460106838181042878011762421962990949213962819914275029336115133571178626466664649553273778339878840191899235456301241521299559961580044861741992901141151011875570289116183125, 265956789369071903678602261916216163628430875751325996303284982477361951830698672337250020847059973746496502160060387086868707219450971063950998290731886233893266042533455092620000)"
"(2, -2)","(7649928503935644639076951147518248351561757441456065472673314221719260284097679066921551908470602651103869033087024414307831443741462173608555188628911480374829308399182191146, 3421152031562673778105905488980808457814486958078191995852609034828835749338072190797699265070306310023528162174645967611655747574255837976608846023475366511149000611287439168)"
"(2, 0)",187417832288770311505930112206745624854857353580992621073573656676207595746064143448375295203866271181212587702323712818573776696745907162069890400201980744602580175521
"(2, 2)","(7649928503935644639076951147518248351561757441456065472673314221719260284097679066921551908470602651103869033087024414307831443741462173608555188628911480374829308399182191146, -3421152031562673778105905488980808457814486958078191995852609034828835749338072190797699265070306310023528162174645967611655747574255837976608846023475366511149000611287439168)"
"(2, 4)","(594697460106838181042878011762421962990949213962819914275029336115133571178626466664649553273778339878840191899235456301241521299559961580044861741992901141151011875570289116183125, -265956789369071903678602261916216163628430875751325996303284982477361951830698672337250020847059973746496502160060387086868707219450971063950998290731886233893266042533455092620000)"
"(3, -5)","(21658300468026614221853331088903910844237977947919955761484937830899265164486413712639845083294347674708214938067747318516183971768303633452170587126302108780736258561516335376017934771522, 9685886424724603972174538548302538973088787501968194675873132851336439783632265726854871118270973492855147783881176078398746987708619099932040357211302739862924751521485152798313483920512)"
"(3, -3)","(4969397439321101052844159496043731001083066233186984991883176054072772033302524881939421818325343578332370926667342254613880476469850556473911880303249992553511719449860585293212686902, 2222382096307073664397663287840303077200899567722121078110985782638183644394284937393909875861369077310189695842338976287582894292826166394167949203542637132465272617051899273265665216)"
"(3, -1)","(132568833316210432444512738450037704791508851458944391815592658940634677786813604033833113368671647400408944560031966854084805023405055143965124376341183087906550124293034878886260, 59286529891748434909096376952143496169071961143452915115893753516999467538880515373474443053672577985293629344237328065369837799906518495185730072257682589426055251350816851371200)"
"(3, 1)","(132568833316210432444512738450037704791508851458944391815592658940634677786813604033833113368671647400408944560031966854084805023405055143965124376341183087906550124293034878886260, -59286529891748434909096376952143496169071961143452915115893753516999467538880515373474443053672577985293629344237328065369837799906518495185730072257682589426055251350816851371200)"
"(3, 3)","(4969397439321101052844159496043731001083066233186984991883176054072772033302524881939421818325343578332370926667342254613880476469850556473911880303249992553511719449860585293212686902, -2222382096307073664397663287840303077200899567722121078110985782638183644394284937393909875861369077310189695842338976287582894292826166394167949203542637132465272617051899273265665216)"
"(3, 5)","(21658300468026614221853331088903910844237977947919955761484937830899265164486413712639845083294347674708214938067747318516183971768303633452170587126302108780736258561516335376017934771522, -9685886424724603972174538548302538973088787501968194675873132851336439783632265726854871118270973492855147783881176078398746987708619099932040357211302739862924751521485152798313483920512)"
"(4, -8)","(884037810456988079515557009863012515851551507589388532133229117418281209129258681245744809386655297130183094144560366836600622806555432276524381706472278347432943220154858991390099839067636611626, 395353727772379953875599078122221983884354505144649484712646388659390593186052233528488583134969399855907848436033512350574305052562039713356454506171062241198586201152227469267875066664838481344)"
"(4, -6)","(7068219208947337821860338696110387453084854754683712085901068701721823111819978523674134179457505317367658656097893285975315291429440700234051821710307979765372645154163752675584215494351884660, 3161003726215207423091222711973021782357081921321546440415739188838466687029180179843133710980760150229990139989576377745479947369218589945000366381814476536609813803815595293851750049172996160)"
"(4, -4)","(12470351984192272084875166834532372456955119632846459865141649230878091965704715620243875465599629437402196044682188888443120238611973643337845051079821648559886057692772730872546743506300920, 5576910948000660650334557320433832045948056057392018634673936584895717809406745947644999639251098636699730721628279665608675084419431611473146931197065709070131840275101817648622662778607360)"
"(4, -2)","(-298751626974373087923578022771728747440471114451942592593483483680393907485638792819356437474205590602858919719493529075176298351029913192289377810265971060802372118013861589848174956516, -133605789214433227630861278081442951998744041284394431403064394872736143774766138974706600934323158552006065995007790689347887955238301379789213273090007882289066835824686427363247231296)"
"(4, 0)",183625209190920677592765791936893522015316343209425646015691552296122352210447646145570655893799375254295028339896736322742881617856282472946748630207384856809224873821180024049285070
"(4, 2)","(-298751626974373087923578022771728747440471114451942592593483483680393907485638792819356437474205590602858919719493529075176298351029913192289377810265971060802372118013861589848174956516, 133605789214433227630861278081442951998744041284394431403064394872736143774766138974706600934323158552006065995007790689347887955238301379789213273090007882289066835824686427363247231296)"
"(4, 4)","(12470351984192272084875166834532372456955119632846459865141649230878091965704715620243875465599629437402196044682188888443120238611973643337845051079821648559886057692772730872546743506300920, -5576910948000660650334557320433832045948056057392018634673936584895717809406745947644999639251098636699730721628279665608675084419431611473146931197065709070131840275101817648622662778607360)"
"(4, 6)","(7068219208947337821860338696110387453084854754683712085901068701721823111819978523674134179457505317367658656097893285975315291429440700234051821710307979765372645154163752675584215494351884660, -3161003726215207423091222711973021782357081921321546440415739188838466687029180179843133710980760150229990139989576377745479947369218589945000366381814476536609813803815595293851750049172996160)"
"(4, 8)","(884037810456988079515557009863012515851551507589388532133229117418281209129258681245744809386655297130183094144560366836600622806555432276524381706472278347432943220154858991390099839067636611626, -395353727772379953875599078122221983884354505144649484712646388659390593186052233528488583134969399855907848436033512350574305052562039713356454506171062241198586201152227469267875066664838481344)"
"(5, -11)","(68724176996779421273379469129560628439624324105869378552837461672671703912981247499742825867552194285237083063374003361543446383837314806098726820026399404762999846454308513579387323038995410728983125, 30734386292505226319837419411891732106009884946539300580736285487406915737775494266114638966265681454716777995272526451448678008633992205218610489107325301394145398542198057123421354184790257047700000)"
"(5, -9)","(15319856519970738937398247648300353909152984014086000240911055312563287642294259956530223520448974505389753666953741563823469955776855163255787237988793257383258647885327366018618391335130973333516660, 6851248116839587350818300940282160516840156247824193922950737080691803162732301743526497268202694823066852911310319033693601689768406186984696761854718174937093817111458440491797840514644793448794560)"
"(5, -7)","(-5974080852504294709815797760977293294668633288197565140804933280056776524670342037759137547591652395656137586354448858015826370129430438385706670235123383671322401873138662515253064435867317346276, -2671690177855899542237318362689552542123485653067754629426624667604060519644680879855397618585672986656780476676037659572994768215718955001904363866402583463770486379305606526890240118482718511040)"
"(5, -5)","(500186477239330737142442384917158731927140972421818256158185322640092983573313545178539151848960208158203040795201304525432978858412476659254552119396628660481507539481144480214368832474381703955, 223690192906658974764816454494414134000271660941492201558360230806463914161557317340155778603303388903613563111676080493338541145285850571259294308913362113103281701182862367512248429313708556640)"
"(5, -3)","(-131232017970847035855704557997727317809632805001339658660800415985228424108906363135430489289429071224996709243278160713502278791620094873439996189956401450494617158727683269621724289397300674, -58688742607316473317605985789313099080175809169775457863243708982688424963637245660628539375369356335482055170633268479630222233273594090734514483229314104208174799248475800312619051781575040)"
"(5, -1)","(1878767611088600856266291630718585121632361656641729131383971011257466702144396742633766873000281431481879003996766712299804430811673395975176112236901105072706629633092546156268023547923280, 839670332063750805184455157772931947600226423029372775550082888255689511343916707096471426264048493378682025990030984562093346006668971860109028586354425624739805681499647968919205964434560)"
"(5, 1)","(1878767611088600856266291630718585121632361656641729131383971011257466702144396742633766873000281431481879003996766712299804430811673395975176112236901105072706629633092546156268023547923280, -839670332063750805184455157772931947600226423029372775550082888255689511343916707096471426264048493378682025990030984562093346006668971860109028586354425624739805681499647968919205964434560)"
"(5, 3)","(-131232017970847035855704557997727317809632805001339658660800415985228424108906363135430489289429071224996709243278160713502278791620094873439996189956401450494617158727683269621724289397300674, 58688742607316473317605985789313099080175809169775457863243708982688424963637245660628539375369356335482055170633268479630222233273594090734514483229314104208174799248475800312619051781575040)"
"(5, 5)","(500186477239330737142442384917158731927140972421818256158185322640092983573313545178539151848960208158203040795201304525432978858412476659254552119396628660481507539481144480214368832474381703955, -223690192906658974764816454494414134000271660941492201558360230806463914161557317340155778603303388903613563111676080493338541145285850571259294308913362113103281701182862367512248429313708556640)"
"(5, 7)","(-5974080852504294709815797760977293294668633288197565140804933280056776524670342037759137547591652395656137586354448858015826370129430438385706670235123383671322401873138662515253064435867317346276, 2671690177855899542237318362689552542123485653067754629426624667604060519644680879855397618585672986656780476676037659572994768215718955001904363866402583463770486379305606526890240118482718511040)"
"(5, 9)","(15319856519970738937398247648300353909152984014086000240911055312563287642294259956530223520448974505389753666953741563823469955776855163255787237988793257383258647885327366018618391335130973333516660, -6851248116839587350818300940282160516840156247824193922950737080691803162732301743526497268202694823066852911310319033693601689768406186984696761854718174937093817111458440491797840514644793448794560)"
"(5, 11)","(68724176996779421273379469129560628439624324105869378552837461672671703912981247499742825867552194285237083063374003361543446383837314806098726820026399404762999846454308513579387323038995410728983125, -30734386292505226319837419411891732106009884946539300580736285487406915737775494266114638966265681454716777995272526451448678008633992205218610489107325301394145398542198057123421354184790257047700000)"
"(6, -12)","(574271410417477922297602542338097106866747584540921354457688923921074336108023371459717432202372355627174422172832455760997987692320845412283993521809718616787071155173833521930324197401835463814816004662, 256821982245632303404636514503167986370372468418285993566829596572288434039558974547143707675595760236928729624377443744182305321806397406134967683124731461700721064154138625722300309004857665205833137728)"
"(6, -10)","(21220018957606396654742044016958528816448429838577452193461177372816964284884687981263394458389317648546306222113801670695121878970522743640837280962522086145824842227785166320422277669558444506935971740, 9489880974608426192529524140201079151983990540067352715053140789526987411121044528495989783068099820964134358173829472239508670476729675715514781830350576602177424692750065293248827466426026020686135040)"
"(6, -8)","(756977154823248012996244562238407694575697365028302364967115488357882696333681344788788906180491178299907347126985032670428664566206098916002177246174998208494258746391788181347319464648890713236795966, 338530475119833071877514692923910851653354201189768733401489145812733650331198865658074425407419574620116359342251778071583721041246081093833106593874488319446369949992790554233010630245971379012357376)"
"(6, -6)","(-4538762230375944070532210892825456219316618908530898155374014887277124374337550291103811995605133115604621138841950407830658187215964960090375459258375054766325078179726027758992296709562743404104460, -2029796176165834360855495377312578050473792177035808032822888122772772359838896774553872400580917488922812344892115560021495207120697749282170896676905557401960508929957558461476465506540178186935680)"
"(6, -4)","(202018987778765128360404287276385932999488125806187213343968954004539974933768566306165963030729968968721174334687772140202982716130282801313513704108422359360150903135367747353436396785840864324630, 90345637883807266319733464538228384426047614364531501913274207641229720105510181627950321697381524531005536028065223355925242826041886137917662677074605853761100374704679341426607086610991175235520)"
"(6, -2)","(307789601683748594332966436574762624171164980773662510745408918414310622697821267616843064530065465574570610260050526035044307782469406859410806451192191011313252800381907087903869857049599799912, 137647471664142377766553777670299934959468306456921920131305114707882127965919563104662690333199733901514174904378060428894111561746324345698576971532655069087847487235498681901296138120012180608)"
"(6, 0)",-396688559882724543195711097185087259583882575229234480835035178390515775208609775462922580833273350106643806560700772386833062953622501507942744730256312361287075123947185419604569037413073410
"(6, 2)","(307789601683748594332966436574762624171164980773662510745408918414310622697821267616843064530065465574570610260050526035044307782469406859410806451192191011313252800381907087903869857049599799912, -137647471664142377766553777670299934959468306456921920131305114707882127965919563104662690333199733901514174904378060428894111561746324345698576971532655069087847487235498681901296138120012180608)"
"(6, 4)","(202018987778765128360404287276385932999488125806187213343968954004539974933768566306165963030729968968721174334687772140202982716130282801313513704108422359360150903135367747353436396785840864324630, -90345637883807266319733464538228384426047614364531501913274207641229720105510181627950321697381524531005536028065223355925242826041886137917662677074605853761100374704679341426607086610991175235520)"
"(6, 6)","(-4538762230375944070532210892825456219316618908530898155374014887277124374337550291103811995605133115604621138841950407830658187215964960090375459258375054766325078179726027758992296709562743404104460, 2029796176165834360855495377312578050473792177035808032822888122772772359838896774553872400580917488922812344892115560021495207120697749282170896676905557401960508929957558461476465506540178186935680)"
"(6, 8)","(756977154823248012996244562238407694575697365028302364967115488357882696333681344788788906180491178299907347126985032670428664566206098916002177246174998208494258746391788181347319464648890713236795966, -338530475119833071877514692923910851653354201189768733401489145812733650331198865658074425407419574620116359342251778071583721041246081093833106593874488319446369949992790554233010630245971379012357376)"
