numerator,1
denominator,31836672000
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",1026407009376*x+2295115845547
"(1, 1)",-1026407009376*x+2295115845547
"(2, -4)",118613213801886490255257371551008*x+265227209090734465164864821460907
"(2, -2)",1525788600213465841846118400*x+3411767029371559754479764800
"(2, 0)",167175150988708636050
"(2, 2)",-1525788600213465841846118400*x+3411767029371559754479764800
"(2, 4)",-118613213801886490255257371551008*x+265227209090734465164864821460907
"(3, -5)",4319865153007215775147095410253682972800*x+9659512135756664538085697442579467548050
"(3, -3)",1078943746785703891584196167323582400*x+2412591561711154121066058361638041550
"(3, -1)",23762310319599807037996210550976*x+53134196151425424664788969803124
"(3, 1)",-23762310319599807037996210550976*x+53134196151425424664788969803124
"(3, 3)",-1078943746785703891584196167323582400*x+2412591561711154121066058361638041550
"(3, 5)",-4319865153007215775147095410253682972800*x+9659512135756664538085697442579467548050
"(4, -8)",176322538525556444615205169660880710843127347200*x+394269182108469749909817050817135260236298388800
"(4, -6)",1420556830612647159024068162404013860711722048*x+3176461639151533270597618257603805309922246004
"(4, -4)",3507128167901300121926249798063376198721536*x+7842176989231603021744657886958147517800192
"(4, -2)",1499679493681360927331775184189119892800*x+3353385294091550419267744239385132112300
"(4, 0)",543199889581607862891711629018160000
"(4, 2)",-1499679493681360927331775184189119892800*x+3353385294091550419267744239385132112300
"(4, 4)",-3507128167901300121926249798063376198721536*x+7842176989231603021744657886958147517800192
"(4, 6)",-1420556830612647159024068162404013860711722048*x+3176461639151533270597618257603805309922246004
"(4, 8)",-176322538525556444615205169660880710843127347200*x+394269182108469749909817050817135260236298388800
"(5, -11)",13707130173404880596093529481064409369792661631155680*x+30650074844171792984440461868380687147627988072128427
"(5, -9)",2746011500981920363016052317354872978439167915154880*x+6140268383191804434116263003756926152335192586837364
"(5, -7)",45416000434626092272181785058964817768600498968000*x+101553264237983935967813531540425199939567255120300
"(5, -5)",430204875939635183255590978961055412099910340000*x+961967346852887982696618651402310880749195433125
"(5, -3)",557911552895711148179399571247095660400560000*x+1247528157725909443986989183183928622770032250
"(5, -1)",843898211678476585349656883845853751417600*x+1887526260218935002401662066559212223881184
"(5, 1)",-843898211678476585349656883845853751417600*x+1887526260218935002401662066559212223881184
"(5, 3)",-557911552895711148179399571247095660400560000*x+1247528157725909443986989183183928622770032250
"(5, 5)",-430204875939635183255590978961055412099910340000*x+961967346852887982696618651402310880749195433125
"(5, 7)",-45416000434626092272181785058964817768600498968000*x+101553264237983935967813531540425199939567255120300
"(5, 9)",-2746011500981920363016052317354872978439167915154880*x+6140268383191804434116263003756926152335192586837364
"(5, 11)",-13707130173404880596093529481064409369792661631155680*x+30650074844171792984440461868380687147627988072128427
"(6, -12)",124684442086482113174787481924261043112613138307936059200*x+278802888242009717310782183766609317239397922679703705550
"(6, -10)",14036477671729132416619722842295076783772815717493760000*x+31386518238644318129003632784123610571904531176768560000
"(6, -8)",481397514849890495319171960022032752163516942372576000*x+1076437567403819616338826257541289462433165108450672250
"(6, -6)",4235210748504693582830612415087474557089862458675200*x+9470219132694260649152858513505971301279280129334400
"(6, -4)",91228218607473534770414222059925202604424864634048*x+203992498272542321017291031059158420567378029717934
"(6, -2)",211944246474381855673960362833921409187063910400*x+473922012976124089641508616751622831619171193600
"(6, 0)",823630313736034017146963310775712065840912500
"(6, 2)",-211944246474381855673960362833921409187063910400*x+473922012976124089641508616751622831619171193600
"(6, 4)",-91228218607473534770414222059925202604424864634048*x+203992498272542321017291031059158420567378029717934
"(6, 6)",-4235210748504693582830612415087474557089862458675200*x+9470219132694260649152858513505971301279280129334400
"(6, 8)",-481397514849890495319171960022032752163516942372576000*x+1076437567403819616338826257541289462433165108450672250
"(6, 10)",-14036477671729132416619722842295076783772815717493760000*x+31386518238644318129003632784123610571904531176768560000
