numerator,(17711*x-39603)/2
"(10, -6)",-8294930534331611171700730099200*x-18548028543404204046722283081600
"(10, -4)",(1538327342177826854289463535157*x+3439804508750052308060239800881)/2
"(10, -2)",-355182263142464276262903425280*x-794211684795190614419934851840
"(10, 0)",-125740241452366734953729835000*x-281163727036192617070109475000
"(10, 2)",2252371190026699645190906880*x+5036456104230091293365347840
"(10, 4)",(2156101823836903720942337763*x+4821185858117125836472369319)/2
"(10, 6)",23980567529085697119499200*x+53645831336104241922081600
"(10, 8)",-9680852198365246770354780*x-21748812276412061382206140
"(10, 10)",-142546323421031066440000
"(10, 12)",1070503150067798248203795*x-2427104745837398448248265
"(10, 14)",550135670567923389571200*x-1230134827595920861942400
"(10, 16)",-6812469202077784180876836*x+15233144226042827706074012
"(10, 18)",-1621398481213250553684480*x+3625557222596193469973760
"(10, 20)",(27195370600289849493352125*x-60810697335547365435730375)/2
"(10, 22)",2022225357703703213641440*x-4521833365649308407933280
"(11, -23)",368085655462216582341470630075797230*x+823064547156083051208179078225937530
"(11, -21)",139660755600673197797416336402103952*x+312290943312089743878925861834832808
"(11, -19)",-2434961393811147136412638013182260*x-5444739199149360713148482102428108
"(11, -17)",73144327737118345827551021128454640*x+163555688988719988717985895817870680
"(11, -15)",-3232653955684947547685691177884400*x-7228433992645135451413903803306000
"(11, -13)",15219116142344886053300176447616040*x+34030978251747530829961831679087840
"(11, -11)",2173104659285556434254809989375544*x+4859209740384023763143959622721576
"(11, -9)",1344325164044970919817702442438360*x+3006002450668111238074014130956972
"(11, -7)",-133431211850851365206444255129130*x-298361260018680709590979939896910
"(11, -5)",37292207387612220401082242252400*x+83387910749697327027915638928000
"(11, -3)",-21242541480712874977077986246100*x-47499766765492840918000243387500
"(11, -1)",2047092141117641770244866014192*x+4577437181706534771299179858568
"(11, 1)",714772163088944576078530382100*x+1598279139254358441302602023452
"(11, 3)",-84234049637092936322075022600*x-188353000437553460484781122000
"(11, 5)",8222818438502513742245891400*x+18386674659963271361752875000
"(11, 7)",535371639978574041412861560*x+1197507846572196529173616460
"(11, 9)",-37986941112430123369515978*x-88774597373134310956888302
"(11, 11)",-6196400349881461867269936
"(11, 13)",9680852198365246770354780*x-21748812276412061382206140
"(11, 15)",-2060573553137080805666400*x+4610021417543727983208000
"(11, 17)",46636337355396012283699020*x-104282042873835842947803580
"(11, 19)",-1552515376047507791492328*x+3471529897530771026677328
"(11, 21)",89046779322631846477965300*x-199114651742828423889613188
"(11, 23)",234688993288049936747389560*x-524780542563071541043721380
"(12, -26)",-1084850506558277108391695071738772322*x-2425799478089389031688926906744064522
