numerator,(17711*x-39603)/2
denominator,993600
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",(701408733*x+1568397607)/2
"(1, 1)",1
"(2, -4)",(1100087778366101931*x+2459871053643326447)/2
"(2, -2)",-5400763075052040*x-12076473366187160
"(2, 0)",915935611485*x+2048094292905
"(2, 2)",-15399760
"(2, 4)",(-701408733*x+1568397607)/2
"(3, -5)",1436551222135091327880*x+3212226185854464785430
"(3, -3)",6298954318194703245*x+14084890042649196855
"(3, -1)",103052059533887736*x+230431410340184052
"(3, 1)",370267175539182*x+827942868185562
"(3, 3)",17960866530
"(3, 5)",-915935611485*x+2048094292905
"(4, -8)",-8470543882885580936468280*x-18940711928527176442726360
"(4, -6)",580726255118361517425210*x+1298543382763541532566082
"(4, -4)",58491829324435186940544*x+130791706497752678856576
"(4, -2)",294598057631097246510*x+658741282902604822310
"(4, 0)",-14105188592322243600*x-31540160568106702800
"(4, 2)",24800302787065830*x+55456002912676510
"(4, 4)",166783863879936
"(4, 6)",-370267175539182*x+827942868185562
"(4, 8)",5400763075052040*x-12076473366187160
"(5, -11)",862687519539670318898535192*x+1929027937031380914713107361
"(5, -9)",161626603569741327724586934*x+361408072554351780228178002
"(5, -7)",38897030142167109420715320*x+86976403520743965644289260
"(5, -5)",(-857753680360842084209925*x-1917995537237469242316575)/2
"(5, -3)",-141096078859097259331320*x-315500423687609645103210
"(5, -1)",-4324549206504310269456*x-9669985996978260648688
"(5, 1)",283422715830153699744*x+633752446632790453312
"(5, 3)",981372539263909155*x+2194013387055034665
"(5, 5)",-1222901341265225
"(5, 7)",-24800302787065830*x+55456002912676510
"(5, 9)",-103052059533887736*x+230431410340184052
"(5, 11)",(-1100087778366101931*x+2459871053643326447)/2
"(6, -12)",9879264879258889129533134715*x+22090707837749128269893059455
"(6, -10)",-22122544048587094027433308800*x-49467512327874152624073496800
"(6, -8)",1539041246078169562908060765*x+3441400846406768755533149865
"(6, -6)",-97002384751162063244221200*x-216903926283187395759754800
"(6, -4)",-40426848886585896795123885*x-90397182226517723105470953
"(6, -2)",-1586976984327583001343360*x-3548588415700352756627520
"(6, 0)",16450997267956020097050*x+36785548235721430969650
"(6, 2)",-5702025639181273396320*x-12750121463769290265120
"(6, 4)",9883984031995255323*x+21985986886243114527
"(6, 6)",-276593033954032800
"(6, 8)",-981372539263909155*x+2194013387055034665
"(6, 10)",14105188592322243600*x-31540160568106702800
"(6, 12)",-6298954318194703245*x+14084890042649196855
"(7, -15)",2253083499129602668457508771675*x+5038047863036879817686086173105
