numerator,(-39088169*x+87403803)/2
denominator,187200
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",(3416454622906707*x+7639424778862807)/2
"(1, 1)",1
"(2, -4)",(26099748102093884802012313146549*x+58360810951903047633608127919247)/2
"(2, -2)",-1538888928714614276152972800*x-3441060254427705585302412800
"(2, 0)",-415794794703524152725*x-929745425647649764575
"(2, 2)",-900868940800
"(2, 4)",(-3416454622906707*x+7639424778862807)/2
"(3, -5)",-3176433057580276651477379487214351800*x-7102720242727002240681467742123897450
"(3, -3)",-9275872622601811824964414027849725*x-20741481734766903405963180464967225
"(3, -1)",-836946261946646569340541335496*x-1871468735227047194401369421388
"(3, 1)",12012760774888524324423978*x+26861349689603838877171122
"(3, 3)",-5430116097786736350
"(3, 5)",415794794703524152725*x-929745425647649764575
"(4, -8)",-11756226213940064131873025126444756402649600*x-26287720973234969132990250340441476411788800
"(4, -6)",91770582325397620735812844547969621850750*x+205205260414329804999045834557357669680842
"(4, -4)",870057213573271317705202047325237149696*x+1945507073863887367283592272024157290496
"(4, -2)",1201807531055475179624042139569901450*x+2687323335311232080764091134337125550
"(4, 0)",374576616294717253492588183680000*x+837578776816843397422049612160000
"(4, 2)",-45932531829027415405932153150*x-102708262844837294576242853450
"(4, 4)",509333393594456610963456
"(4, 6)",-12012760774888524324423978*x+26861349689603838877171122
"(4, 8)",1538888928714614276152972800*x-3441060254427705585302412800
"(5, -11)",99693531186606771299746903888603998602766798168*x+222921512650248012280439405394046001751504441761
"(5, -9)",-6393788012091813409248214124099469243618873294*x-14296944628760542117747108693232476537100687238
"(5, -7)",-350898120608769075827709496541104714392990600*x-784632050858127541015832277176888286093759700
"(5, -5)",(-4668161523227734117821882954167116017616875*x-10438326495886176969614832413859906367679375)/2
"(5, -3)",31200130209873562555490989631569025286600*x+69765612056122066054759082532009635572950
"(5, -1)",84924096102343027100684674149687796656*x+189896051812563945792002887945015324592
"(5, 1)",24094927053341886847994026500732576*x+53877894804220875041935396184195392
"(5, 3)",-1137844395617857130529456355275*x-2544279151794306205091897930175
"(5, 5)",-1366375976993389568529775625
"(5, 7)",45932531829027415405932153150*x-102708262844837294576242853450
"(5, 9)",836946261946646569340541335496*x-1871468735227047194401369421388
"(5, 11)",(-26099748102093884802012313146549*x+58360810951903047633608127919247)/2
"(6, -12)",-70862331158679411913215744947868042399612987678075*x-158452989514908601564976741426739623354240239764225
"(6, -10)",2861549884104449237987397613806440248624573440000*x+6398620061864193412121940515036523038149320960000
"(6, -8)",-8692445470243022618118010105588503084450470325*x-19436898962173523966686439527805066063226074175
"(6, -6)",8356345544519012358916606662961643462321280000*x+18685356681022006806225962789274275492465280000
