weight,"(3, 79)"
"(7, 11)","(4431659343620081740165460918086540885699246118670941704290700493549688600, -1981898309091320342248636069044953486908067288677617196888628530978588400)"
"(7, 13)","(-72896347650372991948733007255123898931182885751114060265313515312579285666, 32600237731538216572751640236794520443887022272474587559923913138520023502)"
"(7, 15)","(125115143110710096342860176443126938205656612464141539992749084365650436135, -55953193002032454310869313729764523735719829136207946067286893662335932481)"
"(8, -16)","(-5396448741029442081475341444817730575098057963637931807869297219485901628400, -2413365244406998186106001646867060341110262103777012046241525727145718497600)"
"(8, -14)","(-3102191757099297631419324843775951779352275750535673609631880926714480336900, -1387342329622709063858480065901752410022780915875948505296591649728068146700)"
"(8, -12)","(47872000445507196556856222383313863063574534591236191849135272195187782952, 21409009443010861662598145394042227481505923233031685320244773229849447264)"
"(8, -10)","(9580800116226420023853409034212559272151946383104948541329441908457548720, 4284664067744032215663168032221887541087616813234237125377875026567565112)"
"(8, -8)","(232107238380056909241465971577690946707737364478211949593136382135760448, 103801512617511056104138668940732251143374524679880868610671278742541504)"
"(8, -6)","(-142933943545145758083184019210305028075004920295503582575256032596129000, -63922002811951160261034603485983538122983339016085516344497155555068800)"
"(8, -4)","(-9603698285416473007341671029573321858911686855631055689084955438925400, -4294904348144459675853095383399417876634084346043629143896208435122400)"
"(8, -2)","(211489240746262038740703852521225964869880020389863248882361825612516, 94554333861815217730555799355556234986172675755534565549390074450772)"
"(8, 0)","(0, 2161511689181277291201757971267156111207578349779315240705762474496)"
"(8, 2)","(-211489240746262038740703852521225964869880020389863248882361825612516, 94554333861815217730555799355556234986172675755534565549390074450772)"
"(8, 4)","(9603698285416473007341671029573321858911686855631055689084955438925400, -4294904348144459675853095383399417876634084346043629143896208435122400)"
"(8, 6)","(142933943545145758083184019210305028075004920295503582575256032596129000, -63922002811951160261034603485983538122983339016085516344497155555068800)"
"(8, 8)","(-232107238380056909241465971577690946707737364478211949593136382135760448, 103801512617511056104138668940732251143374524679880868610671278742541504)"
"(8, 10)","(-9580800116226420023853409034212559272151946383104948541329441908457548720, 4284664067744032215663168032221887541087616813234237125377875026567565112)"
"(8, 12)","(-47872000445507196556856222383313863063574534591236191849135272195187782952, 21409009443010861662598145394042227481505923233031685320244773229849447264)"
"(8, 14)","(3102191757099297631419324843775951779352275750535673609631880926714480336900, -1387342329622709063858480065901752410022780915875948505296591649728068146700)"
"(8, 16)","(5396448741029442081475341444817730575098057963637931807869297219485901628400, -2413365244406998186106001646867060341110262103777012046241525727145718497600)"
"(9, -19)","(3410633463457371295946161795506815032983132471789506895420817654205410927973700, 1525281654125245424545706084578836318216811078234114979414834530243530316264400)"
"(9, -17)","(-595178738019367259299525529103433549170778792993771628801787205839064589492664, -266172023394768747021163831869213588132559991082121047974941195512486154291384)"
"(9, -15)","(266147188760259144802552327434818443118532311181215876335986202545813263272200, 119024641217681485317007640750694959803124869421555502619428413402803005466440)"
"(9, -13)","(7349526477063325500698451082807985244306494359461864813498574238455918798848, 3286808161029628951992390075938317125021690800853644248050785083817615209492)"
"(9, -11)","(1183127813912316829414193909381331810587412089887981735418158674393279052500, 529110843595732367828682131974583115408206571179973978034619301176154459300)"
"(9, -9)","(-531138128159866847350822390165959511875436853867378410978215930634624439400, -237532192001491449368011456844629099804096426934608221970249505220481966200)"
"(9, -7)","(-18926623565996590985394617003426766155479045244032090773159965550292838952, -8464243375606995060553630835362449458295556256746951880342894491107760872)"
"(9, -5)","(1625459730760035035300833957181562081609356441680935111553171402848204300, 726927689209194713449241138699231430131963729135810770483042724578515380)"
"(9, -3)","(-5001066765227631246224932517905646480341754915893522227257694400235484, -2236036962505695086293008425707688686230897574753535395205232972378156)"
"(9, -1)","(2437572455359850767144292377813188546055267519281027085459322444679600, 1089246400429164706542888648822591865475859072614827877504691579032000)"
"(9, 1)","(-2437572455359850767144292377813188546055267519281027085459322444679600, 1089246400429164706542888648822591865475859072614827877504691579032000)"
"(9, 3)","(5001066765227631246224932517905646480341754915893522227257694400235484, -2236036962505695086293008425707688686230897574753535395205232972378156)"
"(9, 5)","(-1625459730760035035300833957181562081609356441680935111553171402848204300, 726927689209194713449241138699231430131963729135810770483042724578515380)"
"(9, 7)","(18926623565996590985394617003426766155479045244032090773159965550292838952, -8464243375606995060553630835362449458295556256746951880342894491107760872)"
"(9, 9)","(531138128159866847350822390165959511875436853867378410978215930634624439400, -237532192001491449368011456844629099804096426934608221970249505220481966200)"
"(9, 11)","(-1183127813912316829414193909381331810587412089887981735418158674393279052500, 529110843595732367828682131974583115408206571179973978034619301176154459300)"
"(9, 13)","(-7349526477063325500698451082807985244306494359461864813498574238455918798848, 3286808161029628951992390075938317125021690800853644248050785083817615209492)"
"(9, 15)","(-266147188760259144802552327434818443118532311181215876335986202545813263272200, 119024641217681485317007640750694959803124869421555502619428413402803005466440)"
"(9, 17)","(595178738019367259299525529103433549170778792993771628801787205839064589492664, -266172023394768747021163831869213588132559991082121047974941195512486154291384)"
"(9, 19)","(-3410633463457371295946161795506815032983132471789506895420817654205410927973700, 1525281654125245424545706084578836318216811078234114979414834530243530316264400)"
"(10, -22)","(190811583632269079056946699160980426600962968788688444257461315279790614477115241, 85333534379227978996289057582606547221172683946976474967873688923752942802668765)"
"(10, -20)","(-108942828114051108712990345387316309141433193527695736837836507659652337360097200, -48720713864818698184708357768852634505222324559130043144174028448556279729460800)"
"(10, -18)","(-1031781754304457605615778400822926285957868504446298654918006711471096711908732, -461426828113750690003177386380552175173717863136107362106811304730166501371220)"
"(10, -16)","(-2151422224626456440373930950965797227729328488598007690736270068176576576988500, -962145268513715738759912521532806615232909264897691992882285688786900348759950)"
"(10, -14)","(-787265788473964863913307485885046316767283743435504255379982419607183738956900, -352075963877551171966887157100492264829036477313120935430189775150125340040500)"
"(10, -12)","(-141576746915662919254054667541453570658781327507178844191893804801945774407872, -63315046027341194563765253541654281903642618243128077843477567213252510481680)"
"(10, -10)","(7693958174417971715938002576581047344350311072829225466866605137016995476625, 3440842698807752736683604467826593549859222423277395300385107522746904674875)"
"(10, -8)","(584789340856496521560184305580175211894914762510926076516887299069876723768, 261525743735169713960222445431437070753068951568406811429975246409321778130)"
"(10, -6)","(130246874306421307689846623242785365268185170689940984477805159623384118850, 58248172986050414363715356589479009330669697496575114034813515224892834250)"
"(10, -4)","(12351650667105126725823910801802917352902371342771219753262420370435938800, 5523822945010771832195763780601729143129107735220383776893786299235661200)"
"(10, -2)","(154106810527465277434854300702758494993695916700938467966620171487959832, 69244824794613669976403403279175766685932562159946118066111630703500680)"
"(10, 0)","(0, -8234271691969328430454876064977131259033849461999180929415970149869500)"
"(10, 2)","(-154106810527465277434854300702758494993695916700938467966620171487959832, 69244824794613669976403403279175766685932562159946118066111630703500680)"
"(10, 4)","(-12351650667105126725823910801802917352902371342771219753262420370435938800, 5523822945010771832195763780601729143129107735220383776893786299235661200)"
"(10, 6)","(-130246874306421307689846623242785365268185170689940984477805159623384118850, 58248172986050414363715356589479009330669697496575114034813515224892834250)"
"(10, 8)","(-584789340856496521560184305580175211894914762510926076516887299069876723768, 261525743735169713960222445431437070753068951568406811429975246409321778130)"
"(10, 10)","(-7693958174417971715938002576581047344350311072829225466866605137016995476625, 3440842698807752736683604467826593549859222423277395300385107522746904674875)"
"(10, 12)","(141576746915662919254054667541453570658781327507178844191893804801945774407872, -63315046027341194563765253541654281903642618243128077843477567213252510481680)"
"(10, 14)","(787265788473964863913307485885046316767283743435504255379982419607183738956900, -352075963877551171966887157100492264829036477313120935430189775150125340040500)"
"(10, 16)","(2151422224626456440373930950965797227729328488598007690736270068176576576988500, -962145268513715738759912521532806615232909264897691992882285688786900348759950)"
"(10, 18)","(1031781754304457605615778400822926285957868504446298654918006711471096711908732, -461426828113750690003177386380552175173717863136107362106811304730166501371220)"
"(10, 20)","(108942828114051108712990345387316309141433193527695736837836507659652337360097200, -48720713864818698184708357768852634505222324559130043144174028448556279729460800)"
"(10, 22)","(-190811583632269079056946699160980426600962968788688444257461315279790614477115241, 85333534379227978996289057582606547221172683946976474967873688923752942802668765)"
"(11, -23)","(10419333617087829507862397214394199277580675015606130459566373081226019196226376146, 4659667649611430228847399962086839062792513267694189345779440264489152944327192866)"
"(11, -21)","(4616938555385068355075909824481097536943855598979351018793035329961853577804196025, 2064757691556138114335403905159653777918861868295988524469706176292618293122719125)"
"(11, -19)","(-888912265669777844308743037096401951903813815768494235885055634079964083705951625, -397533650414195177151272200898384707332679738090191227419938877000948414300035575)"
"(11, -17)","(226595514780947692698014585196494008835014035698854977383317802369515738302726696, 101336594889351481778823483467888846873510091285761847815950375076476534668153904)"
"(11, -15)","(11311831157468017678257328096371409914421537808674156966891449201467952242100900, 5058804683619723078408584222822141164630408202961602283892055141903030308384220)"
"(11, -13)","(-5854536399733860908422383527600429468016281806293305155277857905232920903246387, -2618228273310358934015440263100574165661960464784680537358504142438315144749467)"
"(11, -11)","(586152441310422593662169344400366779071758489272597410368761165458981815248200, 262135340789512097116474488421753688707830698806915468488899604930207027288600)"
"(11, -9)","(140090472585211278259939658685235248028944783305232325497632297909439129007950, 62650363940146604910737510714989268828979691976189005033802822091800346984850)"
"(11, -7)","(-1193195656872078665394061002794379482133370550589477588949351857346615787442, -533613320320576247308884083050133742017509039765598657179332395837597690298)"
"(11, -5)","(592179058393680271548614528771916724640689827799177092876116119017846835950, 264830285074090834368004653707066307024435097079342540314037433218839360830)"
"(11, -3)","(26605506010432318136559058112991438303742087354900491448672795854202077795, 11898418557869227711519397182363844871756356232575642023555323851965956445)"
"(11, -1)","(-2829520783533073696743329559595918357340841466392531068942729961013542900, -1214892588640172365560910331173898959153019301592913506002727124573689500)"
"(11, 1)","(2829520783533073696743329559595918357340841466392531068942729961013542900, -1214892588640172365560910331173898959153019301592913506002727124573689500)"
"(11, 3)","(-26605506010432318136559058112991438303742087354900491448672795854202077795, 11898418557869227711519397182363844871756356232575642023555323851965956445)"
"(11, 5)","(-592179058393680271548614528771916724640689827799177092876116119017846835950, 264830285074090834368004653707066307024435097079342540314037433218839360830)"
"(11, 7)","(1193195656872078665394061002794379482133370550589477588949351857346615787442, -533613320320576247308884083050133742017509039765598657179332395837597690298)"
"(11, 9)","(-140090472585211278259939658685235248028944783305232325497632297909439129007950, 62650363940146604910737510714989268828979691976189005033802822091800346984850)"
"(11, 11)","(-586152441310422593662169344400366779071758489272597410368761165458981815248200, 262135340789512097116474488421753688707830698806915468488899604930207027288600)"
"(11, 13)","(5854536399733860908422383527600429468016281806293305155277857905232920903246387, -2618228273310358934015440263100574165661960464784680537358504142438315144749467)"
"(11, 15)","(-11311831157468017678257328096371409914421537808674156966891449201467952242100900, 5058804683619723078408584222822141164630408202961602283892055141903030308384220)"
"(11, 17)","(-226595514780947692698014585196494008835014035698854977383317802369515738302726696, 101336594889351481778823483467888846873510091285761847815950375076476534668153904)"
"(11, 19)","(888912265669777844308743037096401951903813815768494235885055634079964083705951625, -397533650414195177151272200898384707332679738090191227419938877000948414300035575)"
"(11, 21)","(-4616938555385068355075909824481097536943855598979351018793035329961853577804196025, 2064757691556138114335403905159653777918861868295988524469706176292618293122719125)"
"(11, 23)","(-10419333617087829507862397214394199277580675015606130459566373081226019196226376146, 4659667649611430228847399962086839062792513267694189345779440264489152944327192866)"
"(12, -26)","(339918270681054549384244621598764426870965924667538572201967052879674197887296725050, 152016072007402341555178007754201277146434384570074987610367406693417795893909454850)"
"(12, -24)","(204588750891442498750788251053048329716828769061335079000140263219910092710433716800, 91494870885007224898053243384619085331530192732743381394847891800581728325468435200)"
"(12, -22)","(-135155941781008874012391216650879415496175704324454656181108883386305414097060705958, -60443574677067967408512375402884427661034715376905141003186259622773356294756241514)"
