"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)","(-117754578887638082512885727599880876178, -52661448610893637173499482822451238440)"
"(1, 1)","(-117754578887638082512885727599880876178, 52661448610893637173499482822451238440)"
"(2, -4)","(-407601917745590111780851636066243645039438288700178, -182285119167683464129375648913842103189682893235320)"
"(2, -2)","(-240591003412946596221030688969054012679933905560, -107595567681184331248808853570286934310175128800)"
"(2, 0)",-2950201709229300570670666010260237519185990
"(2, 2)","(-240591003412946596221030688969054012679933905560, 107595567681184331248808853570286934310175128800)"
"(2, 4)","(-407601917745590111780851636066243645039438288700178, 182285119167683464129375648913842103189682893235320)"
"(3, -5)","(-10211983990584062379642437905586797303553819434798291980, -4566938077617107158415643730580780237518811510993560800)"
"(3, -3)","(-172247396965533452943120344776485830666349995433454020, -77031377712420252097445872915653373745970084461499600)"
"(3, -1)","(-90890876521756076386292633077468472791593278357256, -40653595481934651024901542354057560468337984525840)"
"(3, 1)","(-90890876521756076386292633077468472791593278357256, 40653595481934651024901542354057560468337984525840)"
"(3, 3)","(-172247396965533452943120344776485830666349995433454020, 77031377712420252097445872915653373745970084461499600)"
"(3, 5)","(-10211983990584062379642437905586797303553819434798291980, 4566938077617107158415643730580780237518811510993560800)"
"(4, -8)","(-832794404343522170046741813582327667983593876667748746385560, -372436979878712338869835105839876960694378103359452195786400)"
"(4, -6)","(23064535163667193773653985739824890611595385198176266650744, 10314773699078816582021367860132206164873243257985331408080)"
"(4, -4)","(-2932595661460468022872981604610891575943535236414162109728, -1311496649908555566171657058647978243915370539557709517440)"
"(4, -2)","(-15760677650840126034208121004817131272851265109236838840, -7048338697982056235156971833254031934327260695550108400)"
"(4, 0)",-124201418805894423718419033608415931124664649409041800
"(4, 2)","(-15760677650840126034208121004817131272851265109236838840, 7048338697982056235156971833254031934327260695550108400)"
"(4, 4)","(-2932595661460468022872981604610891575943535236414162109728, 1311496649908555566171657058647978243915370539557709517440)"
"(4, 6)","(23064535163667193773653985739824890611595385198176266650744, -10314773699078816582021367860132206164873243257985331408080)"
"(4, 8)","(-832794404343522170046741813582327667983593876667748746385560, 372436979878712338869835105839876960694378103359452195786400)"
"(5, -11)","(-1410894802727473125876353838761875954767968909568297084896348178, -630971337599957120004129929486451038558744118125859162113792200)"
"(5, -9)","(-314637544293159292645212293614229336832698684494430771198213256, -140710187462621039437027369639173143755301553507708107196363600)"
"(5, -7)","(-195907342470870070585046523089256507895091982899574227113878840, -87612427011239418272086781698574362268391759605723033224258000)"
"(5, -5)","(5108208176830010952221331954410957947726444525914537589056450, 2284460145321114192375502171648716338757854565466843745921000)"
"(5, -3)","(-273873453748653001632048644529701547290415074406888228956460, -122479915837841476011430474096889896975311000233206244988000)"
"(5, -1)","(-1609610587816253424862873203597731907031613655741874573056, -687993416724613244232538999424808812477606144456688414400)"
"(5, 1)","(-1609610587816253424862873203597731907031613655741874573056, 687993416724613244232538999424808812477606144456688414400)"
"(5, 3)","(-273873453748653001632048644529701547290415074406888228956460, 122479915837841476011430474096889896975311000233206244988000)"
"(5, 5)","(5108208176830010952221331954410957947726444525914537589056450, -2284460145321114192375502171648716338757854565466843745921000)"
"(5, 7)","(-195907342470870070585046523089256507895091982899574227113878840, 87612427011239418272086781698574362268391759605723033224258000)"
"(5, 9)","(-314637544293159292645212293614229336832698684494430771198213256, 140710187462621039437027369639173143755301553507708107196363600)"
"(5, 11)","(-1410894802727473125876353838761875954767968909568297084896348178, 630971337599957120004129929486451038558744118125859162113792200)"
"(6, -12)","(-596226235897208697304865315161438131277026188634582944663321614020, -266640478686996792231909167188191855326408587664492868564261298800)"
"(6, -10)","(-429917349883495662769275154051934535290621880617512608498192483600, -192264883809211518823215188605412613982200530358893760017277456000)"
"(6, -8)","(-62404432183465612804935840891384785345877675439464528038276396460, -27908110491900947507103935973404859869024275122814033412826633600)"
"(6, -6)","(-10343441799960267256876066179941867516121446527642727831791604400, -4625727797202115115636330758946707520305686095260438476775512000)"
"(6, -4)","(86034867765935371345375502075478652646213473757939640351283644, 38475972909149213233839999043460849971465955189011435417885680)"
"(6, -2)","(-2544330562105449693420200578776537255045473004017787884769120, -1136900405379416841577442413974309568334581266658094681476800)"
"(6, 0)",-302043441244256906706959655429926823664745727796916257013100
"(6, 2)","(-2544330562105449693420200578776537255045473004017787884769120, 1136900405379416841577442413974309568334581266658094681476800)"
"(6, 4)","(86034867765935371345375502075478652646213473757939640351283644, -38475972909149213233839999043460849971465955189011435417885680)"
"(6, 6)","(-10343441799960267256876066179941867516121446527642727831791604400, 4625727797202115115636330758946707520305686095260438476775512000)"
"(6, 8)","(-62404432183465612804935840891384785345877675439464528038276396460, 27908110491900947507103935973404859869024275122814033412826633600)"
"(6, 10)","(-429917349883495662769275154051934535290621880617512608498192483600, 192264883809211518823215188605412613982200530358893760017277456000)"
