numerator,-416020*x+930249
denominator,1785600
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",-774004377960*x-1730726404001
"(1, 1)",1
"(2, -4)",2679179627495483320435920*x+5990827771012465337616001
"(2, -2)",8347832366022415054800*x+18666320635199025772130
"(2, 0)",84895399476408600*x+189831884206140000
"(2, 2)",-10785252130
"(2, 4)",774004377960*x-1730726404001
"(3, -5)",-293861418903981173624825208600*x-657094108633843649493738420000
"(3, -3)",-1221298226043807180560385600*x-2730905854233856905233232360
"(3, -1)",-1883501636232927576718440*x-4211637694348906471967172
"(3, 1)",-391841403567866149320*x-876184012343226456828
"(3, 3)",1577895759792360
"(3, 5)",-84895399476408600*x+189831884206140000
"(4, -8)",-28895627784098268047110978708509600*x-64612587977775344039074143907332130
"(4, -6)",1356340524787933547706069446140200*x+3032869614063557941140764297904828
"(4, -4)",-43133155176768288246424853540640*x-96448667059300850227902916231284
"(4, -2)",-255405741040556003144303584200*x-571104598810391094883592369380
"(4, 0)",-485597215625752152738918000*x-1085828383823177507218200000
"(4, 2)",156104459102247930480600*x+349060512123173280729380
"(4, 4)",55727275458637495284
"(4, 6)",391841403567866149320*x-876184012343226456828
"(4, 8)",-8347832366022415054800*x+18666320635199025772130
"(5, -11)",-9273853844735993106095069260699853880*x-20736967610227460801435597887129636001
"(5, -9)",6519652027614828313923741850666807560*x+14578385123391092190692850959389367172
"(5, -7)",-540348473706850507548469299689345400*x-1208255918746775505084436152068129380
"(5, -5)",-5410487956722046738857628232625000*x-12098218862674436735972428175590625
"(5, -3)",91551528679083177042924415608600*x+204715441570451512647462732646470
"(5, -1)",7251967480566243669989759846640*x+16215892257163968664337589944888
"(5, 1)",28838464157679130241320538160*x+64484766213892334986967575112
"(5, 3)",-13965454507196123049792600*x-31227823897731099994246470
"(5, 5)",6990254978895813090625
"(5, 7)",-156104459102247930480600*x+349060512123173280729380
"(5, 9)",1883501636232927576718440*x-4211637694348906471967172
"(5, 11)",-2679179627495483320435920*x+5990827771012465337616001
"(6, -12)",4227466173947197692613397363043885571200*x+9452901737526884484998228183353173552360
"(6, -10)",1680871845585226863425798354134482918000*x+3758543708194097042994348191227254600000
"(6, -8)",48340853270486886329609554258135993800*x+108093434003151706100296042162843606470
"(6, -6)",13109361540716199797001280927632528000*x+29313423546662799835761116478468646800
"(6, -4)",274300051450702534424271784440673200*x+613353561275460670823822661974860632
"(6, -2)",13445135156741649140376322515277200*x+30064236177146613350125928738076360
"(6, 0)",133130283940917287829163277496000*x+297688364755567649536245170400000
"(6, 2)",3075125094362168238952923051600*x+6876188732938386076565905043640
"(6, 4)",-4180361893109598069238997520*x-9347927754369569236288828632
"(6, 6)",-16937063812568877161446800
"(6, 8)",13965454507196123049792600*x-31227823897731099994246470
"(6, 10)",485597215625752152738918000*x-1085828383823177507218200000
"(6, 12)",1221298226043807180560385600*x-2730905854233856905233232360
"(7, -15)",1017187433628637638660594634269505922808600*x+2274500247452189332590336129793586630700000
"(7, -13)",884074919504664230603292041842090971249000*x+1976851617215083923811565510184368123049380
"(7, -11)",-99822982729811489584565809032496034509680*x-223210975100646013339907309610694839591112
"(7, -9)",14470399713420225514839349856631954828240*x+32356797420801100097540296683077801452632
"(7, -7)",-197478503770943643467262641536633992000*x-441575358526778545675869095382224840200
"(7, -5)",-96250920594929799175621610907112720800*x-215223601347197530883041856575684680000
"(7, -3)",33902332433587780321953478251411000*x+75807919917298168360967192609540340
"(7, -1)",-117304655462566665892804909302416280*x-262301183691484632943067739466964272
"(7, 1)",-5007056388187036138858385855291160*x-11196118451009232243632617381091728
"(7, 3)",-13258687671210036058588931495400*x-29647326969065237298197239100340
"(7, 5)",116016802376357500754536879200*x+259545811136877898830636840000
"(7, 7)",255138742614643444784040200
"(7, 9)",4180361893109598069238997520*x-9347927754369569236288828632
"(7, 11)",-28838464157679130241320538160*x+64484766213892334986967575112
"(7, 13)",255405741040556003144303584200*x-571104598810391094883592369380
"(7, 15)",293861418903981173624825208600*x-657094108633843649493738420000
"(8, -16)",149303381104610594026294241825729919824201280*x+333852509420466927872280535313347126440439284
"(8, -14)",-25102343199145184677995254360607415564275120*x-56130545787818173718875902004348794992968888
"(8, -12)",-10644400379392207313139085672870332223626000*x-23801602828045527130329645132648101089283640
"(8, -10)",-401682937281650707202582135858812980079200*x-898190353163555569351838520187332309000000
"(8, -8)",168736151885938884281219466619047833006400*x+377305505878688685844669186760660261872840
"(8, -6)",6535880753965276033561019450265262791360*x+14614673658698935366392785564341525846608
"(8, -4)",1522835823236086855181489702349457746000*x+3405164419327743982310271836951932539400
"(8, -2)",-20935263758958094201513321779181494000*x-46812672891917997659391835076988554920
"(8, 0)",2852913452584424485691260055807042400*x+6379308413898710315933035178843760000
"(8, 2)",-56338151047594511747334852859930800*x-125975935442024326607066142264965080
"(8, 4)",-675030670112998241791305349878000*x-1509416432746914830423133859339400
"(8, 6)",7319104005385866554672916271680*x+16357569847816977175389348649392
"(8, 8)",-218004131101515616395234512840
"(8, 10)",-116016802376357500754536879200*x+259545811136877898830636840000
"(8, 12)",-3075125094362168238952923051600*x+6876188732938386076565905043640
"(8, 14)",-7251967480566243669989759846640*x+16215892257163968664337589944888
"(8, 16)",43133155176768288246424853540640*x-96448667059300850227902916231284
"(9, -19)",-4694908718134098864274151518239008622707731080*x-10498135041904244665060523541947084582726376828
