numerator,1
denominator,1785600
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",-40068080566709751959486576165299681919307740*x-89594951875153069685496918396216200677260963
"(1, 1)",-40068080566709751959486576165299681919307740*x+89594951875153069685496918396216200677260963
"(2, -4)",138693769988927906482848440561560915869590505084891843220*x+310128697750963053444558138127614921327792678325811364963
"(2, -2)",-62074234401831679697983403481508060684376560815094600*x-138802207773831830698931212694748790787896282202011770
"(2, 0)",-481452622347140758457619836161572525647742187800*x
"(2, 2)",-62074234401831679697983403481508060684376560815094600*x+138802207773831830698931212694748790787896282202011770
"(2, 4)",138693769988927906482848440561560915869590505084891843220*x-310128697750963053444558138127614921327792678325811364963
"(3, -5)",833262765771718417189536106197445200135676179935834413387800*x+1863232187385047389672763251551975283847034190732942504440000
"(3, -3)",94819709206733710360392714120226500458777137143911282995200*x+212023315393141741572628628233321911988070220304279426698240
"(3, -1)",-170567143680972714557154961874904593447164023744580023240*x-381367570754835022729888727743118450091069556351063719396
"(3, 1)",-170567143680972714557154961874904593447164023744580023240*x+381367570754835022729888727743118450091069556351063719396
"(3, 3)",94819709206733710360392714120226500458777137143911282995200*x-212023315393141741572628628233321911988070220304279426698240
"(3, 5)",833262765771718417189536106197445200135676179935834413387800*x-1863232187385047389672763251551975283847034190732942504440000
"(4, -8)",214867032974856690737146738957557002941014172344845101638082083800*x+480457291855468421500369880611782379940062867231701960797752171770
"(4, -6)",24889847479427200834246534239689188429462092476520620721242071080*x+55655390913601019403399556852906327181007395128711845137523248604
"(4, -4)",471686357361209208342814886210606831730445106422663030895191440*x+1054722759119531524570201444840466310779325104092533680657711028
"(4, -2)",19997761528494115037544856597488317993430013685617475750826200*x+44716323437119215724317474283325365210444112764477185757868220
"(4, 0)",-165740613410371334539834891428073582177292118284472247842000*x
"(4, 2)",19997761528494115037544856597488317993430013685617475750826200*x-44716323437119215724317474283325365210444112764477185757868220
"(4, 4)",471686357361209208342814886210606831730445106422663030895191440*x-1054722759119531524570201444840466310779325104092533680657711028
"(4, 6)",24889847479427200834246534239689188429462092476520620721242071080*x-55655390913601019403399556852906327181007395128711845137523248604
"(4, 8)",214867032974856690737146738957557002941014172344845101638082083800*x-480457291855468421500369880611782379940062867231701960797752171770
"(5, -11)",-480081939580558018344594954165121259271216977981400164800652626138700*x-1073495851672074603445421676053021772895972599178457677269940111572963
"(5, -9)",590385228599904166061774218167896070455104656721673003651571175895400*x+1320141504061138705166030231776277545527007815850014596248047914655396
"(5, -7)",-23791674533274557431234480630789375491534159690192340083833983195000*x-53199801554952492587045215234367415397654608663825598328143114011780
"(5, -5)",-103036436584829301195348720488803486308276422969516450097168837500*x-230396476363157715032142569794694856821277424621339618735736776875
"(5, -3)",-25011031145369033685983582869341366371106719467950400052804400000*x-55926372323063764498091165812604506769824606539020721725986206630
"(5, -1)",1033320086905980761410687219894151792109643977455353724023170800*x+2361349094966867118527878303882768878498086867356542285147891864
"(5, 1)",1033320086905980761410687219894151792109643977455353724023170800*x-2361349094966867118527878303882768878498086867356542285147891864
"(5, 3)",-25011031145369033685983582869341366371106719467950400052804400000*x+55926372323063764498091165812604506769824606539020721725986206630
"(5, 5)",-103036436584829301195348720488803486308276422969516450097168837500*x+230396476363157715032142569794694856821277424621339618735736776875
"(5, 7)",-23791674533274557431234480630789375491534159690192340083833983195000*x+53199801554952492587045215234367415397654608663825598328143114011780
"(5, 9)",590385228599904166061774218167896070455104656721673003651571175895400*x-1320141504061138705166030231776277545527007815850014596248047914655396
"(5, 11)",-480081939580558018344594954165121259271216977981400164800652626138700*x+1073495851672074603445421676053021772895972599178457677269940111572963
"(6, -12)",-328213948687676313362860253405280447751408089114369142038049424370585600*x-733908700429272128623978842880992840047267848485414706181557296084618240
"(6, -10)",286851655844651896746219807729580050420531351918204594663665892415842000*x+641419801927016495015599839904451145271219642249918422589150811811600000
"(6, -8)",-5026890769246318383785979000739089300031162786333852691702762773474800*x-11240469475500977206887731445876920206899928186255819697598311724726630
"(6, -6)",1851825517657845688370908360799629703453305715741710450673270894208000*x+4140807739954072625742390105585055362741536918328470758685542945209600
"(6, -4)",-1563079180257964647598519096661490618440233443994160400572108000880*x-3495146262675247831923032724226156077599889232784781128672329219344
"(6, -2)",-670464548538031885559985486799915231056910859191330827771415839600*x-1499607685214910855485517598094132043696068636546854017761463414840
"(6, 0)",48994206143050288031023198420358332081912620531594408590056704000*x
"(6, 2)",-670464548538031885559985486799915231056910859191330827771415839600*x+1499607685214910855485517598094132043696068636546854017761463414840
"(6, 4)",-1563079180257964647598519096661490618440233443994160400572108000880*x+3495146262675247831923032724226156077599889232784781128672329219344
"(6, 6)",1851825517657845688370908360799629703453305715741710450673270894208000*x-4140807739954072625742390105585055362741536918328470758685542945209600
"(6, 8)",-5026890769246318383785979000739089300031162786333852691702762773474800*x+11240469475500977206887731445876920206899928186255819697598311724726630
"(6, 10)",286851655844651896746219807729580050420531351918204594663665892415842000*x-641419801927016495015599839904451145271219642249918422589150811811600000
"(6, 12)",-328213948687676313362860253405280447751408089114369142038049424370585600*x+733908700429272128623978842880992840047267848485414706181557296084618240
"(7, -15)",-2884299740384027527697578178396289615507394726798042480831579124026987800*x-6449490286983680928570626652983140730722017492552245478477856352528880000
"(7, -13)",-69221284004885788756684226290927722989374731525386210486600409427488057400*x-154783496524743508299063300718148242301299333440697749344637840727591508220
