"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)","(469705707011563190985951595235302522491870473946631134532030467257101427433673986557742398343, 210058778059491965372532341467470075382030304736738166111709485628918921701738952976410463705)"
"(1, 1)","(469705707011563190985951595235302522491870473946631134532030467257101427433673986557742398343, -210058778059491965372532341467470075382030304736738166111709485628918921701738952976410463705)"
"(2, -4)","(-199968069750319905301733213246672032143438979099089678497170086124546445981395423539244325654895490404827532, -89428439458226941324583802168109540180035946049527179387527271741480548059501749811055208195673276129427010)"
"(2, -2)","(-14642915501385679121065410499347387519339701279311310603852363912041101037852467427280868803151809608180, -6548510889976789664039748586897119796661295721205010163512212172098735365215675461757325742733616028300)"
"(2, 0)",100174561154787607668270414949039406025150136197113251129745653597272641082275044740701108374354840
"(2, 2)","(-14642915501385679121065410499347387519339701279311310603852363912041101037852467427280868803151809608180, 6548510889976789664039748586897119796661295721205010163512212172098735365215675461757325742733616028300)"
"(2, 4)","(-199968069750319905301733213246672032143438979099089678497170086124546445981395423539244325654895490404827532, 89428439458226941324583802168109540180035946049527179387527271741480548059501749811055208195673276129427010)"
"(3, -5)","(-42647371179833394060277608287675012341682484389732898419998695988580479720453692188777008056410305923264789685320, -19072484203954575469605408459319776326136396246052364526727493394954379408232574966922602221350350618199719463400)"
"(3, -3)","(-126330489708246098936847329850066278414463890938943089382545379840370808041780676512903628942341430369352202360, -56496712523695435763929063514213247457159830669480176828723260724539041990801818861262658976539871746899966600)"
"(3, -1)","(-29263720359055443466543604726498708488348261894101169153916044393527569165055086253635209449279835398810684, -13087156942444649565096359043073691678462036506194518994906808696174128576805118775554089658776186671409820)"
"(3, 1)","(-29263720359055443466543604726498708488348261894101169153916044393527569165055086253635209449279835398810684, 13087156942444649565096359043073691678462036506194518994906808696174128576805118775554089658776186671409820)"
"(3, 3)","(-126330489708246098936847329850066278414463890938943089382545379840370808041780676512903628942341430369352202360, 56496712523695435763929063514213247457159830669480176828723260724539041990801818861262658976539871746899966600)"
"(3, 5)","(-42647371179833394060277608287675012341682484389732898419998695988580479720453692188777008056410305923264789685320, 19072484203954575469605408459319776326136396246052364526727493394954379408232574966922602221350350618199719463400)"
"(4, -8)","(6233936493892861838616908268531634565009134782572358794114281204471492801114630665939437359899741483657948194332994320, 2787901153552228330786678498149276399005305428071021639031002607672655803915753809336773245515673535356115808312752600)"
"(4, -6)","(-11110813662005276944867386610499744358616548720641516290349016759725145902766705628070052832172735539038499767105184, -4968906926715434313685436323835805565967237710372690971870249932628858680983430173614263345421914598317566112714760)"
