numerator,(9227465*x-20633239)/2
denominator,295200
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",(-190392490709135*x-425730551631123)/2
"(1, 1)",1
"(2, -4)",(81055900096023504197206408605*x+181246502592140286475862241127)/2
"(2, -2)",26843626836980017828628150*x+60024174370124985362859870
"(2, 0)",47768130956381072250*x+106812787976579617350
"(2, 2)",-281981991380
"(2, 4)",(190392490709135*x-425730551631123)/2
"(3, -5)",-20336352742447789200416444830564500*x-45473467146527529588715494270401400
"(3, -3)",-473372317545898459723677952902450*x-1058492680699245380356512084236010
"(3, -1)",-3689631267408167466356707020*x-8250266325833366693686370088
"(3, 1)",-5434449973798244426114790*x-12151799561696067363044838
"(3, 3)",4972594410449467740
"(3, 5)",-47768130956381072250*x+106812787976579617350
"(4, -8)",-11428152061087520466407025665667933912450*x-25554124865796024958393658527770597742630
"(4, -6)",2313611385153178901908589585425777902150*x+5173392330719955714104336408506371663162
"(4, -4)",14937735443618450150442757371212363520*x+33401791881838831650182500484400765696
"(4, -2)",-65422586970769038687395651185681350*x-146289351730531617352335510644099770
"(4, 0)",53701317420746348734149817425000*x+120079796234081946862877360655000
"(4, 2)",-4515839844514324926815128550*x-10097724180596958894385759770
"(4, 4)",-156915174416610960290304
"(4, 6)",5434449973798244426114790*x-12151799561696067363044838
"(4, 8)",-26843626836980017828628150*x+60024174370124985362859870
"(5, -11)",-17253986530418641093565069517700449541152140*x-38581086764881824443063017068086222816082249
"(5, -9)",1570788754789118626298309744241367598468670*x+3512390434000717583198878008269648800093662
"(5, -7)",1922530922660301297906414956118024240180300*x+4298909831913824527593712154072667777421480
"(5, -5)",(-718165123637109868067520910904280148766875*x-1605866035522118673930726196342164413115375)/2
"(5, -3)",-353003043937680797749516622932550235300*x-789338802508999299656938296097487940030
"(5, -1)",-46592073210777101485770825512742756180*x-104183042911944485636391623177394733268
"(5, 1)",-38640910126310251569083315096293480*x-86403701754400275604744523053110768
"(5, 3)",28828174889461562932966299966075*x+64461762428249956063598579113095
"(5, 5)",3772024416310933974375075125
"(5, 7)",4515839844514324926815128550*x-10097724180596958894385759770
"(5, 9)",3689631267408167466356707020*x-8250266325833366693686370088
"(5, 11)",(-81055900096023504197206408605*x+181246502592140286475862241127)/2
"(6, -12)",201529057875718476214732796231898888419602951350*x+450632672851595877184332308241725333070343871490
"(6, -10)",-22862291488852324731044031394688752247900850000*x-51121637890488673535524234828965482271026220000
"(6, -8)",-12273035151212003439215366681447504123364387525*x-27443340888354450140686711492423255613450915655
"(6, -6)",-707234163406868255895671640545400808846599000*x-1581423665387951676685467415567507226380510200
"(6, -4)",9903238778858241307511326868940228128552850*x+22144315106939034713017922641044330177779142
"(6, -2)",477597007435072985633128132836564058347600*x+1067939374475295673339698593983824612601440
"(6, 0)",1666151823834893253396181327739327025000*x+3725628738930058151053509389911840815000
"(6, 2)",-14829168356989107036931145059304899800*x-33159028501033485089608710185335993560
"(6, 4)",-11316048135770122908667882990755810*x-25303556897962074966732284310506358
"(6, 6)",7429223293132067613676014814800
"(6, 8)",-28828174889461562932966299966075*x+64461762428249956063598579113095
"(6, 10)",-53701317420746348734149817425000*x+120079796234081946862877360655000
"(6, 12)",473372317545898459723677952902450*x-1058492680699245380356512084236010
"(7, -15)",8657806671207398336897018550663986005883477861250*x+19359444252870913914390544814487407115613363154850
"(7, -13)",27852394040200623090873419497944615684257805527500*x+62279846409998603510569361745817601424203834901480
"(7, -11)",16450615983556118045890982100400439546112767221860*x+36784695610976042513014053639762618770698989965732
"(7, -9)",4817597318364534341077855293472068154754217627480*x+10772475092083794753768047690306865306912784400892
"(7, -7)",277881727727773163703908465748228245660481570250*x+621362432904388969217008836257964270688553628450
"(7, -5)",-13385438565704201461556336128782705301075452000*x-29930750541561879619599682147489443185638006800
"(7, -3)",1652957518994662128578038454016292746176591250*x+3696125376391464356247041762619351683708160690
"(7, -1)",-8093152808481816458777190267307851785308340*x-18096839832058680682290019693472286325650288
"(7, 1)",240549738414789656387302096164841320757530*x+537885567065347190034418201787772963141962
"(7, 3)",-326554242115706280387520153058540714700*x-730197501075327952875672314469004405560
"(7, 5)",1377322097661391939128235822729761000*x+3079926446175306725116993529647768200
"(7, 7)",-2919040837091590657787351751040300
"(7, 9)",11316048135770122908667882990755810*x-25303556897962074966732284310506358
"(7, 11)",38640910126310251569083315096293480*x-86403701754400275604744523053110768
"(7, 13)",65422586970769038687395651185681350*x-146289351730531617352335510644099770
