"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",0
"(1, 1)",0
"(2, -4)",0
"(2, -2)","(-619523744235649363370679927574908268744403496611801144481992105708403434270470532942124434026368797552121733597087687232404379318642465787794363971468851350365948703280789819336998363541946860119957300398452386703119708608962689878960591689, -277059441157221093455985201068923948367384254769381391942266395724601376114837188871709066323227270794332628306516664864154735773922823015183198753063990466252654193979227110229814551785488779130086400393260777421110888676978284798616363075)"
"(2, 0)","(0, 92929248869658792342555449139228227954493171872558924319560173778562544000003128852487175150143807194678910134126370638069153747117300758955825248563785843479016502929646366156623504387764027225412821722397274806415334664852271929833423850)"
"(2, 2)","(619523744235649363370679927574908268744403496611801144481992105708403434270470532942124434026368797552121733597087687232404379318642465787794363971468851350365948703280789819336998363541946860119957300398452386703119708608962689878960591689, -277059441157221093455985201068923948367384254769381391942266395724601376114837188871709066323227270794332628306516664864154735773922823015183198753063990466252654193979227110229814551785488779130086400393260777421110888676978284798616363075)"
"(2, 4)",0
"(3, -5)","(-82294622680669331620653955200132712791411267935540390697564356494678127100348352338502989308994763689920432226090695081047568280501956251260678580255603625238721388834920594095700151561835105990244908573723034983332992120713724386670906966731075962737948846875, -36803274099334518769723408805544955559788582468250943453795603641914287213115832448693176788774301567671273456679348519558971390232509424420778247302580994023240548589865173075709134274579578085272757144919740212287950828889246531151889255414894195708639439475)"
"(3, -3)","(490706689314212770716187824554111600607215589760308354984377308925966530539631584113039902103578676942122085005504914273485063378291735855896205648177703377889466625137417665432439816424377943038258678688904450116011155013130495232837941901344974960461049073403, 219450702864089882967688292220369093347655882537613326504895538350752202251603070318534225668324863640011148781466073728166899540151112361523406501517764032184445610329637140447287261816947482301706857447535239014959179682121951522633755125469441966446697418025)"
"(3, -1)","(4281142890481416003869871219244130957982205324653242795752820304927421509361967560198903729962981209569318402985864313671924910510039057329778854151059429821744328647795741812155815453124178354055379476244356000617918374670600905721676692517788096530656470, 1914585348503205671164261562356902850639759394641994895192189446485052978511672688871100317686959274653509721583017334295367152448448252320819686448629624970084181935265123185338722062936596162131403521325703748116052121820529742051098686299764785844001050)"
"(3, 1)","(-4281142890481416003869871219244130957982205324653242795752820304927421509361967560198903729962981209569318402985864313671924910510039057329778854151059429821744328647795741812155815453124178354055379476244356000617918374670600905721676692517788096530656470, 1914585348503205671164261562356902850639759394641994895192189446485052978511672688871100317686959274653509721583017334295367152448448252320819686448629624970084181935265123185338722062936596162131403521325703748116052121820529742051098686299764785844001050)"
"(3, 3)","(-490706689314212770716187824554111600607215589760308354984377308925966530539631584113039902103578676942122085005504914273485063378291735855896205648177703377889466625137417665432439816424377943038258678688904450116011155013130495232837941901344974960461049073403, 219450702864089882967688292220369093347655882537613326504895538350752202251603070318534225668324863640011148781466073728166899540151112361523406501517764032184445610329637140447287261816947482301706857447535239014959179682121951522633755125469441966446697418025)"
"(3, 5)","(82294622680669331620653955200132712791411267935540390697564356494678127100348352338502989308994763689920432226090695081047568280501956251260678580255603625238721388834920594095700151561835105990244908573723034983332992120713724386670906966731075962737948846875, -36803274099334518769723408805544955559788582468250943453795603641914287213115832448693176788774301567671273456679348519558971390232509424420778247302580994023240548589865173075709134274579578085272757144919740212287950828889246531151889255414894195708639439475)"
"(4, -8)","(490706692402738959717083923329208051855724579213300507234438151465084902385876335836480969021966193452538244635896600936334538603338672698473343226368180303889786946275704790815776404816068646360486531103306545815439940386094510738007380797326050465159039869814, 219450704245320784747115802524748309938413851009489387953150055131908431155513388172209852320522778298488747792019966075918556566357389978639076163616493629119878678819470651227670370380829234490509776187333337232673348914026543924843459197274905603826652448600)"
"(4, -6)","(-38612216667295502450682491190814206974306217584391914777917294831219392488729188063925139892908905566717749196507576508190363023118652416721089154456395987123097669949247533854323802085186248128853175769039439465943266282760487585914816330968737247004467230417116931030, -17267908246004624854385799001992471806539424383004174554966382157338318184616533797943275655745047690563649073661954626506189679613949843917052566452649716561687240399625434881274376890070235158753359513685725694315652316587256334172452847828781359786948876432957249050)"
"(4, -4)","(916459520318215903937915887000684591185949399724044707945189384338894465259675787577000871534962681465729779394386609801034167952144917562689735183528205536206791421746779055242025917539938885520835040481261845785920671981357689464711100130323101667360640699394893760, 409853157211676091598729102865862878036819359039830483639710704474240903852096938631992770120722501985225231945041157679768414910805045233357461100618884346308407420653282590852673984500263234320295848273950447363354670898850026995216623374015343396239295015185608000)"
"(4, -2)","(580548322310312915389739999389364955102758329519959965313060941355312097652685508539232132663875094157927001052871268651507741543421216669523483314920177085106201707030564877959836361917995076963496435990858967633811962011441698605340455792385546202393823715586674, 259629102603549981730678438149200427455115683566852097485629468310889944048027979280997539506009057513539347433558759478652459144376288176025602294048019080037368426469588093380568604305184431162596888966281346370730170517389695596557296360841631536829282133722650)"
"(4, 0)","(0, 4270496519677656447107030334267106032527854449143239692946141026145416947178187849004170513865710877959527600138580858767773416550069247502301917869333015336158804927646891011745404792096263036018136153114522700289520745210578242784666268500080209954507106000)"
"(4, 2)","(-580548322310312915389739999389364955102758329519959965313060941355312097652685508539232132663875094157927001052871268651507741543421216669523483314920177085106201707030564877959836361917995076963496435990858967633811962011441698605340455792385546202393823715586674, 259629102603549981730678438149200427455115683566852097485629468310889944048027979280997539506009057513539347433558759478652459144376288176025602294048019080037368426469588093380568604305184431162596888966281346370730170517389695596557296360841631536829282133722650)"
"(4, 4)","(-916459520318215903937915887000684591185949399724044707945189384338894465259675787577000871534962681465729779394386609801034167952144917562689735183528205536206791421746779055242025917539938885520835040481261845785920671981357689464711100130323101667360640699394893760, 409853157211676091598729102865862878036819359039830483639710704474240903852096938631992770120722501985225231945041157679768414910805045233357461100618884346308407420653282590852673984500263234320295848273950447363354670898850026995216623374015343396239295015185608000)"
"(4, 6)","(38612216667295502450682491190814206974306217584391914777917294831219392488729188063925139892908905566717749196507576508190363023118652416721089154456395987123097669949247533854323802085186248128853175769039439465943266282760487585914816330968737247004467230417116931030, -17267908246004624854385799001992471806539424383004174554966382157338318184616533797943275655745047690563649073661954626506189679613949843917052566452649716561687240399625434881274376890070235158753359513685725694315652316587256334172452847828781359786948876432957249050)"
"(4, 8)","(-490706692402738959717083923329208051855724579213300507234438151465084902385876335836480969021966193452538244635896600936334538603338672698473343226368180303889786946275704790815776404816068646360486531103306545815439940386094510738007380797326050465159039869814, 219450704245320784747115802524748309938413851009489387953150055131908431155513388172209852320522778298488747792019966075918556566357389978639076163616493629119878678819470651227670370380829234490509776187333337232673348914026543924843459197274905603826652448600)"
"(5, -11)",0
"(5, -9)","(-3390968483386719795345094891055622142110520075568995486542964904077194248502404254930572291444974824177769171893189275408640314924403984193179131232613040542941243250602150739293617702264026358431495244615988019459976063663451506557487401078231532607544376398199161699437212720, -1516487207682414350057617020353592691331140983851494449306014786926209336717626759258894667667326550880320317808555539202703184821951631890281640832309635241581795201798186808507623017150642485085711240842164846379909461990588903688662881545406362459293092900039878692096534300)"
"(5, -7)","(-19204737955777290569103693953092331399075601880803621168795781374374291916568633899157728089716053809930340208945072880890951012987044254234790394399312038691410815329531468369770815261292344362186433295456622547392855984509160373785606300778093074208264278099211469741857076, -8588619911837674347586508444909153331854736665318596048553808156221066441739388525098493791412186433623692032098112974897523459692679504155699857214858430401876547708588830323281392891149733633352164663748053659545047852580911866517342673423791201782256063528014690111758000)"
