numerator,1
denominator,34057800000
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",(2177424541325*x+4868869290279)/2
"(1, 1)",(-2177424541325*x+4868869290279)/2
"(2, -4)",862337242576874742907546098257300*x+1928244693931617842025491879581077
"(2, -2)",6447546021630405968677247000*x+14417151192423917184840096840
"(2, 0)",335934399747387206670
"(2, 2)",-6447546021630405968677247000*x+14417151192423917184840096840
"(2, 4)",-862337242576874742907546098257300*x+1928244693931617842025491879581077
"(3, -5)",59498155874354857759056281527609506775125*x+133041921070935898230765240141961351378545
"(3, -3)",10383346859639800716975360418504552125*x+23217869412113561912639392267585673655
"(3, -1)",131573796579928669667262155663850*x+294208136265945327709064808587154
"(3, 1)",-131573796579928669667262155663850*x+294208136265945327709064808587154
"(3, 3)",-10383346859639800716975360418504552125*x+23217869412113561912639392267585673655
"(3, 5)",-59498155874354857759056281527609506775125*x+133041921070935898230765240141961351378545
"(4, -8)",5106913192313826949037854887220288431218178616000*x+11419405053204173569037689788333672726178832721840
"(4, -6)",32421402547510621875147067986283572051080293800*x+72496460022118605578751994379099741135895418404
"(4, -4)",50817725517458396935106596535356103238681600*x+113631888718962651425208981227844787025021952
"(4, -2)",14853472492353663186369494777354719021000*x+33213374205087062547090926731641486235260
"(4, 0)",3801362788442800015238051776238138400
"(4, 2)",-14853472492353663186369494777354719021000*x+33213374205087062547090926731641486235260
"(4, 4)",-50817725517458396935106596535356103238681600*x+113631888718962651425208981227844787025021952
"(4, 6)",-32421402547510621875147067986283572051080293800*x+72496460022118605578751994379099741135895418404
"(4, 8)",-5106913192313826949037854887220288431218178616000*x+11419405053204173569037689788333672726178832721840
"(5, -11)",(1366064367920789378105913837248739590607724480926612875*x+3054612788311168096662899890301901446328482049857265279)/2
"(5, -9)",104215799980505537711111713847241154143641480003652750*x+233033613085931640180278810240144791105613680633112154
"(5, -7)",1817358806883598196967418126635909174790092980938750*x+4063737831699638301132673806002121966134768642391510
"(5, -5)",(18560818760703436532298270141579084284353541316875*x+41503252466986286397346550493311420814736255685025)/2
"(5, -3)",20259140904736746785567502909318319275627373125*x+45300816228818450983769981761944140140646044065
"(5, -1)",10492920321614784627854522001451863093346000*x+23467784272000378701353651970460084073657904
"(5, 1)",-10492920321614784627854522001451863093346000*x+23467784272000378701353651970460084073657904
"(5, 3)",-20259140904736746785567502909318319275627373125*x+45300816228818450983769981761944140140646044065
"(5, 5)",(-18560818760703436532298270141579084284353541316875*x+41503252466986286397346550493311420814736255685025)/2
"(5, 7)",-1817358806883598196967418126635909174790092980938750*x+4063737831699638301132673806002121966134768642391510
"(5, 9)",-104215799980505537711111713847241154143641480003652750*x+233033613085931640180278810240144791105613680633112154
"(5, 11)",(-1366064367920789378105913837248739590607724480926612875*x+3054612788311168096662899890301901446328482049857265279)/2
"(6, -12)",8224346267551855562009636169777588082474558785610770297000*x+18390197324742621933362747695443876231891046799930889595530
"(6, -10)",673268578305223282721597491040448464981708634418448190000*x+1505474308205119412681585069909279232479575757258029388400
"(6, -8)",14256487308059463325190332254708563753382938641080384000*x+31878474741183945416820316125138004885874609713969622190
"(6, -6)",233006480984534390173247229917792728765192786390830000*x+521018330679431020515567538335688652853349161244707600
"(6, -4)",1023539114890345336663228831343853977752012255579800*x+2288703038525012666352367881930447358526002285463754
"(6, -2)",978901574700411511611385812302660672539283292000*x+2188899276614906260368343650615127828410163603680
"(6, 0)",23674709991167731400695451567788401825403110300
"(6, 2)",-978901574700411511611385812302660672539283292000*x+2188899276614906260368343650615127828410163603680
"(6, 4)",-1023539114890345336663228831343853977752012255579800*x+2288703038525012666352367881930447358526002285463754
"(6, 6)",-233006480984534390173247229917792728765192786390830000*x+521018330679431020515567538335688652853349161244707600
"(6, 8)",-14256487308059463325190332254708563753382938641080384000*x+31878474741183945416820316125138004885874609713969622190
"(6, 10)",-673268578305223282721597491040448464981708634418448190000*x+1505474308205119412681585069909279232479575757258029388400
"(6, 12)",-8224346267551855562009636169777588082474558785610770297000*x+18390197324742621933362747695443876231891046799930889595530
"(7, -15)",47126754292829615324969250152382039344529949800912967967065875*x+105378626157697049766155224147901686460606585820825221749753545
"(7, -13)",11765002433500619816732690806025251021613719986541866609605750*x+26307345196757834976340042882759631094228379377599714350266510
"(7, -11)",868054624765001237866512644649732660700826630066645028780400*x+1941029149157615175736547860954022540190371454436698568757904
"(7, -9)",41318393494395790117711056075992726183291929449536395328475*x+92390736574554062586505601334952684796715600957954322116879
"(7, -7)",1580503825744790201194039046898168220152825857161055095625*x+3534113993063833070724827825227918589552430471328781744475
"(7, -5)",-58430863224540002547987358652486460433639297846786500*x-130655382153951954832041977000824041796072225321896660
"(7, -3)",335967931864078249039529605682065840717799871496974750*x+751247136938588328294690148881731715401605431992887530
"(7, -1)",722020578585227525588577934790324491414109254135025*x+1614196037525229401534705664481052759510844353713629
"(7, 1)",-722020578585227525588577934790324491414109254135025*x+1614196037525229401534705664481052759510844353713629
"(7, 3)",-335967931864078249039529605682065840717799871496974750*x+751247136938588328294690148881731715401605431992887530
"(7, 5)",58430863224540002547987358652486460433639297846786500*x-130655382153951954832041977000824041796072225321896660
"(7, 7)",-1580503825744790201194039046898168220152825857161055095625*x+3534113993063833070724827825227918589552430471328781744475
