numerator,1
denominator,306000
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",(-458312745948271120648878520759388299814825*x-1024818454894925539557389577970637314776699)/2
"(1, 1)",(-458312745948271120648878520759388299814825*x+1024818454894925539557389577970637314776699)/2
"(2, -4)",181508080798230387024621428954035101892058977930559635213511300*x+405864407130367435292031617625681226162893453993869812097355537
"(2, -2)",166373467087068422428692798656773299537463085292436284250*x+372022382059008914807635473770128932546036307387464176910
"(2, 0)",-4851869631817746038400907975140875801441291513100*x
"(2, 2)",166373467087068422428692798656773299537463085292436284250*x-372022382059008914807635473770128932546036307387464176910
"(2, 4)",181508080798230387024621428954035101892058977930559635213511300*x-405864407130367435292031617625681226162893453993869812097355537
"(3, -5)",1921512227054347385574411266726240601117624643464758422940735018231850*x+4296631959290531240122620246925014408987533890576572176549126124956250
"(3, -3)",152012256675455181039096395548915810356715693544013066852770090250*x+339909739339463971835418444611535119875676822679581067368012659230
"(3, -1)",394378925737481828932376281858440487002386647587512697880650*x+881857212398539893806424156612737720252539648410235524322986
"(3, 1)",394378925737481828932376281858440487002386647587512697880650*x-881857212398539893806424156612737720252539648410235524322986
"(3, 3)",152012256675455181039096395548915810356715693544013066852770090250*x-339909739339463971835418444611535119875676822679581067368012659230
"(3, 5)",1921512227054347385574411266726240601117624643464758422940735018231850*x-4296631959290531240122620246925014408987533890576572176549126124956250
"(4, -8)",-131779571804139804536874511193459099909631513966016965934610594995552759634000*x-294668080599871205140866345457142408490762140416452742506452229942747764520660
"(4, -6)",-154874863070890327495682347169728752745167221718359911107849008132516439300*x-346310721832482602987750521415804813325421894947165572386480972109916258264
"(4, -4)",-103590190568568479833733166364093233963940145246261924001767760109796400*x-231634707913476710383599187496957821337829709401079453543679522304728208
"(4, -2)",-205699241479292883475715956203500511666277686227501030493832919913500*x-459957486958796710824115654857744795203379186191873892336898949201160
"(4, 0)",48437368282257806875455813065607580322976356845920296867605608000*x
"(4, 2)",-205699241479292883475715956203500511666277686227501030493832919913500*x+459957486958796710824115654857744795203379186191873892336898949201160
"(4, 4)",-103590190568568479833733166364093233963940145246261924001767760109796400*x+231634707913476710383599187496957821337829709401079453543679522304728208
"(4, 6)",-154874863070890327495682347169728752745167221718359911107849008132516439300*x+346310721832482602987750521415804813325421894947165572386480972109916258264
"(4, 8)",-131779571804139804536874511193459099909631513966016965934610594995552759634000*x+294668080599871205140866345457142408490762140416452742506452229942747764520660
"(5, -11)",(-287534515994241103666877774007033565794069054481961951447314321123692223199849855375*x-642946723640623636782563117778779514855625928602765791496747241026076392168843251699)/2
"(5, -9)",-312375892052522992913107529479549109201216212610470708613807125927071345718853250*x-698493729161577718763672962662191354104778712737503696069376729864853954012735486
"(5, -7)",-16108981409124212475761673860264171527469409754836247131437187486216871033486250*x-36020777479082090060321780405051460432972467448601666537001348811640629615982410
"(5, -5)",(-16628788552754270877262030971804342447602161479547042723003639449106519765625*x-37183101587428897441156612640578861908178924850333268977694372910971336496875)/2
"(5, -3)",-11430335440460249447863941121248413203084149922018593201508792251059604375*x-25559007050851986979938469958978839036172744874493061904427736785875989835
"(5, -1)",237252078449848036498103945816106583326016508074552117464378675640337500*x+530460907210850937808483288616439556417452792074104661694654069035445156
"(5, 1)",237252078449848036498103945816106583326016508074552117464378675640337500*x-530460907210850937808483288616439556417452792074104661694654069035445156
"(5, 3)",-11430335440460249447863941121248413203084149922018593201508792251059604375*x+25559007050851986979938469958978839036172744874493061904427736785875989835
"(5, 5)",(-16628788552754270877262030971804342447602161479547042723003639449106519765625*x+37183101587428897441156612640578861908178924850333268977694372910971336496875)/2
"(5, 7)",-16108981409124212475761673860264171527469409754836247131437187486216871033486250*x+36020777479082090060321780405051460432972467448601666537001348811640629615982410
"(5, 9)",-312375892052522992913107529479549109201216212610470708613807125927071345718853250*x+698493729161577718763672962662191354104778712737503696069376729864853954012735486
"(5, 11)",(-287534515994241103666877774007033565794069054481961951447314321123692223199849855375*x+642946723640623636782563117778779514855625928602765791496747241026076392168843251699)/2
"(6, -12)",-120404475812174116651361744417424964798625905039782163627088223819381073063560404802000*x-269232592711250525404844666094648602981999400091276455259590275635700088301845940252980
"(6, -10)",-19182913487686424585651797839959519098389500967962782745588409640548201038290368108000*x-42894298564964420341855719798112425578090280946183763325471829337617722549724351500000
"(6, -8)",-63383075939149141622980201879768705712765194714190990112417935045129893745678316000*x-141728866422968804491290786436315502137531829696041943186684413950980910279278349210
"(6, -6)",-974852870510359376178256755470651816118634433873028429491569778320388594482620000*x-2179837286521963668035384724860749938144154644494370391703203900869809526460826400
"(6, -4)",-18056916952744277742593515451034791937535453993799994446613037106914366266700200*x-40376493770408813450695644054419175311659499066039886104549513094302335695282516
"(6, -2)",-20805357917338566422676934262140960431039230266308679526825516402807907567000*x-46522162838522139096646190952326274663476523933376671719612540435870071959480
"(6, 0)",-56096508460227327628189307564269195930653074455017893022098958325404876000*x
"(6, 2)",-20805357917338566422676934262140960431039230266308679526825516402807907567000*x+46522162838522139096646190952326274663476523933376671719612540435870071959480
"(6, 4)",-18056916952744277742593515451034791937535453993799994446613037106914366266700200*x+40376493770408813450695644054419175311659499066039886104549513094302335695282516
"(6, 6)",-974852870510359376178256755470651816118634433873028429491569778320388594482620000*x+2179837286521963668035384724860749938144154644494370391703203900869809526460826400
"(6, 8)",-63383075939149141622980201879768705712765194714190990112417935045129893745678316000*x+141728866422968804491290786436315502137531829696041943186684413950980910279278349210
"(6, 10)",-19182913487686424585651797839959519098389500967962782745588409640548201038290368108000*x+42894298564964420341855719798112425578090280946183763325471829337617722549724351500000
"(6, 12)",-120404475812174116651361744417424964798625905039782163627088223819381073063560404802000*x+269232592711250525404844666094648602981999400091276455259590275635700088301845940252980
"(7, -15)",-1521973803461853089766556726747231279712171341031041346371403591350589157753172566881981850*x-3403236884514608260280418810439892135656608676819614123227041265050236338025782356800693750
"(7, -13)",162928370970785625710766346100585391626531008471482245621520458283910307658018211978000750*x+364318912953980061247682662690498232298470301781810283830617255795082213055506196346044910
"(7, -11)",-9009355872909275105346256910293236122115575264871298275747812381969391458244821009117900*x-20145532165312095125911599009826998459517698083703483334723272363456196275333112765529844
"(7, -9)",-752847989226780333963619682720425382346524262883138427348660422962819572935697951401650*x-1683419280635110163567324847559337157927240465464036108035783768784906127594969650926266
"(7, -7)",-15928090800983860287042077747467680887789561378219171484350529837433223718396264526250*x-35616293782788985747588225577253808090066220446535862254156987538168879425217318705150
"(7, -5)",77154031304483052237930787548773694786225334407178157783191378179919595699701800*x+172521658737405118031905364528006280682938770164676915863931971702896900789225000
"(7, -3)",577574502636504324068408767770738681001621797254082099983561556651927446719442250*x+1291495845753194599718113461729442112468265778414764690780922653544966679184360630
"(7, -1)",3163302735379008215692174006813150586866055167953929174649263374636630813592350*x+7059377874824379166001744071513726643908237296056188179707418937503521728700286
"(7, 1)",3163302735379008215692174006813150586866055167953929174649263374636630813592350*x-7059377874824379166001744071513726643908237296056188179707418937503521728700286
"(7, 3)",577574502636504324068408767770738681001621797254082099983561556651927446719442250*x-1291495845753194599718113461729442112468265778414764690780922653544966679184360630
"(7, 5)",77154031304483052237930787548773694786225334407178157783191378179919595699701800*x-172521658737405118031905364528006280682938770164676915863931971702896900789225000
"(7, 7)",-15928090800983860287042077747467680887789561378219171484350529837433223718396264526250*x+35616293782788985747588225577253808090066220446535862254156987538168879425217318705150
