weight,"(7, 107)"
"(0, 0)",0
"(1, -1)",0
"(1, 1)",0
"(2, -4)",0
"(2, -2)","(7685897541471889969542290586330060934320572367103815964100047531259895445401611897908300997061464290101610062155095505740394860916167551008918388983561037822619414015515952044512151035085718982530164552172545667727280909130873983416596639542357929078861733640755537147306566110832149277980436375242620405472259063173805520347434431, 3437237874165931001080375183131723293577783115644966206316623687920350482574011261366290628745838434551048731068383430895157427266860223480139607889520766975628084747079924725049923747834215716221834136189182346854891356917328047464860998354169999312654367913332477067095025171916243767699471263788610730886861991878480514346107925)"
"(2, 0)","(0, -6874475748331862002160750366263446587155566231289932412633247375840700965148022522732581257491676869102097462136766861790314854533720446960279215779041533951256169494159849450099847495668431432443668272378364693709782713834656094929721996708339998625308735826664954134190050343832487535398942527577221461773723983756961028692215850)"
"(2, 2)","(-7685897541471889969542290586330060934320572367103815964100047531259895445401611897908300997061464290101610062155095505740394860916167551008918388983561037822619414015515952044512151035085718982530164552172545667727280909130873983416596639542357929078861733640755537147306566110832149277980436375242620405472259063173805520347434431, 3437237874165931001080375183131723293577783115644966206316623687920350482574011261366290628745838434551048731068383430895157427266860223480139607889520766975628084747079924725049923747834215716221834136189182346854891356917328047464860998354169999312654367913332477067095025171916243767699471263788610730886861991878480514346107925)"
"(2, 4)",0
"(3, -5)","(6087775320662179397637451973008933984866730769540222130905797508273805549506084796895901222142283346347040141087260208977613541081697300274829351834187009067101748680497055511490976761437287736486866120367065734206191794780725019757213733618477997531650175697670647681314162786595893983336647416971145930456222269313031642432887064037373590040672346875, 2722535889749242633081453266986099281995953318771835560013313208386953749582819811202681788968145035768708183692007567160084601634422663191396512351004521488056268008953430529887035092773231462764471848004277394068641205452494282782476206681120776037797409562992561826114102913121281696521605553099207241724893843988016606015918929680272502435360731475)"
"(3, -3)","(-6087636063163637369874693044311073221526450990870474396257518904714580226559245744792421744523190515955334089847528322655526835197581159918860099773277779813763328617607402663749694501181124154006277874094618760231043692263230423999606514560515918286716339814830792425362338730811986895057137134308749847320330916053422507011253202750351804202926836962, -2722473611902619322688205105564498997989783259248696106488781542946348263823210806134810226029450954303071177440221205576322918447155094738439600939389452687629719145212533200398457398500425612699777264964887462961984107913052106402385460066673460435454123805447049306094875254181880699833893675770909475718447882487597777000780775084003984321482383350)"
"(3, -1)","(48223018865083180225509887109710772415717118446706112422888972804347762064163508585323050929690422901151301488706516658144785153538658519375034330633309743160888104194453654525452206190907607228717878682180322030437266043160594581046639985067221252296939501424593802425456871909293530970635959860451486298833950864049085020594948308243902497642995, 21565988182900792486264643041798018185170924010337701893565927739677592626064189146803991080847916446354049241081827095339650331722644727824826851902429644716312826772979505994657074199171992271322690094024242048178816055299236302406459785783220997803111146080678681857556160867562280546315375771980378406839119296906110264490442873687073770762523)"
"(3, 1)","(-48223018865083180225509887109710772415717118446706112422888972804347762064163508585323050929690422901151301488706516658144785153538658519375034330633309743160888104194453654525452206190907607228717878682180322030437266043160594581046639985067221252296939501424593802425456871909293530970635959860451486298833950864049085020594948308243902497642995, 21565988182900792486264643041798018185170924010337701893565927739677592626064189146803991080847916446354049241081827095339650331722644727824826851902429644716312826772979505994657074199171992271322690094024242048178816055299236302406459785783220997803111146080678681857556160867562280546315375771980378406839119296906110264490442873687073770762523)"
"(3, 3)","(6087636063163637369874693044311073221526450990870474396257518904714580226559245744792421744523190515955334089847528322655526835197581159918860099773277779813763328617607402663749694501181124154006277874094618760231043692263230423999606514560515918286716339814830792425362338730811986895057137134308749847320330916053422507011253202750351804202926836962, -2722473611902619322688205105564498997989783259248696106488781542946348263823210806134810226029450954303071177440221205576322918447155094738439600939389452687629719145212533200398457398500425612699777264964887462961984107913052106402385460066673460435454123805447049306094875254181880699833893675770909475718447882487597777000780775084003984321482383350)"
"(3, 5)","(-6087775320662179397637451973008933984866730769540222130905797508273805549506084796895901222142283346347040141087260208977613541081697300274829351834187009067101748680497055511490976761437287736486866120367065734206191794780725019757213733618477997531650175697670647681314162786595893983336647416971145930456222269313031642432887064037373590040672346875, 2722535889749242633081453266986099281995953318771835560013313208386953749582819811202681788968145035768708183692007567160084601634422663191396512351004521488056268008953430529887035092773231462764471848004277394068641205452494282782476206681120776037797409562992561826114102913121281696521605553099207241724893843988016606015918929680272502435360731475)"
"(4, -8)","(-6087775320662179397645137870550405874836273060126552191840118080640909365470184844427161117587684958244948442084321673267715151143852395780569746695103176618110667069480616549313596175452803688531378271402151453188721959332897565424941014527608871515066772337213005610393024520236649520483953983081978079734202705688274262838359323100547395561019781306, -2722535889749242633084890504860265212997033693954967283306890991502598715789136434890602139450719047030074474320753405594635650365491046622291669778271381711536407616842951296862663177520311387489521771752111609784863039588683465129331098038038104085262270561346731825426757281034614173588700578271123485492593315251805216746805791672150982949706839400)"
"(4, -6)","(1301435692367386508013289837763974447258198073153115649104195196714367801471237866246642317481154281027663112343127946928532545102141378331810922223470731059805034601456726807447644939064417155125485142395016727006167944224167502508084538413485653251905715714452326940722257459644778676164152198867335665176860951865160392421293253819657697710875759197462362120, 582019735295596087866946027332360820060555599470729276634475980221735116525801045003421967595526797007169219736479964625857495370633142054692408156407623034327926865094425045935448935339546459755878707080147835390705553923836633934187604975508858083734417197676743336016294094141754234177809363931491348413375339205867587271973374646195047467427378211498745102)"
"(4, -4)","(461322204564542926520397500571853596076980676760095480425465223425739940765836273620028107333044631179613239501468097371086178971112677435579568165875365398523391621277790086451496993745841020377824852060269655989561741707102302908406540370823617468707115200018872712419165822662319596462796587312293268984046244221812672703542140141950323776942124150346907360, 206309561787276350439528764627549945238288587279728857267716829340028850997336112074777042058239312546378583006064210633936703360618157373546385046188680409637764171515724544239797365893909797758845652462319583015936714695191377997586361615438667031574688207198861059869277890770012642126962998507980650506997927762364918318824447224058264535056185598249988000)"
"(4, -2)","(-191065510794071532033948578789943829664910251611773380324043186059555500964349209596674919252427343569801217424852850220392907353436428146479972515452219896180693238157538286764350959619486471230113310530389506490010431463697621878632779481470070687300146058234932716367574297977115981945073234074475811409789402277231731842277211195315984757135094347339176, -85447093934220363862097164201120714931801356496396009360409934943242317224434367309634330146914683458864467316807387712531831655807775507654003599841403080212240341160443752397116154526900075699992724598427518583140639681911373004759702185754910272726860160726686972052123121121565366332713198414400822096019269605228161691825878086366545836662383019778110)"
"(4, 0)","(0, 2414663922044289840220753906837038928166926342971309982042438180197921963100765985630743745677860044725224485313406573844843841642724281425896118969373346920850738173472780271244283764026265605989560060838183882729744215223749542012554292297227134078557114398050402597428185835293344178340289641591556078618202494677282646887772141628488576544108576240)"
"(4, 2)","(191065510794071532033948578789943829664910251611773380324043186059555500964349209596674919252427343569801217424852850220392907353436428146479972515452219896180693238157538286764350959619486471230113310530389506490010431463697621878632779481470070687300146058234932716367574297977115981945073234074475811409789402277231731842277211195315984757135094347339176, -85447093934220363862097164201120714931801356496396009360409934943242317224434367309634330146914683458864467316807387712531831655807775507654003599841403080212240341160443752397116154526900075699992724598427518583140639681911373004759702185754910272726860160726686972052123121121565366332713198414400822096019269605228161691825878086366545836662383019778110)"
"(4, 4)","(-461322204564542926520397500571853596076980676760095480425465223425739940765836273620028107333044631179613239501468097371086178971112677435579568165875365398523391621277790086451496993745841020377824852060269655989561741707102302908406540370823617468707115200018872712419165822662319596462796587312293268984046244221812672703542140141950323776942124150346907360, 206309561787276350439528764627549945238288587279728857267716829340028850997336112074777042058239312546378583006064210633936703360618157373546385046188680409637764171515724544239797365893909797758845652462319583015936714695191377997586361615438667031574688207198861059869277890770012642126962998507980650506997927762364918318824447224058264535056185598249988000)"
