numerator,1762289*x-3940598
denominator,261120
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",-13888945017644*x-31056625195209
"(1, 1)",1
"(2, -4)",862687519539670318898535192*x+1929027937031380914713107361
"(2, -2)",1426185409688654384670880*x+3189047524582218382714680
"(2, 0)",-1097352963699770700*x-2453755822143467400
"(2, 2)",-102684934520
"(2, 4)",13888945017644*x-31056625195209
"(3, -5)",68160159400950034460548377381900*x+152410749777745620808480398840600
"(3, -3)",-10284433500316535682780338371440*x-22996692416783878700706481628340
"(3, -1)",7267889713295407763832917364*x+16251495451899988838385275712
"(3, 1)",-44139654838477178953452*x-98699269245498416611728
"(3, 3)",740476219558186260
"(3, 5)",1097352963699770700*x-2453755822143467400
"(4, -8)",-88585011455152267238483604714435627840*x-198082107401318032412493133950015001720
"(4, -6)",2741657440396848111654493455481740300*x+6130532407745430373997426174332346592
"(4, -4)",701693650968877406461306037808534336*x+1569034702946421049016919231482739696
"(4, -2)",-509814208171418925612640108795020*x-1139979225366521474591600701198480
"(4, 0)",-185575583005145287652654460000*x-414959618563646206855671720000
"(4, 2)",699368329877324570278921940*x+1563835163622669542857417920
"(4, 4)",-50521738697753634194544
"(4, 6)",44139654838477178953452*x-98699269245498416611728
"(4, 8)",-1426185409688654384670880*x+3189047524582218382714680
"(5, -11)",-53584325909856163438963447564333367572612*x-119818195262941649720721589720038574471689
"(5, -9)",-451432253571860952416401117638070110371604*x-1009433206222603332957024799677588156315888
"(5, -7)",-43440040698612923150341477881501254765940*x-97134883947455950527602436611146688292080
"(5, -5)",574382836917880851043988865427622922500*x+1284359068457557373406798101138540506875
"(5, -3)",72490664799741411570545066555097838740*x+162094054226372975646400645238080281930
"(5, -1)",118624472946620950987074361381059096*x+265252385303729373984661993507144192
"(5, 1)",-2025070524836234625545051327052584*x-4528195352773537725790902477127008
"(5, 3)",477596894945387321794158223740*x+1067933903633938809677828369430
"(5, 5)",-41355397129746443958611875
"(5, 7)",-699368329877324570278921940*x+1563835163622669542857417920
"(5, 9)",-7267889713295407763832917364*x+16251495451899988838385275712
"(5, 11)",-862687519539670318898535192*x+1929027937031380914713107361
"(6, -12)",638799593128764018325037080549579726300861920*x+1428399314235123913682585223833436429815059860
"(6, -10)",11526702653546202928411047407081396309820000*x+25774490689756517077978239896674497250680000
"(6, -8)",-29665023030764203854807655145883665298284580*x-66333008050885594932152141564941581916403670
"(6, -6)",1222380669556857413991633503747821836048000*x+2733326271510840907915987629870756650028000
"(6, -4)",39317412898770273074884688859658091236200*x+87916407941077388158572709057715217477012
"(6, -2)",-1994281017039356421792693028822139933280*x-4459347920337417344542249579235870874240
"(6, 0)",65756345610131439115689327676269330000*x+147035658736219047339231609152898060000
"(6, 2)",-41366476668589600893284111730564960*x-92498253677037734178088175424445440
"(6, 4)",-100134442221164472139572377033928*x-223910250537837302681839112471508
"(6, 6)",-88011052531635081219161292000
"(6, 8)",-477596894945387321794158223740*x+1067933903633938809677828369430
"(6, 10)",185575583005145287652654460000*x-414959618563646206855671720000
"(6, 12)",10284433500316535682780338371440*x-22996692416783878700706481628340
"(7, -15)",-4233649047522012840956767054337323611986863500*x-9466727063136458288410234915637442482405903400
"(7, -13)",31666217564744030107877720667325326580813040300*x+70807815065065499189259488157197380877650746720
"(7, -11)",125783712567526858993595830327083836504596799208*x+281260931763284663000317095741257030977465065152
"(7, -9)",6219714999800931582498959716279056300923338104*x+13907705540229973957895948718450099178683733332
"(7, -7)",1120814118471235849388818643444262801906618800*x+2506216559043186026434586966496535508745219300
"(7, -5)",-10881651202749125602538058444721944212445600*x-24332111796789391275635200985428300605250800
"(7, -3)",-1097684646345311877140052593623515681516300*x-2454497487085933449230866948038843794269440
"(7, -1)",260505471374953546445011445866291841640908*x+582507942505021713412698188583688819230672
"(7, 1)",307042779888669336455733677282834033004*x+686568527812813627996047591564660653312
"(7, 3)",7365341016783331302272894086274592660*x+16469403270027923366364215334675126960
"(7, 5)",-48422873797546875877331582248015200*x-108276054001487842975928481547414800
"(7, 7)",-80698290406319213839476103797700
"(7, 9)",100134442221164472139572377033928*x-223910250537837302681839112471508
"(7, 11)",2025070524836234625545051327052584*x-4528195352773537725790902477127008
"(7, 13)",509814208171418925612640108795020*x-1139979225366521474591600701198480
"(7, 15)",-68160159400950034460548377381900*x+152410749777745620808480398840600
"(8, -16)",-43584473439996456390849896528721126014684358392448*x-97457845375366177877785971519461115241846632438384
"(8, -14)",-7368151590564835287842279855758292461343657194712*x-16475687825026169775968868527013664373913744025248
"(8, -12)",2569406321091209098642837732710017306521570620000*x+5745367195777595166856270809065514578177010668160
"(8, -10)",3007691203159437281252719549284127077561385908000*x+6725401985592632003268746070651993663179196637200
"(8, -8)",-696356944495077121492702986396545527256647469440*x-1557101464495040411396785981633722442343521143840
"(8, -6)",13797520608171845851347722083307327416416088464*x+30852194000826487657136436156136718384292496752
"(8, -4)",-788400769593733517354577509668533838703100000*x-1762917714324737399301142880767579387717600000
"(8, -2)",-92496514875578760096317628954054213895607000*x-206828494943614616554117122708966126064036320
"(8, 0)",-672171278341538185333561960510387404139200*x-1503020670894563088147893787263786804534400
"(8, 2)",92678203872386652063725840468033709967080*x+207234763897900520776369800906509016450880
"(8, 4)",-152953359087417925890892508004113500000*x-342014051541775671055677600922503600000
"(8, 6)",438650122333825389770550778760276688*x+979858074407912477552614443725832912
"(8, 8)",50137497384463047239458215213865760
"(8, 10)",48422873797546875877331582248015200*x-108276054001487842975928481547414800
"(8, 12)",41366476668589600893284111730564960*x-92498253677037734178088175424445440
"(8, 14)",-118624472946620950987074361381059096*x+265252385303729373984661993507144192
"(8, 16)",-701693650968877406461306037808534336*x+1569034702946421049016919231482739696
"(9, -19)",-170293255080121940536080111635485576752767905491948*x-380787294468864054744851066979476489840531675143728
"(9, -17)",-4502630813674198602019123180857549239103698846969580*x-10068188576960697692521947217654271122959077838916170
"(9, -15)",-4084340359640891794723276197518116205008543010610000*x-9132862687402972590279431990351711039160307687140000
"(9, -13)",-457485271883963608446728356115126699537414598648180*x-1022968166637515909827650433754827104142569923199840
"(9, -11)",-27232187361700211506641756460187342605529287887120*x-60893022116772325878190439194046353730220526333968
"(9, -9)",-50452357008899221520365022704590517348191914896884*x-112814899896986621454522467910866863477381909915599
"(9, -7)",889375771156595881914271229615812515553058451960*x+1988704681847445150538601597482697630705512014390
"(9, -5)",-515393230000359831874822841467947974027797500000*x-1152454297423988544486742741395186161691635430000
"(9, -3)",128466206024539938272158305051913710631202640*x+287259169482364091015386007948720301406845120
"(9, -1)",72374345835681220636039669339677989354014020*x+161833957115670290387028236382080172080256402
"(9, 1)",-114675595109597199391950087833021769711126708*x-256422426025306994726431752657806522405133618
"(9, 3)",3155851462790757830403440481734875660854480*x+7056698397683033151173852168663709867870720
"(9, 5)",15614693954250984665193488778743349420000*x+34915554237722788889472611966415204870000
"(9, 7)",49038617743397427264733329249816762480*x+109589648000122637853371081599064853690
"(9, 9)",3632555024503763292893781576986058711
"(9, 11)",-438650122333825389770550778760276688*x+979858074407912477552614443725832912
"(9, 13)",-7365341016783331302272894086274592660*x+16469403270027923366364215334675126960
"(9, 15)",-65756345610131439115689327676269330000*x+147035658736219047339231609152898060000
"(9, 17)",-72490664799741411570545066555097838740*x+162094054226372975646400645238080281930
"(9, 19)",-2741657440396848111654493455481740300*x+6130532407745430373997426174332346592
"(10, -22)",5502302997351919565348379629817025336644754565366240*x+12303523534879737484153072727552466151499528558804280
"(10, -20)",-35676784969438961194913247498414344353494811156605000*x-79775716410308274312822436724923355059213857404511875
"(10, -18)",123871276160223011335019969087356809244202076740746080*x+276984593953907784330680942176006186983586090403477760
"(10, -16)",-19071425067534413229808651284417610372028908655714764*x-42645002878800465513253595795127265116406955763995088
"(10, -14)",9500429502651536439800493508679464375291145739900000*x+21243606183373353999773439988858115097241398222400000
"(10, -12)",-3045058566924482715311019949639222148650267715464680*x-6808957951111236073708319961168028656834800059956810
"(10, -10)",-2700428273932641621593071307751420621355227707500000*x-6038341188875810012265162303994349223635565485625000
"(10, -8)",-805543533236860255795306596987982436912518857197820*x-1801250099152980731928737046261785494427564480640040
"(10, -6)",-46524805253076287296923260165961812840040257052000*x-104032627185817885055618361220297112596086944334000
"(10, -4)",-350414549741187248352471240051700711731019665776*x-783550753526276026696598509949229702006269372397
"(10, -2)",34908930401474699670167552611968571649970406080*x+78058741399506414767952046437130687773450684160
"(10, 0)",26748956500873685877422043285179132628307125000*x+59812485063136548444209518941269178708396750000
"(10, 2)",534273327098782916231714172198357977929151680*x+1194671477955345665779184871215806222620188160
"(10, 4)",17533213917593380317359850966673884035105484*x+39205458209013939916923664998144031526487253
"(10, 6)",-202187796636633553773731140642363034772000*x-452102307727975086788018307353110631634000
"(10, 8)",-2627084874763060126661434112098016378620*x-5816341462627906187359571377115230112040
"(10, 10)",194430049978750568870997492652720625000
"(10, 12)",-49038617743397427264733329249816762480*x+109589648000122637853371081599064853690
"(10, 14)",152953359087417925890892508004113500000*x-342014051541775671055677600922503600000
"(10, 16)",-307042779888669336455733677282834033004*x+686568527812813627996047591564660653312
"(10, 18)",1994281017039356421792693028822139933280*x-4459347920337417344542249579235870874240
"(10, 20)",-574382836917880851043988865427622922500*x+1284359068457557373406798101138540506875
"(10, 22)",88585011455152267238483604714435627840*x-198082107401318032412493133950015001720
"(11, -23)",2698202124882892958339008030833808594253155017929840980*x+6033363368272525440106459337358959969786036266759871520
"(11, -21)",-2442132312084768373180774008104709555159031886631765528*x-5460773859870273235579794140722231819546393546827599508
"(11, -19)",-16180841571586358184949440997253593949294379777925986540*x-36181461687221626524125370882018238937593750595061154208
"(11, -17)",-5756544482952255730622249745963127648415571001823046440*x-12872024779382623078659762440070848973676093218655631520
