numerator,-1762289*x+3940598
denominator,4080
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",-13888945017644*x-31056625195209
"(1, 1)",1
"(2, -4)",862687519539670318898535192*x+1929027937031380914713107361
"(2, -2)",2680142780998942414881160*x+5992981447718966951631510
"(2, 0)",2994535295344563060*x+6695984481412636920
"(2, 2)",-192969500390
"(2, 4)",13888945017644*x-31056625195209
"(3, -5)",-186000320602678167889083276196020*x-415909360704343035419830293669480
"(3, -3)",-1108260679561666940135171504880*x-2478146216289999110156183076180
"(3, -1)",-1948131767689872204974528076*x-4356155061681382680038372928
"(3, 1)",-131477440776098139246252*x-293992494942793225962768
"(3, 3)",79794446457508020
"(3, 5)",-2994535295344563060*x+6695984481412636920
"(4, -8)",-166472379638258544223162311103072724880*x-372243557247297954863969527636601370790
"(4, -6)",8166491197669005452770073162268685260*x+18260829455641568294788727849970329952
"(4, -4)",79536972816530316380858258932960656*x+177850077942314696206194074234056716
"(4, -2)",267842094667168190021716244647860*x+598913130911721982156513737089840
"(4, 0)",319344384197177538494598006600*x+714075751297675587736594801200
"(4, 2)",47195133031275277950965780*x+105531506380524347763632640
"(4, 4)",-5726638899894088401324
"(4, 6)",131477440776098139246252*x-293992494942793225962768
"(4, 8)",-2680142780998942414881160*x+5992981447718966951631510
"(5, -11)",-53584325909856163438963447564333367572612*x-119818195262941649720721589720038574471689
"(5, -9)",121004796280048663082101191762254163129516*x+270574950085702489916408025388110707766672
"(5, -7)",-2931442847338593938824066679928913248180*x-6554905478804634513522992038175665133360
"(5, -5)",141974174368236754366335293888823992900*x+317463904936785641898421410986377831275
"(5, -3)",1552042450641563120508485177697928980*x+3470472423599897224213320283069874010
"(5, -1)",6641445991296055063192817458743576*x+14850724705431454281572778281563072
"(5, 1)",20102430836946564793255935885016*x+44950401863922327620529312552672
"(5, 3)",2668370202092305423211224380*x+5966545414408398538508997510
"(5, 5)",-10222099244246271786723475
"(5, 7)",-47195133031275277950965780*x+105531506380524347763632640
"(5, 9)",1948131767689872204974528076*x-4356155061681382680038372928
"(5, 11)",-862687519539670318898535192*x+1929027937031380914713107361
"(6, -12)",68837673087468627062457824909181048592239840*x+153925716436487676700417410965699622778535220
"(6, -10)",-19835517696412814188009052679892919942752200*x-44353565938079088945867252324169505689702800
"(6, -8)",-165739594454439005825627772955137102061860*x-370604999763372788021766343515896359733190
"(6, -6)",-56041852150795545908222317180406185096800*x-125313390994171635552263206803466392289800
"(6, -4)",-2319824209968724566696649445550054198360*x-5187284629339813412746334567265252716748
"(6, -2)",-68372540447183448255871725032542050360*x-152885648234256059488711003717108558080
"(6, 0)",-1180546146932145042910164242667058800*x-2639781435115646123763870394881501600
"(6, 2)",-3243096797878701554852047109961720*x-7251784892745869423362886168520480
"(6, 4)",-2276916349971085680995213355528*x-5091172710947931074859295658868
"(6, 6)",4034997048343272868259872200
"(6, 8)",-2668370202092305423211224380*x+5966545414408398538508997510
