numerator,4*x-9
denominator,241920
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",-72*x-161
"(1, 1)",1
"(2, -4)",23184*x+51841
"(2, -2)",18000*x+40250
"(2, 0)",-3240*x-7200
"(2, 2)",-250
"(2, 4)",72*x-161
"(3, -5)",1040040*x+2325600
"(3, -3)",-648000*x-1449000
"(3, -1)",-100008*x-223812
"(3, 1)",13176*x+30852
"(3, 3)",9000
"(3, 5)",3240*x-7200
"(4, -8)",-5796000*x-12960250
"(4, -6)",-4342680*x-9710532
"(4, -4)",218592*x+488796
"(4, -2)",-1413000*x-3158500
"(4, 0)",810000*x+1800000
"(4, 2)",-81000*x-161500
"(4, 4)",-3036
"(4, 6)",-13176*x+30852
"(4, 8)",-18000*x+40250
"(5, -11)",-7465176*x-16692641
"(5, -9)",32215752*x+72036612
"(5, -7)",24669000*x+55161500
"(5, -5)",18531000*x+41437375
"(5, -3)",-3645000*x-8156250
"(5, -1)",6947568*x+15507128
"(5, 1)",2045232*x+4476872
"(5, 3)",405000*x+956250
"(5, 5)",-257375
"(5, 7)",81000*x-161500
"(5, 9)",100008*x-223812
"(5, 11)",-23184*x+51841
"(6, -12)",208656000*x+466569000
"(6, -10)",-260010000*x-581400000
"(6, -8)",-134055000*x-299756250
"(6, -6)",162000000*x+362250000
"(6, -4)",-129520080*x-289594728
"(6, -2)",25002000*x+55953000
"(6, 0)",-29160000*x-64800000
"(6, 2)",-3294000*x-7713000
"(6, 4)",-1912464*x-2477592
"(6, 6)",-2250000
"(6, 8)",-405000*x+956250
"(6, 10)",-810000*x+1800000
"(6, 12)",648000*x-1449000
"(7, -15)",-334889640*x-748836000
"(7, -13)",454905000*x+1017198500
"(7, -11)",-651617136*x-1457059912
"(7, -9)",486293328*x+1087379352
"(7, -7)",63576000*x+142163000
"(7, -5)",-194827680*x-435585600
"(7, -3)",-229365000*x-512815500
"(7, -1)",131569704*x+293482448
"(7, 1)",51986088*x+114419312
"(7, 3)",-5049000*x-8104500
"(7, 5)",-5093280*x-8683200
"(7, 7)",-883000
"(7, 9)",1912464*x-2477592
"(7, 11)",-2045232*x+4476872
"(7, 13)",1413000*x-3158500
"(7, 15)",-1040040*x+2325600
"(8, -16)",-70386624*x-157389276
"(8, -14)",-2235071664*x-4997772088
"(8, -12)",1085670000*x+2427633000
"(8, -10)",1445208480*x+3231576000
"(8, -8)",-1234296000*x-2760023000
"(8, -6)",1190331072*x+2661603408
"(8, -4)",353250000*x+789625000
"(8, -2)",175050000*x+393047000
"(8, 0)",9836640*x+21859200
"(8, 2)",-116334000*x-262567000
"(8, 4)",20250000*x+40375000
"(8, 6)",7857216*x+1037232
"(8, 8)",17143000
"(8, 10)",5093280*x-8683200
"(8, 12)",3294000*x-7713000
"(8, 14)",-6947568*x+15507128
"(8, 16)",-218592*x+488796
"(9, -19)",1398329784*x+3126760452
"(9, -17)",1174095000*x+2625356250
"(9, -15)",9360360000*x+20930400000
"(9, -13)",1396413000*x+3122464500
"(9, -11)",-1339692480*x-2995592112
"(9, -9)",-2732636088*x-6110477919
"(9, -7)",-1818990000*x-4067651250
"(9, -5)",1106460000*x+2475000000
"(9, -3)",-900072000*x-2014308000
"(9, -1)",44034840*x+95940198
"(9, 1)",181914984*x+406170522
