numerator,-4*x+9
denominator,130636800
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",72*x+161
"(1, 1)",1
"(2, -4)",23184*x+51841
"(2, -2)",-7200*x-16100
"(2, 0)",-360*x-810
"(2, 2)",-100
"(2, 4)",-72*x+161
"(3, -5)",-116280*x-260010
"(3, -3)",-140400*x-313950
"(3, -1)",5688*x+12852
"(3, 1)",9576*x+21492
"(3, 3)",-1950
"(3, 5)",360*x-810
"(4, -8)",-2318400*x-5184100
"(4, -6)",3089160*x+6907572
"(4, -4)",-459648*x-1027824
"(4, -2)",649800*x+1453100
"(4, 0)",36000*x+81000
"(4, 2)",5400*x+21100
"(4, 4)",-6384
"(4, 6)",-9576*x+21492
"(4, 8)",7200*x-16100
"(5, -11)",7465176*x+16692641
"(5, -9)",1841112*x+4116852
"(5, -7)",2388600*x+5341100
"(5, -5)",-5041800*x-11274025
"(5, -3)",-3036600*x-6791850
"(5, -1)",466272*x+1040192
"(5, 1)",-175968*x-387008
"(5, 3)",-120600*x-311850
"(5, 5)",-70025
"(5, 7)",-5400*x+21100
"(5, 9)",-5688*x+12852
"(5, 11)",-23184*x+51841
"(6, -12)",-45208800*x-101089950
"(6, -10)",11628000*x+26001000
"(6, -8)",-41869800*x-93623850
"(6, -6)",14040000*x+31395000
"(6, -4)",9883440*x+22101282
"(6, -2)",-568800*x-1285200
"(6, 0)",702000*x+1579500
"(6, 2)",-957600*x-2149200
"(6, 4)",58464*x+268002
"(6, 6)",195000
"(6, 8)",120600*x-311850
"(6, 10)",-36000*x+81000
"(6, 12)",140400*x-313950
"(7, -15)",-37441800*x-83722410
"(7, -13)",209241000*x+467877100
"(7, -11)",-56195424*x-125656768
"(7, -9)",28708848*x+64195362
"(7, -7)",81522000*x+182292250
"(7, -5)",-15493680*x-34645320
"(7, -3)",-18531000*x-41420700
"(7, -1)",6745896*x+15138142
"(7, 1)",3856968*x+8718302
"(7, 3)",1200600*x+2427300
"(7, 5)",19440*x-171720
"(7, 7)",1132250
"(7, 9)",-58464*x+268002
"(7, 11)",175968*x-387008
"(7, 13)",-649800*x+1453100
"(7, 15)",116280*x-260010
"(8, -16)",-148006656*x-330952944
"(8, -14)",149963616*x+335328832
"(8, -12)",-308916000*x-690757200
"(8, -10)",-9234000*x-20648520
"(8, -8)",163929600*x+366564800
"(8, -6)",-91938672*x-205606728
"(8, -4)",-64980000*x-145310000
"(8, -2)",17136000*x+38280400
"(8, 0)",2298240*x+5171040
"(8, 2)",-2707200*x-5815600
"(8, 4)",-540000*x-2110000
"(8, 6)",-1558224*x-4761288
"(8, 8)",2276800
"(8, 10)",-19440*x-171720
"(8, 12)",957600*x-2149200
"(8, 14)",-466272*x+1040192
"(8, 16)",459648*x-1027824
"(9, -19)",994699944*x+2224216692
"(9, -17)",-977905800*x-2186663850
"(9, -15)",226746000*x+507019500
"(9, -13)",368062200*x+823011300
"(9, -11)",-593686800*x-1327528008
"(9, -9)",-70593768*x-157855509
"(9, -7)",-188816400*x-422162550
"(9, -5)",-11970000*x-26811000
"(9, -3)",-11091600*x-25061400
"(9, -1)",82725480*x+184626702
"(9, 1)",-25679736*x-56273778
"(9, 3)",-18673200*x-41909400
"(9, 5)",-3222000*x-7371000
"(9, 7)",3736800*x+5733450
"(9, 9)",-980469
"(9, 11)",1558224*x-4761288
"(9, 13)",-1200600*x+2427300
"(9, 15)",-702000*x+1579500
"(9, 17)",3036600*x-6791850
"(9, 19)",-3089160*x+6907572
"(10, -22)",-746517600*x-1669264100
"(10, -20)",-1623459600*x-3630166025
"(10, -18)",-184111200*x-411685200
"(10, -16)",1248689592*x+2792155102
"(10, -14)",-238860000*x-534110000
"(10, -12)",1014433200*x+2268333450
"(10, -10)",504180000*x+1127402500
"(10, -8)",347905800*x+777865550
"(10, -6)",303660000*x+679185000
"(10, -4)",180296928*x+402795533
"(10, -2)",-46627200*x-104019200
"(10, 0)",53334000*x+120001500
"(10, 2)",17596800*x+38700800
"(10, 4)",-26527032*x-56813267
"(10, 6)",12060000*x+31185000
"(10, 8)",-6514200*x-9734450
"(10, 10)",7002500
"(10, 12)",-3736800*x+5733450
"(10, 14)",540000*x-2110000
"(10, 16)",-3856968*x+8718302
"(10, 18)",568800*x-1285200
"(10, 20)",5041800*x-11274025
"(10, 22)",2318400*x-5184100
"(11, -23)",769123800*x+1719813100
