numerator,(514229*x-1149851)/2
denominator,600
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",(-591286729879*x-1322157322203)/2
"(1, 1)",1
"(2, -4)",(781774079430987230203437*x+1748099984655007556773207)/2
"(2, -2)",45590855838220757920*x+101944252806654769440
"(2, 0)",-175798455198870*x-393097296163530
"(2, 2)",-154208960
"(2, 4)",(591286729879*x-1322157322203)/2
"(3, -5)",232433214772986224576311740*x+519736468461205547284020120
"(3, -3)",26731545465990383257876290*x+59773552805580789585889530
"(3, -1)",118542452754503295910212*x+265068982578626541903792
"(3, 1)",5054248142366117934*x+11301642020518313982
"(3, 3)",-90418215445020
"(3, 5)",175798455198870*x-393097296163530
"(4, -8)",-60278283872004966271476304097760*x-134786340304832337061068603667360
"(4, -6)",-6682511071117820849550638778390*x-14942549015414378975188035846138
"(4, -4)",347560279979640041502999748608*x+777168412313334355606721273856
"(4, -2)",-7123000967377936491467020530*x-15927514366853827964972661790
"(4, 0)",37753226981532528838915200*x+84418781900558233428988800
"(4, 2)",8590046861205864397910*x+19207952804786144822010
"(4, 4)",-1175606562490466304
"(4, 6)",-5054248142366117934*x+11301642020518313982
"(4, 8)",-45590855838220757920*x+101944252806654769440
"(5, -11)",-516814161714094749113231797780140916*x-1155631597327285091018995770169646409
"(5, -9)",-156731771901269714015735477075919102*x-350462896205230537846741620889807758
"(5, -7)",-11357400478611198253797109936816260*x-25395919517863285586116530683426240
"(5, -5)",(977512602533987649558254530987525*x+2185784628128729564147316588361425)/2
"(5, -3)",-25156310532837862089818459249340*x-56251220414519415175620381063510
"(5, -1)",338864011168657831851309750708*x+757722964101371357324206669012
"(5, 1)",-1328084767117436838020219912*x-2969687820302758030067325888
"(5, 3)",5751159026320016109259635*x+12860067622319241215481615
"(5, 5)",-1653195570166143105475
"(5, 7)",-8590046861205864397910*x+19207952804786144822010
"(5, 9)",-118542452754503295910212*x+265068982578626541903792
"(5, 11)",(-781774079430987230203437*x+1748099984655007556773207)/2
"(6, -12)",-35343308571661590935583398795044266870*x-79030040515986314633057999840358789570
"(6, -10)",-49915705490387343635817461042555270400*x-111614910621365575723236588595507315200
"(6, -8)",-7603962174113418134220631502936425245*x-17002976319654694602448827374996734335
"(6, -6)",-95306780216627323536691315112918400*x-213112439281010827853818087171708800
"(6, -4)",-16862121511682983280161367508377610*x-37704849944984664881305240297438158
"(6, -2)",280470874803773161816981154100480*x+627151941770070139629467495623680
"(6, 0)",3425845945599011583865927607400*x+7660424414789848625261937240600
"(6, 2)",-106534697175777321180399488640*x-238218825796072706207637678720
"(6, 4)",464547109045695369246124026*x+1038815949922843227132388062
"(6, 6)",322370773435523423059200
"(6, 8)",-5751159026320016109259635*x+12860067622319241215481615
"(6, 10)",-37753226981532528838915200*x+84418781900558233428988800
"(6, 12)",-26731545465990383257876290*x+59773552805580789585889530
"(7, -15)",-307313276835286247227622942586096364350*x-687173377391911490386208748254678560830
"(7, -13)",9417727885077791078411879684237490225500*x+21058679744629268144880338587581431901360
"(7, -11)",1755936999689449168154459250670410056844*x+3926394495512635449667899598558812422252
"(7, -9)",-614221223854513311149812822420489926888*x-1373440409761807160980651809386267302428
"(7, -7)",-44794370101240550882935400583460471450*x-100163256555658008436910220502542577650
"(7, -5)",-5232894993094391881085329874401347360*x-11701108923677352823485878362255149360
"(7, -3)",38587267921504570028413324650945750*x+86283754138481230618843356857356230
"(7, -1)",2451108066797292959598175362341564*x+5480844257557399112815178503728432
"(7, 1)",-164619842657247613454630134637118*x-368101158635216036192697812010958
"(7, 3)",2069679158495924863494667845540*x+4627943159491801403855902973280
"(7, 5)",-11105612865796167144861853320*x-24815205274572450182219803560
"(7, 7)",151514883854766033244645100
"(7, 9)",-464547109045695369246124026*x+1038815949922843227132388062
"(7, 11)",1328084767117436838020219912*x-2969687820302758030067325888
"(7, 13)",7123000967377936491467020530*x-15927514366853827964972661790
"(7, 15)",-232433214772986224576311740*x+519736468461205547284020120
"(8, -16)",-459529369082005828633441931011335456743424*x-1027538906924955164199183983223479501758464
"(8, -14)",-448031533597721451646858659491230783589636*x-1001828965187986082352036258054230192347548
"(8, -12)",140855630220104124570666824807034072374400*x+314962764185726487223315628973414540996480
"(8, -10)",14678134473071150769990470646060563916600*x+32821306464670149451463840755608541592040
"(8, -8)",1539824011068044855808496255641058672640*x+3443151162134536845088219074678386196480
"(8, -6)",-350493808631948728591440062957258493648*x-783727981793839925319398595008841679248
"(8, -4)",-9623532337100813571459690438910531200*x-21518872489424840467503147501237001600
"(8, -2)",477912175905893943343514131975743100*x+1068644112600411359923282827822266340
"(8, 0)",-67243704371035952828611964486123520*x-150361494032308682310667613021306880
"(8, 2)",1369908367830861736385822940038220*x+3063208231799077150332318464438740
"(8, 4)",-25256331721259526452334596713600*x-56474842039867803198998591049600
"(8, 6)",223976089291232205235885492224*x+502011290077155731598224100192
"(8, 8)",-5208383456815112542592696320
"(8, 10)",11105612865796167144861853320*x-24815205274572450182219803560
"(8, 12)",106534697175777321180399488640*x-238218825796072706207637678720
"(8, 14)",-338864011168657831851309750708*x+757722964101371357324206669012
"(8, 16)",-347560279979640041502999748608*x+777168412313334355606721273856
"(9, -19)",8835330943381039308354550048836111177475236*x+19756400593107349476256825551090972880888032
"(9, -17)",33260600170604031844796942577826668004355655*x+74372962953911717616891776373881589660630915
"(9, -15)",-4529507301709767722582153592386768759494800*x-10128286231204690031778833610117200870282400
"(9, -13)",-2736441415429062513101428318814768965578870*x-6118869021345125624936027452869827517092070
"(9, -11)",-296482120263427545409544318423377677543120*x-662954175022291847427201971185145056483728
"(9, -9)",(204270133515207665995358307434565673022511*x+456761904312962412452160075183671289195027)/2
"(9, -7)",4737396239224399253351794837385528438040*x+10593140027257612315646077043116479234870
"(9, -5)",-1190020779641212026583537323168088551000*x-2660967357915047887630112564259212863800
"(9, -3)",16284826159645191057904022548857455760*x+36413978294733523607346769202854484160
"(9, -1)",-12118141962020418529738513598948493975*x-27096989188071870183381522163504698723
"(9, 1)",455171535534414254406697634049008796*x+1017794494918900393668060030766875822
"(9, 3)",-10015899207805276035543232332988680*x-22396231539521560268030332458269640
"(9, 5)",396723677683037317641365109813600*x+887105136773202563267465689153200
"(9, 7)",2517996281126709750490657060695*x+5614386828151030819088919083595
"(9, 9)",-345467136658062983302506938409
"(9, 11)",-223976089291232205235885492224*x+502011290077155731598224100192
"(9, 13)",-2069679158495924863494667845540*x+4627943159491801403855902973280
"(9, 15)",-3425845945599011583865927607400*x+7660424414789848625261937240600
"(9, 17)",25156310532837862089818459249340*x-56251220414519415175620381063510
"(9, 19)",6682511071117820849550638778390*x-14942549015414378975188035846138
"(10, -22)",79697374391202368602212397774605839309807360*x+178208746766979413509544677962260196299624640
"(10, -20)",(-1292425444986022583035415786545157739198517575*x-2889951150839161231305372109084882981255008325)/2
"(10, -18)",-370826620786489693243275584456128310396446080*x-829193531945127481525161258571927162558888320
"(10, -16)",217653330351636804622283505803199469371672518*x+486687642195478100249383871317970141268972042
"(10, -14)",33392834293718844199808983448936861201529600*x+74668647442141514270544641776456520391270400
"(10, -12)",-3324449824132378552195385609901110513673045*x-7433695794547219257736377068758826385794655
"(10, -10)",-2894383081578966302040854438774227504012000*x-6472037323335887986389871873209489323484000
"(10, -8)",243095010466336005701738692042605659528370*x+543576968393750160352081414505752124277230
"(10, -6)",-32147811325878658035485062109333983353600*x-71884691452502323501272089960926089110400
"(10, -4)",(10845512884642406150561760435272132621999*x+24251304060910254239271510480060079740381)/2
"(10, -2)",-574847424884835118583659215446859943680*x-1285397918733202398887395877127964747520
"(10, 0)",104892216295515084495619303985707294500*x+234546125947028105031751130930518345500
"(10, 2)",2027324910812904388484401580240811520*x+4533236315000747454792980559809556480
"(10, 4)",(249004063085152696295974709126699949*x+556789975047602014335750069611530631)/2
"(10, 6)",5206232749461866936960907264830400*x+11641599072966425990615996863569600
"(10, 8)",-230164950995862705259261005478030*x-515486734087506275260754985250770
"(10, 10)",9790116825964514272159321256000
"(10, 12)",-2517996281126709750490657060695*x+5614386828151030819088919083595
"(10, 14)",25256331721259526452334596713600*x-56474842039867803198998591049600
"(10, 16)",164619842657247613454630134637118*x-368101158635216036192697812010958
"(10, 18)",-280470874803773161816981154100480*x+627151941770070139629467495623680
"(10, 20)",(-977512602533987649558254530987525*x+2185784628128729564147316588361425)/2
"(10, 22)",60278283872004966271476304097760*x-134786340304832337061068603667360
"(11, -23)",15016270203987652459609527860874527638965022870*x+33577400944621024494787260354358518205519984710
"(11, -21)",22294377424548375554005122107652806375807198856*x+49851743437326856388327055397209438995140434012
"(11, -19)",-3240750478027045533714285451571786136221582610*x-7246538366983412355410409095306839206823964738
"(11, -17)",-1811234378796822325095920606309907457698855560*x-4050043194174298470810393612434220187557610560
"(11, -15)",-524532305360710332500453809033905580559911800*x-1172889891181225650130320495528410635415635800
"(11, -13)",304557370284140888523121714561532064407228460*x+681010983003913467416366355460735071519569080
"(11, -11)",-38728110720595425654510939721760888950010088*x-86598688211389736378283528858942648372870216
"(11, -9)",7352494898622336572251953249002472117305460*x+16440678397539969419359196109380304450496032
"(11, -7)",-1119447447436863710663764671187897829999130*x-2503160589707449972299410396283559104790730
"(11, -5)",296745201551052467728032759925241461793400*x+663542442665029343421056908381148907796800
"(11, -3)",-21614705367384391822750209282541994882250*x-48331950515101130672937743337746334783450
"(11, -1)",4907041885692627845527140810852025874856*x+10972479224845872768760213144134436244272
