numerator,1
denominator,38361600
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",-70061522327714450946123059619338368972888273166169164024495841291520426098666069089224945557883257136534090152*x-156662326531889091450187185948089107449035719596268755127946653189734149205867788004948441194459438235729680207
"(1, 1)",70061522327714450946123059619338368972888273166169164024495841291520426098666069089224945557883257136534090152*x-156662326531889091450187185948089107449035719596268755127946653189734149205867788004948441194459438235729680207
"(2, -4)",-78088965170159310854704211927034293135782834148731431694322312016103792269714379113686274447889834938865848228569945280437496*x-174612234413089651185893046706807895556546156444699068684246687175815568319936188835873273699047128550723474846425785306720847
"(2, -2)",-10331061553513789077751199833613682217071049258509416186300302879054780117416474376637812677007067204690155967627335795680*x-23100955913391455154523063641335841236382249630231608674396969897471655569000791710056640867211694313806705937222476499380
"(2, 0)",-47479034158209296690604060174951520047562773293533867118568785574774315937944377443802812165682506002433617174086490
"(2, 2)",10331061553513789077751199833613682217071049258509416186300302879054780117416474376637812677007067204690155967627335795680*x-23100955913391455154523063641335841236382249630231608674396969897471655569000791710056640867211694313806705937222476499380
"(2, 4)",78088965170159310854704211927034293135782834148731431694322312016103792269714379113686274447889834938865848228569945280437496*x-174612234413089651185893046706807895556546156444699068684246687175815568319936188835873273699047128550723474846425785306720847
"(3, -5)",-11833057528156019001502179426228617631961574222772935363378692943643231439333983080311081952905938752745637599692844086183686771680*x-26459521014622490178651922049175487152580081660728964990592503649946055359962449205253607282880124185882366471561678837345137228890
"(3, -3)",-34801256886612200007651917921403224570672161912867202060561536012190490088230815243486708246456333556870277966034855422779446160*x-77817976100897709705428340714733349086559985659462748724398993280274634470358813241221802276307363448777180023247949553950304310
"(3, -1)",6874186356274924480355385939480122807473091454871657308861434641209890857799415559938310450585878255351172711709200621428528*x+15371138048262713851803859882984136550751995110449923331135675368660541257422639955365498192077259981383706006199076578606636
"(3, 1)",-6874186356274924480355385939480122807473091454871657308861434641209890857799415559938310450585878255351172711709200621428528*x+15371138048262713851803859882984136550751995110449923331135675368660541257422639955365498192077259981383706006199076578606636
"(3, 3)",34801256886612200007651917921403224570672161912867202060561536012190490088230815243486708246456333556870277966034855422779446160*x-77817976100897709705428340714733349086559985659462748724398993280274634470358813241221802276307363448777180023247949553950304310
"(3, 5)",11833057528156019001502179426228617631961574222772935363378692943643231439333983080311081952905938752745637599692844086183686771680*x-26459521014622490178651922049175487152580081660728964990592503649946055359962449205253607282880124185882366471561678837345137228890
"(4, -8)",-11514764153275968004069316775229604740669614952576397470562269311709796516806570597495076383125053054478191435173792409499215962595060640*x-25747795391602872177965036675390672003468330614808003555068292902662937141462471450025175747896159302442408176414898693308208490140396980
"(4, -6)",-2475913192626322305264543725016635961053884489602961490955919359024356021311238196071865775242308184736863574403204672887192382063856*x-5536310205100987736961014706039769822866740628586199674282260593283766466480115067080653595558621574700233334886159243533354238134484
"(4, -4)",-6017710047306075927656027639104553781235101746620520681121295902645208315899464602478345145353032867755296215363425622431963192888192*x-13456008734659885122481243692801064266314697745211809468796619122928570309330195925907001494066716702009388066901617382558469954907472
"(4, -2)",-6135628669463558383109313940242229581817804504906527189522218364069047029124510156578647634467146587169518453824985147473460152240*x-13719694179793416033030040572016863887674276660226178982912604633096266726649414361112264925505649393890579882163298547487018743820
"(4, 0)",-78895611915862404305013432972195726145900326809116240714729720635577527639151302195757861120598864343403611840538171902404940600
"(4, 2)",6135628669463558383109313940242229581817804504906527189522218364069047029124510156578647634467146587169518453824985147473460152240*x-13719694179793416033030040572016863887674276660226178982912604633096266726649414361112264925505649393890579882163298547487018743820
"(4, 4)",6017710047306075927656027639104553781235101746620520681121295902645208315899464602478345145353032867755296215363425622431963192888192*x-13456008734659885122481243692801064266314697745211809468796619122928570309330195925907001494066716702009388066901617382558469954907472
"(4, 6)",2475913192626322305264543725016635961053884489602961490955919359024356021311238196071865775242308184736863574403204672887192382063856*x-5536310205100987736961014706039769822866740628586199674282260593283766466480115067080653595558621574700233334886159243533354238134484
"(4, 8)",11514764153275968004069316775229604740669614952576397470562269311709796516806570597495076383125053054478191435173792409499215962595060640*x-25747795391602872177965036675390672003468330614808003555068292902662937141462471450025175747896159302442408176414898693308208490140396980
"(5, -11)",-87036168766407019215190154808401861888571960916070873233438474032805899651439193616579322944867646655958373496171092032885476393532449906760*x-194618789862830109379490544765031297045994899222069740059736468649934261727983323254276408309258469786981016128679324420844029853510982094927
"(5, -9)",7661807903219742252366865640691627585882161923101044130803190916449787978899261867365449714434423304277298245969657866141932261421363259760*x+17132323302144473490607003165395636614473146685462488217778929878460189012789147492380968317103139023185504849858121306555860999773468082476
"(5, -7)",-2838739539208288224303313713324741068620029502286909567402794305794556391487399051511950501331038612358039248170105257924066583445143059600*x-6347614580086162003836485472130863931398662998757978710137164717879727961924468170949984403646958827677157938128042544865133553062632548620
"(5, -5)",-5910616075721303504218921177131727344060579323470557496348955921556020393902349846884537276718930361823814454218547765949652951258611800*x-13216539334215902672350717065097639260519341124538375298373666196665532041587568069453225109680838393351347635324492469882770451754989425
"(5, -3)",-886378697120869452660777442910139190642308856367809004342905793546361841090508717723855189414821612959978155090880877665937815984189600*x-1982003012012398515165807771811652882230608124643795468635319405276715999481585902631195393348843992160874055624211628079261960943076130
"(5, -1)",-3706341689834439469682079721962043554264449318417876794909016162785536776068011295380753272288920384745076653759515740145694147100480*x-8311272211889755893545492216261394711277312590081457303226380299117025937413278974485316201886634762930147449111293736747004456941664
"(5, 1)",3706341689834439469682079721962043554264449318417876794909016162785536776068011295380753272288920384745076653759515740145694147100480*x-8311272211889755893545492216261394711277312590081457303226380299117025937413278974485316201886634762930147449111293736747004456941664
"(5, 3)",886378697120869452660777442910139190642308856367809004342905793546361841090508717723855189414821612959978155090880877665937815984189600*x-1982003012012398515165807771811652882230608124643795468635319405276715999481585902631195393348843992160874055624211628079261960943076130
"(5, 5)",5910616075721303504218921177131727344060579323470557496348955921556020393902349846884537276718930361823814454218547765949652951258611800*x-13216539334215902672350717065097639260519341124538375298373666196665532041587568069453225109680838393351347635324492469882770451754989425
"(5, 7)",2838739539208288224303313713324741068620029502286909567402794305794556391487399051511950501331038612358039248170105257924066583445143059600*x-6347614580086162003836485472130863931398662998757978710137164717879727961924468170949984403646958827677157938128042544865133553062632548620
"(5, 9)",-7661807903219742252366865640691627585882161923101044130803190916449787978899261867365449714434423304277298245969657866141932261421363259760*x+17132323302144473490607003165395636614473146685462488217778929878460189012789147492380968317103139023185504849858121306555860999773468082476
