numerator,7465176*x-16692641
denominator,142080
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",-249227005939632*x-557288527109761
"(1, 1)",1
"(2, -4)",277782702112146347202007895904*x+621141004896333642072282954241
"(2, -2)",5651349228688529169669600*x+12636801039938555898837050
"(2, 0)",28751898008425357360*x+64291198428979804800
"(2, 2)",-22675509050
"(2, 4)",249227005939632*x-557288527109761
"(3, -5)",-32046205785450847387913560313024560*x-71657494557215135812203992889110400
"(3, -3)",20148827087024651516934399724800*x+45054147033476191639426470060400
"(3, -1)",-27283272798680338001077575248*x-61007252626520170291767956412
"(3, 1)",-268894318898040953475344*x-601265975710054339406148
"(3, 3)",-80845280033196400
"(3, 5)",-28751898008425357360*x+64291198428979804800
"(4, -8)",-6298864175677428610903572221742609931200*x-14084688477852907812629512883052531381050
"(4, -6)",299703437826459958170355385344312890320*x+670157260070346285941563266314876377668
"(4, -4)",-10497186349114296777283455345937050048*x-23472422249102406915132192056392330004
"(4, -2)",-24733445093195155870489938657104400*x-55305664546142989667813989465334300
"(4, 0)",3762711409804433590728559580000*x+8413678492036767080505914400000
"(4, 2)",1720973055298143901262929200*x+3848212838332784409050198300
"(4, 4)",42118976270400388057364
"(4, 6)",268894318898040953475344*x-601265975710054339406148
"(4, 8)",-5651349228688529169669600*x+12636801039938555898837050
"(5, -11)",-309610225833295067614337693931648937134698256*x-692309511492309241858868543966784996167783041
"(5, -9)",30409309825420744828008303485153669912116112*x+67997283918493047787057276107786909914881212
"(5, -7)",-1918157103098820861378017523129556200946800*x-4289129674053035950809800790559336365878300
"(5, -5)",47897860094965953138608258888744772066000*x+107102871149118403674036678037950101552375
"(5, -3)",-759708540438758062862480570703810314800*x-1698759939508210934802689665116534736050
"(5, -1)",-4680491596291421431761699726133077792*x-10465897377424120904255033588335394072
"(5, 1)",1725903987737596668413892227133792*x+3859238639238009653048447573474072
"(5, 3)",143720473290113667573791370800*x+321371796294444124928932816050
"(5, 5)",-192185673917568218516672375
"(5, 7)",-1720973055298143901262929200*x+3848212838332784409050198300
"(5, 9)",27283272798680338001077575248*x-61007252626520170291767956412
"(5, 11)",-277782702112146347202007895904*x+621141004896333642072282954241
"(6, -12)",-22457420340634448532919199906826468035587545600*x-50216318480945109521694145790529166342165932400
"(6, -10)",-4193831799018006479084558716610201447561180000*x-9377692988804498255881850121342077446831200000
"(6, -8)",-160188301459270823425186908690590156311072400*x-358191931263158320586112057979916989810192050
"(6, -6)",18587479364002839864659532372351827989056000*x+41562867388284907426770954148608476396588000
"(6, -4)",-1206008911196831509716562124600316435218080*x-2696717906906622510335590567966309454034528
"(6, -2)",22694732924977821993939292697670842434400*x+50746965551453044875162099487316639568600
"(6, 0)",-190126852236329404210531925101770240000*x-425136565948489695670913270854963200000
"(6, 2)",-161054332090664614908059248880576800*x-360128434716612390351021176288400600
"(6, 4)",-212468356502583300194272120065184*x-475088849209724989256291634904992
"(6, 6)",-74580518647746852178558508000
"(6, 8)",-143720473290113667573791370800*x+321371796294444124928932816050
"(6, 10)",-3762711409804433590728559580000*x+8413678492036767080505914400000
"(6, 12)",-20148827087024651516934399724800*x+45054147033476191639426470060400
"(7, -15)",35717965643260408729858032180603040603473592102960*x+79867799196332277037965204685083972041335913424000
"(7, -13)",27567330372673747610951589345133128780223735026000*x+61642424671493110579199108163278869030152266006300
"(7, -11)",-1923652982522977006513394968467596900419765365216*x-4301418834041591491103683049868425989779727839512
"(7, -9)",236811148896601319844779821919709474712450103968*x+529525826762624867654186766079337171840635688352
"(7, -7)",-14357665996451276646766835827858010055844608000*x-32104717166302308880113961684627027519850384000
"(7, -5)",705151276081989365832274581286521323411219520*x+1576766187740049789587646205278142652942630400
"(7, -3)",-17387443112595569125340812859479249562426000*x-38879504754674222387668104221706983619518100
"(7, -1)",578827042277713455860627436250219489596624*x+1294296613748111981205159059102039176792448
"(7, 1)",2482348647900004320367440157104381547728*x+5550700320556777746800252632670863126912
"(7, 3)",-42942754435138314851549959057908846800*x-96022917988284369932843066956709985900
"(7, 5)",-47383082340919038940130355782278080*x-105954622451162648784217713755251200
"(7, 7)",57608788992670417188562476944000
"(7, 9)",212468356502583300194272120065184*x-475088849209724989256291634904992
"(7, 11)",-1725903987737596668413892227133792*x+3859238639238009653048447573474072
"(7, 13)",24733445093195155870489938657104400*x-55305664546142989667813989465334300
"(7, 15)",32046205785450847387913560313024560*x-71657494557215135812203992889110400
"(8, -16)",11699923038589191753036556439557886796401191692637056*x+26161823245801327920744725213557495132387084895080724
"(8, -14)",5216768535693720702812406714066801173054262498189216*x+11665049068693197506232050631463776119028938691999512
"(8, -12)",179507463053600329400453858062552362695180022724000*x+401390889856382311591746348838614966293698036944600
"(8, -10)",52812801486658677065410835864579950298536979897280*x+118093014206370754536684600432146922342292111296000
"(8, -8)",-655926981910609831776175257949699940220393091200*x-1466697319828398468531751762449623467614046632600
"(8, -6)",295423484837155812091345738253660024133214232832*x+660586994245758784975789835699896538553970369008
"(8, -4)",-6743470019121425381614101569131742782027188000*x-15078857366987313804017150716502363455476561000
"(8, -2)",505632280169543421493754672789896844210676000*x+1130628150077317978986785273126645109745857800
"(8, 0)",-10415814452719966407064502163200978881440960*x-23290469157306572382052711731078392784652800
"(8, 2)",81504061354252833273815724821051152106400*x+182248621628394101196797468519453858174200
"(8, 4)",-1547231197431524789859969844005216516000*x-3459714107307746091829459916343762159000
"(8, 6)",-1895230701227594860741886900937851904*x-4239050040030838300572175191966697968
"(8, 8)",2631845531497052461568267288616600
"(8, 10)",47383082340919038940130355782278080*x-105954622451162648784217713755251200
"(8, 12)",161054332090664614908059248880576800*x-360128434716612390351021176288400600
"(8, 14)",4680491596291421431761699726133077792*x-10465897377424120904255033588335394072
"(8, 16)",10497186349114296777283455345937050048*x-23472422249102406915132192056392330004
"(9, -19)",-334042574872079401505018078467302897529746930635351696*x-746941904793032658189751758905714934767655067911028548
"(9, -17)",846753707067643567338207592823462357200306020916896400*x+1893398849203195131963689077679793599016863606094352050
"(9, -15)",211911026893598175848321135994579903014338664855040000*x+473847461315871615116953370381794838692306886553600000
"(9, -13)",47863008721001333276279864728085795119712343504803600*x+107024941107824247311292787257000241582981411744257900
"(9, -11)",2112676075525488853198207981206534968540423155902720*x+4724087319312472806304775435416631833233585772962288
"(9, -9)",156567237718420016438395998645421462825055219025072*x+350094986587756234000622950492954651128935334016881
"(9, -7)",-15641549616260489761195642075622272010463671872800*x-34975568215394204979425808935643273276415291862850
"(9, -5)",-226505818424898668839257189560153415637423640000*x-506482407297297767086972814621608515430488000000
"(9, -3)",-84715069594980655798558746180052417816528972800*x-189428654333002323276050601269954397889019563200
"(9, -1)",-2383571819408961275288134078274158040968421360*x-5329828617451289620082835496181586865136672802
"(9, 1)",-97301689628678108407888498346594951468606096*x-217573192335300957112929701921998523499277278
"(9, 3)",-927965535271985602282262016495655974758400*x-2074994017305227327650757705647996173652800
"(9, 5)",22562853426755053857477035062764265960000*x+50452074937421737489130895232544865600000
"(9, 7)",-153860910998073124000700916666106929600*x-343980695820064398318868048093805769150
"(9, 9)",-628211365490399062733676659681607921
"(9, 11)",1895230701227594860741886900937851904*x-4239050040030838300572175191966697968
"(9, 13)",42942754435138314851549959057908846800*x-96022917988284369932843066956709985900
"(9, 15)",190126852236329404210531925101770240000*x-425136565948489695670913270854963200000
"(9, 17)",759708540438758062862480570703810314800*x-1698759939508210934802689665116534736050
"(9, 19)",-299703437826459958170355385344312890320*x+670157260070346285941563266314876377668
"(10, -22)",7020569477855426097009276288503235555420731372947216800*x+15698470593244937219169412491479156080006779664632021050
"(10, -20)",-53385855808065946323299162817180024014998803417472452000*x-119374402623837421544587347106624618349576268177713792375
"(10, -18)",-25295028569820577014659298481657886248717898179364933600*x-56561403374918095547713917501397012508853721079489808600
"(10, -16)",-2766768843521621414824440682786539326690252459942749392*x-6186683212142824113144396582292324993119080331770768512
"(10, -14)",1724508383486302534811232064565712515999394221998164000*x+3856117973243648237663017745557254294712878398144559000
"(10, -12)",171474199390148136639635734317615207598920060127778400*x+383427966223724215681318104315814544754335929447209150
"(10, -10)",40249847226264296268675098149813721936471347255500000*x+90001394481908325150555228693494315444106701092906250
"(10, -8)",-826556990096953374645803953393473874345415271963600*x-1848237617134408233453002619492485322015927220853600
"(10, -6)",276399889334717486480887006452323588586550339564000*x+618048941525847422639966698454309668003990789276500
"(10, -4)",-12971706182309937232915590233223364730282562180672*x-29005616807799299630181792755182943457861199274137
"(10, -2)",1107350747950794243712801341448683121661632017600*x+2476111547353211865792136856267999782883204271600
"(10, 0)",-31908600941281187024214315809449916863730980000*x-71349800771618381604407633650399026904466400000
"(10, 2)",2100183804487935249241877170216858912951742400*x+4696153752074707978649308304929474202552528400
"(10, 4)",3381106981238023113398820385221808384158192*x+7560385101295080881927249515501448181587737
"(10, 6)",700527340630424767285728925648856927956000*x+1566425644718132592672462876858688724323500
"(10, 8)",-2942745300403907580390140169430086824400*x-6576862049725862703179902084883194986400
"(10, 10)",-161498739169597263287211120852352906250
"(10, 12)",153860910998073124000700916666106929600*x-343980695820064398318868048093805769150
"(10, 14)",1547231197431524789859969844005216516000*x-3459714107307746091829459916343762159000
"(10, 16)",-2482348647900004320367440157104381547728*x+5550700320556777746800252632670863126912
"(10, 18)",-22694732924977821993939292697670842434400*x+50746965551453044875162099487316639568600
"(10, 20)",-47897860094965953138608258888744772066000*x+107102871149118403674036678037950101552375
"(10, 22)",6298864175677428610903572221742609931200*x-14084688477852907812629512883052531381050
"(11, -23)",2137933893502135710134912504419821800435864647170180500400*x+4780565517271571374117147237458317015182535589829485974300
"(11, -21)",1344189859604257566438008822052644267966359924156143292576*x+3005699900741018479019883148396814684916242072780714560608
"(11, -19)",-645147339684492580981836727844774781261069351956544546000*x-1442593307037673136867662912590259384834362338126886896768
"(11, -17)",-90842556610644675557921452954362691169434100714090464800*x-203130131831274390130090044558980782090187849770662590200
"(11, -15)",-25148038933685313842924881385068763901370834669494760000*x-56232724556531687623311797798788678984904140955755200000
"(11, -13)",3279089831252432701500131396599457908103253422193973200*x+7332267767008753878432105532724520352849026722625354400
"(11, -11)",193109097012688074031485551605681593623950360967730432*x+431805067993972102001431170037427896735695461721847536
"(11, -9)",17502086055177240074087471325802380298684982286276400*x+39135854167427443864952366889249471907720405762185492
"(11, -7)",-2265066954619676038647852375327140470825676140952400*x-5064843684118026929730461418675956967981191501418100
"(11, -5)",-224126351738867150333037525336439634326662105060000*x-501161758037135142410103595061331814829467233600000
"(11, -3)",22793760690128612813329196390641074498006735430000*x+50968398365990097871668281211549089543292546492000
"(11, -1)",-3262734468832402749857087403042603003237594070944*x-7295696064840922115030616974577637384043387735272
"(11, 1)",168593832423087663077892088706700353102520215520*x+376987269885245190611657098817763196931608926952
"(11, 3)",-3242007229565654490997320304928349607838714000*x-7249348548946027263578689313180270601699612000
"(11, 5)",72129651784825699054928148669917708544540000*x+161286805483545274784219271559498218480000000
"(11, 7)",-8746956387436284649743620715163370884237200*x-19558779990164680907894669186195661075509900
"(11, 9)",10901325563667315986214656878841445721456*x+24305879525480732751389470654688805636588
"(11, 11)",-774832150651695993579552672337972993776
"(11, 13)",2942745300403907580390140169430086824400*x-6576862049725862703179902084883194986400
"(11, 15)",-22562853426755053857477035062764265960000*x+50452074937421737489130895232544865600000
"(11, 17)",-81504061354252833273815724821051152106400*x+182248621628394101196797468519453858174200
"(11, 19)",-578827042277713455860627436250219489596624*x+1294296613748111981205159059102039176792448
"(11, 21)",1206008911196831509716562124600316435218080*x-2696717906906622510335590567966309454034528
"(11, 23)",1918157103098820861378017523129556200946800*x-4289129674053035950809800790559336365878300
"(12, -26)",-33893518966066220592383244332127265672804038607340523563216*x-75788212404802457082334948969731100625798769898952233464252
"(12, -24)",-20717177994896439548930611717363321357000198704837551232000*x-46325018298551230007204170255790146699500671795105232428000
"(12, -22)",19379645124846286016095981713981625557106614036388971525200*x+43334203878978694161439579098169094598759144322757962334100
"(12, -20)",11609227790009732449440457354682380830960722556764640980160*x+25959022504741415681245484602961952710314696256116536614400
"(12, -18)",1034289092635976581961175442387475616348822806827984512000*x+2312740719520620784653154701125542970562424056772829524800
"(12, -16)",-780791423320205168042348947069379326121388505612417468000*x-1745902698792793301749492203188864902622945843100732643500
"(12, -14)",-12132865247785110038315525944239945032379679936003187632*x-27129911455892335772862524390862269122173164048469256428
"(12, -12)",-16822293786705433728934970885146682302033901590738252800*x-37615792444545697797730623941878571556107176946217854400
"(12, -10)",4319201091004975268030882283225715508292302147150331520*x+9658027247978380146524395996743532469960787813495091200
"(12, -8)",-243549806546729186974370827418777490884424533701256000*x-544593923345409772959138555802849575623626611596841600
"(12, -6)",35354170993369055851518622183385501395017839175936000*x+79054329629324475519874732348328260656136250437192000
"(12, -4)",-5383579414197327166820307357957061981063313575726272*x-12038049532413719957410506780494963335369597680817968
"(12, -2)",59698460455775362188737775741767879386359422775600*x+133489815731196790647523928873451366153235864707300
"(12, 0)",-48871065923377069595384069602646833333652472000000*x-109279025537544460128804922833962785361040960000000
"(12, 2)",-778690771687093311452418108880372330518677082000*x-1741205498944348776804491202549371563795825059300
"(12, 4)",-80968516904015119762182209673873516618446433216*x-181051107813117514737394343443750707913545073872
"(12, 6)",1111508925561768943959966460900291302317952000*x+2485409373298571797434395643991380794846648000
"(12, 8)",-82027564786759708691717041515798124093524800*x-183418233671193160741943166101713488758102400
"(12, 10)",982201864605712592917941739567963043528320*x+2178939747368757160107698175313592428800000
"(12, 12)",67497876978789953310238629543136941950400
"(12, 14)",-10901325563667315986214656878841445721456*x+24305879525480732751389470654688805636588
"(12, 16)",-700527340630424767285728925648856927956000*x+1566425644718132592672462876858688724323500
"(12, 18)",927965535271985602282262016495655974758400*x-2074994017305227327650757705647996173652800
"(12, 20)",10415814452719966407064502163200978881440960*x-23290469157306572382052711731078392784652800
"(12, 22)",17387443112595569125340812859479249562426000*x-38879504754674222387668104221706983619518100
"(12, 24)",-18587479364002839864659532372351827989056000*x+41562867388284907426770954148608476396588000
"(12, 26)",-30409309825420744828008303485153669912116112*x+67997283918493047787057276107786909914881212
"(13, -29)",345084453465514967569695914896047806258974474981899046657728*x+771632295927254347029845894898490094383869153835612999772161
"(13, -27)",178542205160902831674341063787525134038880201798855044022000*x+399232507592492508829207371748516189062764767575404746384050
"(13, -25)",-785945432074600588256735377878729388108076957237127593747520*x-1757427412724250479356989686228428307820961069484399955417600
"(13, -23)",-563566137349669736579463812215796365590600221642268864765600*x-1260172192930844698183846653663612653248149731728005254145800
"(13, -21)",108450230596911877922404259600272882739114898744371562984752*x+242502087790222553138756920474283888974991381104852495293918
"(13, -19)",-3768504272121042623561235694850794407195564459716104804896*x-8426631725961016884477394722491172359926682397844101927577
"(13, -17)",9749154618628411498023416063028806828356096090782177666000*x+21799772450409165640199146536578809634173307781644185685900
"(13, -15)",-1090420459810151955839125125370602172881814752263553531520*x-2438254272192077198522653260260105026759759980168528691200
"(13, -13)",121929302519390440220471634819656138324238923435757021600*x+272642208882493394026477884718310518994633369895931845550
"(13, -11)",-26161899590547825687120405125305639859334954296349120048*x-58499785904988852759795141911980172761946264641914521822
"(13, -9)",-8139034712535236834791950008096941359996065224828292224*x-18199434888459249258430835775542880083852716718533017408
"(13, -7)",-611037677193307987149857390030215543400165334719784000*x-1366321783017809563943099370787835728073822400563036000
"(13, -5)",-381550391493953933790840720375143149833911747541784320*x-853172612222138534798027868574819416975211450947532800
"(13, -3)",6444528944026620887988177148971295839956939636963200*x+14410404801808461527014670213620569292356020423667600
"(13, -1)",-1780380960502940278055812266024513525393084174674928*x-3981052853530943392861884816571468320348975023002612
"(13, 1)",190164036064229662673308631915836623553703499546576*x+425219711515346233341501867803542322489888353963252
"(13, 3)",10111188002096530042685485907176070886429483472000*x+22609303705942269204862393949296801781527648268400
"(13, 5)",1392212444477502219095767868133055993565711182080*x+3113081666503781825212236844233584484920326809600
"(13, 7)",-8548341739665749140362565898264549319568872000*x-19114670773060021434401547603048205529003044000
"(13, 9)",1197489705585261356652269096921296427022315392*x+2677701041158724322287181148563971745544611648
"(13, 11)",-10504232387079737015730340230102035982939024*x-23383205499147893499019266717225147021007138
"(13, 13)",-489229897296620698723452277720631549157550
"(13, 15)",-982201864605712592917941739567963043528320*x+2178939747368757160107698175313592428800000
"(13, 17)",8746956387436284649743620715163370884237200*x-19558779990164680907894669186195661075509900
"(13, 19)",-3381106981238023113398820385221808384158192*x+7560385101295080881927249515501448181587737
"(13, 21)",97301689628678108407888498346594951468606096*x-217573192335300957112929701921998523499277278
"(13, 23)",-505632280169543421493754672789896844210676000*x+1130628150077317978986785273126645109745857800
"(13, 25)",-705151276081989365832274581286521323411219520*x+1576766187740049789587646205278142652942630400
"(13, 27)",160188301459270823425186908690590156311072400*x-358191931263158320586112057979916989810192050
"(13, 29)",309610225833295067614337693931648937134698256*x-692309511492309241858868543966784996167783041
"(14, -30)",4674348692441648098595010889547256982947175697744516796380000*x+10452161426836782568277271746434277030774179289487572772000000
"(14, -28)",16002725071792461934365355653967181312948704749903952037376000*x+35783181085768147226776474048643237729791791437512769519504000
"(14, -26)",7516116949130021995656297403204894487746705818096319147620000*x+16806548425093058001974218026065954149922186815820763386001000
"(14, -24)",2656674456997506435049335850515509834875395761333991765183824*x+5940504679933766228586040358581482663911604312822141494117922
"(14, -22)",-2340816678124604047023616917350525707150292107526220363115200*x-5234225215151859582263538206400872629020992419998952943696400
"(14, -20)",-80394055032337266714108057567164360400761330526936614940000*x-179766572039165181920839284785889297941639111007699326400000
"(14, -18)",91425797975021082667444264734869657221027443432664249889600*x+204434299169309760666444092480029135210623863728097351894400
"(14, -16)",11681614491238083222476871896126659493399295820305687306480*x+26120884089354975536786385205528743062451656973998895469858
"(14, -14)",5976050030771966796488499438511789654294081302227088000000*x+13362854105745827773540763889411909678527769584708299000000
"(14, -12)",-1556818847964221497594334995727389908889482482270988108800*x-3481152772700909351893792781439859297548355336030389747600
"(14, -10)",271293587686869694940901241472590778621270443102348560000*x+606630903927640568056884342959988561641559687895291200000
"(14, -8)",23030895037332067700709362597791874882864438992247782800*x+51498646886137060139492874782056389093931123998891860450
"(14, -6)",3708547081933717318803822682350678854060926340432780000*x+8292563372962274153357222905547780479443539540473053000
"(14, -4)",-1427477177525899605906797065734636892382956285830986976*x-3191936005277446582036608215209203705405183246000441008
"(14, -2)",-177450887781403151755664925708265682820324716226127200*x-396792247746904282712232733264110549367183830716054400
"(14, 0)",-22716724109984783456627643233231559408570334041760000*x-50796139336034293742258556690125498936757057196800000
"(14, 2)",-1591884355745538538184142321242618166627870719618400*x-3559561631764770079675692213994640916539028118953600
"(14, 4)",-8771350087906380961564080386836082791411888243680*x-19613335045279805469625285898171275989174549685072
"(14, 6)",-2720455888800189007695023515801383122738370916000*x-6083124312027028959424701627444421377624085533000
"(14, 8)",-226873634022758072271981946916620302164380443600*x-507304960386603652007401241710322221013405204450
