numerator,1
denominator,-21081600
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",-77812716970210209075428851833500002253936282272070309273974588627618721941999299182380235323852880006024667928573925158833650441666559826059659172401462501557291998274290740532764894309175232499278887754506668256637534276958337615167951878020257442390162318393809589037461509612522449249087432030405008605887340043960*x-173994524659341505663355578496807827651141334720161990706456237254500477500606568231074458949831714041270827670914977838895978055841500198184183884124523975494204248121918091961903921070802827017707347269920136710625351226719411788473501398005212329975207898541653473897512668029159881817780246769531291347383187444851
"(1, 1)",77812716970210209075428851833500002253936282272070309273974588627618721941999299182380235323852880006024667928573925158833650441666559826059659172401462501557291998274290740532764894309175232499278887754506668256637534276958337615167951878020257442390162318393809589037461509612522449249087432030405008605887340043960*x-173994524659341505663355578496807827651141334720161990706456237254500477500606568231074458949831714041270827670914977838895978055841500198184183884124523975494204248121918091961903921070802827017707347269920136710625351226719411788473501398005212329975207898541653473897512668029159881817780246769531291347383187444851
"(2, -4)",-932325171526136524049294877776933409589699010380647226873124851950904108409136690474706995044159375298338713510191469294180378845527025732831950210444633403452340239761078432861559847265935649031377847481281298343595876182080686305289040048551918053299207089731651348347410559491061398451359524156717522474958390546627491199162133025218851880*x-2084742460666592614388397185920089203477623477830570465903630885614920493545392393798648227626955123183008430404421163515148640189897360084486647269854337875126279530453450655557589548865370725016676078412564183707095528289576050049539644826993631922137536834906987995310238143296711734818786439876352804010028234603913754984777907574817876851
"(2, -2)",493089027725313850725020869583364357859304600857635010721051257391428846258351999971973425591244431427608444205876590884705193450595717878841326326511646975826209485890273919267293631107212280948564855979686637572870593300544414365130902304524347545987935640617643932626926333968694346052988620680543945888914101471037233631622552715680*x+1102580584953080269350306810620787556571182929928720092908509270126902937968981304964555732597742814601018065528228522339185031774233691642846882945236711928165799853612741092917783649299031082578470657868279321882668303735715210979308055526686168281706922796609654409439041064277713921437919618753019029568192172980804486527166876104708
"(2, 0)",10648807506045728588680418687365988340510926091861714999195673000671345589720533027987016939596230097446827033318947825380035088184978336851932317958715797442637495904959305058307330328736075393609610758344303848905400917454929392308019448722316972446617431625201507386326681309314221963137913061649322712172464810827642574734
"(2, 2)",-493089027725313850725020869583364357859304600857635010721051257391428846258351999971973425591244431427608444205876590884705193450595717878841326326511646975826209485890273919267293631107212280948564855979686637572870593300544414365130902304524347545987935640617643932626926333968694346052988620680543945888914101471037233631622552715680*x+1102580584953080269350306810620787556571182929928720092908509270126902937968981304964555732597742814601018065528228522339185031774233691642846882945236711928165799853612741092917783649299031082578470657868279321882668303735715210979308055526686168281706922796609654409439041064277713921437919618753019029568192172980804486527166876104708
"(2, 4)",932325171526136524049294877776933409589699010380647226873124851950904108409136690474706995044159375298338713510191469294180378845527025732831950210444633403452340239761078432861559847265935649031377847481281298343595876182080686305289040048551918053299207089731651348347410559491061398451359524156717522474958390546627491199162133025218851880*x-2084742460666592614388397185920089203477623477830570465903630885614920493545392393798648227626955123183008430404421163515148640189897360084486647269854337875126279530453450655557589548865370725016676078412564183707095528289576050049539644826993631922137536834906987995310238143296711734818786439876352804010028234603913754984777907574817876851
"(3, -5)",28530068127318701866942526401994780531200122028452863120791158920612254617111931028278177151417744110771243675936641212847787268600818150780091117970947121509347542472751824824965224671581675727131048611854705831519491284234230864921592949339915572587712977560536320779593772273275856584563526203936806848629302786556619028407430895256536388058045280*x+63795171735384742205765954132979640451789901638892334938528900693832635896950844706093221043807451458240293660943129807595146647733286675273926313103070326739437194250562085863921906610051082194926601817259928100765164914435722063068797447153245616819847713307713632060438887047140586928121572901594583274728920097544530847186948447458245649036718734
"(3, -3)",18150516995300357511803330913052176894191204886475724589743374923720675009791703109529403396331236427972668567412373431054354813965376019020320951289164396533498036284693791964947945467218594513959118378915611291458292906334674898217658768756124656441352587518864119806544374890877146553928116777315453550512261060903808481465467368040098819364560*x+40585789828256830307545547289116827195689528498143884397141171810051762275012933166899672888133539646180934783080333834138172229448249273208595507321431199219130946886411981923388584211041541781805623095244442392696776845309588253801883243609570601332718236126526227827080371959091755310866664094610377485059714348024235953369894549464222806747586
"(3, -1)",143817084519185136988735277320359777247034810978273231992697804941499301751674781269264610774859319702622140544637332635570093859807381575927838588611025883796318588710854237335997981529355297748761985268749706088270545718126536116094209870496779350115993378793227293328250379524216859817994595849847137890100308068214770538766759589821840*x+321586333494354993237250851270137337650078943105643796209144009535999883300928359045521230390364009121325974486799085884461069521557930538336760784409639172113227487348282689765358051534438221109377417509335132524609172689021944147285757802548305394895797407380842224765543897149204149325995053958772115484270142407674596012616014189907228
"(3, 1)",-143817084519185136988735277320359777247034810978273231992697804941499301751674781269264610774859319702622140544637332635570093859807381575927838588611025883796318588710854237335997981529355297748761985268749706088270545718126536116094209870496779350115993378793227293328250379524216859817994595849847137890100308068214770538766759589821840*x+321586333494354993237250851270137337650078943105643796209144009535999883300928359045521230390364009121325974486799085884461069521557930538336760784409639172113227487348282689765358051534438221109377417509335132524609172689021944147285757802548305394895797407380842224765543897149204149325995053958772115484270142407674596012616014189907228
"(3, 3)",-18150516995300357511803330913052176894191204886475724589743374923720675009791703109529403396331236427972668567412373431054354813965376019020320951289164396533498036284693791964947945467218594513959118378915611291458292906334674898217658768756124656441352587518864119806544374890877146553928116777315453550512261060903808481465467368040098819364560*x+40585789828256830307545547289116827195689528498143884397141171810051762275012933166899672888133539646180934783080333834138172229448249273208595507321431199219130946886411981923388584211041541781805623095244442392696776845309588253801883243609570601332718236126526227827080371959091755310866664094610377485059714348024235953369894549464222806747586
"(3, 5)",-28530068127318701866942526401994780531200122028452863120791158920612254617111931028278177151417744110771243675936641212847787268600818150780091117970947121509347542472751824824965224671581675727131048611854705831519491284234230864921592949339915572587712977560536320779593772273275856584563526203936806848629302786556619028407430895256536388058045280*x+63795171735384742205765954132979640451789901638892334938528900693832635896950844706093221043807451458240293660943129807595146647733286675273926313103070326739437194250562085863921906610051082194926601817259928100765164914435722063068797447153245616819847713307713632060438887047140586928121572901594583274728920097544530847186948447458245649036718734
"(4, -8)",5908022881756691395639490942693956788327765486150303779065531879223763839018732319471254845777436186122793435748266018116046448402062820688240851513626417333715672901668909027194284898594263977936306847425548173456091639513323318550566833527573336072084761199158348709431080840402008507872216701815498767282672199154325963475436334666168525197222312581695907040*x+13210740776232164097712531269608688223411166403064000376067666700103046469635015161804722748554504108476829750041230598918830900557976211478876799795272754384268120664229475344081359967865407797985599453887541367197112590881947323533262941779034282606886583624437466030576677670648927331616630970454475799035965828481777892897671704854672278229456983541068360708
