numerator,1
denominator,-105408000
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",-3665040566421059955556480062646081375710439373855879681478905954043240*x-8195279846811823177035777108689861581745397087946606651202136287431969
"(1, 1)",3665040566421059955556480062646081375710439373855879681478905954043240*x-8195279846811823177035777108689861581745397087946606651202136287431969
"(2, -4)",-43913253614405084058081132802054806321318749249790779370422681779589723631074047570442893809720*x-98193020194998106060550994396134952591497286991668757986842194348123215825595417824569579239969
"(2, -2)",6335646712996186133124539739236871803364014433358403049024288557561882713824223085344800*x+14166936731682572482655387554518288373770883515602912916957580262698141709777572162127380
"(2, 0)",12535722154410986768065398561426857707918787382643189079603301395812744195844730
"(2, 2)",-6335646712996186133124539739236871803364014433358403049024288557561882713824223085344800*x+14166936731682572482655387554518288373770883515602912916957580262698141709777572162127380
"(2, 4)",43913253614405084058081132802054806321318749249790779370422681779589723631074047570442893809720*x-98193020194998106060550994396134952591497286991668757986842194348123215825595417824569579239969
"(3, -5)",33585451412041705171097070399277896229958003661306672467144161837993574398608302408246278474756234701600*x+75099352412341551686554842015385266833087832626000981550383063914445613138621760796414874796508559524730
"(3, -3)",844835547489872367351489159766103471218067439106666228087735349279430575033103695450407796628639600*x+1889109713995606434247486862747720408246629166373594656153973912065287519764631965882257359173993510
"(3, -1)",-119122878249680183026274121784326494529146562931918053492627549713637801220528578700884929040*x-266366834643656140180963186029842175103920982442808365596886170694977765277637697080569504028
"(3, 1)",119122878249680183026274121784326494529146562931918053492627549713637801220528578700884929040*x-266366834643656140180963186029842175103920982442808365596886170694977765277637697080569504028
"(3, 3)",-844835547489872367351489159766103471218067439106666228087735349279430575033103695450407796628639600*x+1889109713995606434247486862747720408246629166373594656153973912065287519764631965882257359173993510
"(3, 5)",-33585451412041705171097070399277896229958003661306672467144161837993574398608302408246278474756234701600*x+75099352412341551686554842015385266833087832626000981550383063914445613138621760796414874796508559524730
"(4, -8)",75911536551082788957401606579906388699726769570885203684140793633835201213763578652912361089005189700209249634400*x+169743356004681052870314507075167990136615346709998642865201749730956368312020620656255085635613111538567214287380
"(4, -6)",50363379159987800824111228870759758358478097450203612790149721695080633289818965486313705999873119832497683280*x+112615939378328979113959735322211377487793744120448268152452616509368810712587736796891344112783007082848831972
"(4, -4)",-46618599039547142872112755219145532822001453906110197714823931634486220551776083808605304885920793042631040*x-104242356468233818219171417392942639692179363257042238723479210653185958130185462451000862636441010133207024
"(4, -2)",29720873623898852260139107971464728728316659018485300226272513785967940078940203321940369374469952400*x+66457893775789714638395381883228714357942609703327222057557208898327236884482096978991792319723985020
"(4, 0)",26652709105577541721987247673949893621788700567436113736497360980392946495076919002058530760145400
"(4, 2)",-29720873623898852260139107971464728728316659018485300226272513785967940078940203321940369374469952400*x+66457893775789714638395381883228714357942609703327222057557208898327236884482096978991792319723985020
"(4, 4)",46618599039547142872112755219145532822001453906110197714823931634486220551776083808605304885920793042631040*x-104242356468233818219171417392942639692179363257042238723479210653185958130185462451000862636441010133207024
"(4, 6)",-50363379159987800824111228870759758358478097450203612790149721695080633289818965486313705999873119832497683280*x+112615939378328979113959735322211377487793744120448268152452616509368810712587736796891344112783007082848831972
