numerator,-x+2
"(13, 13)",-605110
"(13, 15)",38400*x-152160
"(13, 17)",40180*x-78120
"(13, 19)",-11844*x+79933
"(13, 21)",33468*x-43818
"(13, 23)",-61400*x+146160
"(13, 25)",25920*x-59760
"(13, 27)",-32340*x+72210
"(13, 29)",1292*x-2889
"(14, -30)",183000*x+409200
"(14, -28)",1159200*x+2592100
"(14, -26)",433000*x+968400
"(14, -24)",2233452*x+4993782
"(14, -22)",-187920*x-419680
"(14, -20)",-1909800*x-4276800
"(14, -18)",593040*x+1329720
"(14, -16)",-2969820*x-6648698
"(14, -14)",-644000*x-1449000
"(14, -12)",-3002880*x-6699120
"(14, -10)",-259200*x-597600
"(14, -8)",1324220*x+2804310
"(14, -6)",-33000*x-130800
"(14, -4)",-620568*x-1420268
"(14, -2)",330280*x+760320
"(14, 0)",966000*x+1932000
"(14, 2)",-68760*x-237280
"(14, 4)",95960*x+371052
"(14, 6)",226200*x+517200
"(14, 8)",700740*x+1245610
"(14, 10)",57600*x+194400
"(14, 12)",-229440*x+234480
"(14, 14)",161000
"(14, 16)",-133588*x+441882
"(14, 18)",18480*x-106680
"(14, 20)",-81000*x+295200
"(14, 22)",-12560*x+18720
"(14, 24)",125940*x-274998
"(14, 26)",23400*x-55600
"(14, 28)",64400*x-144900
"(14, 30)",10200*x-22800
"(15, -33)",232560*x+520020
"(15, -31)",-1065624*x-2382828
"(15, -29)",1736496*x+3882672
"(15, -27)",-1648080*x-3684960
"(15, -25)",-2703000*x-6042000
"(15, -23)",-3827100*x-8551200
"(15, -21)",4244400*x+9496800
"(15, -19)",871296*x+1973472
"(15, -17)",1127040*x+2478480
"(15, -15)",-342000*x-769500
"(15, -13)",2042040*x+4633680
"(15, -11)",-3587724*x-8017128
"(15, -9)",1371600*x+2986200
"(15, -7)",-3205980*x-7205760
"(15, -5)",245100*x+535800
"(15, -3)",-686880*x-1488960
"(15, -1)",1057776*x+2507172
"(15, 1)",-508704*x-1409028
"(15, 3)",-226080*x-336960
"(15, 5)",62700*x+79800
"(15, 7)",-30780*x+732240
"(15, 9)",399600*x+556200
"(15, 11)",-221004*x+399672
"(15, 13)",-156360*x-862320
"(15, 15)",85500
"(15, 17)",229440*x+234480
"(15, 19)",-52224*x-335328
"(15, 21)",212400*x-583200
"(15, 23)",-239100*x+418800
"(15, 25)",-159000*x+318000
"(15, 27)",-92880*x+203040
"(15, 29)",97776*x-214128
"(15, 31)",-59304*x+132972
"(15, 33)",12960*x-28980
