numerator,x-2
"(13, -21)",-1038107364*x-2321390022
"(13, -19)",3846880312*x+8597077713
"(13, -17)",907533900*x+2046504320
"(13, -15)",3954699840*x+8837875200
"(13, -13)",-4688299960*x-10548674910
"(13, -11)",3018151836*x+6624501338
"(13, -9)",1072388928*x+2568749952
"(13, -7)",522859400*x+937969200
"(13, -5)",1693810440*x+3805521300
"(13, -3)",-98857920*x-44703120
"(13, -1)",440792996*x+1193020848
"(13, 1)",804946428*x+1921327712
"(13, 3)",710908800*x+1574830320
"(13, 5)",-22208760*x+373482900
"(13, 7)",-953857800*x-2015465200
"(13, 9)",623499456*x+1670971008
"(13, 11)",-665361172*x-742524678
"(13, 13)",-1172074990
"(13, 15)",-240797760*x+446880000
"(13, 17)",18212180*x+267860880
"(13, 19)",-233611956*x+436093177
"(13, 21)",57406188*x-130362918
"(13, 23)",-20496400*x+51337440
"(13, 25)",1882440*x-3200400
"(13, 27)",-5420940*x+12105210
"(13, 29)",-1292*x+2889
"(14, -30)",63016800*x+140910000
"(14, -28)",449996400*x+1006241950
"(14, -26)",613844000*x+1372694400
"(14, -24)",-143733828*x-322202118
"(14, -22)",-1460954880*x-3254648320
"(14, -20)",2347858800*x+5241631500
"(14, -18)",6738325440*x+15071345520
"(14, -16)",-8958349260*x-19989945542
"(14, -14)",-10999912000*x-24749802000
"(14, -12)",2606177280*x+5823567120
"(14, -10)",828273600*x+1408176000
"(14, -8)",729421420*x+1927451610
"(14, -6)",-9407244000*x-20926012800
"(14, -4)",5971917672*x+12692189902
"(14, -2)",9986604320*x+22241807280
"(14, 0)",-2624979000*x-6562447500
"(14, 2)",-912209760*x+444179120
"(14, 4)",-2978499440*x-5208644322
"(14, 6)",961144800*x-189235200
"(14, 8)",1145013660*x+2758636090
"(14, 10)",-1821758400*x-3891888000
"(14, 12)",-161327040*x+288558480
"(14, 14)",-2749978000
"(14, 16)",665361172*x-742524678
"(14, 18)",-359546880*x+875600880
"(14, 20)",-164203200*x+217507500
"(14, 22)",130000640*x-72737280
"(14, 24)",4795980*x-25142502
"(14, 26)",-33818400*x+77369600
"(14, 28)",-24999800*x+56249550
"(14, 30)",-3511200*x+7854000
"(15, -33)",7790760*x+17420670
"(15, -31)",-274841616*x-614565042
"(15, -29)",61345656*x+137275632
"(15, -27)",-3951362520*x-8835445440
"(15, -25)",4474785000*x+10009387500
"(15, -23)",-9323769300*x-20847826650
"(15, -21)",-1724700600*x-3863059200
"(15, -19)",12295379136*x+27508728192
"(15, -17)",-297709440*x-629514480
"(15, -15)",-4103415000*x-9232683750
"(15, -13)",13769906640*x+30753245280
"(15, -11)",13626155844*x+31135346928
"(15, -9)",-7213206600*x-15675527700
"(15, -7)",3014100180*x+7372245510
"(15, -5)",6220450500*x+13874034000
"(15, -3)",-12047071680*x-26660511360
"(15, -1)",-3143298696*x-7272732162
"(15, 1)",-801240384*x-2588615538
"(15, 3)",1781599680*x+996831360
"(15, 5)",-487918500*x+457296000
"(15, 7)",2362080420*x+6068205990
"(15, 9)",2216748600*x+3184382700
"(15, 11)",1905985116*x+7695005472
"(15, 13)",-916178640*x+1381074720
"(15, 15)",-1025853750
"(15, 17)",161327040*x+288558480
"(15, 19)",-623499456*x+1670971008
"(15, 21)",70068600*x-273520800
"(15, 23)",522617100*x-1155053850
"(15, 25)",-235515000*x+588787500
"(15, 27)",220480920*x-491758560
"(15, 29)",-3008376*x+8567568
"(15, 31)",15314376*x-34253058
"(15, 33)",-434160*x+970830
