numerator,31622993*x-70711162
denominator,288000
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",-4472197161895732*x-10000136862780489
"(1, 1)",1
"(2, -4)",89445167392591584128727643945896*x+200005474548682401366360398158241
"(2, -2)",20823253232886936042154633760*x+46562209741427448357025004520
"(2, 0)",553677754052170018800*x+1238061095690061679200
"(2, 2)",-4656157248680
"(2, 4)",4472197161895732*x-10000136862780489
"(3, -5)",-11073706636797228791673320210636367600*x-24761560802769177621532254130735936800
"(3, -3)",-1937205040845114776587894130317452480*x-4331722157684933288064000181592430960
"(3, -1)",421078602345619339384181265416112*x+941560378715407237859969929295532
"(3, 1)",-1748844769547893508497630656*x-3910535786898198787840305228
"(3, 3)",433166287334243462640
"(3, 5)",-553677754052170018800*x+1238061095690061679200
"(4, -8)",-416470764514411279771739261584181778137417280*x-931256940095530814665128104193784753828371880
"(4, -6)",34977374094894556710580284177945478715557680*x+78211786150624408632216476669293643116897452
"(4, -4)",250549179985669725632345636265102400488768*x+560244998154787290985469436350630925029136
"(4, -2)",659057441904761739680028954523843053360*x+1473697241176165728719117315991937422380
"(4, 0)",-151561976465666511934908484583916000*x-338902882181453607614062568605944000
"(4, 2)",-30688719784136450255257209389120*x-68622063727139482160534254646220
"(4, 4)",-56023733059090745031636624
"(4, 6)",1748844769547893508497630656*x-3910535786898198787840305228
"(4, 8)",-20823253232886936042154633760*x+46562209741427448357025004520
"(5, -11)",-1788927831280452990819479756573619994430918950556*x-4000164237584367536518892726318493987818875939209
"(5, -9)",-8421687306889029674525687933877723156676297308192*x-18831465303451003290172682991872848431705208645068
"(5, -7)",613782796628825056406817345333362670204532812720*x+1372460056681981581354797008867587905680489780780
"(5, -5)",-4738051155022660618440055878991925099719962500*x-10594604463502063266572734842442894130959378125
"(5, -3)",-132407082086464070879267055334722929549674020*x-296071236247728349412605721097808391878821630
"(5, -1)",11840641834029272798133956662800141321888*x+26476480038117236483401783588109734575832
"(5, 1)",396335029279689776330169697351603894208*x+886232067333753201694434288583986368232
"(5, 3)",45570583860155356864138772320087380*x+101898952892380566994000805528763870
"(5, 5)",1059445946478405043178073153125
"(5, 7)",30688719784136450255257209389120*x-68622063727139482160534254646220
"(5, 9)",-421078602345619339384181265416112*x+941560378715407237859969929295532
"(5, 11)",-89445167392591584128727643945896*x+200005474548682401366360398158241
"(6, -12)",38744631079438830270203314924810594418117311857325440*x+86635628856776278902218057456369459115746550491616240
"(6, -10)",3031281015700361086135929277368971889363531445932000*x+6778150410010614670613265194741200867695393859176000
"(6, -8)",-911424283443820439764606193837187090859598027931660*x-2038006654124418629818028996551210246965838769443230
"(6, -6)",-11479817682319892561370621680412246582275824118400*x-25669652706971365420840677163592972485962766816800
"(6, -4)",2210715377922393874886846296356133156520667191520*x+4943309863938610502394346368469143935796240874752
"(6, -2)",-2902526618908728993820016186543535947656712160*x-6490246826382544486507328885290295389788077760
"(6, 0)",-66737700864770061058087311959691501410562000*x-149230035795672341331774108988554094998708000
"(6, 2)",-129600659671536391262691001185387708925920*x-289795884953721921444284195684403139680960
"(6, 4)",6086645150209523707516135415586894816*x+13609657986566978207546515145254649472
"(6, 6)",2566930138977522394193033564071200
"(6, 8)",-45570583860155356864138772320087380*x+101898952892380566994000805528763870
"(6, 10)",151561976465666511934908484583916000*x-338902882181453607614062568605944000
"(6, 12)",1937205040845114776587894130317452480*x-4331722157684933288064000181592430960
"(7, -15)",221477163892505838956614640805396770587089626053494000*x+495237993927504981279805384254751354490956874292511200
"(7, -13)",-13181329238963236900152653126324445525440912651597175200*x-29474348212127367251306894436327734194879305502577241420
"(7, -11)",-7926809072622008501100847704805833254460187334023693536*x-17724883931044878134632611901521993776433499918812626728
"(7, -9)",-121732358359170766881398899510003158322792094012898528*x-272201828352470594525530928222232622386017182192378368
"(7, -7)",-36215283480078916832471516261190361667617886159484800*x-80979835685881608897816635581680234053479830446229600
"(7, -5)",2240610506893893816053925603444928380425777953628400*x+5010157404515007743928215461057161690893287908008400
"(7, -3)",63733554327912551308971083637114326583975813967200*x+142512559924888387006982818526785859202062490953940
"(7, -1)",512130409693044213206082813537346116512883911824*x+1145158409418464067333842343199834887231341525472
"(7, 1)",-2487291891240476625655848185957827284542483568*x-5561753748697833962323803631793233345888439968
"(7, 3)",8251168370884694526250787471389082351376720*x+18450173356843312576175803673564939910275340
"(7, 5)",8192881960258334783958402290761696138800*x+18319339985885862429227038102985001836400
"(7, 7)",8097872738850252377850320360299906400
"(7, 9)",-6086645150209523707516135415586894816*x+13609657986566978207546515145254649472
"(7, 11)",-396335029279689776330169697351603894208*x+886232067333753201694434288583986368232
"(7, 13)",-659057441904761739680028954523843053360*x+1473697241176165728719117315991937422380
"(7, 15)",11073706636797228791673320210636367600*x-24761560802769177621532254130735936800
"(8, -16)",-5011052181428238667982562470457116665270658402442188095104*x-11205053316472150857435489989556474226764718744567563018384
"(8, -14)",-236816077766913814803810846589352165817057934119666192256*x-529536848051695887013647089337146314301861680881067451928
"(8, -12)",2592048668441097008794828816505995505045458637682188037600*x+5795997023622106749194582810914005495280544570657733656640
"(8, -10)",-163857641195870400034342531033732933193162082028598118000*x-366396824346736146906580409779988758840254882238088007600
"(8, -8)",11519832817709395769731026552279976202642048572872891520*x+25759129269831152119362228962180764480507186105597307040
"(8, -6)",120589152559617511676529054024039058144984356267562032*x+269645542472397517176320964303343956192241793091078432
"(8, -4)",96133534228093122316557503051164032953159073939520800*x+214961117451318994472597977737493103535543306471166400
"(8, -2)",-1134399574759910233133218108675921250555990927293600*x-2536594562810013954767990835591721249446233860948680
