numerator,-31622993*x+70711162
denominator,160
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",4472197161895732*x+10000136862780489
"(1, 1)",1
"(2, -4)",89445167392591584128727643945896*x+200005474548682401366360398158241
"(2, -2)",1472050979639537594805956320*x+3291606056819164931046071640
"(2, 0)",317016171211032667500*x+708869708794580943750
"(2, 2)",329156100760
"(2, 4)",-4472197161895732*x+10000136862780489
"(3, -5)",6340410199649957504626705332281482500*x+14177588211650318274299285602832043750
"(3, -3)",-21383982590103906119376742184835240*x-47816038701144355742879758854389730
"(3, -1)",-6584523189356310780129937169412*x-14723441450824430624133280135632
"(3, 1)",-77302917953562026640720156*x-172854579404725946744536128
"(3, 3)",-4781538428649999570
"(3, 5)",-317016171211032667500*x+708869708794580943750
"(4, -8)",29441422530770941943003493181252747764480960*x+65833022133097720029384484890647693020363160
"(4, -6)",-1546079518862407131077254980485688948841980*x-3457138902796510668294975129680359907877552
"(4, -4)",-4922020058844927906408026925170169637632*x-11005971438194773811322611737658942153664
"(4, -2)",-2923361032264788308665705839766632780*x-6536833990918022644501382763342238240
"(4, 0)",104347806793688079927281577300000*x+233328789293700943262950892250000
"(4, 2)",92851543152712381449428637740*x+207622361651545568692404775440
"(4, 4)",-1100582080947101902128576
"(4, 6)",77302917953562026640720156*x-172854579404725946744536128
"(4, 8)",-1472050979639537594805956320*x+3291606056819164931046071640
"(5, -11)",1788927831280452990819479756573619994430918950556*x+4000164237584367536518892726318493987818875939209
"(5, -9)",-131692266139429994808563061882060991219763125092*x-294472859198759266137965926458005439146382031968
"(5, -7)",1857056275971623745895118977308897120075476940*x+4152504071115160011271469211832467923459018560
"(5, -5)",-40224949918341872920900268094498693414062500*x-89945722408937042484390843320650959533203125
"(5, -3)",-463877619966949108179174876718452402699660*x-1037261891486911954042453262789506420322790
"(5, -1)",-125871483431500045001046639966492288288*x-281457193381572594062274063046497597632
"(5, 1)",578823066747913429764451162975506208*x+1294287724193204411334961129441732032
"(5, 3)",-45830614811359377828290188398540*x-102480473893577812317975134788710
"(5, 5)",-8994449140361872566267578125
"(5, 7)",-92851543152712381449428637740*x+207622361651545568692404775440
"(5, 9)",6584523189356310780129937169412*x-14723441450824430624133280135632
"(5, 11)",-89445167392591584128727643945896*x+200005474548682401366360398158241
"(6, -12)",-427685505144708542364668679142495070103433503264720*x-956333862494904331354861455245711437653033441956370
"(6, -10)",2086984698535713129122625986539272934452176700000*x+4666639653927760367781324970281801533931728250000
"(6, -8)",-916625305115556729496254756932854682121338871780*x-2049636492134870570318096885063220305301830635590
"(6, -6)",-7038668328078327101499151538992170801438782400*x-15738940852657931086208614558040008136189194800
"(6, -4)",1387904550098311861351142897984547655293285720*x+3103448920301087748665100634153177788147449502
"(6, -2)",-2167335978372322390686323804827445461953120*x-4846310577721526871586843643993393058280320
"(6, 0)",-1515825005149040372184814303130952975000*x-3389487753507223346599634256767694187500
"(6, 2)",-25444727050964675441862687987298918560*x-56896139355369394546830927727428257280
"(6, 4)",-19192443418886540205834256858991616*x-42915297798304153263657874184368722
"(6, 6)",-1573872544808531329236876673200
"(6, 8)",45830614811359377828290188398540*x-102480473893577812317975134788710
